period,as_of,model,block,prediction,weight,contribution
2019-06,2019-07-10 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,4.01668097672798,0.019182249,0.07704897464915932
2019-06,2019-07-10 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.023805061118368852,1.0,-0.023805061118368852
2019-07,2019-08-11 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.4132559442375471,0.033660201,0.013910278147480627
2019-07,2019-08-11 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.31702279274468437,0.10385733600000001,0.03292514270574305
2019-07,2019-08-11 23:59:00,TARGET_BASE_REMAINDER,catering,0.3193948784321191,0.051351304,0.01640134349841079
2019-07,2019-08-11 23:59:00,TARGET_BASE_REMAINDER,accommodation,1.1245197673644636,0.007778524,0.008747103998918896
2019-07,2019-08-11 23:59:00,TARGET_BASE_REMAINDER,package_holidays,20.18932093308936,0.019182249,0.3872765812794324
2019-07,2019-08-11 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.03829816483082898,1.0,-0.03829816483082898
2019-07,2019-08-11 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.4132559442375471,0.033660201,0.013910278147480627
2019-07,2019-08-11 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.31702279274468437,0.10385733600000001,0.03292514270574305
2019-07,2019-08-11 23:59:00,TARGET_MACRO_REMAINDER,catering,0.3193948784321191,0.051351304,0.01640134349841079
2019-07,2019-08-11 23:59:00,TARGET_MACRO_REMAINDER,accommodation,1.1245197673644636,0.007778524,0.008747103998918896
2019-07,2019-08-11 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,20.18932093308936,0.019182249,0.3872765812794324
2019-07,2019-08-11 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.017972473578873396,1.0,-0.017972473578873396
