quarter,previous_report,report_date,previous_model_origin,model_origin,previous_model_clock,model_clock,model_origin_changed,revision_available,model_revision,cnb_revision,same_revision_direction,previous_disagreement,disagreement,model_abs_error_improvement,cnb_abs_error_improvement,scored
2023Q2,2022-05-12,2022-08-11,2022-04,2022-07,2022-05-09 21:59:00+00:00,2022-08-09 21:59:00+00:00,True,False,,7.673870020000001,False,,5.3957428919635415,,,False
2023Q2,2022-08-11,2022-11-10,2022-07,2022-10,2022-08-09 21:59:00+00:00,2022-11-09 22:59:00+00:00,True,True,-3.0310741696954953,-1.2673485000000007,True,5.3957428919635415,3.632017222268047,3.0310741696954953,-0.6652361670586693,True
2023Q2,2022-11-10,2023-02-09,2022-10,2022-12,2022-11-09 22:59:00+00:00,2023-01-10 22:59:00+00:00,True,True,-5.6517266884849935,1.1156392999999998,False,3.632017222268047,-3.1353487662169464,-0.3202769110075696,0.8169453670586702,True
2023Q2,2023-02-09,2023-05-11,2022-12,2023-04,2023-01-10 22:59:00+00:00,2023-05-10 21:59:00+00:00,True,True,4.019506657233185,0.32893436539850107,True,-3.1353487662169464,0.5552235256177376,1.952496942259378,-0.32893436539850107,True
2023Q3,2022-02-10,2022-05-12,2021-12,2022-04,2022-01-11 22:59:00+00:00,2022-05-09 21:59:00+00:00,True,False,,0.6699834599999999,False,,,,,False
2023Q3,2022-05-12,2022-08-11,2022-04,2022-07,2022-05-09 21:59:00+00:00,2022-08-09 21:59:00+00:00,True,False,,3.59914308,False,,,,,False
2023Q3,2022-08-11,2022-11-10,2022-07,2022-10,2022-08-09 21:59:00+00:00,2022-11-09 22:59:00+00:00,True,False,,0.6908198499999996,False,,6.592987755113777,,,False
2023Q3,2022-11-10,2023-02-09,2022-10,2022-12,2022-11-09 22:59:00+00:00,2023-01-10 22:59:00+00:00,True,True,-7.881417275488568,0.82292422,False,6.592987755113777,-2.111353740374791,3.1129051723860233,0.82292422,True
2023Q3,2023-02-09,2023-05-11,2022-12,2023-04,2023-01-10 22:59:00+00:00,2023-05-10 21:59:00+00:00,True,True,3.891391569829201,0.5471188700000011,True,-2.111353740374791,1.232918959454409,0.8771205332733434,-0.001314247647038691,True
2023Q3,2023-05-11,2023-08-10,2023-04,2023-07,2023-05-10 21:59:00+00:00,2023-08-09 21:59:00+00:00,True,True,-1.6048478005163336,-0.13636396768380088,True,1.232918959454409,-0.2355648733781237,1.4094232360395242,0.13636396768380088,True
2023Q4,2022-02-10,2022-05-12,2021-12,2022-04,2022-01-11 22:59:00+00:00,2022-05-09 21:59:00+00:00,True,False,,0.19101503000000042,False,,,,,False
2023Q4,2022-05-12,2022-08-11,2022-04,2022-07,2022-05-09 21:59:00+00:00,2022-08-09 21:59:00+00:00,True,False,,2.0224230399999996,False,,,,,False
2023Q4,2022-08-11,2022-11-10,2022-07,2022-10,2022-08-09 21:59:00+00:00,2022-11-09 22:59:00+00:00,True,False,,-0.01201118999999995,False,,,,,False
2023Q4,2022-11-10,2023-02-09,2022-10,2022-12,2022-11-09 22:59:00+00:00,2023-01-10 22:59:00+00:00,True,False,,3.3911880000000005,False,,-0.7939597588330631,,,False
2023Q4,2023-02-09,2023-05-11,2022-12,2023-04,2023-01-10 22:59:00+00:00,2023-05-10 21:59:00+00:00,True,True,3.688334448996234,0.709743239999999,True,-0.7939597588330631,2.184631450163172,-2.218884527356791,-0.709743239999999,True
2023Q4,2023-05-11,2023-08-10,2023-04,2023-07,2023-05-10 21:59:00+00:00,2023-08-09 21:59:00+00:00,True,True,-2.338003546263396,-0.14382716999999978,True,2.184631450163172,-0.00954492610022406,2.338003546263396,0.14382716999999978,True
2023Q4,2023-08-10,2023-11-09,2023-07,2023-09,2023-08-09 21:59:00+00:00,2023-10-09 21:59:00+00:00,True,True,0.45036521056557177,-0.7017920454289,False,-0.00954492610022406,1.1426123298942477,-0.45036521056557177,0.5485096905977818,True
2024Q1,2022-08-11,2022-11-10,2022-07,2022-10,2022-08-09 21:59:00+00:00,2022-11-09 22:59:00+00:00,True,False,,0.05334656000000004,False,,,,,False
2024Q1,2022-11-10,2023-02-09,2022-10,2022-12,2022-11-09 22:59:00+00:00,2023-01-10 22:59:00+00:00,True,False,,-0.44437523000000034,False,,,,,False
2024Q1,2023-02-09,2023-05-11,2022-12,2023-04,2023-01-10 22:59:00+00:00,2023-05-10 21:59:00+00:00,True,False,,0.2169491800000003,False,,3.0869975789074524,,,False
2024Q1,2023-05-11,2023-08-10,2023-04,2023-07,2023-05-10 21:59:00+00:00,2023-08-09 21:59:00+00:00,True,True,-2.7704824398126493,0.04673273999999994,False,3.0869975789074524,0.26978239909480317,2.7704824398126493,-0.04673273999999994,True
2024Q1,2023-08-10,2023-11-09,2023-07,2023-09,2023-08-09 21:59:00+00:00,2023-10-09 21:59:00+00:00,True,True,0.3576383806076069,0.17564755094152007,True,0.26978239909480317,0.45177322876089,-0.3576383806076069,-0.17564755094152007,True
2024Q1,2023-11-09,2024-02-15,2023-09,2024-01,2023-10-09 21:59:00+00:00,2024-02-14 22:59:00+00:00,True,True,-1.7747444167739843,0.1390540559639497,False,0.45177322876089,-1.462025243977044,0.4061406148261275,-0.1390540559639497,True
2024Q2,2022-08-11,2022-11-10,2022-07,2022-10,2022-08-09 21:59:00+00:00,2022-11-09 22:59:00+00:00,True,False,,0.002932020000000257,False,,,,,False
2024Q2,2022-11-10,2023-02-09,2022-10,2022-12,2022-11-09 22:59:00+00:00,2023-01-10 22:59:00+00:00,True,False,,-0.17820761000000007,False,,,,,False
2024Q2,2023-02-09,2023-05-11,2022-12,2023-04,2023-01-10 22:59:00+00:00,2023-05-10 21:59:00+00:00,True,False,,0.15090802999999986,False,,,,,False
2024Q2,2023-05-11,2023-08-10,2023-04,2023-07,2023-05-10 21:59:00+00:00,2023-08-09 21:59:00+00:00,True,False,,0.24689629999999996,False,,1.1152363764553268,,,False
2024Q2,2023-08-10,2023-11-09,2023-07,2023-09,2023-08-09 21:59:00+00:00,2023-10-09 21:59:00+00:00,True,True,0.45352792556132426,0.2524583100000002,True,1.1152363764553268,1.3163059920166509,-0.45352792556132426,-0.02461279723274279,True
2024Q2,2023-11-09,2024-02-15,2023-09,2024-01,2023-10-09 21:59:00+00:00,2024-02-14 22:59:00+00:00,True,True,-2.2858979358338836,0.048046269999999947,False,1.3163059920166509,-1.0176382138172324,0.6237851554321614,-0.048046269999999947,True
2024Q2,2024-02-15,2024-05-09,2024-01,2024-03,2024-02-14 22:59:00+00:00,2024-04-09 21:59:00+00:00,True,True,0.9331948305807074,-0.20924851501608988,False,-1.0176382138172324,0.12480513177956487,0.7289179498210145,0.163915132216653,True
2024Q3,2022-08-11,2022-11-10,2022-07,2022-10,2022-08-09 21:59:00+00:00,2022-11-09 22:59:00+00:00,True,False,,-0.10534077999999969,False,,,,,False
2024Q3,2022-11-10,2023-02-09,2022-10,2022-12,2022-11-09 22:59:00+00:00,2023-01-10 22:59:00+00:00,True,False,,-0.09530707000000005,False,,,,,False
2024Q3,2023-02-09,2023-05-11,2022-12,2023-04,2023-01-10 22:59:00+00:00,2023-05-10 21:59:00+00:00,True,False,,-0.09137600000000012,False,,,,,False
2024Q3,2023-05-11,2023-08-10,2023-04,2023-07,2023-05-10 21:59:00+00:00,2023-08-09 21:59:00+00:00,True,False,,-0.10157375999999996,False,,,,,False
2024Q3,2023-08-10,2023-11-09,2023-07,2023-09,2023-08-09 21:59:00+00:00,2023-10-09 21:59:00+00:00,True,False,,0.36441279000000004,False,,1.72187645390094,,,False
2024Q3,2023-11-09,2024-02-15,2023-09,2024-01,2023-10-09 21:59:00+00:00,2024-02-14 22:59:00+00:00,True,True,-2.4934050441349753,0.016086089999999942,False,1.72187645390094,-0.7876146802340354,0.8008959103038902,0.016086089999999942,True
2024Q3,2024-02-15,2024-05-09,2024-01,2024-03,2024-02-14 22:59:00+00:00,2024-04-09 21:59:00+00:00,True,True,1.0545942052181148,-0.13772676000000006,False,-0.7876146802340354,0.40470628498407946,0.6379149286129704,-0.13772676000000006,True
2024Q3,2024-05-09,2024-08-08,2024-03,2024-06,2024-04-09 21:59:00+00:00,2024-07-09 21:59:00+00:00,True,True,-0.585177322652304,-0.07480894213056999,True,0.40470628498407946,-0.1056620955376546,-0.16849804604715968,-0.07480894213056999,True
2024Q4,2022-08-11,2022-11-10,2022-07,2022-10,2022-08-09 21:59:00+00:00,2022-11-09 22:59:00+00:00,True,False,,-0.07484897000000013,False,,,,,False
2024Q4,2022-11-10,2023-02-09,2022-10,2022-12,2022-11-09 22:59:00+00:00,2023-01-10 22:59:00+00:00,True,False,,-0.2273082999999998,False,,,,,False
2024Q4,2023-02-09,2023-05-11,2022-12,2023-04,2023-01-10 22:59:00+00:00,2023-05-10 21:59:00+00:00,True,False,,-0.3493071900000002,False,,,,,False
2024Q4,2023-05-11,2023-08-10,2023-04,2023-07,2023-05-10 21:59:00+00:00,2023-08-09 21:59:00+00:00,True,False,,-0.028191599999999983,False,,,,,False
2024Q4,2023-08-10,2023-11-09,2023-07,2023-09,2023-08-09 21:59:00+00:00,2023-10-09 21:59:00+00:00,True,False,,0.9668058899999998,False,,,,,False
2024Q4,2023-11-09,2024-02-15,2023-09,2024-01,2023-10-09 21:59:00+00:00,2024-02-14 22:59:00+00:00,True,False,,-0.03546481999999962,False,,-0.7614338544265082,,,False
2024Q4,2024-02-15,2024-05-09,2024-01,2024-03,2024-02-14 22:59:00+00:00,2024-04-09 21:59:00+00:00,True,True,1.276339419167136,-0.20083235000000021,False,-0.7614338544265082,0.715737914740628,0.5818162576914425,-0.20083235000000021,True
2024Q4,2024-05-09,2024-08-08,2024-03,2024-06,2024-04-09 21:59:00+00:00,2024-07-09 21:59:00+00:00,True,True,-0.7620573275916644,-0.19898698999999986,True,0.715737914740628,0.1526675771489634,-0.06753416611597096,-0.19898698999999986,True
2024Q4,2024-08-08,2024-11-14,2024-06,2024-10,2024-07-09 21:59:00+00:00,2024-11-10 22:59:00+00:00,True,True,0.24746049271728898,0.7057834056364198,True,0.1526675771489634,-0.30565533577016746,0.24746049271728898,0.42914324236914236,True
2025Q1,2023-08-10,2023-11-09,2023-07,2023-09,2023-08-09 21:59:00+00:00,2023-10-09 21:59:00+00:00,True,False,,0.2736405500000001,False,,,,,False
2025Q1,2023-11-09,2024-02-15,2023-09,2024-01,2023-10-09 21:59:00+00:00,2024-02-14 22:59:00+00:00,True,False,,-0.10040831000000017,False,,,,,False
2025Q1,2024-02-15,2024-05-09,2024-01,2024-03,2024-02-14 22:59:00+00:00,2024-04-09 21:59:00+00:00,True,False,,0.6041766300000002,False,,0.6971839410869238,,,False
2025Q1,2024-05-09,2024-08-08,2024-03,2024-06,2024-04-09 21:59:00+00:00,2024-07-09 21:59:00+00:00,True,True,-0.7886724594670134,-0.16443494999999997,True,0.6971839410869238,0.07294643161991043,-0.15379294897305984,-0.16443494999999997,True
2025Q1,2024-08-08,2024-11-14,2024-06,2024-10,2024-07-09 21:59:00+00:00,2024-11-10 22:59:00+00:00,True,True,0.07972210901367882,0.7503080786097698,True,0.07294643161991043,-0.5976395379761805,0.07972210901367882,0.3380501930701243,True
2025Q1,2024-11-14,2025-02-13,2024-10,2025-01,2024-11-10 22:59:00+00:00,2025-02-05 22:59:00+00:00,True,True,0.25478978772038285,-0.3616658322992099,False,-0.5976395379761805,0.01881608204341223,0.25478978772038285,0.050592053240435586,True
2025Q2,2023-08-10,2023-11-09,2023-07,2023-09,2023-08-09 21:59:00+00:00,2023-10-09 21:59:00+00:00,True,False,,0.38263409000000004,False,,,,,False
2025Q2,2023-11-09,2024-02-15,2023-09,2024-01,2023-10-09 21:59:00+00:00,2024-02-14 22:59:00+00:00,True,False,,-0.07175091,False,,,,,False
2025Q2,2024-02-15,2024-05-09,2024-01,2024-03,2024-02-14 22:59:00+00:00,2024-04-09 21:59:00+00:00,True,False,,-0.0037583100000000425,False,,,,,False
2025Q2,2024-05-09,2024-08-08,2024-03,2024-06,2024-04-09 21:59:00+00:00,2024-07-09 21:59:00+00:00,True,False,,-0.14823579999999992,False,,0.4861804537784449,,,False
2025Q2,2024-08-08,2024-11-14,2024-06,2024-10,2024-07-09 21:59:00+00:00,2024-11-10 22:59:00+00:00,True,True,-0.37079014565264656,0.8176150900000001,False,0.4861804537784449,-0.7022247818742018,-0.37079014565264656,0.44445027427084827,True
2025Q2,2024-11-14,2025-02-13,2024-10,2025-01,2024-11-10 22:59:00+00:00,2025-02-05 22:59:00+00:00,True,True,0.7136915219770297,-0.3320756400000002,False,-0.7022247818742018,0.3435423801028281,0.31759322604222207,0.041089175729151606,True
2025Q2,2025-02-13,2025-05-15,2025-01,2025-04,2025-02-05 22:59:00+00:00,2025-05-05 21:59:00+00:00,True,True,-0.037542214474848734,0.14624060923410998,False,0.3435423801028281,0.1597595563938694,0.037542214474848734,0.14474585503673865,True
2025Q3,2023-08-10,2023-11-09,2023-07,2023-09,2023-08-09 21:59:00+00:00,2023-10-09 21:59:00+00:00,True,False,,0.4081656,False,,,,,False
2025Q3,2023-11-09,2024-02-15,2023-09,2024-01,2023-10-09 21:59:00+00:00,2024-02-14 22:59:00+00:00,True,False,,-0.11437896000000025,False,,,,,False
2025Q3,2024-02-15,2024-05-09,2024-01,2024-03,2024-02-14 22:59:00+00:00,2024-04-09 21:59:00+00:00,True,False,,-0.22543857999999983,False,,,,,False
2025Q3,2024-05-09,2024-08-08,2024-03,2024-06,2024-04-09 21:59:00+00:00,2024-07-09 21:59:00+00:00,True,False,,0.01833920999999994,False,,,,,False
2025Q3,2024-08-08,2024-11-14,2024-06,2024-10,2024-07-09 21:59:00+00:00,2024-11-10 22:59:00+00:00,True,False,,0.7319345300000002,False,,-1.1394736938708543,,,False
2025Q3,2024-11-14,2025-02-13,2024-10,2025-01,2024-11-10 22:59:00+00:00,2025-02-05 22:59:00+00:00,True,True,1.2101607662258504,-0.24368847999999987,False,-1.1394736938708543,0.31437555235499604,0.7983114017866604,0.026786739729197873,True
2025Q3,2025-02-13,2025-05-15,2025-01,2025-04,2025-02-05 22:59:00+00:00,2025-05-05 21:59:00+00:00,True,True,-0.13159113310980697,0.08005530999999966,False,0.31437555235499604,0.10272910924518941,0.13159113310980697,0.08005530999999966,True
2025Q3,2025-05-15,2025-08-14,2025-04,2025-07,2025-05-05 21:59:00+00:00,2025-08-04 21:59:00+00:00,True,True,0.07756085152075887,0.21561008284556005,True,0.10272910924518941,-0.03532012207961177,-0.07756085152075887,-0.15881896257475736,True
2025Q4,2023-08-10,2023-11-09,2023-07,2023-09,2023-08-09 21:59:00+00:00,2023-10-09 21:59:00+00:00,True,False,,0.34332344000000004,False,,,,,False
2025Q4,2023-11-09,2024-02-15,2023-09,2024-01,2023-10-09 21:59:00+00:00,2024-02-14 22:59:00+00:00,True,False,,-0.18124303000000008,False,,,,,False
2025Q4,2024-02-15,2024-05-09,2024-01,2024-03,2024-02-14 22:59:00+00:00,2024-04-09 21:59:00+00:00,True,False,,-0.25967618999999975,False,,,,,False
2025Q4,2024-05-09,2024-08-08,2024-03,2024-06,2024-04-09 21:59:00+00:00,2024-07-09 21:59:00+00:00,True,False,,0.1445767200000001,False,,,,,False
2025Q4,2024-08-08,2024-11-14,2024-06,2024-10,2024-07-09 21:59:00+00:00,2024-11-10 22:59:00+00:00,True,False,,0.4488576499999999,False,,,,,False
2025Q4,2024-11-14,2025-02-13,2024-10,2025-01,2024-11-10 22:59:00+00:00,2025-02-05 22:59:00+00:00,True,False,,-0.05128533000000024,False,,0.5021553501750282,,,False
2025Q4,2025-02-13,2025-05-15,2025-01,2025-04,2025-02-05 22:59:00+00:00,2025-05-05 21:59:00+00:00,True,True,-0.14038303978835387,0.026467810000000203,False,0.5021553501750282,0.33530450038667414,0.14038303978835387,-0.026467810000000203,True
2025Q4,2025-05-15,2025-08-14,2025-04,2025-07,2025-05-05 21:59:00+00:00,2025-08-04 21:59:00+00:00,True,True,0.05994970978236269,0.22667525,True,0.33530450038667414,0.16857896016903684,-0.05994970978236269,-0.22667525,True
2025Q4,2025-08-14,2025-11-13,2025-07,2025-10,2025-08-04 21:59:00+00:00,2025-11-04 22:59:00+00:00,True,True,-0.6544853990156674,-0.4376217216909599,True,0.16857896016903684,-0.04828471715567062,0.5192877949442836,0.39899355193091735,True
2026Q1,2024-08-08,2024-11-14,2024-06,2024-10,2024-07-09 21:59:00+00:00,2024-11-10 22:59:00+00:00,True,False,,0.3200925200000002,False,,,,,False
2026Q1,2024-11-14,2025-02-13,2024-10,2025-01,2024-11-10 22:59:00+00:00,2025-02-05 22:59:00+00:00,True,False,,-0.0010469200000002843,False,,,,,False
2026Q1,2025-02-13,2025-05-15,2025-01,2025-04,2025-02-05 22:59:00+00:00,2025-05-05 21:59:00+00:00,True,False,,0.06298466000000014,False,,0.5274643836799018,,,False
2026Q1,2025-05-15,2025-08-14,2025-04,2025-07,2025-05-05 21:59:00+00:00,2025-08-04 21:59:00+00:00,True,True,0.06583718875552291,0.2542798300000002,True,0.5274643836799018,0.3390217424354245,-0.06583718875552291,-0.2542798300000002,True
2026Q1,2025-08-14,2025-11-13,2025-07,2025-10,2025-08-04 21:59:00+00:00,2025-11-04 22:59:00+00:00,True,True,-0.9789878917260173,-0.3816446400000002,True,0.3390217424354245,-0.2583215092905926,0.9789878917260173,0.3816446400000002,True
2026Q1,2025-11-13,2026-02-12,2025-10,2026-01,2025-11-04 22:59:00+00:00,2026-02-04 22:59:00+00:00,True,True,-0.34974018392508777,-0.60472777979913,True,-0.2583215092905926,-0.003333913416550427,0.24443516461486725,0.5060905873220103,True
2026Q2,2024-08-08,2024-11-14,2024-06,2024-10,2024-07-09 21:59:00+00:00,2024-11-10 22:59:00+00:00,True,False,,0.27001892000000005,False,,,,,False
2026Q2,2024-11-14,2025-02-13,2024-10,2025-01,2024-11-10 22:59:00+00:00,2025-02-05 22:59:00+00:00,True,False,,-0.1271344700000001,False,,,,,False
2026Q2,2025-02-13,2025-05-15,2025-01,2025-04,2025-02-05 22:59:00+00:00,2025-05-05 21:59:00+00:00,True,False,,0.06066074999999982,False,,,,,False
2026Q2,2025-05-15,2025-08-14,2025-04,2025-07,2025-05-05 21:59:00+00:00,2025-08-04 21:59:00+00:00,True,False,,0.27275404000000014,False,,1.0160712999812689,,,False
2026Q2,2025-08-14,2025-11-13,2025-07,2025-10,2025-08-04 21:59:00+00:00,2025-11-04 22:59:00+00:00,True,True,-1.2634594025510766,-0.28018297999999975,True,1.0160712999812689,0.03279487743019205,1.2634594025510766,0.28018297999999975,True
2026Q2,2025-11-13,2026-02-12,2025-10,2026-01,2025-11-04 22:59:00+00:00,2026-02-04 22:59:00+00:00,True,True,-0.5073433961851608,-0.6899671300000001,True,0.03279487743019205,0.21541861124503137,-0.1313421138464541,-0.3795556025216775,True
2026Q2,2026-02-12,2026-05-14,2026-01,2026-04,2026-02-04 22:59:00+00:00,2026-05-05 21:59:00+00:00,True,True,0.7321958107794915,0.6679170825264398,True,0.21541861124503137,0.27969733949808306,-0.09351030074787658,0.40160564999523785,True
2026Q3,2024-08-08,2024-11-14,2024-06,2024-10,2024-07-09 21:59:00+00:00,2024-11-10 22:59:00+00:00,True,False,,0.12892997000000017,False,,,,,False
2026Q3,2024-11-14,2025-02-13,2024-10,2025-01,2024-11-10 22:59:00+00:00,2025-02-05 22:59:00+00:00,True,False,,-0.22283061000000015,False,,,,,False
2026Q3,2025-02-13,2025-05-15,2025-01,2025-04,2025-02-05 22:59:00+00:00,2025-05-05 21:59:00+00:00,True,False,,0.10340054000000021,False,,,,,False
2026Q3,2025-05-15,2025-08-14,2025-04,2025-07,2025-05-05 21:59:00+00:00,2025-08-04 21:59:00+00:00,True,False,,0.06693547999999971,False,,,,,False
2026Q3,2025-08-14,2025-11-13,2025-07,2025-10,2025-08-04 21:59:00+00:00,2025-11-04 22:59:00+00:00,True,False,,-0.016772529999999897,False,,0.14253944782669192,,,False
2026Q3,2025-11-13,2026-02-12,2025-10,2026-01,2025-11-04 22:59:00+00:00,2026-02-04 22:59:00+00:00,True,True,-0.46550080508586045,-0.68226272,True,0.14253944782669192,0.35930136274083146,,,False
2026Q3,2026-02-12,2026-05-14,2026-01,2026-04,2026-02-04 22:59:00+00:00,2026-05-05 21:59:00+00:00,True,True,0.7898417152528447,0.8748730200000001,True,0.35930136274083146,0.2742700579936761,,,False
2026Q3,2026-05-14,2026-08-13,2026-04,2026-07,2026-05-05 21:59:00+00:00,2026-08-04 21:59:00+00:00,True,True,-0.9955921034153052,-0.44153299201335017,True,0.2742700579936761,-0.279789053408279,,,False
2026Q4,2024-08-08,2024-11-14,2024-06,2024-10,2024-07-09 21:59:00+00:00,2024-11-10 22:59:00+00:00,True,False,,-0.003379139999999836,False,,,,,False
2026Q4,2024-11-14,2025-02-13,2024-10,2025-01,2024-11-10 22:59:00+00:00,2025-02-05 22:59:00+00:00,True,False,,-0.1624485,False,,,,,False
2026Q4,2025-02-13,2025-05-15,2025-01,2025-04,2025-02-05 22:59:00+00:00,2025-05-05 21:59:00+00:00,True,False,,0.07827757000000002,False,,,,,False
2026Q4,2025-05-15,2025-08-14,2025-04,2025-07,2025-05-05 21:59:00+00:00,2025-08-04 21:59:00+00:00,True,False,,0.07884241000000003,False,,,,,False
2026Q4,2025-08-14,2025-11-13,2025-07,2025-10,2025-08-04 21:59:00+00:00,2025-11-04 22:59:00+00:00,True,False,,0.10657088000000003,False,,,,,False
2026Q4,2025-11-13,2026-02-12,2025-10,2026-01,2025-11-04 22:59:00+00:00,2026-02-04 22:59:00+00:00,True,False,,-0.6024288600000001,False,,0.5912617922488865,,,False
2026Q4,2026-02-12,2026-05-14,2026-01,2026-04,2026-02-04 22:59:00+00:00,2026-05-05 21:59:00+00:00,True,True,0.9730488089186875,0.9561960299999999,True,0.5912617922488865,0.6081145711675742,,,False
2026Q4,2026-05-14,2026-08-13,2026-04,2026-07,2026-05-05 21:59:00+00:00,2026-08-04 21:59:00+00:00,True,True,-1.268277007465804,-0.21532289999999987,True,0.6081145711675742,-0.44483953629823003,,,False
2027Q1,2025-08-14,2025-11-13,2025-07,2025-10,2025-08-04 21:59:00+00:00,2025-11-04 22:59:00+00:00,True,False,,0.021580080000000113,False,,,,,False
2027Q1,2025-11-13,2026-02-12,2025-10,2026-01,2025-11-04 22:59:00+00:00,2026-02-04 22:59:00+00:00,True,False,,-0.4743488400000002,False,,,,,False
2027Q1,2026-02-12,2026-05-14,2026-01,2026-04,2026-02-04 22:59:00+00:00,2026-05-05 21:59:00+00:00,True,False,,1.01958043,False,,0.8709370770900478,,,False
2027Q1,2026-05-14,2026-08-13,2026-04,2026-07,2026-05-05 21:59:00+00:00,2026-08-04 21:59:00+00:00,True,True,-1.3968612799051603,-0.2536801099999999,True,0.8709370770900478,-0.27224409281511264,,,False
2027Q2,2025-08-14,2025-11-13,2025-07,2025-10,2025-08-04 21:59:00+00:00,2025-11-04 22:59:00+00:00,True,False,,-0.02116941999999966,False,,,,,False
2027Q2,2025-11-13,2026-02-12,2025-10,2026-01,2025-11-04 22:59:00+00:00,2026-02-04 22:59:00+00:00,True,False,,-0.38362994000000006,False,,,,,False
2027Q2,2026-02-12,2026-05-14,2026-01,2026-04,2026-02-04 22:59:00+00:00,2026-05-05 21:59:00+00:00,True,False,,0.3368443299999999,False,,,,,False
2027Q2,2026-05-14,2026-08-13,2026-04,2026-07,2026-05-05 21:59:00+00:00,2026-08-04 21:59:00+00:00,True,False,,0.0008923499999999862,False,,0.22013897253127945,,,False
2027Q3,2025-08-14,2025-11-13,2025-07,2025-10,2025-08-04 21:59:00+00:00,2025-11-04 22:59:00+00:00,True,False,,-0.024797969999999836,False,,,,,False
2027Q3,2025-11-13,2026-02-12,2025-10,2026-01,2025-11-04 22:59:00+00:00,2026-02-04 22:59:00+00:00,True,False,,-0.3828781400000003,False,,,,,False
2027Q3,2026-02-12,2026-05-14,2026-01,2026-04,2026-02-04 22:59:00+00:00,2026-05-05 21:59:00+00:00,True,False,,0.04977538000000026,False,,,,,False
2027Q3,2026-05-14,2026-08-13,2026-04,2026-07,2026-05-05 21:59:00+00:00,2026-08-04 21:59:00+00:00,True,False,,0.3723062100000001,False,,,,,False
2027Q4,2025-08-14,2025-11-13,2025-07,2025-10,2025-08-04 21:59:00+00:00,2025-11-04 22:59:00+00:00,True,False,,0.0062460699999999925,False,,,,,False
2027Q4,2025-11-13,2026-02-12,2025-10,2026-01,2025-11-04 22:59:00+00:00,2026-02-04 22:59:00+00:00,True,False,,-0.42393042999999997,False,,,,,False
2027Q4,2026-02-12,2026-05-14,2026-01,2026-04,2026-02-04 22:59:00+00:00,2026-05-05 21:59:00+00:00,True,False,,-0.0996784300000002,False,,,,,False
2027Q4,2026-05-14,2026-08-13,2026-04,2026-07,2026-05-05 21:59:00+00:00,2026-08-04 21:59:00+00:00,True,False,,0.2268791800000003,False,,,,,False
