block,target,available_from,error
food,2021-06,2021-07-13 09:00:00,-0.34675815407488825
core,2021-07,2021-08-10 09:00:00,0.8360728140542312
food,2021-07,2021-08-10 09:00:00,0.7505363156240807
core,2021-08,2021-09-10 09:00:00,0.5988548802715722
food,2021-08,2021-09-10 09:00:00,0.7221480530045833
core,2021-09,2021-10-11 09:00:00,0.20139207413432259
food,2021-09,2021-10-11 09:00:00,-0.9831470600201554
core,2021-10,2021-11-10 09:00:00,0.2618341595275008
food,2021-10,2021-11-10 09:00:00,-0.8131995792224327
core,2021-11,2021-12-10 09:00:00,0.5040758491820563
food,2021-11,2021-12-10 09:00:00,0.7650941564813869
core,2021-12,2022-01-12 09:00:00,-0.02425721312661524
food,2021-12,2022-01-12 09:00:00,0.46956111884040325
core,2022-01,2022-02-14 09:00:00,0.45594346737630154
food,2022-01,2022-02-14 09:00:00,2.5871881164650317
core,2022-02,2022-03-10 09:00:00,-0.16157381879311916
food,2022-02,2022-03-10 09:00:00,0.9457982301046317
core,2022-03,2022-04-11 09:00:00,-0.1180635131195088
food,2022-03,2022-04-11 09:00:00,0.46444489221606117
core,2022-04,2022-05-10 09:00:00,0.3857905652778531
food,2022-04,2022-05-10 09:00:00,3.067635556512029
core,2022-05,2022-06-10 09:00:00,0.4844097800490624
food,2022-05,2022-06-10 09:00:00,2.379270476668506
core,2022-06,2022-07-13 09:00:00,0.34378733761287855
food,2022-06,2022-07-13 09:00:00,1.2702316189614256
core,2022-07,2022-08-10 09:00:00,-0.05791459327124174
food,2022-07,2022-08-10 09:00:00,0.6315332929863072
core,2022-08,2022-09-12 09:00:00,-0.3027100397678116
food,2022-08,2022-09-12 09:00:00,0.1631227176282247
core,2022-09,2022-10-11 09:00:00,-0.18008542695711532
food,2022-09,2022-10-11 09:00:00,-0.20339030412684522
core,2022-10,2022-11-10 09:00:00,-0.14160456063566795
food,2022-10,2022-11-10 09:00:00,2.1912742194887826
core,2022-11,2022-12-12 09:00:00,-0.47176857306142955
food,2022-11,2022-12-12 09:00:00,1.122621272119237
core,2022-12,2023-01-11 09:00:00,-0.5565676243506099
food,2022-12,2023-01-11 09:00:00,-0.5043853397874964
core,2023-01,2023-02-10 09:00:00,-0.3385688549630797
food,2023-01,2023-02-10 09:00:00,1.3326146756660087
core,2023-02,2023-03-10 09:00:00,-0.1485031709398561
food,2023-02,2023-03-10 09:00:00,-0.04030855965469768
core,2023-03,2023-04-13 09:00:00,-0.1784774699265151
food,2023-03,2023-04-13 09:00:00,-0.004910570621496392
core,2023-04,2023-05-11 09:00:00,-0.6434949757929708
food,2023-04,2023-05-11 09:00:00,-2.4745800890545877
core,2023-05,2023-06-12 09:00:00,-0.516834078786385
food,2023-05,2023-06-12 09:00:00,0.18560021893055226
core,2023-06,2023-07-13 09:00:00,-0.02544056261040732
food,2023-06,2023-07-13 09:00:00,0.1028216104068766
core,2023-07,2023-08-10 09:00:00,0.17747223595936562
food,2023-07,2023-08-10 09:00:00,-0.14496615246950537
core,2023-08,2023-09-11 09:00:00,-0.11788863736319496
food,2023-08,2023-09-11 09:00:00,-0.2981880977573826
core,2023-09,2023-10-10 09:00:00,-0.32254529469693666
food,2023-09,2023-10-10 09:00:00,-1.1440190289403542
core,2023-10,2023-11-10 09:00:00,-0.35079427227807297
food,2023-10,2023-11-10 09:00:00,0.5230902193494708
core,2023-11,2023-12-11 09:00:00,0.0018858687872758606
food,2023-11,2023-12-11 09:00:00,-0.5224990696114031
core,2023-12,2024-01-11 09:00:00,-0.1436282312799784
food,2023-12,2024-01-11 09:00:00,-1.2360843049067973
core,2024-01,2024-02-15 09:00:00,-0.3401101373760942
food,2024-01,2024-02-15 09:00:00,-1.924817730144363
core,2024-02,2024-03-11 09:00:00,0.1771618856370782
food,2024-02,2024-03-11 09:00:00,-0.443492423801158
core,2024-03,2024-04-10 09:00:00,0.2928710262289272
food,2024-03,2024-04-10 09:00:00,-0.5833783883334199
core,2024-04,2024-05-13 09:00:00,-0.26989054615566527
food,2024-04,2024-05-13 09:00:00,1.705549069233046
core,2024-05,2024-06-11 09:00:00,-0.20754463787536506
food,2024-05,2024-06-11 09:00:00,-0.7687889901166938
core,2024-06,2024-07-10 09:00:00,-0.2206690958731051
food,2024-06,2024-07-10 09:00:00,-0.47498010003980595
core,2024-07,2024-08-12 09:00:00,0.3909143781270422
food,2024-07,2024-08-12 09:00:00,0.7252338561950834
core,2024-08,2024-09-10 09:00:00,0.15257576627515462
food,2024-08,2024-09-10 09:00:00,1.0697098032593297
core,2024-09,2024-10-10 09:00:00,-0.23038711222104977
food,2024-09,2024-10-10 09:00:00,1.2065412052896813
core,2024-10,2024-11-11 09:00:00,-0.11412645023166373
food,2024-10,2024-11-11 09:00:00,-0.6495496942176326
core,2024-11,2024-12-10 09:00:00,0.00815253152911169
food,2024-11,2024-12-10 09:00:00,-0.19099374468890376
core,2024-12,2025-01-13 09:00:00,-0.07895036338230185
food,2024-12,2025-01-13 09:00:00,-0.9315437481560817
core,2025-01,2025-02-12 09:00:00,0.05910604379979201
food,2025-01,2025-02-12 09:00:00,0.9689246414634021
core,2025-02,2025-03-11 09:00:00,0.2131306994755421
food,2025-02,2025-03-11 09:00:00,-1.0380669920727574
core,2025-03,2025-04-10 09:00:00,0.12123676265717549
food,2025-03,2025-04-10 09:00:00,0.6939965277113358
core,2025-04,2025-05-13 09:00:00,-0.14664981281590023
food,2025-04,2025-05-13 09:00:00,-0.6748979111665925
core,2025-05,2025-06-10 09:00:00,-0.07094356747291485
food,2025-05,2025-06-10 09:00:00,0.4080751855221344
core,2025-06,2025-07-10 09:00:00,-0.01589311771506767
food,2025-06,2025-07-10 09:00:00,0.02925370146024274
core,2025-07,2025-08-08 09:00:00,0.0666097112258254
food,2025-07,2025-08-08 09:00:00,-0.4051759300042613
core,2025-08,2025-09-10 09:00:00,0.14888823005469837
food,2025-08,2025-09-10 09:00:00,0.11819254993196353
core,2025-09,2025-10-10 09:00:00,-0.15272156441370824
food,2025-09,2025-10-10 09:00:00,-0.8201289643984743
core,2025-10,2025-11-11 09:00:00,-0.1325336527074608
food,2025-10,2025-11-11 09:00:00,0.2618526621945673
core,2025-11,2025-12-10 09:00:00,-0.11225711574840516
food,2025-11,2025-12-10 09:00:00,-1.1844100892342995
core,2025-12,2026-01-13 09:00:00,0.13965457874226214
food,2025-12,2026-01-13 09:00:00,-0.8873693689308765
core,2026-01,2026-02-13 09:00:00,-0.017423704164432497
food,2026-01,2026-02-13 09:00:00,0.8159924177942615
core,2026-02,2026-03-10 09:00:00,0.12196016422497229
food,2026-02,2026-03-10 09:00:00,-1.3208707390318442
core,2026-03,2026-04-14 09:00:00,0.323139218729991
food,2026-03,2026-04-14 09:00:00,-0.23598927724026442
core,2026-04,2026-05-13 09:00:00,-0.0013322847098449185
food,2026-04,2026-05-13 09:00:00,-0.30310301969657993
core,2026-05,2026-06-10 09:00:00,-0.13640208002204443
food,2026-05,2026-06-10 09:00:00,0.006953824363695356
core,2026-06,2026-07-10 09:00:00,-0.08990391093094863
food,2026-06,2026-07-10 09:00:00,-1.1099888545005183
core,2026-07,2026-08-11 09:00:00,0.07348750390599075
food,2026-07,2026-08-11 09:00:00,0.3788930802643091
core,2026-08,2026-09-10 09:00:00,
food,2026-08,2026-09-10 09:00:00,
