origin,model,as_of,block,offset_log,n,last_release,targets
2020-05,DUAL_FEEDBACK_R21,2020-06-09T23:59:00,core,-0.0131142205992576,14,2020-05-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04
2020-05,DUAL_FEEDBACK_R21,2020-06-09T23:59:00,food,0.14663599319026135,14,2020-05-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04
2020-06,CORE_FEEDBACK_R21,2020-07-09T23:59:00,core,0.008482345886139166,15,2020-06-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05
2020-06,FOOD_FEEDBACK_R21,2020-07-09T23:59:00,food,0.13385526034410405,15,2020-06-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05
2020-06,DUAL_FEEDBACK_R21,2020-07-09T23:59:00,core,0.008482345886139166,15,2020-06-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05
2020-06,DUAL_FEEDBACK_R21,2020-07-09T23:59:00,food,0.13385526034410405,15,2020-06-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05
2020-07,CORE_FEEDBACK_R21,2020-08-12T23:59:00,core,0.02132909772807038,16,2020-07-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06
2020-07,FOOD_FEEDBACK_R21,2020-08-12T23:59:00,food,0.10192982582159316,16,2020-07-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06
2020-07,DUAL_FEEDBACK_R21,2020-08-12T23:59:00,core,0.02132909772807038,16,2020-07-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06
2020-07,DUAL_FEEDBACK_R21,2020-08-12T23:59:00,food,0.10192982582159316,16,2020-07-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06
2020-08,CORE_FEEDBACK_R21,2020-09-09T23:59:00,core,0.03809089650876281,17,2020-08-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07
2020-08,FOOD_FEEDBACK_R21,2020-09-09T23:59:00,food,0.05328397339740792,17,2020-08-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07
2020-08,DUAL_FEEDBACK_R21,2020-09-09T23:59:00,core,0.03809089650876281,17,2020-08-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07
2020-08,DUAL_FEEDBACK_R21,2020-09-09T23:59:00,food,0.05328397339740792,17,2020-08-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07
2020-09,CORE_FEEDBACK_R21,2020-10-11T23:59:00,core,0.02259879176781977,18,2020-09-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08
2020-09,FOOD_FEEDBACK_R21,2020-10-11T23:59:00,food,0.052719405900658094,18,2020-09-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08
2020-09,DUAL_FEEDBACK_R21,2020-10-11T23:59:00,core,0.02259879176781977,18,2020-09-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08
2020-09,DUAL_FEEDBACK_R21,2020-10-11T23:59:00,food,0.052719405900658094,18,2020-09-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08
2020-10,CORE_FEEDBACK_R21,2020-11-09T23:59:00,core,-0.006044321064977815,19,2020-10-12 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09
2020-10,FOOD_FEEDBACK_R21,2020-11-09T23:59:00,food,-0.0016526067577304717,19,2020-10-12 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09
2020-10,DUAL_FEEDBACK_R21,2020-11-09T23:59:00,core,-0.006044321064977815,19,2020-10-12 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09
2020-10,DUAL_FEEDBACK_R21,2020-11-09T23:59:00,food,-0.0016526067577304717,19,2020-10-12 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09
2020-11,CORE_FEEDBACK_R21,2020-12-09T23:59:00,core,-0.007997499811015262,20,2020-11-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10
