origin,model,as_of,fast,current,gentle,n_labels,n_origins
2022-06,POOL_COMPLETE_R21,2022-07-12T23:59:00,0.25,0.75,0.0,330,28
2022-06,POOL_PARTIAL_R21,2022-07-12T23:59:00,0.5584855713342171,0.0,0.441514428665783,396,39
2022-07,POOL_PRIOR_R21,2022-08-09T23:59:00,0.5,0.25,0.25,0,0
2022-07,POOL_COMPLETE_R21,2022-08-09T23:59:00,0.25,0.75,0.0,338,29
2022-07,POOL_PARTIAL_R21,2022-08-09T23:59:00,0.5316868915000444,1.5407821152472158e-16,0.4683131084999555,404,40
2022-08,POOL_PRIOR_R21,2022-09-11T23:59:00,0.5,0.25,0.25,0,0
2022-08,POOL_COMPLETE_R21,2022-09-11T23:59:00,0.3964026492069816,0.5202864347314664,0.08331091606155204,345,30
2022-08,POOL_PARTIAL_R21,2022-09-11T23:59:00,0.5028498507233872,0.0,0.49715014927661283,411,41
2022-09,POOL_PRIOR_R21,2022-10-10T23:59:00,0.5,0.25,0.25,0,0
2022-09,POOL_COMPLETE_R21,2022-10-10T23:59:00,0.644484802030672,0.0197730070838417,0.33574219088548635,351,31
2022-09,POOL_PARTIAL_R21,2022-10-10T23:59:00,0.4775182695466233,2.2201780248336665e-16,0.5224817304533765,417,42
2022-10,POOL_PRIOR_R21,2022-11-09T23:59:00,0.5,0.25,0.25,0,0
2022-10,POOL_COMPLETE_R21,2022-11-09T23:59:00,0.6391150975420596,9.376297455416482e-17,0.36088490245794025,356,32
2022-10,POOL_PARTIAL_R21,2022-11-09T23:59:00,0.44737813664894716,0.0,0.5526218633510529,422,43
2022-11,POOL_PRIOR_R21,2022-12-11T23:59:00,0.5,0.25,0.25,0,0
2022-11,POOL_COMPLETE_R21,2022-12-11T23:59:00,0.6035972857665354,0.0,0.39640271423346457,360,33
2022-11,POOL_PARTIAL_R21,2022-12-11T23:59:00,0.47612955526308404,0.0,0.5238704447369159,426,44
2022-12,POOL_PRIOR_R21,2023-01-10T23:59:00,0.5,0.25,0.25,0,0
2022-12,POOL_COMPLETE_R21,2023-01-10T23:59:00,0.5797042107991599,1.1510890974158976e-16,0.42029578920084,363,34
2022-12,POOL_PARTIAL_R21,2023-01-10T23:59:00,0.4806593948977981,0.0,0.5193406051022019,429,45
2023-01,POOL_PRIOR_R21,2023-02-09T23:59:00,0.5,0.25,0.25,0,0
2023-01,POOL_COMPLETE_R21,2023-02-09T23:59:00,0.5508798904100788,0.0,0.4491201095899213,365,35
2023-01,POOL_PARTIAL_R21,2023-02-09T23:59:00,0.4970635533961321,0.0,0.5029364466038678,431,46
2023-02,POOL_PRIOR_R21,2023-03-09T23:59:00,0.5,0.25,0.25,0,0
2023-02,POOL_COMPLETE_R21,2023-03-09T23:59:00,0.4905501642507256,2.1801169357190665e-16,0.5094498357492743,366,36
2023-02,POOL_PARTIAL_R21,2023-03-09T23:59:00,0.4434290289386165,1.2887821566117328e-16,0.5565709710613834,432,47
2023-03,POOL_PRIOR_R21,2023-04-12T23:59:00,0.5,0.25,0.25,0,0
2023-03,POOL_COMPLETE_R21,2023-04-12T23:59:00,0.4562809583320081,0.0,0.543719041667992,366,36
2023-03,POOL_PARTIAL_R21,2023-04-12T23:59:00,0.4079480000250758,1.7936010732701952e-16,0.5920519999749241,432,47
2023-04,POOL_PRIOR_R21,2023-05-10T23:59:00,0.5,0.25,0.25,0,0
2023-04,POOL_COMPLETE_R21,2023-05-10T23:59:00,0.4098974221092276,0.0,0.5901025778907726,366,36
2023-04,POOL_PARTIAL_R21,2023-05-10T23:59:00,0.38296779162241884,0.0,0.6170322083775811,432,47
2023-05,POOL_PRIOR_R21,2023-06-11T23:59:00,0.5,0.25,0.25,0,0
2023-05,POOL_COMPLETE_R21,2023-06-11T23:59:00,0.37834594276079814,4.0174580904553445e-16,0.6216540572392014,366,36
2023-05,POOL_PARTIAL_R21,2023-06-11T23:59:00,0.3751234998420904,1.591361172521728e-16,0.6248765001579094,432,47
2023-06,POOL_PRIOR_R21,2023-07-12T23:59:00,0.5,0.25,0.25,0,0
