group,ticker,retrieved_at,name,source,adjustment,frequency,last_update,status,periodicity,observations,first_date,last_date,last_value
trade_prices,CZEIII Index,2026-09-12T16:33:14.163534+00:00,Czech Republic Import Prices I,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233,2007-02-28,2026-07-31,140.8
trade_prices,CZEIIL Index,2026-09-12T16:33:14.705166+00:00,Czech Republic Import Prices L,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233,2007-02-28,2026-07-31,196.5
trade_prices,CZEIIO Index,2026-09-12T16:33:15.247362+00:00,Czech Republic Import Prices O,Czech Statistical Office,Index NSA,Monthly,2017-12-31,ok,MONTHLY,130,2007-02-28,2017-12-31,94.2
trade_prices,CZEIIC Index,2026-09-12T16:33:15.768417+00:00,Czech Republic Import Prices C,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233,2007-02-28,2026-07-31,110.3
trade_prices,CZEIIG Index,2026-09-12T16:33:16.288512+00:00,Czech Republic Import Prices G,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233,2007-02-28,2026-07-31,123.9
trade_prices,CZEIIT Index,2026-09-12T16:33:16.809608+00:00,Czech Republic Import Prices T,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233,2007-02-28,2026-07-31,100.9
trade_prices,CZEIIM Index,2026-09-12T16:33:17.299299+00:00,Czech Republic Import Prices M,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233,2007-02-28,2026-07-31,105.9
surveys,EUA7CZ Index,2026-09-12T16:33:17.783374+00:00,EC Consumer Confidence Czech R,European Commission,% Balance/Diffusion Index SA,Monthly,2026-08-31,ok,MONTHLY,380,1995-01-31,2026-08-31,4.9
surveys,EUA8CZ Index,2026-09-12T16:33:18.332542+00:00,EC Consumer Confidence Czech R,European Commission,% Balance/Diffusion Index SA,Monthly,2026-08-31,ok,MONTHLY,380,1995-01-31,2026-08-31,29.5
surveys,EUESCZ Index,2026-09-12T16:33:18.893827+00:00,European Commission Economic S,European Commission,Index SA,Monthly,2026-08-31,ok,MONTHLY,403,1993-02-28,2026-08-31,101.1
surveys,CZCCCOM Index,2026-09-12T16:33:19.444240+00:00,Czech Republic Composite Confi,Czech Statistical Office,% Balance/Diffusion Index SA,Monthly,2026-08-31,ok,MONTHLY,260,2005-01-31,2026-08-31,7.8
surveys,EUR6CZ Index,2026-09-12T16:33:19.948147+00:00,EC Retail Prices Expected in t,European Commission,% Balance/Diffusion Index NSA,Monthly,2026-08-31,ok,MONTHLY,399,1993-06-30,2026-08-31,1.1
