origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,MCT_SIGNALS_R18,0.8777805987521794,1.4625228519195457,3.6414565826330487,2.5731336397101665,2.22333460283985,3.3901551675681305
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,MCT_SIGNALS_R18,0.32070391338909565,0.2702702702702675,3.7278657968313063,2.5761489736952234,2.5435253580814225,3.660060864484629
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,MCT_SLOW_R18,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,MCT_SLOW_R18,0.0019350924962058674,0.1863932898415576,2.969348659003822,2.91417102164046,0.0019350737735325564,0.18621979310646208
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,MCT_SLOW_R18,0.26219431248212244,0.0930232558139509,2.769818529130847,2.8883499467893197,0.2637862566149012,0.2791998091031148
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,MCT_SLOW_R18,0.21804571560186822,0.6505576208178487,2.9467680608364977,2.6226142435643784,0.4815945975405564,0.9276504370292084
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,MCT_SLOW_R18,0.10930571726211666,0.1846722068328699,2.7462121212121224,2.345639709090478,0.5908406195997619,1.112152334386138
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,MCT_SLOW_R18,0.3626862114963843,0.3686635944700533,2.9300567107750517,2.5226615249494952,0.9528707106165473,1.4801380302261997
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,MCT_SLOW_R18,-0.015103706461101568,0.0918273645546419,2.9272898961284195,2.4103806021494347,0.9377658634308389,1.571923259249096
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,MCT_SLOW_R18,-0.14269044578725903,-0.5504587155963248,2.6515151515151705,2.554774213233361,0.7949735178812999,1.019943936889315
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,MCT_SLOW_R18,0.33950451398630493,0.4612546125461358,2.735849056603792,2.514639273444813,1.1339030163939654,1.4801380302262204
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,MCT_SLOW_R18,0.044616600791606925,0.2754820936639035,3.116147308781873,2.6572242587823793,1.1785096669397723,1.7552413674152
