source_id,url,file,publication_date_evidence,content_update_evidence,retrieved_at,strict_snapshot_available_from,archived_historical_vintage,sha256,publication_note
CEZ_2026_price_release,https://www.cez.cz/cs/pro-media/tiskove-zpravy/cez-prodej-od-1.-ledna-zlevnuje-elektrinu-i-plyn-pro-16-milionu-domacnosti.-zalohy-se-snizuji-i-diky-poklesu-regulovane-slozky-230772,work\research_r18_energy\sources\CEZ_2026_price_release.html,2025-12-30,,2026-09-15,2026-09-15T23:59:59+00:00,False,c4ed9b3a4a6026bb8c84d735f2d32a4c64e5666ca3235a9f7564a7d2eda69a62,Displayed source date is not an archived historical content vintage
CZSO_saving_treatment,https://csu.gov.cz/note-to-consumer-prices-of-energy-october-2022,work\research_r18_energy\sources\CZSO_saving_treatment.html,2022-11-10,2022-11-09,2026-09-15,2026-09-15T23:59:59+00:00,False,fc28485be6e14b5931cb2ac04632cc7dd758b9223a48f925671c0f33b2c77765,Displayed source date is not an archived historical content vintage
ERU_contract_types,https://eru.gov.cz/jake-jsou-typy-smluv-pro-elektrinu-plyn-pro-koncoveho-spotrebitele,work\research_r18_energy\sources\ERU_contract_types.html,2026-05-18,2026-08-04,2026-09-15,2026-09-15T23:59:59+00:00,False,c178a518a5cbb6e7edb54fdbf26271b91dd97a616abc39fec67b90c82a39baa8,Displayed source date is not an archived historical content vintage
ERU_contract_B,https://eru.gov.cz/co-je-smlouva-typu-b-jak-se-odlisuje-zejmena-od-smlouvy-typu-e-ss-5-odst-1-pism-b-vyhlasky,work\research_r18_energy\sources\ERU_contract_B.html,2026-05-18,2026-08-04,2026-09-15,2026-09-15T23:59:59+00:00,False,60e1c7b9a627c55390b886a78e696ad4ae69d66fa27b64a13acf2120c894b6a4,Displayed source date is not an archived historical content vintage
ERU_commodity_mean,https://eru.gov.cz/jak-mame-vypocitat-ukazatel-obchodnislozkacenyprumer,work\research_r18_energy\sources\ERU_commodity_mean.html,2026-08-11,2026-08-11,2026-09-15,2026-09-15T23:59:59+00:00,False,067760c8713569d051f4807b6a5e168b345f14950a2ac160df939b31319ac07b,Displayed source date is not an archived historical content vintage
ERU_fixed_mean,https://eru.gov.cz/jak-mame-vypocitat-ukazatel-stalyplatprumer,work\research_r18_energy\sources\ERU_fixed_mean.html,2026-08-11,2026-08-11,2026-09-15,2026-09-15T23:59:59+00:00,False,ac64bd0c3650cf3f27b91b18fe53e462eada26bb5bd7c000617b7dad60ab9713,Displayed source date is not an archived historical content vintage
ERU_joint_building_population,https://eru.gov.cz/mame-zapocitavat-mezi-konecne-spotrebitele-nebo-podnikajici-fyzicke-osoby-z-pohledu-monitorovaci,work\research_r18_energy\sources\ERU_joint_building_population.html,2026-06-17,2026-08-04,2026-09-15,2026-09-15T23:59:59+00:00,False,35c4a498bb74a4b587b400497d7f6dbe4faa29d8ce1e75ad00d455793cf178d0,Displayed source date is not an archived historical content vintage
ERU_exemptions,https://eru.gov.cz/jake-subjekty-proc-jsou-osvobozeny-od-povinnosti-predkladat-informace-podle-monitorovaci-vyhlasky,work\research_r18_energy\sources\ERU_exemptions.html,2026-05-18,2026-08-04,2026-09-15,2026-09-15T23:59:59+00:00,False,f9b6119a49b318a1aec2d2d23d9e4a968936fb4a5aee5e347ae58503b08ba39e,Displayed source date is not an archived historical content vintage
R17_POZE_2026_decree,https://eru.gov.cz/kopie-z-energeticky-regulacni-vestnik-192025,work/research_r17_policy/sources/ERU_erv192025_adopted_2025-12-29.pdf,2025-12-29,2025-12-29,2026-09-14,2026-09-14T23:59:59+00:00,False,ffb293aeead64ec96a22b5b473274a3c2e011673a8f96a84975c26289d0030c0,Existing R17 artifact reused read-only; dated legal fact or research specification; not a cohort vintage
R17_energy_spec,local:docs/implementation/R17_ENERGY_SPEC_2026-09-14.md,docs/implementation/R17_ENERGY_SPEC_2026-09-14.md,2026-09-14,2026-09-14,2026-09-14,2026-09-14T23:59:59+00:00,False,c969e441f1b42b9c57f101eb154f1a17ee24aef331c22033fa6ef9bb4afb7ee8,Existing R17 artifact reused read-only; dated legal fact or research specification; not a cohort vintage
