origin,model,h,log_rate
2019-04,FOOD_STABLE_PIPELINE_R14B,8,0.3972209187293173
2019-04,FOOD_STABLE_PIPELINE_R14B,9,1.10167145323247
2019-04,FOOD_STABLE_PIPELINE_R14B,10,0.4149252978417381
2019-04,FOOD_STABLE_PIPELINE_R14B,11,-0.18931225061402748
2019-04,FOOD_STABLE_PIPELINE_R14B,12,-0.25024297258957967
2019-04,FOOD_ZERO_DRIFT_R24,1,0.18569541052557276
2019-04,FOOD_ZERO_DRIFT_R24,2,-0.10166037734923318
2019-04,FOOD_ZERO_DRIFT_R24,3,-0.3016509821940467
2019-04,FOOD_ZERO_DRIFT_R24,4,-0.7139945988980994
2019-04,FOOD_ZERO_DRIFT_R24,5,0.2664500923224766
2019-04,FOOD_ZERO_DRIFT_R24,6,0.2195124401748177
2019-04,FOOD_ZERO_DRIFT_R24,7,-0.06319180001233766
2019-04,FOOD_ZERO_DRIFT_R24,8,0.23896981061308242
2019-04,FOOD_ZERO_DRIFT_R24,9,0.9434203451162352
2019-04,FOOD_ZERO_DRIFT_R24,10,0.2566741897255032
2019-04,FOOD_ZERO_DRIFT_R24,11,-0.34756335873026234
2019-04,FOOD_ZERO_DRIFT_R24,12,-0.40849408070581456
2019-04,FOOD_ROBUST_WINDOW_R24,1,0.3761798944926561
2019-04,FOOD_ROBUST_WINDOW_R24,2,0.08882410661785013
2019-04,FOOD_ROBUST_WINDOW_R24,3,-0.11116649822696337
2019-04,FOOD_ROBUST_WINDOW_R24,4,-0.5235101149310161
2019-04,FOOD_ROBUST_WINDOW_R24,5,0.4569345762895599
2019-04,FOOD_ROBUST_WINDOW_R24,6,0.40999692414190103
2019-04,FOOD_ROBUST_WINDOW_R24,7,0.12729268395474563
2019-04,FOOD_ROBUST_WINDOW_R24,8,0.4294542945801657
2019-04,FOOD_ROBUST_WINDOW_R24,9,1.1339048290833185
2019-04,FOOD_ROBUST_WINDOW_R24,10,0.44715867369258655
2019-04,FOOD_ROBUST_WINDOW_R24,11,-0.15707887476317903
2019-04,FOOD_ROBUST_WINDOW_R24,12,-0.21800959673873124
2019-04,FOOD_NORM_SHIFT_R24,1,0.3956271363997387
2019-04,FOOD_NORM_SHIFT_R24,2,0.10827134852493271
2019-04,FOOD_NORM_SHIFT_R24,3,-0.09171925631988079
2019-04,FOOD_NORM_SHIFT_R24,4,-0.5040628730239335
2019-04,FOOD_NORM_SHIFT_R24,5,0.4763818181966425
2019-04,FOOD_NORM_SHIFT_R24,6,0.4294441660489836
2019-04,FOOD_NORM_SHIFT_R24,7,0.1467399258618282
2019-04,FOOD_NORM_SHIFT_R24,8,0.4489015364872483
2019-04,FOOD_NORM_SHIFT_R24,9,1.153352070990401
2019-04,FOOD_NORM_SHIFT_R24,10,0.46660591559966913
2019-04,FOOD_NORM_SHIFT_R24,11,-0.13763163285609645
2019-04,FOOD_NORM_SHIFT_R24,12,-0.19856235483164866
2019-04,FOOD_NORM_REFIT_R24,1,0.39850080291939816
2019-04,FOOD_NORM_REFIT_R24,2,0.1086438706374311
2019-04,FOOD_NORM_REFIT_R24,3,-0.09130187575121826
2019-04,FOOD_NORM_REFIT_R24,4,-0.5030455939530757
2019-04,FOOD_NORM_REFIT_R24,5,0.47712530605638437
2019-04,FOOD_NORM_REFIT_R24,6,0.42971427075009305
2019-04,FOOD_NORM_REFIT_R24,7,0.14691942588377718
2019-04,FOOD_NORM_REFIT_R24,8,0.4490328718215542
2019-04,FOOD_NORM_REFIT_R24,9,1.1534350330253806
2019-04,FOOD_NORM_REFIT_R24,10,0.466650049232225
2019-04,FOOD_NORM_REFIT_R24,11,-0.1376048124419753
2019-04,FOOD_NORM_REFIT_R24,12,-0.19854460543630545
2019-05,FOOD_STABLE_PIPELINE_R14B,1,0.11747991919372457
2019-05,FOOD_STABLE_PIPELINE_R14B,2,-0.11326765947847327
2019-05,FOOD_STABLE_PIPELINE_R14B,3,-0.5370926924271632
2019-05,FOOD_STABLE_PIPELINE_R14B,4,0.4449299181926957
2019-05,FOOD_STABLE_PIPELINE_R14B,5,0.3921668089686677
2019-05,FOOD_STABLE_PIPELINE_R14B,6,0.10328875204061079
2019-05,FOOD_STABLE_PIPELINE_R14B,7,0.40185254118595737
2019-05,FOOD_STABLE_PIPELINE_R14B,8,1.105211060761105
2019-05,FOOD_STABLE_PIPELINE_R14B,9,0.41704137272441794
2019-05,FOOD_STABLE_PIPELINE_R14B,10,-0.18784223493476546
2019-05,FOOD_STABLE_PIPELINE_R14B,11,-0.3499348930266967
2019-05,FOOD_STABLE_PIPELINE_R14B,12,0.2779160654841396
2019-05,FOOD_ZERO_DRIFT_R24,1,-0.03239330069565817
2019-05,FOOD_ZERO_DRIFT_R24,2,-0.263140879367856
2019-05,FOOD_ZERO_DRIFT_R24,3,-0.6869659123165459
2019-05,FOOD_ZERO_DRIFT_R24,4,0.29505669830331294
2019-05,FOOD_ZERO_DRIFT_R24,5,0.24229358907928494
2019-05,FOOD_ZERO_DRIFT_R24,6,-0.046584467848771946
2019-05,FOOD_ZERO_DRIFT_R24,7,0.25197932129657463
2019-05,FOOD_ZERO_DRIFT_R24,8,0.9553378408717222
2019-05,FOOD_ZERO_DRIFT_R24,9,0.2671681528350352
2019-05,FOOD_ZERO_DRIFT_R24,10,-0.3377154548241482
2019-05,FOOD_ZERO_DRIFT_R24,11,-0.49980811291607946
2019-05,FOOD_ZERO_DRIFT_R24,12,0.12804284559475687
2019-05,FOOD_ROBUST_WINDOW_R24,1,0.14251994731612594
2019-05,FOOD_ROBUST_WINDOW_R24,2,-0.08822763135607192
2019-05,FOOD_ROBUST_WINDOW_R24,3,-0.5120526643047618
2019-05,FOOD_ROBUST_WINDOW_R24,4,0.46996994631509703
2019-05,FOOD_ROBUST_WINDOW_R24,5,0.41720683709106904
2019-05,FOOD_ROBUST_WINDOW_R24,6,0.12832878016301213
2019-05,FOOD_ROBUST_WINDOW_R24,7,0.4268925693083587
2019-05,FOOD_ROBUST_WINDOW_R24,8,1.1302510888835062
2019-05,FOOD_ROBUST_WINDOW_R24,9,0.4420814008468193
2019-05,FOOD_ROBUST_WINDOW_R24,10,-0.16280220681236413
2019-05,FOOD_ROBUST_WINDOW_R24,11,-0.32489486490429537
2019-05,FOOD_ROBUST_WINDOW_R24,12,0.30295609360654097
2019-05,FOOD_NORM_SHIFT_R24,1,0.17691490436911889
2019-05,FOOD_NORM_SHIFT_R24,2,-0.05383267430307895
2019-05,FOOD_NORM_SHIFT_R24,3,-0.4776577072517688
2019-05,FOOD_NORM_SHIFT_R24,4,0.50436490336809
2019-05,FOOD_NORM_SHIFT_R24,5,0.451601794144062
2019-05,FOOD_NORM_SHIFT_R24,6,0.16272373721600514
2019-05,FOOD_NORM_SHIFT_R24,7,0.46128752636135173
2019-05,FOOD_NORM_SHIFT_R24,8,1.1646460459364993
2019-05,FOOD_NORM_SHIFT_R24,9,0.47647635789981224
2019-05,FOOD_NORM_SHIFT_R24,10,-0.12840724975937115
2019-05,FOOD_NORM_SHIFT_R24,11,-0.2904999078513024
2019-05,FOOD_NORM_SHIFT_R24,12,0.33735105065953397
2019-05,FOOD_NORM_REFIT_R24,1,0.18024289059365362
2019-05,FOOD_NORM_REFIT_R24,2,-0.05334363154929899
2019-05,FOOD_NORM_REFIT_R24,3,-0.47665090068526733
2019-05,FOOD_NORM_REFIT_R24,4,0.5056718178273131
2019-05,FOOD_NORM_REFIT_R24,5,0.4529142222175514
2019-05,FOOD_NORM_REFIT_R24,6,0.16350126235254941
2019-05,FOOD_NORM_REFIT_R24,7,0.4617543913235702
2019-05,FOOD_NORM_REFIT_R24,8,1.164977789602763
2019-05,FOOD_NORM_REFIT_R24,9,0.4766949483541038
2019-05,FOOD_NORM_REFIT_R24,10,-0.12826368115904002
2019-05,FOOD_NORM_REFIT_R24,11,-0.2904120603370338
