origin,as_of,mu_window,mu_robust,mu_long,mu_window_annual_pct,mu_robust_annual_pct,mu_long_annual_pct,spectral_radius,contraction,n_train,train_start,train_end
2021-06,2021-07-12T21:59:00+00:00,0.18503419017278966,0.23257323430897228,0.2199211250098377,2.220410282073476,2.7908788117076675,2.6390535001180524,0.558115466382056,1.0,70,2015-08,2021-05
2021-07,2021-08-09T21:59:00+00:00,0.18165665057071434,0.22822788731449117,0.21946290281502456,2.179879806848572,2.738734647773894,2.6335548337802948,0.562482504247404,1.0,71,2015-08,2021-06
2021-08,2021-09-09T21:59:00+00:00,0.19362869222741916,0.22388254032001006,0.21855779782881748,2.32354430672903,2.6865904838401207,2.62269357394581,0.5655066575129407,1.0,72,2015-08,2021-07
2021-09,2021-10-10T21:59:00+00:00,0.20286312923747987,0.2229532281349972,0.21765269284261043,2.4343575508497586,2.6754387376199666,2.611832314111325,0.5671519671117671,1.0,73,2015-08,2021-08
2021-10,2021-11-09T22:59:00+00:00,0.1916799665851369,0.22202391594998439,0.21677711666573884,2.300159599021643,2.6642869913998126,2.601325399988866,0.5747087088001018,1.0,74,2015-08,2021-09
2021-11,2021-12-09T22:59:00+00:00,0.18164126313571263,0.21264301265898966,0.21590154048886726,2.1796951576285517,2.551716151907876,2.590818485866407,0.5647875751774253,1.0,75,2015-08,2021-10
2021-12,2022-01-11T22:59:00+00:00,0.1912796852469207,0.20326210936799494,0.213228393586211,2.2953562229630484,2.4391453124159392,2.558740723034532,0.5451642811183696,1.0,76,2015-08,2021-11
2022-01,2022-02-13T22:59:00+00:00,0.19748680305887775,0.21264301265898966,0.21590154048886726,2.369841636706533,2.551716151907876,2.590818485866407,0.5359378212214237,1.0,77,2015-08,2021-12
2022-02,2022-03-09T22:59:00+00:00,0.2296858906164899,0.22202391594998439,0.21677711666573884,2.7562306873978786,2.6642869913998126,2.601325399988866,0.53884247841608,1.0,78,2015-08,2022-01
2022-03,2022-04-10T21:59:00+00:00,0.24309046603624504,0.2229532281349972,0.21765269284261043,2.9170855924349404,2.6754387376199666,2.611832314111325,0.6069522723787841,1.0,79,2015-08,2022-02
2022-04,2022-05-09T21:59:00+00:00,0.2515996402235064,0.22388254032001006,0.21855779782881748,3.019195682682077,2.6865904838401207,2.62269357394581,0.7000897264077913,1.0,80,2015-08,2022-03
2022-05,2022-06-09T21:59:00+00:00,0.29346125581091126,0.22822788731449117,0.21946290281502456,3.521535069730935,2.738734647773894,2.6335548337802948,0.8041190878637491,1.0,81,2015-08,2022-04
2022-06,2022-07-12T21:59:00+00:00,0.3274779606839308,0.23257323430897228,0.2199211250098377,3.9297355282071695,2.7908788117076675,2.6390535001180524,0.8212213410983789,1.0,82,2015-08,2022-05
2022-07,2022-08-09T21:59:00+00:00,0.3541209449432337,0.23279001297799992,0.22037934720465083,4.249451339318805,2.793480155735999,2.64455216645581,0.7712929117273187,1.0,83,2015-08,2022-06
2022-08,2022-09-11T21:59:00+00:00,0.3760652173168298,0.23300679164702753,0.22042538000578085,4.512782607801958,2.7960814997643304,2.6451045600693703,0.7532565315901258,1.0,84,2015-08,2022-07
2022-09,2022-10-10T21:59:00+00:00,0.3855896958515255,0.2484305930008277,0.22047141280691088,4.6270763502183065,2.9811671160099324,2.6456569536829306,0.7345551294309529,1.0,85,2015-08,2022-08
2022-10,2022-11-09T22:59:00+00:00,0.3895051320438241,0.2638543943546279,0.22091065043136382,4.674061584525889,3.1662527322555345,2.650927805176366,0.7541558216396274,1.0,86,2015-08,2022-09
2022-11,2022-12-11T22:59:00+00:00,0.4162317856233404,0.2663474564199034,0.22134988805581676,4.994781427480085,3.1961694770388407,2.656198656669801,0.7908368371246001,1.0,87,2015-08,2022-10
2022-12,2023-01-10T22:59:00+00:00,0.4314258773347223,0.2688405184851789,0.22168690200290056,5.177110528016668,3.226086221822147,2.660242824034807,0.7869886477270942,1.0,88,2015-08,2022-11
2023-01,2023-02-09T22:59:00+00:00,0.43171201108628793,0.2749043329222632,0.22202391594998439,5.180544133035455,3.2988519950671584,2.6642869913998126,0.7844072821113778,1.0,89,2015-08,2022-12
2023-02,2023-03-09T22:59:00+00:00,0.45032857417302136,0.2809681473593475,0.22227095217080942,5.403942890076256,3.37161776831217,2.667251426049713,0.7894211390618469,1.0,90,2015-08,2023-01
2023-03,2023-04-12T21:59:00+00:00,0.452684584689341,0.2853902152494279,0.22251798839163447,5.4322150162720915,3.4246825829931353,2.6702158606996136,0.7893179764816869,1.0,91,2015-08,2023-02
2023-04,2023-05-10T21:59:00+00:00,0.4555391888210978,0.2898122831395084,0.22320026435582227,5.466470265853173,3.4777473976741007,2.678403172269867,0.7767071181149262,1.0,92,2015-08,2023-03
2023-05,2023-06-11T21:59:00+00:00,0.433036937315135,0.292996753479618,0.22388254032001006,5.19644324778162,3.515961041755416,2.6865904838401207,0.7616579781533848,1.0,93,2015-08,2023-04
2023-06,2023-07-12T21:59:00+00:00,0.433687296453198,0.2961812238197276,0.22822788731449117,5.204247557438376,3.554174685836731,2.738734647773894,0.7578583706929822,1.0,94,2015-08,2023-05
2023-07,2023-08-09T21:59:00+00:00,0.4309811925003919,0.3085926849597642,0.23257323430897228,5.171774310004703,3.7031122195171706,2.7908788117076675,0.7582626334785331,1.0,95,2015-08,2023-06
2023-08,2023-09-10T21:59:00+00:00,0.4237530218227336,0.32100414609980077,0.23279001297799992,5.085036261872803,3.8520497531976092,2.793480155735999,0.7594277003474337,1.0,96,2015-08,2023-07
2023-09,2023-10-09T21:59:00+00:00,0.42235948761267106,0.3317554413485813,0.23300679164702753,5.068313851352053,3.981065296182976,2.7960814997643304,0.7616355025931713,1.0,96,2015-09,2023-08
2023-10,2023-11-09T22:59:00+00:00,0.3979980993854279,0.33603552514147256,0.2341834471293273,4.775977192625135,4.0324263016976705,2.8102013655519276,0.7639876705894484,1.0,96,2015-10,2023-09
2023-11,2023-12-10T22:59:00+00:00,0.40968184634157206,0.33603552514147256,0.23536010261162707,4.9161821560988646,4.0324263016976705,2.8243212313395247,0.7696371437336835,1.0,96,2015-11,2023-10
2023-12,2024-01-10T22:59:00+00:00,0.4127979722387167,0.33603552514147256,0.2341834471293273,4.953575666864601,4.0324263016976705,2.8102013655519276,0.760682617134504,1.0,96,2015-12,2023-11
2024-01,2024-02-14T22:59:00+00:00,0.40730934620914433,0.33603552514147256,0.23300679164702753,4.887712154509732,4.0324263016976705,2.7960814997643304,0.762586261452106,1.0,96,2016-01,2023-12
2024-02,2024-03-10T22:59:00+00:00,0.39424790398964515,0.33603552514147256,0.23279001297799992,4.730974847875742,4.0324263016976705,2.793480155735999,0.7608031870406928,1.0,96,2016-02,2024-01
2024-03,2024-04-09T21:59:00+00:00,0.3882034221720556,0.33603552514147256,0.23257323430897228,4.658441066064667,4.0324263016976705,2.7908788117076675,0.7587386124956337,1.0,96,2016-03,2024-02
2024-04,2024-05-12T21:59:00+00:00,0.38021569858853593,0.3317554413485813,0.22822788731449117,4.562588383062431,3.981065296182976,2.738734647773894,0.7449464488166866,1.0,96,2016-04,2024-03
2024-05,2024-06-10T21:59:00+00:00,0.3944197150121773,0.32100414609980077,0.22388254032001006,4.733036580146128,3.8520497531976092,2.6865904838401207,0.7511213372496512,1.0,96,2016-05,2024-04
2024-06,2024-07-09T21:59:00+00:00,0.39895026276677675,0.3210041460998008,0.22320026435582227,4.787403153201321,3.85204975319761,2.678403172269867,0.749204891578813,1.0,96,2016-06,2024-05
2024-07,2024-08-11T21:59:00+00:00,0.39952752333387304,0.3060036673508459,0.22251798839163447,4.794330280006476,3.6720440082101504,2.6702158606996136,0.756456115413604,1.0,96,2016-07,2024-06
2024-08,2024-09-09T21:59:00+00:00,0.3978485528103855,0.2809681473593475,0.22227095217080942,4.774182633724626,3.37161776831217,2.667251426049713,0.7620338399429694,1.0,96,2016-08,2024-07
