sample,h,block,n,bias,rmse,mse_allocation,total_mse
all,7,alcohol_tobacco,83,-0.010484531498684046,0.07849048328737136,0.01872600730765208,0.7653041470371597
all,7,fuel,83,-0.0039299636541970965,0.1645488186500161,0.029964621082652878,0.7653041470371597
all,7,wedge,83,0.00043089865814385786,0.0869741703752541,0.012883713785504512,0.7653041470371597
all,8,core,82,-0.019505808975729337,0.32429718218775583,0.13133212728556262,0.7148507920274721
all,8,food,82,0.00042374170401875117,0.2120014554655311,0.08947681475094782,0.7148507920274721
all,8,administered,82,-0.08664506135971427,0.6370334804549188,0.4339442663501231,0.7148507920274721
all,8,alcohol_tobacco,82,-0.01044675675598989,0.0789726521660626,0.01652283763590623,0.7148507920274721
all,8,fuel,82,-0.004521542660221874,0.1653633368769055,0.02793026463034309,0.7148507920274721
all,8,wedge,82,0.0008535068370696248,0.0873664136435567,0.01564448137458933,0.7148507920274721
all,9,core,81,-0.016821193548554023,0.35136467830690893,0.18621708439014975,0.8116380630166804
all,9,food,81,0.0014641215126520123,0.21306733089029817,0.102090527739389,0.8116380630166804
all,9,administered,81,-0.08501331987646649,0.6255570255362847,0.45308599820028567,0.8116380630166804
all,9,alcohol_tobacco,81,-0.010646094467141529,0.079519104458949,0.017550463009757395,0.8116380630166804
all,9,fuel,81,-0.0050785793987257214,0.16644667121383025,0.027456045728036987,0.8116380630166804
all,9,wedge,81,-0.0015464258689436709,0.09354055150879421,0.025237943949061654,0.8116380630166804
all,10,core,80,-0.04794014574460687,0.29926864047251267,0.13696437583715756,0.7541563498546784
all,10,food,80,0.003937497266193494,0.2132655087159583,0.09709853564796755,0.7541563498546784
all,10,administered,80,-0.08606856402642897,0.6301017467159854,0.4513178060910164,0.7541563498546784
all,10,alcohol_tobacco,80,-0.010701264387640647,0.0800235520599812,0.017626768022992297,0.7541563498546784
all,10,fuel,80,-0.0052680160517741634,0.16747421141276092,0.02552006260833243,0.7541563498546784
all,10,wedge,80,-0.001676977702097081,0.09481302631487155,0.025628801647212308,0.7541563498546784
all,11,core,79,-0.004418536982734872,0.31149945126715317,0.13738770805618447,0.753881394325813
all,11,food,79,0.004735926890918938,0.21452660649142818,0.099071008560745,0.753881394325813
all,11,administered,79,-0.08467032807023073,0.6430198815853712,0.45237582939747756,0.753881394325813
all,11,alcohol_tobacco,79,-0.010794411997526085,0.08059920408522853,0.01833058876027188,0.753881394325813
all,11,fuel,79,-0.0046045329298232554,0.1690891208535001,0.0263955877486779,0.753881394325813
all,11,wedge,79,-0.0035395761229666304,0.08265327789753038,0.02032067180245651,0.753881394325813
all,12,core,78,-0.005036168681492199,0.33369574125485263,0.17140910318691432,0.8245177038361056
all,12,food,78,-0.002724899156096683,0.2113269631937226,0.10520924139299971,0.8245177038361056
all,12,administered,78,-0.08645927763725775,0.6453277030567417,0.4833156719975729,0.8245177038361056
all,12,alcohol_tobacco,78,-0.009953200729754419,0.08016550166475932,0.01729474398117863,0.8245177038361056
all,12,fuel,78,-0.004230886925069976,0.16970301431209722,0.024382513442774586,0.8245177038361056
all,12,wedge,78,-0.0018190324711079941,0.08366334505654818,0.02290642983466537,0.8245177038361056
recent_targets,1,core,31,-0.014685850481801009,0.11982952189088246,0.018459346561745124,0.10310949226341797
recent_targets,1,food,31,0.029404387263606314,0.16557545065586124,0.025547198030787983,0.10310949226341797
recent_targets,1,administered,31,-0.0069351652924238465,0.14595697864608698,0.012932551377276487,0.10310949226341797
recent_targets,1,alcohol_tobacco,31,0.004551699959940128,0.07158757992369584,0.0093893034041825,0.10310949226341797
recent_targets,1,fuel,31,0.00123665457246031,0.14839352693663502,0.031799476049644636,0.10310949226341797
recent_targets,1,wedge,31,-0.01942826091380085,0.04949275282556546,0.004981616839781236,0.10310949226341797
recent_targets,2,core,31,-0.013150605598811966,0.10624900534053622,0.01791300537892044,0.1065566497486694
recent_targets,2,food,31,0.029715612294581323,0.15994615991882294,0.025915246479239446,0.1065566497486694
recent_targets,2,administered,31,-0.0070028495293079866,0.14590959847487536,0.016768422305970407,0.1065566497486694
recent_targets,2,alcohol_tobacco,31,0.004628250976563794,0.0716662369629135,0.010303208625007955,0.1065566497486694
recent_targets,2,fuel,31,-0.0015121617371046244,0.16071729054657538,0.030716519075305912,0.1065566497486694
recent_targets,2,wedge,31,-0.01672875706119743,0.05107719668436865,0.004940247884225253,0.1065566497486694
recent_targets,3,core,31,-0.0030559740906043738,0.09684936272178467,0.010670820559953272,0.08119276024279773
recent_targets,3,food,31,0.02922232997907749,0.14856041758806807,0.01394351440563446,0.08119276024279773
recent_targets,3,administered,31,-0.007313156561737919,0.1458097335076354,0.015806198760587784,0.08119276024279773
recent_targets,3,alcohol_tobacco,31,0.004410883860472173,0.07215961072493655,0.008956329224604603,0.08119276024279773
recent_targets,3,fuel,31,-0.002320967572645399,0.1621096439780451,0.028385150191333836,0.08119276024279773
recent_targets,3,wedge,31,-0.014778167274082278,0.05055931293811176,0.003430747100683769,0.08119276024279773
recent_targets,4,core,31,-0.006032679021809805,0.0940753157580571,0.007322695096581902,0.08000863475208944
recent_targets,4,food,31,0.08650070151364364,0.18394843754732526,0.021042570458424125,0.08000863475208944
recent_targets,4,administered,31,-0.007198827603970769,0.14581435094887246,0.013233765338244448,0.08000863475208944
recent_targets,4,alcohol_tobacco,31,0.004520270574104904,0.07226838986759802,0.008488327901723504,0.08000863475208944
recent_targets,4,fuel,31,-0.0027036521446189795,0.1617676103677901,0.026736957265688435,0.08000863475208944
recent_targets,4,wedge,31,-0.014561191907556363,0.05032720217686727,0.003184318691427029,0.08000863475208944
recent_targets,5,core,31,-0.008978435413528498,0.12157796500837582,0.013464093993835446,0.08642438218164936
recent_targets,5,food,31,0.08697106141054503,0.18463546718525797,0.022914820711878833,0.08642438218164936
recent_targets,5,administered,31,-0.007124487970565187,0.14581967341569577,0.01213080969434334,0.08642438218164936
recent_targets,5,alcohol_tobacco,31,0.004585506162258863,0.07235081200018051,0.008080733103035895,0.08642438218164936
recent_targets,5,fuel,31,-0.0019559524181876507,0.163684321138222,0.027802094929367683,0.08642438218164936
recent_targets,5,wedge,31,-0.01681334593377198,0.0503148706119331,0.0020318297491881514,0.08642438218164936
recent_targets,6,core,31,0.0045909735495890764,0.12746951622355807,0.015233086059407135,0.08852444659669854
recent_targets,6,food,31,0.0871172189588534,0.18472270363806415,0.025887781451755087,0.08852444659669854
recent_targets,6,administered,31,-0.0069841911432324075,0.14587120700635872,0.011630456253443376,0.08852444659669854
recent_targets,6,alcohol_tobacco,31,0.004636249113950835,0.07237951655314512,0.009799444755615828,0.08852444659669854
recent_targets,6,fuel,31,-0.002105067634135664,0.16376324730131225,0.02509338054135315,0.08852444659669854
recent_targets,6,wedge,31,-0.01684671617715216,0.049897072918681555,0.0008802975351239779,0.08852444659669854
recent_targets,7,core,31,-0.009690084764047256,0.11831362309526385,0.013313130734182044,0.086923633387401
recent_targets,7,food,31,0.08710317674608826,0.18473183981157398,0.02540196111151544,0.086923633387401
recent_targets,7,administered,31,-0.006862621888471068,0.14589701176822759,0.012986980239488601,0.086923633387401
recent_targets,7,alcohol_tobacco,31,0.004563529404171738,0.0724629913561061,0.010156238163980992,0.086923633387401
recent_targets,7,fuel,31,-0.0023791478780623254,0.16363304036248214,0.021900032519159427,0.086923633387401
recent_targets,7,wedge,31,-0.01662040046948558,0.049695450694849944,0.003165290619074489,0.086923633387401
recent_targets,8,core,31,-0.0137663924917801,0.1302054009363682,0.0146345207962342,0.08662424226510282
recent_targets,8,food,31,0.08707024486463462,0.18478208061031928,0.02210531060164213,0.08662424226510282
recent_targets,8,administered,31,-0.007128156149855567,0.1457821320609985,0.013473342777504296,0.08662424226510282
recent_targets,8,alcohol_tobacco,31,0.0045940567027666565,0.07247769190698641,0.009234354467666987,0.08662424226510282
recent_targets,8,fuel,31,-0.0030013803651997026,0.1629602953900895,0.023698991441160756,0.08662424226510282
recent_targets,8,wedge,31,-0.015775841367735577,0.04950989564649908,0.0034777221808944274,0.08662424226510282
recent_targets,9,core,31,0.014295684451877663,0.1288784840646271,0.015145725041838868,0.08792109207432715
recent_targets,9,food,31,0.08708498560561223,0.18479214508719966,0.028111719153041937,0.08792109207432715
recent_targets,9,administered,31,-0.00721031089972507,0.14577350656995167,0.007994099211224973,0.08792109207432715
recent_targets,9,alcohol_tobacco,31,0.004592199787858219,0.072477746294181,0.008756330740241432,0.08792109207432715
recent_targets,9,fuel,31,-0.0031530287800420644,0.1629202484135941,0.026785515477939684,0.08792109207432715
recent_targets,9,wedge,31,-0.015469910303427016,0.04967790223574615,0.001127702450040262,0.08792109207432715
recent_targets,10,core,31,-0.007918186088732898,0.10485360736645871,0.016737304001249682,0.09683742807479578
recent_targets,10,food,31,0.0870914328589833,0.18479407034088524,0.026516789830735635,0.09683742807479578
recent_targets,10,administered,31,-0.007289082863730061,0.14579269929390173,0.014528269058325445,0.09683742807479578
recent_targets,10,alcohol_tobacco,31,0.0046128448669075055,0.07248446871117523,0.010952491295833797,0.09683742807479578
recent_targets,10,fuel,31,-0.0030227059791609863,0.16289066640926833,0.026103281774404054,0.09683742807479578
recent_targets,10,wedge,31,-0.015211902832880497,0.049261940622369126,0.001999292114247165,0.09683742807479578
recent_targets,11,core,31,0.024393003043509266,0.13184682340392037,0.01845413480032134,0.09389043778409317
recent_targets,11,food,31,0.08710142451389151,0.18479869421118802,0.029917499533518382,0.09389043778409317
recent_targets,11,administered,31,-0.007493692555951106,0.14578684222652274,0.010096913067834367,0.09389043778409317
recent_targets,11,alcohol_tobacco,31,0.004662629647088573,0.07252354815184499,0.00983087331986456,0.09389043778409317
recent_targets,11,fuel,31,-0.002832192442508821,0.16282743072758057,0.024367092750709002,0.09389043778409317
recent_targets,11,wedge,31,-0.01522652707848391,0.04899200021778466,0.0012239243118455205,0.09389043778409317
recent_targets,12,core,31,0.10078603916736611,0.2396246635660719,0.05672840958989742,0.12898883186945487
recent_targets,12,food,31,0.08856889392693969,0.16990230137480522,0.030159186978454197,0.12898883186945487
recent_targets,12,administered,31,-0.007500333419344358,0.15203971030162192,0.004924659887325329,0.12898883186945487
recent_targets,12,alcohol_tobacco,31,0.004350301953893043,0.07250080205110862,0.00861337776764553,0.12898883186945487
recent_targets,12,fuel,31,-0.00022284145026593347,0.16304898453532982,0.028151025484473912,0.12898883186945487
recent_targets,12,wedge,31,-0.015824412432759786,0.04721068073851128,0.00041217216165849235,0.12898883186945487
crisis_targets,1,core,48,-0.04248432115568084,0.24260779188979958,0.07854666864128769,0.7965081250088729
crisis_targets,1,food,48,-0.031876521753413635,0.19694634105369915,0.047235251446876264,0.7965081250088729
crisis_targets,1,administered,48,-0.07320055983750656,0.8022475192805996,0.6232913375506841,0.7965081250088729
crisis_targets,1,alcohol_tobacco,48,-0.02009653253108126,0.0830199312927835,0.01948778234260654,0.7965081250088729
crisis_targets,1,fuel,48,-0.00410602855090384,0.17034440105231352,0.027186282486773305,0.7965081250088729
crisis_targets,1,wedge,48,0.009994843700199327,0.09836800550931202,0.0007608025406451654,0.7965081250088729
crisis_targets,2,core,48,-0.03945818120209412,0.27259218929510093,0.07357888291169191,0.7772336530419368
crisis_targets,2,food,48,-0.004471482753101809,0.21194045651175375,0.05845023923899478,0.7772336530419368
crisis_targets,2,administered,48,-0.0771473791111952,0.8005433904139275,0.5951754355055128,0.7772336530419368
crisis_targets,2,alcohol_tobacco,48,-0.020187583011290866,0.08310252597285836,0.020889813014361425,0.7772336530419368
crisis_targets,2,fuel,48,-0.005802768176672228,0.1746994927023837,0.03387460263378698,0.7772336530419368
crisis_targets,2,wedge,48,0.0160111915427622,0.10287709893195578,-0.004735320262411073,0.7772336530419368
crisis_targets,3,core,48,0.011928067836919696,0.3041633781741338,0.11520167445183961,1.0618146493202787
crisis_targets,3,food,48,-0.014513751800580075,0.22777751506478322,0.13166185637598796,1.0618146493202787
crisis_targets,3,administered,48,-0.13643049238371846,0.8259678427022057,0.7319642011638546,1.0618146493202787
crisis_targets,3,alcohol_tobacco,48,-0.020044855224869866,0.08330504692879691,0.019254372359846922,1.0618146493202787
crisis_targets,3,fuel,48,-0.006859193734079563,0.17201409379206034,0.03379784234165037,1.0618146493202787
crisis_targets,3,wedge,48,0.010721643549626564,0.09247094565516537,0.029934702627099064,1.0618146493202787
crisis_targets,4,core,48,0.015618624787016741,0.3443510426108527,0.09366404047160769,0.9667194427931379
crisis_targets,4,food,48,-0.04868094281950263,0.23191645483768722,0.10365524570134545,0.9667194427931379
crisis_targets,4,administered,48,-0.13429640936312237,0.8255217802339271,0.6893200312800722,0.9667194427931379
crisis_targets,4,alcohol_tobacco,48,-0.02031927392572411,0.0840519372552621,0.020579749024314965,0.9667194427931379
crisis_targets,4,fuel,48,-0.007577766400365904,0.17128647702305552,0.03365273242351251,0.9667194427931379
crisis_targets,4,wedge,48,0.007983183140782713,0.0967204618004681,0.025847643892284906,0.9667194427931379
crisis_targets,5,core,48,-0.039319725708745513,0.3301988459898174,0.14298773658009714,1.0760872112218733
crisis_targets,5,food,48,-0.048634855048617996,0.23185250771370314,0.11303947965224322,1.0760872112218733
crisis_targets,5,administered,48,-0.13646533945664763,0.8234340824275896,0.739297734920874,1.0760872112218733
crisis_targets,5,alcohol_tobacco,48,-0.020654352594024032,0.0851542518422499,0.021881366462758105,1.0760872112218733
crisis_targets,5,fuel,48,-0.0074492415306388155,0.17123424488867614,0.027798584358072847,1.0760872112218733
crisis_targets,5,wedge,48,0.01209338291479454,0.09563355438852568,0.031082309247828243,1.0760872112218733
crisis_targets,6,core,48,-0.046708816521710474,0.43423662576406574,0.18326797604019338,1.07908322965718
crisis_targets,6,food,48,-0.04858848155293433,0.23179940103784769,0.1322681292617271,1.07908322965718
crisis_targets,6,administered,48,-0.14043195501309066,0.8250539925299799,0.6870074068445865,1.07908322965718
crisis_targets,6,alcohol_tobacco,48,-0.0206646651037929,0.08515550553075553,0.02180343393059499,1.07908322965718
crisis_targets,6,fuel,48,-0.006944519985612002,0.17076335397445086,0.031163562896681526,1.07908322965718
crisis_targets,6,wedge,48,0.013956415775737115,0.10710903628802651,0.023572720683396563,1.07908322965718
crisis_targets,7,core,48,-0.041354711256070445,0.459103493518261,0.2845767451554562,1.2597522538929322
crisis_targets,7,food,48,-0.04857341631196734,0.2317903583862988,0.14180295714075264,1.2597522538929322
crisis_targets,7,administered,48,-0.14011051543352163,0.8246750096977521,0.7494998486010092,1.2597522538929322
crisis_targets,7,alcohol_tobacco,48,-0.020689003010172246,0.08516148162781836,0.025943009953190228,1.2597522538929322
crisis_targets,7,fuel,48,-0.006338573544433808,0.17170197066063958,0.03750686640525495,1.2597522538929322
crisis_targets,7,wedge,48,0.012879439984559387,0.1068774691813927,0.020422826637268885,1.2597522538929322
crisis_targets,8,core,48,-0.0235762655826635,0.41064806286662825,0.21488429668962916,1.1634372291717223
crisis_targets,8,food,48,-0.04854878007876107,0.23180101690552826,0.13730149929642463,1.1634372291717223
crisis_targets,8,administered,48,-0.1415432701274497,0.8242832159788426,0.7322336809326657,1.1634372291717223
crisis_targets,8,alcohol_tobacco,48,-0.020742786398480335,0.08518967245804465,0.022225008716423172,1.1634372291717223
crisis_targets,8,fuel,48,-0.006243031209151634,0.17186341571569208,0.032470393318585894,1.1634372291717223
crisis_targets,8,wedge,48,0.01244700242538274,0.10684192579293174,0.024322350217993727,1.1634372291717223
crisis_targets,9,core,48,-0.040931448138850995,0.4441784712973091,0.3048913923524233,1.3122021763873317
crisis_targets,9,food,48,-0.0485064399904099,0.2317227153385722,0.15342874994685002,1.3122021763873317
crisis_targets,9,administered,48,-0.1368993331279865,0.8040732815999372,0.7591737869596286,1.3122021763873317
crisis_targets,9,alcohol_tobacco,48,-0.02063724276341636,0.08529879551663759,0.023924329354116505,1.3122021763873317
crisis_targets,9,fuel,48,-0.006486845639819795,0.1720306940530685,0.029037356325008794,1.3122021763873317
crisis_targets,9,wedge,48,0.008378880195293889,0.1145993686510349,0.04174656144930459,1.3122021763873317
crisis_targets,10,core,48,-0.07636570466395713,0.3768943360386535,0.21759298120682039,1.194248421315961
crisis_targets,10,food,48,-0.048472368954955235,0.23168662301854115,0.14460685309038873,1.194248421315961
crisis_targets,10,administered,48,-0.13809921311400133,0.8049636352025394,0.7427613466779258,1.194248421315961
crisis_targets,10,alcohol_tobacco,48,-0.02067970933643013,0.0853162820135243,0.022293487158037847,1.194248421315961
crisis_targets,10,fuel,48,-0.006417602060434062,0.17205175330970945,0.025641679216249477,1.194248421315961
crisis_targets,10,wedge,48,0.00790653159068423,0.11566467814666542,0.04135207396653904,1.194248421315961
crisis_targets,11,core,48,-0.02302598991635088,0.3853199323545528,0.21419897411726274,1.1801255537590072
crisis_targets,11,food,48,-0.04845845699058418,0.23170762142544324,0.14373264980749553,1.1801255537590072
crisis_targets,11,administered,48,-0.1345135718398697,0.8165683143580886,0.7380142961937053,1.1801255537590072
crisis_targets,11,alcohol_tobacco,48,-0.02077708472633972,0.08540988039327511,0.023819988315534932,1.1801255537590072
crisis_targets,11,fuel,48,-0.005749169494547161,0.17301272799831205,0.027705657434866134,1.1801255537590072
crisis_targets,11,wedge,48,0.004008246369138279,0.09845545574689503,0.03265398789014277,1.1801255537590072
crisis_targets,12,core,47,-0.07483379513499448,0.38330874067899356,0.2470495606657977,1.2832707896013433
crisis_targets,12,food,47,-0.06293995416831218,0.2346812281917664,0.15471034111323181,1.2832707896013433
crisis_targets,12,administered,47,-0.1385385812703496,0.8221188708785547,0.7988501693468854,1.2832707896013433
crisis_targets,12,alcohol_tobacco,47,-0.019387425904075085,0.08484281361247337,0.02302075148372174,1.2832707896013433
crisis_targets,12,fuel,47,-0.006874491387174776,0.17395259241049882,0.021896899117398446,1.2832707896013433
crisis_targets,12,wedge,47,0.007418558567428294,0.10072830680581059,0.0377430678743082,1.2832707896013433
