model,target,old_origin,new_origin,old_h,new_h,monthly_revision,annual_revision,revision_status,contribution_core,contribution_food,contribution_administered,contribution_alcohol_tobacco,contribution_fuel,contribution_wedge
DAMPED_P95_Q001_R16,2019-12,2019-02,2019-03,10,9,-0.022572029223981216,-0.24950971576378178,reconciled,-0.022814246711139602,0.00035380369227150377,0.0,0.0,2.124870936324186e-16,-0.00011158620511333983
DAMPED_P95_Q001_R16,2019-12,2019-03,2019-04,9,8,-0.04133857761002413,-0.1561348184839777,reconciled,-0.04125576967067797,-0.00011272319638565287,0.0,0.0,-2.124870936324186e-16,2.9915257039714316e-05
DAMPED_P95_Q001_R16,2019-12,2019-04,2019-05,8,7,-0.004323563167706934,-0.29492876593415085,reconciled,-0.005142377046069055,0.000825997928248251,0.0,0.0,0.0,-7.184049886137245e-06
DAMPED_P95_Q001_R16,2019-12,2019-05,2019-06,7,6,-0.0018607889029083335,0.35734925206929846,reconciled,-0.0035482115077939136,0.0016986633951542457,0.0,0.0,-1.062435468162093e-16,-1.1240790268554623e-05
DAMPED_P95_Q001_R16,2019-12,2019-06,2019-07,6,5,0.01878752034845349,0.3509718094769796,reconciled,0.019136385689067517,-0.0003542537878583746,0.0,0.0,1.062435468162093e-16,5.388447244243644e-06
DAMPED_P95_Q001_R16,2019-12,2019-07,2019-08,5,4,0.08060043458012844,0.30021922347196783,reconciled,0.08628036850626485,-0.005695972894150497,0.0,0.0,0.0,1.6038968014074617e-05
DAMPED_P95_Q001_R16,2019-12,2019-08,2019-09,4,3,-0.0312775896001968,-0.360121793509673,reconciled,-0.027504218949273823,-0.003781498529401045,0.0,0.0,0.0,8.127878478085548e-06
DAMPED_P95_Q001_R16,2019-12,2019-09,2019-10,3,2,-0.1156590532110075,-0.6009186689788351,reconciled,-0.11999205981110514,0.004375065212295248,0.0,0.0,-2.1652819585060714e-16,-4.205861219739454e-05
DAMPED_P95_Q001_R16,2019-12,2019-10,2019-11,2,1,0.047600964295432355,0.4721315043950409,reconciled,0.057596963748295725,-0.0050205183627581584,0.0,0.0,-0.005007131557594159,3.165046748895145e-05
DAMPED_P95_Q001_R16,2020-01,2019-02,2019-03,11,10,-0.0259877277115228,-0.27559743195949915,reconciled,-0.022653337867287793,0.000236368719392005,-0.006695172306800501,0.0,-1.062435468162093e-16,0.0031244137431735777
DAMPED_P95_Q001_R16,2020-01,2019-03,2019-04,10,9,-0.041015622811370944,-0.19757562563668607,reconciled,-0.04191341757906569,-5.949345757613744e-05,0.0017949154223829145,0.0,1.062435468162093e-16,-0.0008376271971120355
DAMPED_P95_Q001_R16,2020-01,2019-04,2019-05,9,8,-0.004758991648843414,-0.29910025193326994,reconciled,-0.005164810431514649,0.0006357083790274609,-0.0004310429931679849,0.0,0.0,0.00020115339681171795
DAMPED_P95_Q001_R16,2020-01,2019-05,2019-06,8,7,-0.002675432964505897,0.35381438913075813,reconciled,-0.003541144806260582,0.0012254171303481554,-0.0006744474161132774,0.0,2.124870936324186e-16,0.00031474212751952946
DAMPED_P95_Q001_R16,2020-01,2019-06,2019-07,7,6,0.019504981126875598,0.3700874331033255,reconciled,0.019240059243104707,9.249157195539981e-05,0.0003233068346543133,0.0,-2.124870936324186e-16,-0.00015087652283866243
DAMPED_P95_Q001_R16,2020-01,2019-07,2019-08,6,5,0.08472293982568935,0.38637334608469986,reconciled,0.08647407060762999,-0.0022643777583911395,0.0009623380808446991,0.0,0.0,-0.0004490911043942003
DAMPED_P95_Q001_R16,2020-01,2019-08,2019-09,5,4,-0.03142087498148061,-0.39173989316954216,reconciled,-0.027486460191458367,-0.0041945069013208935,0.00048767270868504964,0.0,0.0,-0.0002275805973863676
DAMPED_P95_Q001_R16,2020-01,2019-09,2019-10,4,3,-0.11591984076823225,-0.7176109487310209,reconciled,-0.1187996486050194,0.004225683427103277,-0.0025235167318434504,0.0,4.330563917012143e-16,0.00117764114152695
DAMPED_P95_Q001_R16,2020-01,2019-10,2019-11,3,2,0.055918807746547006,0.527855170104468,reconciled,0.05651404761630663,-0.0016080548294061525,0.0018990280493370038,0.0,0.0,-0.0008862130896905955
DAMPED_P95_Q001_R16,2020-01,2019-11,2019-12,2,1,-0.007065424849850177,0.018150605519223095,reconciled,-0.005144187136043532,0.0015112491305700748,0.001187625346237231,0.0,-0.004065887029036385,-0.0005542251615773819
DAMPED_P95_Q001_R16,2020-02,2019-02,2019-03,12,11,-0.04430959235150683,-0.18672891099566025,reconciled,-0.024737386159722624,0.019877374521861467,0.007243986146202027,-0.022874108085827148,0.0,-0.023819458774020537
DAMPED_P95_Q001_R16,2020-02,2019-03,2019-04,11,10,-0.0423532667520537,-0.24118065509935072,reconciled,-0.042452739148652247,-4.4120837192102025e-05,0.000119661028158859,0.0,0.0,2.39322056317659e-05
DAMPED_P95_Q001_R16,2020-02,2019-04,2019-05,10,9,-0.00487482647517834,-0.3043282294657512,reconciled,-0.005217783333340914,0.00037744029761606346,-2.8736199544531632e-05,0.0,0.0,-5.747239908916041e-06
DAMPED_P95_Q001_R16,2020-02,2019-05,2019-06,9,8,-0.002936647351893862,0.351088093427808,reconciled,-0.003582114385481505,0.0006994228268766833,-4.4963161074218494e-05,0.0,0.0,-8.992632214842311e-06
DAMPED_P95_Q001_R16,2020-02,2019-06,2019-07,8,7,0.01945516959963528,0.3903686234540218,reconciled,0.019399711761974997,2.9593290887933166e-05,2.1553788976955493e-05,0.0,0.0,4.310757795406711e-06
DAMPED_P95_Q001_R16,2020-02,2019-07,2019-08,7,6,0.08510441028519139,0.47455019730778547,reconciled,0.0869720311210331,-0.00194460788230931,6.415587205631235e-05,0.0,0.0,1.2831174411257612e-05
DAMPED_P95_Q001_R16,2020-02,2019-08,2019-09,6,5,-0.030060410855631936,-0.42334587851231564,reconciled,-0.027546381892216892,-0.002553042780109843,3.251151391233699e-05,0.0,0.0,6.5023027824573365e-06
DAMPED_P95_Q001_R16,2020-02,2019-09,2019-10,5,4,-0.11528879856820673,-0.8363660687230663,reconciled,-0.11842764879400351,0.0033407315643442653,-0.00016823444878956428,0.0,0.0,-3.364688975791494e-05
DAMPED_P95_Q001_R16,2020-02,2019-10,2019-11,4,3,0.054149146534421766,0.5835983029051142,reconciled,0.05597301659848185,-0.0019757923080070128,0.00012660186995579886,0.0,0.0,2.5320373991156303e-05
DAMPED_P95_Q001_R16,2020-02,2019-11,2019-12,3,2,0.006124959196605717,0.024451871125303448,reconciled,-0.005069456345671769,0.01109940551457847,7.917502308248461e-05,0.0,0.0,1.583500461651427e-05
DAMPED_P95_Q001_R16,2020-02,2019-12,2020-01,2,1,-0.028430646884687605,0.22514198986906875,reconciled,-0.019143800957391793,0.010741802930714764,2.3912179408461243e-05,0.0,-0.020057343473300685,4.7824358816797585e-06
DAMPED_P95_Q001_R16,2020-03,2019-03,2019-04,12,11,-0.03507949688174061,-0.3660405126076207,reconciled,-0.06048759126030673,0.011193922572280204,0.000119661028158859,0.0038786037018073913,-2.124870936324186e-16,0.01021590707631987
DAMPED_P95_Q001_R16,2020-03,2019-04,2019-05,11,10,-0.005057284785542449,-0.30899122938208023,reconciled,-0.005340897278011073,0.0002606235328330084,-2.8736199544531632e-05,0.0,0.0,5.172515918015069e-05
DAMPED_P95_Q001_R16,2020-03,2019-05,2019-06,10,9,-0.003274771351648293,0.3471336302232886,reconciled,-0.003742915280547033,0.0004321734000394678,-4.4963161074218494e-05,0.0,-1.062435468162093e-16,8.093368993359468e-05
DAMPED_P95_Q001_R16,2020-03,2019-06,2019-07,9,8,0.019634708343923894,0.40989277842562677,reconciled,0.019603948191981326,4.8003183124013804e-05,2.1553788976955493e-05,0.0,1.062435468162093e-16,-3.8796820158511214e-05
DAMPED_P95_Q001_R16,2020-03,2019-07,2019-08,8,7,0.08644221553076509,0.5631673855853938,reconciled,0.08764752312305885,-0.0011539828946486932,6.415587205631235e-05,0.0,0.0,-0.00011548056970137055
DAMPED_P95_Q001_R16,2020-03,2019-08,2019-09,7,6,-0.028948301645536065,-0.4528583683764196,reconciled,-0.027542547524482153,-0.001379744909924055,3.251151391233699e-05,0.0,0.0,-5.8520725042199295e-05
DAMPED_P95_Q001_R16,2020-03,2019-09,2019-10,6,5,-0.11524307782047895,-0.9532260765797558,reconciled,-0.1187845625540914,0.0034068971745810014,-0.00016823444878956428,0.0,-2.1652819585060714e-16,0.0003028220078212171
DAMPED_P95_Q001_R16,2020-03,2019-10,2019-11,5,4,0.0536444520628873,0.6374489670136567,reconciled,0.055994183816200804,-0.0022484502573488566,0.00012660186995579886,0.0,0.0,-0.0002278833659204449
DAMPED_P95_Q001_R16,2020-03,2019-11,2019-12,4,3,0.0009908757581078252,0.025430959095786854,reconciled,-0.004802434057852158,0.005856649834425968,7.917502308248461e-05,0.0,0.0,-0.00014251504154846883
DAMPED_P95_Q001_R16,2020-03,2019-12,2020-01,3,2,-0.008369543570309591,0.2161731091802217,reconciled,-0.01869435045365332,0.01034393662686986,2.3912179408461243e-05,0.0,6.495845875518214e-16,-4.304192293523579e-05
DAMPED_P95_Q001_R16,2020-03,2020-01,2020-02,2,1,0.05001289476240303,0.6835717067768403,reconciled,0.08579861403145897,-0.0033524073636334445,0.0,-0.0028397532005208434,-0.029593558704901653,0.0
DAMPED_P95_Q001_R16,2020-04,2019-04,2019-05,12,11,-0.05488921927782903,-0.064835452643905,reconciled,-0.0011677249292454672,-0.017654984945562897,-2.8736199544531632e-05,-0.04160470277920254,0.0,0.005566929575726416
DAMPED_P95_Q001_R16,2020-04,2019-05,2019-06,11,10,-0.003457083449163484,0.3439368557342819,reconciled,-0.0036322904792288335,0.0002831186166432631,-4.4963161074218494e-05,0.0,2.124870936324186e-16,-6.294842550390659e-05
DAMPED_P95_Q001_R16,2020-04,2019-06,2019-07,10,9,0.019878259366312434,0.43072443691190765,reconciled,0.01982321892090627,3.311351861656764e-06,2.1553788976955493e-05,0.0,-2.124870936324186e-16,3.0175304567742894e-05
DAMPED_P95_Q001_R16,2020-04,2019-07,2019-08,9,8,0.08796950094810091,0.6547672412162409,reconciled,0.08865799662070195,-0.0008424697655361676,6.415587205631235e-05,0.0,0.0,8.981822087884145e-05
DAMPED_P95_Q001_R16,2020-04,2019-08,2019-09,8,7,-0.02858128568748497,-0.4831994349874913,reconciled,-0.028016461931231917,-0.0006428513896426374,3.251151391233699e-05,0.0,0.0,4.55161194772534e-05
DAMPED_P95_Q001_R16,2020-04,2019-09,2019-10,7,6,-0.11828734436654093,-1.0755250929819522,reconciled,-0.11925974940545583,0.0013761677160094021,-0.00016823444878956428,0.0,4.330563917012143e-16,-0.00023552822830538722
DAMPED_P95_Q001_R16,2020-04,2019-10,2019-11,6,5,0.054621649023861046,0.6938624380202341,reconciled,0.05582431851000444,-0.0015065139740372963,0.00012660186995579886,0.0,0.0,0.00017724261793812014
DAMPED_P95_Q001_R16,2020-04,2019-11,2019-12,5,4,0.000890020101807526,0.026372795618839984,reconciled,-0.005127299005906999,0.005827299052316527,7.917502308248461e-05,0.0,0.0,0.00011084503231549234
DAMPED_P95_Q001_R16,2020-04,2019-12,2020-01,4,3,-0.012220573587386763,0.20384513853028974,reconciled,-0.018683897344076467,0.0064059345261100464,2.3912179408461243e-05,0.0,-6.495845875518214e-16,3.347705117183811e-05
DAMPED_P95_Q001_R16,2020-04,2020-01,2020-02,3,2,0.08980206688542869,0.7772390712356092,reconciled,0.08482973349214917,0.00602323740859375,0.0,-0.001050904015314439,2.1177061935218064e-16,0.0
DAMPED_P95_Q001_R16,2020-04,2020-02,2020-03,2,1,-0.2770630202220843,-0.6634416145871098,reconciled,0.042922388485861995,-0.015175870640452907,0.0,0.0,-0.3048095380674934,0.0
DAMPED_P95_Q001_R16,2020-05,2019-05,2019-06,12,11,0.08085638408031046,-0.006946460862238268,reconciled,-0.01067297288525193,0.07465906915567931,-4.4963161074218494e-05,0.02613391756924463,0.0,-0.009218666598287333
DAMPED_P95_Q001_R16,2020-05,2019-06,2019-07,11,10,0.020107047750211937,0.4496506353367842,reconciled,0.02007354750127753,1.6257217752876918e-05,2.1553788976955493e-05,0.0,0.0,-4.310757795389364e-06
DAMPED_P95_Q001_R16,2020-05,2019-07,2019-08,10,9,0.08921779023447035,0.7442932999003995,reconciled,0.08962399744124598,-0.00045753190442070213,6.415587205631235e-05,0.0,0.0,-1.2831174411261081e-05
DAMPED_P95_Q001_R16,2020-05,2019-08,2019-09,9,8,-0.028661641101348834,-0.5112549685134957,reconciled,-0.028125154806795782,-0.0005624955056828806,3.251151391233699e-05,0.0,0.0,-6.502302782471214e-06
DAMPED_P95_Q001_R16,2020-05,2019-09,2019-10,8,7,-0.11992286074539929,-1.1939389953953985,reconciled,-0.12040921399428531,0.000620940807917636,-0.00016823444878956428,0.0,0.0,3.3646889757908e-05
DAMPED_P95_Q001_R16,2020-05,2019-10,2019-11,7,6,0.05576333677185211,0.7478912373284115,reconciled,0.05635853087048562,-0.0006964755945981366,0.00012660186995579886,0.0,0.0,-2.5320373991156303e-05
DAMPED_P95_Q001_R16,2020-05,2019-11,2019-12,6,5,-0.0030569263683001835,0.023151691458128898,reconciled,-0.00488936955466672,0.001769103167900507,7.917502308248461e-05,0.0,0.0,-1.5835004616493453e-05
DAMPED_P95_Q001_R16,2020-05,2019-12,2020-01,5,4,-0.013741185403421341,0.18901756705842265,reconciled,-0.018496108820847623,0.004735793673899508,2.3912179408461243e-05,0.0,0.0,-4.782435881693636e-06
DAMPED_P95_Q001_R16,2020-05,2020-01,2020-02,4,3,0.08337173763902117,0.8602558612970128,reconciled,0.08366800900136424,0.0017929406065213815,0.0,-0.0020892119688644545,0.0,0.0
DAMPED_P95_Q001_R16,2020-05,2020-02,2020-03,3,2,0.029208779406999508,-0.6314943240835729,reconciled,0.042052567017281356,-0.012843787610281876,0.0,0.0,0.0,0.0
DAMPED_P95_Q001_R16,2020-05,2020-03,2020-04,2,1,-0.23385374189518598,-0.39489542192911387,reconciled,-0.0992973382595885,0.01026547113258755,0.0,0.0,-0.144821874768185,0.0
DAMPED_P95_Q001_R16,2020-06,2019-06,2019-07,12,11,0.02472327742400851,0.41287461088591115,reconciled,0.023565683038300228,0.015458474864202737,0.0,-0.010680952713311355,1.062435468162093e-16,-0.003619927765183213
DAMPED_P95_Q001_R16,2020-06,2019-07,2019-08,11,10,0.09038192485479152,0.8372332104625153,reconciled,0.09077153755908285,-0.0003382880066462625,0.0,0.0,0.0,-5.1324697645052566e-05
DAMPED_P95_Q001_R16,2020-06,2019-08,2019-09,10,9,-0.028791406150713794,-0.5410467003492796,reconciled,-0.02850834138281047,-0.00025705555677346323,0.0,0.0,0.0,-2.600921112987445e-05
DAMPED_P95_Q001_R16,2020-06,2019-09,2019-10,9,8,-0.12090458867225382,-1.3168483803737778,reconciled,-0.12161385079167078,0.0005746745603855408,0.0,0.0,-2.1652819585060714e-16,0.0001345875590316487
DAMPED_P95_Q001_R16,2020-06,2019-10,2019-11,8,7,0.056367826179128167,0.8047396633438109,reconciled,0.05677674043832334,-0.0003076327632305295,0.0,0.0,0.0,-0.00010128149596463909
DAMPED_P95_Q001_R16,2020-06,2019-11,2019-12,7,6,-0.0036600306236321822,0.019396478319096744,reconciled,-0.004996037067616477,0.0013993464624502613,0.0,0.0,0.0,-6.334001846598075e-05
DAMPED_P95_Q001_R16,2020-06,2019-12,2020-01,6,5,-0.015671099254396026,0.17285757033863147,reconciled,-0.018564540542979638,0.0029125710321097446,0.0,0.0,6.495845875518214e-16,-1.9129743526774545e-05
DAMPED_P95_Q001_R16,2020-06,2020-01,2020-02,5,4,0.0871398697130237,0.949703764854251,reconciled,0.0835533296859668,0.0027579376553442565,0.0,0.0008286023717126861,-4.8027334231925974e-17,0.0
DAMPED_P95_Q001_R16,2020-06,2020-02,2020-03,4,3,0.033722966520819325,-0.5969723445718977,reconciled,0.04170128770501591,-0.007978321184196068,0.0,0.0,-5.102003589601001e-16,0.0
DAMPED_P95_Q001_R16,2020-06,2020-03,2020-04,3,2,-0.08471029358074092,-0.4817635007012284,reconciled,-0.09765070820048166,0.012940414619740617,0.0,0.0,1.251713014908118e-16,0.0
DAMPED_P95_Q001_R16,2020-06,2020-04,2020-05,2,1,0.006271208424300456,0.18284340107228036,reconciled,-0.0352311188271123,-0.006837237830831677,0.0,0.0,0.04833956508224443,0.0
DAMPED_P95_Q001_R16,2020-07,2019-07,2019-08,12,11,0.08658088858554464,0.9938593826068307,reconciled,0.12136610703714085,-0.016811831400502842,3.207793602815617e-05,-0.017490315373583528,0.0,-0.0005151496135380336
DAMPED_P95_Q001_R16,2020-07,2019-08,2019-09,11,10,-0.029100627083906982,-0.5709776296426639,reconciled,-0.029057201276284084,-0.0001832253174458981,1.6255756956168495e-05,0.0,0.0,0.0001235437528668351
DAMPED_P95_Q001_R16,2020-07,2019-09,2019-10,10,9,-0.12332435373210252,-1.4415237314510563,reconciled,-0.1228912474909915,0.000290301888683675,-8.411722439478214e-05,0.0,4.330563917012143e-16,-0.0006392909054003331
DAMPED_P95_Q001_R16,2020-07,2019-10,2019-11,9,8,0.05736382426750883,0.8621803678000726,reconciled,0.05715482838219482,-0.00033539215549593937,6.330093497789943e-05,0.0,0.0,0.0004810871058320409
DAMPED_P95_Q001_R16,2020-07,2019-11,2019-12,8,7,-0.0038412548811251335,0.015461729997867657,reconciled,-0.005305946551475538,0.0011242390710957187,3.958751154124231e-05,0.0,0.0,0.0003008650877134619
DAMPED_P95_Q001_R16,2020-07,2019-12,2020-01,7,6,-0.01698895898227465,0.15535174643658367,reconciled,-0.018798142156180808,0.0017063608024504087,1.1956089704230621e-05,0.0,-6.495845875518214e-16,9.086628175214158e-05
DAMPED_P95_Q001_R16,2020-07,2020-01,2020-02,6,5,0.08271625513658742,1.0341014167502474,reconciled,0.08414591911318997,0.00017775751776769738,0.0,-0.0016074214943704243,2.1177061935218064e-16,0.0
DAMPED_P95_Q001_R16,2020-07,2020-02,2020-03,5,4,0.03503708746148776,-0.5609414974435403,reconciled,0.04171588033087986,-0.006678792869392346,0.0,0.0,2.551001794800501e-16,0.0
DAMPED_P95_Q001_R16,2020-07,2020-03,2020-04,4,3,-0.08934830238023622,-0.5730675804652692,reconciled,-0.09703335954318137,0.0076850571629453815,0.0,0.0,-2.503426029816236e-16,0.0
DAMPED_P95_Q001_R16,2020-07,2020-04,2020-05,3,2,-0.014887884166104481,0.1674898780914118,reconciled,-0.011908933847722236,0.0006010269711179267,-0.0035799772895001563,0.0,0.0,0.0
DAMPED_P95_Q001_R16,2020-07,2020-05,2020-06,2,1,0.13825164717216248,0.5220813391704984,reconciled,0.07862422084866455,-0.015519389886657124,0.004095704888652404,0.0,0.07105111132150267,0.0
DAMPED_P95_Q001_R16,2020-08,2019-08,2019-09,12,11,-0.020907247887286026,-0.6129309587351752,reconciled,-0.03882990651629936,0.010295427982914065,0.0,0.0177565000350788,0.0,-0.010129269388979532
DAMPED_P95_Q001_R16,2020-08,2019-09,2019-10,11,10,-0.12446334372057022,-1.5675877330445032,reconciled,-0.12459741443764971,0.0002013644965955519,0.0,0.0,-2.1652819585060714e-16,-6.729377951582988e-05
DAMPED_P95_Q001_R16,2020-08,2019-10,2019-11,10,9,0.05799652970456939,0.9203372887764603,reconciled,0.05809333653589346,-0.00014744757930638952,0.0,0.0,0.0,5.0640747982319545e-05
DAMPED_P95_Q001_R16,2020-08,2019-11,2019-12,9,8,-0.004411812942481386,0.010939707524005637,reconciled,-0.0050422693581174405,0.000598786406403054,0.0,0.0,0.0,3.1670009233004254e-05
DAMPED_P95_Q001_R16,2020-08,2019-12,2020-01,8,7,-0.01767596312785348,0.13713157733120696,reconciled,-0.018788284936063604,0.0011027569364460976,0.0,0.0,6.495845875518214e-16,9.564871763373395e-06
