model,frame,n,rmse,mae,bias,mean_gain,total_gain,closer,material_win,material_loss,direction,alerts,alerted_big,false_alarm,missed_big,big_precision,big_recall,directional_big_hit,wrong_way_big_alert,material_big_hit,directional_big_precision,material_big_precision
HARD_FULL,ex_jan,83,0.39844813883989944,0.25652947463390013,0.028074544632118198,-0.011951161380888116,-0.9919463946137136,38,12,12,42,20,5,15,14,0.25,0.2631578947368421,5,0,5,0.25,0.25
HARD_FULL,2024+,31,0.22531658006178432,0.17263970528256048,-0.0023076859570927287,0.014457068910987983,0.4481691362406275,17,4,3,18,5,2,3,3,0.4,0.4,2,0,1,0.4,0.2
HARD_FULL,flash2025+,19,0.1638271242938502,0.13239549655765354,0.0398422767095172,0.025499240284451725,0.48448556540458276,11,2,1,11,2,0,2,1,0.0,0.0,0,0,0,0.0,0.0
HARD_FULL,big,23,0.6710742877935717,0.47606113106941467,0.0007855388815016216,0.1021997384958028,2.3505939854034645,16,9,2,17,7,7,0,16,1.0,0.30434782608695654,7,0,6,1.0,0.8571428571428571
HARD_FULL,big_ex_jan,19,0.7065802335235483,0.49063590002425816,0.08006482422848392,0.10410094208100498,1.9779178995390947,14,8,1,14,5,5,0,14,1.0,0.2631578947368421,5,0,5,1.0,1.0
HARD_FULL,alerts,23,0.4184009317085991,0.3213253191257471,-0.048749773959070056,-0.056107927821399214,-1.2904823398921819,11,9,10,16,23,7,16,0,0.30434782608695654,1.0,7,0,6,0.30434782608695654,0.2608695652173913
SENTIMENT_BASE,all,90,0.4216344065753521,0.2675327498406537,-0.03474985848333043,-0.01419941650732042,-1.2779474856588378,42,12,14,48,21,7,14,16,0.3333333333333333,0.30434782608695654,6,1,5,0.2857142857142857,0.23809523809523808
SENTIMENT_BASE,ex_jan,83,0.4066668135275087,0.25294436544320287,-0.0005291820436956615,-0.008366052190190827,-0.6943823317858386,39,11,13,44,18,5,13,14,0.2777777777777778,0.2631578947368421,4,1,4,0.2222222222222222,0.2222222222222222
SENTIMENT_BASE,2024+,31,0.21937510032801152,0.168853455578451,-0.004915550353673797,0.018243318615097377,0.5655428770680186,19,3,1,20,4,2,2,3,0.5,0.4,2,0,1,0.5,0.25
SENTIMENT_BASE,flash2025+,19,0.17335378685702876,0.1391574090214508,0.02639838135051889,0.01873732782065447,0.3560092285924349,12,2,0,12,1,0,1,1,0.0,0.0,0,0,0,0.0,0.0
SENTIMENT_BASE,big,23,0.7033756796084439,0.49443402939517456,-0.031072996608218335,0.08382684017004291,1.928017323910987,15,6,3,16,7,7,0,16,1.0,0.30434782608695654,6,1,5,0.8571428571428571,0.7142857142857143
SENTIMENT_BASE,big_ex_jan,19,0.7405704349874778,0.5075667368976928,0.053343987002306914,0.08717010520757049,1.6562319989438392,14,5,3,14,5,5,0,14,1.0,0.2631578947368421,4,1,4,0.8,0.8
SENTIMENT_BASE,alerts,21,0.6863969678019871,0.4012278026200879,-0.00858797581683017,-0.048846850239135445,-1.0257838550218443,8,8,9,14,21,7,14,0,0.3333333333333333,1.0,6,1,5,0.2857142857142857,0.23809523809523808
SENTIMENT_HALF,all,90,0.4151150508994233,0.2699603819770808,-0.017486839454934802,-0.016627048643747405,-1.4964343779372664,44,11,15,49,23,7,16,16,0.30434782608695654,0.30434782608695654,6,1,5,0.2608695652173913,0.21739130434782608
SENTIMENT_HALF,ex_jan,83,0.3994645299733753,0.25607111631458973,0.01694195848230995,-0.01149280306157766,-0.9539026541109459,40,10,14,44,20,5,15,14,0.25,0.2631578947368421,4,1,4,0.2,0.2
SENTIMENT_HALF,2024+,31,0.2215148020523289,0.16981045573291398,-0.006005447431270702,0.01728631846063441,0.5358758722796667,18,3,2,19,5,2,3,3,0.4,0.4,2,0,1,0.4,0.2
SENTIMENT_HALF,flash2025+,19,0.16599665183010628,0.13521662815748794,0.030555781402468566,0.02267810868461729,0.43088406500772847,12,2,1,12,2,0,2,1,0.0,0.0,0,0,0,0.0,0.0
SENTIMENT_HALF,big,23,0.6813581445496157,0.48139021354640193,-0.010302801766452825,0.09687065601881548,2.228025088432756,16,8,1,17,7,7,0,16,1.0,0.30434782608695654,6,1,5,0.8571428571428571,0.7142857142857143
SENTIMENT_HALF,big_ex_jan,19,0.7172401330229885,0.496077062735149,0.07089540316423873,0.09865977937011412,1.8745358080321683,14,7,1,14,5,5,0,14,1.0,0.2631578947368421,4,1,4,0.8,0.8
SENTIMENT_HALF,alerts,23,0.6552166714140084,0.39644759658182394,0.030967608525630432,-0.05731716179921516,-1.3182947213819487,10,8,10,15,23,7,16,0,0.30434782608695654,1.0,6,1,5,0.2608695652173913,0.21739130434782608
SENTIMENT_FULL,all,90,0.4151231464660918,0.27713357701117664,-0.00022382042653914462,-0.023800243677843294,-2.1420219310058966,43,11,16,49,26,8,18,15,0.3076923076923077,0.34782608695652173,8,0,6,0.3076923076923077,0.23076923076923078
SENTIMENT_FULL,ex_jan,83,0.39896321711475946,0.26336195313873306,0.034413099008315566,-0.018783639885721008,-1.5590421105148438,39,10,14,44,23,6,17,13,0.2608695652173913,0.3157894736842105,6,0,5,0.2608695652173913,0.21739130434782608
SENTIMENT_FULL,2024+,31,0.2284616164697725,0.17430193910827316,-0.007095344508867602,0.0127948350852752,0.3966398876435312,18,4,3,19,6,2,4,3,0.3333333333333333,0.4,2,0,1,0.3333333333333333,0.16666666666666666
SENTIMENT_FULL,flash2025+,19,0.1645707013796179,0.13464872038850212,0.03471318145441824,0.02324601645360313,0.44167431261845946,12,2,1,12,3,0,3,1,0.0,0.0,0,0,0,0.0,0.0
SENTIMENT_FULL,big,23,0.6641423565755069,0.47188907277203873,0.010467393075312697,0.10637179679317882,2.446551326243113,17,8,1,18,8,8,0,15,1.0,0.34782608695652173,8,0,6,1.0,0.75
SENTIMENT_FULL,big_ex_jan,19,0.6979218602603776,0.48458738857260536,0.08844681932617053,0.11014945353265776,2.0928396171204975,15,7,0,15,6,6,0,13,1.0,0.3157894736842105,6,0,5,1.0,0.8333333333333334
SENTIMENT_FULL,alerts,26,0.4059861548754972,0.31083287224395717,-0.03623811511805212,-0.053140564551649457,-1.3816546783428858,12,9,11,18,26,8,18,0,0.3076923076923077,1.0,8,0,6,0.3076923076923077,0.23076923076923078
CONSENSUS,all,90,0.3815174380753199,0.25333333333333335,-0.024444444444444456,0.0,0.0,0,0,0,0,0,0,0,23,,0.0,0,0,0,,
CONSENSUS,ex_jan,83,0.3800760862318244,0.24457831325301202,-0.008433734939759043,0.0,0.0,0,0,0,0,0,0,0,19,,0.0,0,0,0,,
CONSENSUS,2024+,31,0.2409657986707497,0.18709677419354834,0.04516129032258066,0.0,0.0,0,0,0,0,0,0,0,5,,0.0,0,0,0,,
CONSENSUS,flash2025+,19,0.19466570535691505,0.15789473684210525,0.042105263157894736,0.0,0.0,0,0,0,0,0,0,0,1,,0.0,0,0,0,,
CONSENSUS,big,23,0.6950132935857196,0.5782608695652175,-0.021739130434782657,0.0,0.0,0,0,0,0,0,0,0,23,,0.0,0,0,0,,
CONSENSUS,big_ex_jan,19,0.7287335806582179,0.5947368421052632,0.0263157894736842,0.0,0.0,0,0,0,0,0,0,0,19,,0.0,0,0,0,,
CONSENSUS,alerts,0,,,,,0.0,0,0,0,0,0,0,0,0,,,0,0,0,,
