period,model,actual,consensus,forecast,error,surprise,deviation,gain,big,alert,directional_big_hit,wrong_way_big_alert,material_big_hit,capture_ratio
2022-10,LEGACY_BASE,-1.4,0.9,1.1406198658324782,2.540619865832478,-2.3,0.24061986583247819,-0.2406198658324783,True,True,False,True,False,-0.1046173329706427
2022-11,LEGACY_BASE,1.2,0.7,0.6614814750980381,-0.5385185249019618,0.5,-0.03851852490196184,-0.03851852490196184,True,False,False,False,False,-0.07703704980392367
2022-12,LEGACY_BASE,0.0,0.4,-0.08624491637002141,-0.08624491637002141,-0.4,-0.48624491637002143,0.3137550836299786,True,True,True,False,True,1.2156122909250535
2023-01,LEGACY_BASE,6.0,5.8,4.845410831191518,-1.1545891688084824,0.20000000000000018,-0.9545891688084822,-0.9545891688084822,False,True,False,False,False,
2023-02,LEGACY_BASE,0.6,0.5,0.543835889388298,-0.05616411061170201,0.09999999999999998,0.043835889388297966,0.043835889388297966,False,False,False,False,False,
2023-03,LEGACY_BASE,0.1,0.1,0.2707529964641877,0.1707529964641877,0.0,0.1707529964641877,-0.1707529964641877,False,False,False,False,False,
2023-04,LEGACY_BASE,-0.2,0.4,0.5470608628042315,0.7470608628042315,-0.6000000000000001,0.14706086280423147,-0.14706086280423136,True,False,False,False,False,-0.24510143800705242
2023-05,LEGACY_BASE,0.3,0.1,0.23585994590771578,-0.06414005409228421,0.19999999999999998,0.13585994590771577,0.13585994590771577,False,False,False,False,False,
2023-06,LEGACY_BASE,0.3,0.3,0.046987323610267306,-0.2530126763897327,0.0,-0.2530126763897327,-0.2530126763897327,False,True,False,False,False,
2023-07,LEGACY_BASE,0.5,0.4,0.3657631583806945,-0.1342368416193055,0.09999999999999998,-0.034236841619305514,-0.034236841619305514,False,False,False,False,False,
2023-08,LEGACY_BASE,0.2,0.1,0.44438253338679273,0.24438253338679272,0.1,0.3443825333867927,-0.14438253338679272,False,True,False,False,False,
2023-09,LEGACY_BASE,-0.7,-0.2,-0.2573283089284558,0.44267169107154414,-0.49999999999999994,-0.05732830892845581,0.05732830892845581,True,False,False,False,False,0.11465661785691163
2023-10,LEGACY_BASE,0.1,0.0,0.3098291578587594,0.2098291578587594,0.1,0.3098291578587594,-0.10982915785875941,False,True,False,False,False,
2023-11,LEGACY_BASE,0.1,-0.1,0.04561872636565829,-0.05438127363434172,0.2,0.14561872636565829,0.14561872636565829,False,False,False,False,False,
2023-12,LEGACY_BASE,-0.4,0.0,-0.14642122677900665,0.25357877322099337,-0.4,-0.14642122677900665,0.14642122677900665,True,False,False,False,False,0.3660530669475166
2024-01,LEGACY_BASE,1.5,2.0,0.941205038573995,-0.558794961426005,-0.5,-1.058794961426005,-0.058794961426005043,True,True,True,False,False,2.11758992285201
2024-02,LEGACY_BASE,0.3,0.4,0.25001559015089836,-0.04998440984910163,-0.10000000000000003,-0.14998440984910166,0.050015590150898404,False,False,False,False,False,
2024-03,LEGACY_BASE,0.1,0.1,0.13589923379296834,0.03589923379296833,0.0,0.03589923379296833,-0.03589923379296833,False,False,False,False,False,
2024-04,LEGACY_BASE,0.7,0.2,0.45565687854243303,-0.24434312145756693,0.49999999999999994,0.255656878542433,0.255656878542433,True,True,True,False,True,0.5113137570848661
2024-05,LEGACY_BASE,0.0,0.1,0.16027736300948725,0.16027736300948725,-0.1,0.060277363009487245,-0.060277363009487245,False,False,False,False,False,
2024-06,LEGACY_BASE,-0.3,0.2,0.029142593405205003,0.329142593405205,-0.5,-0.170857406594795,0.17085740659479498,True,False,False,False,False,0.34171481318959
2024-07,LEGACY_BASE,0.7,0.5,0.20922912091095602,-0.49077087908904393,0.19999999999999996,-0.290770879089044,-0.290770879089044,False,True,False,False,False,
2024-08,LEGACY_BASE,0.3,0.0,0.04649968774624619,-0.2535003122537538,0.3,0.04649968774624619,0.04649968774624619,False,False,False,False,False,
2024-09,LEGACY_BASE,-0.4,-0.5,-0.5022764509982102,-0.10227645099821014,0.09999999999999998,-0.0022764509982101666,-0.0022764509982101666,False,False,False,False,False,
2024-10,LEGACY_BASE,0.3,0.3,0.25026244303236067,-0.04973755696763932,0.0,-0.04973755696763932,-0.04973755696763932,False,False,False,False,False,
2024-11,LEGACY_BASE,0.1,0.2,0.12886760782724496,0.028867607827244957,-0.1,-0.07113239217275505,0.07113239217275505,False,False,False,False,False,
2024-12,LEGACY_BASE,-0.3,0.1,-0.019691288697074448,0.28030871130292556,-0.4,-0.11969128869707446,0.11969128869707446,True,False,False,False,False,0.29922822174268615
2025-01,LEGACY_BASE,1.3,1.1,1.1141238104803735,-0.1858761895196266,0.19999999999999996,0.014123810480373367,0.014123810480373367,False,False,False,False,False,
2025-02,LEGACY_BASE,0.2,0.2,0.3326983780959465,0.13269837809594648,0.0,0.13269837809594648,-0.13269837809594648,False,False,False,False,False,
2025-03,LEGACY_BASE,0.1,0.0,0.023784067910595116,-0.07621593208940489,0.1,0.023784067910595116,0.02378406791059512,False,False,False,False,False,
2025-04,LEGACY_BASE,-0.1,0.1,0.186840899342476,0.28684089934247603,-0.2,0.08684089934247599,-0.08684089934247602,False,False,False,False,False,
2025-05,LEGACY_BASE,0.5,0.2,0.2631509822494441,-0.2368490177505559,0.3,0.0631509822494441,0.0631509822494441,False,False,False,False,False,
2025-06,LEGACY_BASE,0.3,0.2,0.21002735984113408,-0.08997264015886591,0.09999999999999998,0.010027359841134065,0.010027359841134065,False,False,False,False,False,
2025-07,LEGACY_BASE,0.5,0.5,0.48510382145960285,-0.014896178540397154,0.0,-0.014896178540397154,-0.014896178540397154,False,False,False,False,False,
2025-08,LEGACY_BASE,0.1,0.1,0.10697271272160463,0.006972712721604629,0.0,0.006972712721604629,-0.006972712721604629,False,False,False,False,False,
2025-09,LEGACY_BASE,-0.6,-0.3,-0.5082390667407406,0.09176093325925938,-0.3,-0.2082390667407406,0.2082390667407406,False,True,False,False,False,
2025-10,LEGACY_BASE,0.5,0.3,0.21602599370892633,-0.28397400629107367,0.2,-0.08397400629107366,-0.08397400629107366,False,False,False,False,False,
2025-11,LEGACY_BASE,-0.3,0.1,-0.02791249286551834,0.27208750713448165,-0.4,-0.12791249286551834,0.12791249286551837,True,False,False,False,False,0.31978123216379584
2025-12,LEGACY_BASE,-0.3,-0.1,-0.3511723383814115,-0.0511723383814115,-0.19999999999999998,-0.2511723383814115,0.14882766161858849,False,True,False,False,False,
2026-01,LEGACY_BASE,0.9,0.8,0.8169676489336665,-0.08303235106633355,0.09999999999999998,0.016967648933666424,0.016967648933666424,False,False,False,False,False,
2026-02,LEGACY_BASE,-0.1,0.1,0.06243702219602458,0.16243702219602457,-0.2,-0.037562977803975425,0.03756297780397544,False,False,False,False,False,
2026-03,LEGACY_BASE,0.6,0.7,0.5547564515650881,-0.04524354843491185,-0.09999999999999998,-0.14524354843491183,0.05475645156508813,False,False,False,False,False,
2026-04,LEGACY_BASE,0.5,0.4,0.4732403168837794,-0.026759683116220623,0.09999999999999998,0.07324031688377936,0.07324031688377936,False,False,False,False,False,
2026-05,LEGACY_BASE,0.1,0.3,0.3511651221664462,0.25116512216644615,-0.19999999999999998,0.0511651221664462,-0.05116512216644617,False,False,False,False,False,
2026-06,LEGACY_BASE,-0.3,0.0,-0.0733429254066232,0.2266570745933768,-0.3,-0.0733429254066232,0.07334292540662318,False,False,False,False,False,
2026-07,LEGACY_BASE,0.6,0.6,0.4380879786787769,-0.16191202132122307,0.0,-0.16191202132122307,-0.16191202132122307,False,False,False,False,False,
2019-02,LEGACY_HALF,0.2,0.1,0.3223959167564083,0.12239591675640826,0.1,0.22239591675640827,-0.022395916756408257,False,True,False,False,False,
2019-03,LEGACY_HALF,0.2,0.1,0.0737984755165065,-0.1262015244834935,0.1,-0.0262015244834935,-0.0262015244834935,False,False,False,False,False,
2019-04,LEGACY_HALF,0.1,0.3,0.44221330209549436,0.3422133020954944,-0.19999999999999998,0.14221330209549438,-0.1422133020954944,False,False,False,False,False,
2019-05,LEGACY_HALF,0.7,0.4,0.2400981237713503,-0.45990187622864964,0.29999999999999993,-0.1599018762286497,-0.1599018762286497,False,False,False,False,False,
2019-06,LEGACY_HALF,0.2,0.1,0.07148855927759555,-0.12851144072240445,0.1,-0.028511440722404455,-0.02851144072240444,False,False,False,False,False,
2019-07,LEGACY_HALF,0.4,0.2,0.39891869370078176,-0.0010813062992182654,0.2,0.19891869370078175,0.19891869370078175,False,False,False,False,False,
2019-08,LEGACY_HALF,0.1,0.0,0.013212691202047225,-0.08678730879795278,0.1,0.013212691202047225,0.013212691202047225,False,False,False,False,False,
2019-09,LEGACY_HALF,-0.6,-0.4,-0.33048149385723635,0.2695185061427636,-0.19999999999999996,0.06951850614276367,-0.06951850614276367,False,False,False,False,False,
2019-10,LEGACY_HALF,0.5,0.4,0.33382145793733903,-0.16617854206266097,0.09999999999999998,-0.066178542062661,-0.066178542062661,False,False,False,False,False,
2019-11,LEGACY_HALF,0.3,0.2,0.2024915980379357,-0.09750840196206428,0.09999999999999998,0.002491598037935694,0.002491598037935694,False,False,False,False,False,
2019-12,LEGACY_HALF,0.2,0.1,-0.008558366902739773,-0.2085583669027398,0.1,-0.10855836690273978,-0.10855836690273979,False,False,False,False,False,
2020-01,LEGACY_HALF,1.5,1.0,0.9059588456115907,-0.5940411543884093,0.5,-0.09404115438840932,-0.09404115438840932,True,False,False,False,False,-0.18808230877681864
2020-02,LEGACY_HALF,0.3,0.3,0.30215021505036044,0.002150215050360449,0.0,0.002150215050360449,-0.002150215050360449,False,False,False,False,False,
2020-03,LEGACY_HALF,-0.1,0.1,-0.2681772439943884,-0.1681772439943884,-0.2,-0.36817724399438845,0.0318227560056116,False,True,False,False,False,
2020-04,LEGACY_HALF,-0.2,-0.2,-0.39066496197286943,-0.19066496197286942,0.0,-0.19066496197286942,-0.19066496197286942,False,False,False,False,False,
2020-05,LEGACY_HALF,0.4,0.1,0.1531284409098388,-0.24687155909016123,0.30000000000000004,0.05312844090983879,0.053128440909838814,False,False,False,False,False,
2020-06,LEGACY_HALF,0.6,0.2,0.33955910800230193,-0.26044089199769804,0.39999999999999997,0.13955910800230192,0.13955910800230192,True,False,False,False,False,0.34889777000575484
2020-07,LEGACY_HALF,0.4,0.2,0.46752877249470676,0.06752877249470673,0.2,0.26752877249470675,0.13247122750529328,False,True,False,False,False,
2020-08,LEGACY_HALF,0.0,0.0,0.05399085157409004,0.05399085157409004,0.0,0.05399085157409004,-0.05399085157409004,False,False,False,False,False,
2020-09,LEGACY_HALF,-0.6,-0.3,-0.37438657205185605,0.22561342794814393,-0.3,-0.07438657205185606,0.07438657205185606,False,False,False,False,False,
2020-10,LEGACY_HALF,0.2,0.2,0.29920703324122067,0.09920703324122065,0.0,0.09920703324122065,-0.09920703324122065,False,False,False,False,False,
2020-11,LEGACY_HALF,0.0,0.1,0.17545392451861253,0.17545392451861253,-0.1,0.07545392451861252,-0.07545392451861252,False,False,False,False,False,
2020-12,LEGACY_HALF,-0.2,0.1,0.17524235332402685,0.3752423533240269,-0.30000000000000004,0.07524235332402684,-0.07524235332402684,False,False,False,False,False,
2021-01,LEGACY_HALF,1.3,0.9,0.8958483035488114,-0.40415169645118865,0.4,-0.0041516964511886245,-0.0041516964511886245,True,False,False,False,False,-0.010379241127971561
2021-02,LEGACY_HALF,0.2,0.3,0.5314597940135295,0.3314597940135295,-0.09999999999999998,0.2314597940135295,-0.2314597940135295,False,True,False,False,False,
2021-03,LEGACY_HALF,0.2,0.3,0.1201112233983182,-0.07988877660168181,-0.09999999999999998,-0.1798887766016818,0.020111223398318168,False,False,False,False,False,
2021-04,LEGACY_HALF,0.5,0.2,0.2890828837210026,-0.2109171162789974,0.3,0.08908288372100259,0.08908288372100259,False,False,False,False,False,
2021-05,LEGACY_HALF,0.2,0.4,0.5896986133906137,0.3896986133906137,-0.2,0.18969861339061367,-0.18969861339061367,False,False,False,False,False,
2021-06,LEGACY_HALF,0.5,0.4,0.33303455685048944,-0.16696544314951056,0.09999999999999998,-0.06696544314951058,-0.06696544314951058,False,False,False,False,False,
2021-07,LEGACY_HALF,1.0,0.5,0.6627370921998745,-0.33726290780012547,0.5,0.16273709219987453,0.16273709219987453,True,False,False,False,False,0.32547418439974907
2021-08,LEGACY_HALF,0.7,0.2,0.12426927070658017,-0.5757307292934197,0.49999999999999994,-0.07573072929341984,-0.07573072929341979,True,False,False,False,False,-0.1514614585868397
2021-09,LEGACY_HALF,0.2,-0.2,-0.06358492383311554,-0.26358492383311555,0.4,0.13641507616688447,0.13641507616688447,True,False,False,False,False,0.34103769041721116
2021-10,LEGACY_HALF,1.0,0.7,0.8219672826971275,-0.1780327173028725,0.30000000000000004,0.12196728269712753,0.12196728269712753,False,False,False,False,False,
2021-11,LEGACY_HALF,0.2,0.3,0.8309212646674332,0.6309212646674331,-0.09999999999999998,0.5309212646674333,-0.5309212646674332,False,True,False,False,False,
2021-12,LEGACY_HALF,0.4,0.3,0.9412670092358009,0.5412670092358008,0.10000000000000003,0.6412670092358008,-0.4412670092358008,False,True,False,False,False,
2022-01,LEGACY_HALF,4.4,3.8,4.46264858595253,0.06264858595252942,0.6000000000000005,0.66264858595253,0.5373514140474711,True,True,True,False,True,1.1044143099208823
2022-02,LEGACY_HALF,1.3,0.6,1.004185084734604,-0.29581491526539594,0.7000000000000001,0.4041850847346041,0.4041850847346041,True,True,True,False,True,0.5774072639065773
2022-03,LEGACY_HALF,1.7,1.4,1.0994755271054593,-0.6005244728945407,0.30000000000000004,-0.30052447289454065,-0.30052447289454065,False,True,False,False,False,
2022-04,LEGACY_HALF,1.8,0.9,0.9784935914760955,-0.8215064085239046,0.9,0.07849359147609547,0.07849359147609547,True,False,False,False,False,0.08721510164010608
2022-05,LEGACY_HALF,1.8,1.4,2.1293100673341105,0.3293100673341105,0.40000000000000013,0.7293100673341106,0.07068993266588963,True,True,True,False,False,1.823275168335276
2022-06,LEGACY_HALF,1.6,1.5,1.6095163521998244,0.009516352199824274,0.10000000000000009,0.10951635219982436,0.09048364780017581,False,False,False,False,False,
2022-07,LEGACY_HALF,1.3,1.6,1.5050372621040118,0.20503726210401174,-0.30000000000000004,-0.0949627378959883,0.0949627378959883,False,False,False,False,False,
2022-08,LEGACY_HALF,0.4,0.8,0.5673245830282283,0.16732458302822828,-0.4,-0.23267541697177174,0.23267541697177174,True,True,True,False,True,0.5816885424294294
2022-09,LEGACY_HALF,0.8,0.2,-0.059654405531346814,-0.8596544055313469,0.6000000000000001,-0.25965440553134683,-0.2596544055313468,True,True,False,True,False,-0.4327573425522447
2022-10,LEGACY_HALF,-1.4,0.9,1.0363065468594115,2.436306546859411,-2.3,0.13630654685941146,-0.13630654685941135,True,False,False,False,False,-0.059263716025831074
2022-11,LEGACY_HALF,1.2,0.7,0.5638075261024545,-0.6361924738975454,0.5,-0.1361924738975454,-0.1361924738975454,True,False,False,False,False,-0.2723849477950908
2022-12,LEGACY_HALF,0.0,0.4,-0.18990821349393916,-0.18990821349393916,-0.4,-0.5899082134939392,0.21009178650606086,True,True,True,False,True,1.4747705337348478
2023-01,LEGACY_HALF,6.0,5.8,4.776114230294722,-1.2238857697052783,0.20000000000000018,-1.0238857697052781,-1.0238857697052781,False,True,False,False,False,
2023-02,LEGACY_HALF,0.6,0.5,0.4665467544304753,-0.1334532455695247,0.09999999999999998,-0.033453245569524726,-0.033453245569524726,False,False,False,False,False,
2023-03,LEGACY_HALF,0.1,0.1,0.22063399219336055,0.12063399219336055,0.0,0.12063399219336055,-0.12063399219336055,False,False,False,False,False,
2023-04,LEGACY_HALF,-0.2,0.4,0.5095022458343853,0.7095022458343854,-0.6000000000000001,0.10950224583438528,-0.10950224583438528,True,False,False,False,False,-0.18250374305730876
2023-05,LEGACY_HALF,0.3,0.1,0.14036138239561705,-0.15963861760438294,0.19999999999999998,0.04036138239561704,0.04036138239561704,False,False,False,False,False,
2023-06,LEGACY_HALF,0.3,0.3,-0.04180315697762796,-0.341803156977628,0.0,-0.341803156977628,-0.341803156977628,False,True,False,False,False,
2023-07,LEGACY_HALF,0.5,0.4,0.31168479427591467,-0.18831520572408533,0.09999999999999998,-0.08831520572408535,-0.08831520572408535,False,False,False,False,False,
2023-08,LEGACY_HALF,0.2,0.1,0.4042706391697894,0.20427063916978938,0.1,0.30427063916978936,-0.10427063916978938,False,True,False,False,False,
2023-09,LEGACY_HALF,-0.7,-0.2,-0.3032761632622616,0.39672383673773837,-0.49999999999999994,-0.10327616326226158,0.10327616326226158,True,False,False,False,False,0.20655232652452318
2023-10,LEGACY_HALF,0.1,0.0,0.20149055172614344,0.10149055172614344,0.1,0.20149055172614344,-0.0014905517261434298,False,True,False,False,False,
2023-11,LEGACY_HALF,0.1,-0.1,-0.05657720927481706,-0.15657720927481705,0.2,0.043422790725182944,0.04342279072518296,False,False,False,False,False,
2023-12,LEGACY_HALF,-0.4,0.0,-0.2108368802722644,0.1891631197277356,-0.4,-0.2108368802722644,0.2108368802722644,True,True,True,False,True,0.527092200680661
2024-01,LEGACY_HALF,1.5,2.0,0.8622105262493519,-0.6377894737506481,-0.5,-1.1377894737506482,-0.1377894737506481,True,True,True,False,False,2.2755789475012964
2024-02,LEGACY_HALF,0.3,0.4,0.16741343191945005,-0.13258656808054994,-0.10000000000000003,-0.23258656808054998,-0.03258656808054991,False,True,False,False,False,
2024-03,LEGACY_HALF,0.1,0.1,0.1417348659208057,0.04173486592080569,0.0,0.04173486592080569,-0.04173486592080569,False,False,False,False,False,
2024-04,LEGACY_HALF,0.7,0.2,0.46265046039766894,-0.23734953960233102,0.49999999999999994,0.26265046039766893,0.26265046039766893,True,True,True,False,True,0.525300920795338
2024-05,LEGACY_HALF,0.0,0.1,0.15944939949266906,0.15944939949266906,-0.1,0.05944939949266906,-0.05944939949266906,False,False,False,False,False,
2024-06,LEGACY_HALF,-0.3,0.2,0.06247375255466306,0.3624737525546631,-0.5,-0.13752624744533695,0.13752624744533692,True,False,False,False,False,0.2750524948906739
2024-07,LEGACY_HALF,0.7,0.5,0.24906245202965013,-0.4509375479703498,0.19999999999999996,-0.25093754797034984,-0.25093754797034984,False,True,False,False,False,
2024-08,LEGACY_HALF,0.3,0.0,0.05006775983044631,-0.24993224016955368,0.3,0.05006775983044631,0.05006775983044631,False,False,False,False,False,
2024-09,LEGACY_HALF,-0.4,-0.5,-0.5566220334594368,-0.15662203345943682,0.09999999999999998,-0.05662203345943684,-0.05662203345943684,False,False,False,False,False,
2024-10,LEGACY_HALF,0.3,0.3,0.2916531413105724,-0.008346858689427583,0.0,-0.008346858689427583,-0.008346858689427583,False,False,False,False,False,
2024-11,LEGACY_HALF,0.1,0.2,0.11214289668438322,0.012142896684383217,-0.1,-0.08785710331561679,0.08785710331561679,False,False,False,False,False,
2024-12,LEGACY_HALF,-0.3,0.1,-0.06492876997199358,0.2350712300280064,-0.4,-0.16492876997199357,0.16492876997199363,True,False,False,False,False,0.41232192492998393
2025-01,LEGACY_HALF,1.3,1.1,1.1021386675428104,-0.19786133245718962,0.19999999999999996,0.0021386675428103352,0.0021386675428103352,False,False,False,False,False,
2025-02,LEGACY_HALF,0.2,0.2,0.36178330065894754,0.16178330065894753,0.0,0.16178330065894753,-0.16178330065894753,False,False,False,False,False,
2025-03,LEGACY_HALF,0.1,0.0,0.015703901066202352,-0.08429609893379765,0.1,0.015703901066202352,0.015703901066202355,False,False,False,False,False,
2025-04,LEGACY_HALF,-0.1,0.1,0.16815610061643305,0.268156100616433,-0.2,0.06815610061643304,-0.06815610061643301,False,False,False,False,False,
2025-05,LEGACY_HALF,0.5,0.2,0.27081128416019556,-0.22918871583980444,0.3,0.07081128416019555,0.07081128416019555,False,False,False,False,False,
2025-06,LEGACY_HALF,0.3,0.2,0.21872218510588526,-0.08127781489411473,0.09999999999999998,0.018722185105885247,0.018722185105885247,False,False,False,False,False,
2025-07,LEGACY_HALF,0.5,0.5,0.5879755231662174,0.08797552316621737,0.0,0.08797552316621737,-0.08797552316621737,False,False,False,False,False,
2025-08,LEGACY_HALF,0.1,0.1,0.09714752644717192,-0.002852473552828083,0.0,-0.002852473552828083,-0.002852473552828083,False,False,False,False,False,
2025-09,LEGACY_HALF,-0.6,-0.3,-0.5452829533271449,0.05471704667285504,-0.3,-0.24528295332714495,0.24528295332714495,False,True,False,False,False,
2025-10,LEGACY_HALF,0.5,0.3,0.2365563899490688,-0.2634436100509312,0.2,-0.06344361005093119,-0.06344361005093119,False,False,False,False,False,
