dataset,freq,indic,s_adj,unit,geo,time,value,status
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-09,13.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-10,13.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-11,8.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-12,4.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-01,9.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-02,9.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-03,14.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-04,11.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-05,9.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-06,9.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-07,10.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-08,2.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-09,7.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-10,2.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-11,-1.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1998-12,-9.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-01,-7.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-02,-7.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-03,-1.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-04,-6.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-05,-3.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-06,2.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-07,3.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-08,0.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-09,9.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-10,8.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-11,10.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1999-12,4.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-01,5.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-02,10.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-03,17.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-04,11.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-05,17.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-06,14.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-07,16.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-08,8.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-09,14.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-10,14.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-11,11.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2000-12,3.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-01,6.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-02,3.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-03,8.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-04,0.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-05,2.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-06,-1.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-07,-0.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-08,-5.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-09,-5.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-10,-8.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-11,-9.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2001-12,-14.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-01,-15.0,
