dataset,freq,indic,s_adj,geo,time,value,status
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-12,-20.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-01,-9.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-02,2.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-03,8.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-04,10.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-05,5.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-06,13.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-07,10.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-08,9.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-09,8.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-10,-0.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-11,-0.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1989-12,-10.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-01,1.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-02,11.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-03,14.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-04,16.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-05,7.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-06,17.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-07,5.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-08,7.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-09,6.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-10,-7.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-11,-13.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1990-12,-14.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-01,-6.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-02,0.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-03,-1.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-04,-6.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-05,-8.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-06,-9.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-07,-10.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-08,-14.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-09,-20.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-10,-23.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-11,-25.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1991-12,-17.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-01,-16.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-02,-7.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-03,-14.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-04,-11.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-05,-11.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-06,-11.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-07,-24.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-08,-26.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-09,-25.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-10,-42.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-11,-40.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1992-12,-28.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-01,-36.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-02,-23.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-03,-24.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-04,-21.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-05,-17.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-06,-27.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-07,-27.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-08,-29.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-09,-37.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-10,-38.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-11,-39.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1993-12,-37.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-01,-29.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-02,-25.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-03,-13.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-04,-10.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-05,-11.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-06,-11.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-07,-10.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-08,-13.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-09,-12.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-10,-20.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-11,-23.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1994-12,-21.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-01,-14.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-02,-11.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-03,-10.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-04,-7.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-05,-10.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-06,-14.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-07,-13.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-08,-18.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-09,-20.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-10,-31.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-11,-34.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1995-12,-37.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-01,-31.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-02,-26.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-03,-21.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-04,-20.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-05,-18.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-06,-17.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-07,-20.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-08,-26.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-09,-30.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-10,-37.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-11,-42.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1996-12,-45.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-01,-35.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-02,-16.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-03,-19.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-04,-14.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-05,-14.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-06,-21.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-07,-16.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-08,-26.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-09,-27.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-10,-36.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-11,-30.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1997-12,-33.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-01,-24.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-02,-15.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-03,-7.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-04,-9.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-05,-8.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-06,-6.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-07,-2.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-08,-6.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-09,-13.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-10,-22.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-11,-24.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1998-12,-19.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-01,-6.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-02,-1.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-03,2.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-04,4.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-05,4.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-06,4.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-07,1.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-08,-2.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-09,-8.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-10,-11.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-11,-13.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1999-12,-12.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-01,1.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-02,9.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-03,14.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-04,13.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-05,13.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-06,11.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-07,11.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-08,3.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-09,-1.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-10,-8.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-11,-10.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2000-12,-3.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-01,1.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-02,1.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-03,10.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-04,10.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-05,9.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-06,0.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-07,-1.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-08,-2.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-09,-13.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-10,-21.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-11,-22.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2001-12,-17.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-01,-9.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-02,-3.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-03,-1.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-04,1.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-05,1.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-06,0.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-07,-2.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-08,-12.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-09,-15.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-10,-20.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-11,-26.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2002-12,-28.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-01,-13.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-02,-5.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-03,-4.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-04,-0.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-05,-1.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-06,-4.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-07,-5.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-08,-10.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-09,-13.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-10,-20.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-11,-20.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2003-12,-19.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-01,-7.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-02,-1.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-03,-0.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-04,7.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-05,6.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-06,7.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-07,-0.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-08,-1.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-09,-7.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-10,-10.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-11,-15.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2004-12,-13.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-01,-6.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-02,-3.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-03,2.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-04,10.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-05,7.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-06,5.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-07,4.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-08,1.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-09,-0.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-10,-7.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-11,-8.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2005-12,-11.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-01,-1.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-02,5.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-03,12.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-04,15.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-05,15.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-06,13.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-07,11.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-08,9.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-09,6.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-10,0.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-11,-2.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2006-12,-1.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2007-01,8.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2007-02,12.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2007-03,17.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2007-04,19.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2007-05,16.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2007-06,16.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2007-07,14.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,2007-08,12.0,
