"Ukazatel","IndicatorType","Typ indexu","TYPUDAJE5B","Klasifikace SITC","SITCVAD","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","2. čtvrtletí 2025","2025-Q2","100.8","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","3. čtvrtletí 2025","2025-Q3","100.0","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","4. čtvrtletí 2025","2025-Q4","100.4","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2026","2026-03K","99.8","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","1. čtvrtletí 2026","2026-Q1","99.8","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","2. čtvrtletí 2026","2026-Q2","97.8","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","3. čtvrtletí 2023","2023-Q3","99.3","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","4. čtvrtletí 2023","2023-Q4","99.9","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","leden - březen 2024","2024-03K","101.4","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","1. čtvrtletí 2024","2024-Q1","101.4","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","2. čtvrtletí 2024","2024-Q2","99.3","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","3. čtvrtletí 2024","2024-Q3","101.6","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","4. čtvrtletí 2024","2024-Q4","101.4","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","leden - březen 2025","2025-03K","101.2","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","1. čtvrtletí 2025","2025-Q1","101.2","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","2. čtvrtletí 2025","2025-Q2","100.8","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","3. čtvrtletí 2025","2025-Q3","97.4","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","4. čtvrtletí 2025","2025-Q4","97.4","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","leden - březen 2026","2026-03K","98.7","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","1. čtvrtletí 2026","2026-Q1","98.7","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","2. čtvrtletí 2026","2026-Q2","99.6","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","3. čtvrtletí 2023","2023-Q3","102.0","procento","%"
