"Ukazatel","IndicatorType","Klasifikace CZ-CPA-Úhrn a sekce","CZCPAVAD.CZCPA1","Klasifikace CZ-CPA-Oddíl","CZCPAVAD.CZCPA2","Typ indexu","TYPUDAJE5B","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2026","2026-03K","100.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2026","2026-Q1","100.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2026","2026-Q2","102.4","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2021","2021-03K","100.7","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2021","2021-Q1","100.7","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2021","2021-Q2","102.6","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2021","2021-Q3","103.9","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2021","2021-Q4","104.5","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2022","2022-03K","103.5","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2022","2022-Q1","103.5","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2022","2022-Q2","106.8","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2022","2022-Q3","105.4","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2022","2022-Q4","95.9","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2023","2023-03K","95.7","procento","%"
