model,clock,threshold,forecast_available,next_report_available,next_forecast_available,target_still_future,revision_eligible,rows,calls
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,False,False,False,False,False,6,0
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,False,True,True,True,False,79,0
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,True,False,False,False,False,4,0
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,True,True,False,False,False,18,9
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,True,True,True,False,False,18,7
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,True,True,True,True,True,36,16
FOOD_ROBUST_WINDOW_R24,report,0.3,False,False,False,False,False,6,0
FOOD_ROBUST_WINDOW_R24,report,0.3,False,True,True,True,False,79,0
FOOD_ROBUST_WINDOW_R24,report,0.3,True,False,False,False,False,4,2
FOOD_ROBUST_WINDOW_R24,report,0.3,True,True,False,False,False,18,7
FOOD_ROBUST_WINDOW_R24,report,0.3,True,True,True,False,False,18,10
FOOD_ROBUST_WINDOW_R24,report,0.3,True,True,True,True,True,36,23
FOOD_ROBUST_WINDOW_R24,report,0.5,False,False,False,False,False,6,0
FOOD_ROBUST_WINDOW_R24,report,0.5,False,True,True,True,False,79,0
FOOD_ROBUST_WINDOW_R24,report,0.5,True,False,False,False,False,4,0
FOOD_ROBUST_WINDOW_R24,report,0.5,True,True,False,False,False,18,7
FOOD_ROBUST_WINDOW_R24,report,0.5,True,True,True,False,False,18,6
FOOD_ROBUST_WINDOW_R24,report,0.5,True,True,True,True,True,36,15
FOOD_ZERO_DRIFT_R24,cutoff,0.3,False,False,False,False,False,6,0
FOOD_ZERO_DRIFT_R24,cutoff,0.3,False,True,True,True,False,79,0
FOOD_ZERO_DRIFT_R24,cutoff,0.3,True,False,False,False,False,4,4
FOOD_ZERO_DRIFT_R24,cutoff,0.3,True,True,False,False,False,18,9
FOOD_ZERO_DRIFT_R24,cutoff,0.3,True,True,True,False,False,18,10
FOOD_ZERO_DRIFT_R24,cutoff,0.3,True,True,True,True,True,36,25
FOOD_ZERO_DRIFT_R24,cutoff,0.5,False,False,False,False,False,6,0
FOOD_ZERO_DRIFT_R24,cutoff,0.5,False,True,True,True,False,79,0
FOOD_ZERO_DRIFT_R24,cutoff,0.5,True,False,False,False,False,4,3
FOOD_ZERO_DRIFT_R24,cutoff,0.5,True,True,False,False,False,18,9
FOOD_ZERO_DRIFT_R24,cutoff,0.5,True,True,True,False,False,18,7
FOOD_ZERO_DRIFT_R24,cutoff,0.5,True,True,True,True,True,36,19
FOOD_ZERO_DRIFT_R24,report,0.3,False,False,False,False,False,6,0
FOOD_ZERO_DRIFT_R24,report,0.3,False,True,True,True,False,79,0
FOOD_ZERO_DRIFT_R24,report,0.3,True,False,False,False,False,4,3
FOOD_ZERO_DRIFT_R24,report,0.3,True,True,False,False,False,18,7
FOOD_ZERO_DRIFT_R24,report,0.3,True,True,True,False,False,18,9
FOOD_ZERO_DRIFT_R24,report,0.3,True,True,True,True,True,36,24
FOOD_ZERO_DRIFT_R24,report,0.5,False,False,False,False,False,6,0
FOOD_ZERO_DRIFT_R24,report,0.5,False,True,True,True,False,79,0
FOOD_ZERO_DRIFT_R24,report,0.5,True,False,False,False,False,4,3
FOOD_ZERO_DRIFT_R24,report,0.5,True,True,False,False,False,18,6
FOOD_ZERO_DRIFT_R24,report,0.5,True,True,True,False,False,18,7
FOOD_ZERO_DRIFT_R24,report,0.5,True,True,True,True,True,36,19
PREV_CNB,cutoff,0.3,False,False,False,False,False,4,0
PREV_CNB,cutoff,0.3,False,True,False,False,False,1,0
PREV_CNB,cutoff,0.3,False,True,True,False,False,1,0
PREV_CNB,cutoff,0.3,False,True,True,True,False,22,0
PREV_CNB,cutoff,0.3,True,False,False,False,False,6,2
PREV_CNB,cutoff,0.3,True,True,False,False,False,17,11
PREV_CNB,cutoff,0.3,True,True,True,False,False,17,10
PREV_CNB,cutoff,0.3,True,True,True,True,True,93,34
PREV_CNB,cutoff,0.5,False,False,False,False,False,4,0
