metric,h,sample,model,n,rmse,mae,bias
headline_yy,3,origins_2024plus,FOOD_ROBUST_WINDOW_R24,28,0.5107922542325225,0.41065699207954187,0.011673357366709063
headline_yy,3,origins_2024plus,FOOD_NORM_SHIFT_R24,28,0.512892526531404,0.4111529061866137,-0.0192031532033446
headline_yy,3,origins_2024plus,FOOD_NORM_REFIT_R24,28,0.5140196681052526,0.4129959920535648,-0.011688464317149498
core_cumulative_log,3,full,STATE_FAST_R15,84,0.8213825884343019,0.6118143485368274,-0.00684126174716398
core_cumulative_log,3,full,STABLE_LOCAL_CORE_R14B,84,1.0453943968556547,0.7557428280398392,-0.007760952220562949
core_cumulative_log,3,full,DAMPED_P95_Q001_R16,84,0.8540597587008443,0.626965564601989,-0.0029138750769927015
core_cumulative_log,3,full,FOOD_ZERO_DRIFT_R24,84,0.8213825884343019,0.6118143485368274,-0.00684126174716398
core_cumulative_log,3,full,FOOD_ROBUST_WINDOW_R24,84,0.8213825884343019,0.6118143485368274,-0.00684126174716398
core_cumulative_log,3,full,FOOD_NORM_SHIFT_R24,84,0.8213825884343019,0.6118143485368274,-0.00684126174716398
core_cumulative_log,3,full,FOOD_NORM_REFIT_R24,84,0.8213825884343019,0.6118143485368274,-0.00684126174716398
core_cumulative_log,3,origins_2019_2021,STATE_FAST_R15,32,1.0096712773052818,0.7680380140221023,-0.3973500769464824
core_cumulative_log,3,origins_2019_2021,STABLE_LOCAL_CORE_R14B,32,1.159850044466255,0.8694457704481073,-0.5683661726918252
core_cumulative_log,3,origins_2019_2021,DAMPED_P95_Q001_R16,32,1.0058095751708818,0.7560871781338917,-0.384642245422024
core_cumulative_log,3,origins_2019_2021,FOOD_ZERO_DRIFT_R24,32,1.0096712773052818,0.7680380140221023,-0.3973500769464824
core_cumulative_log,3,origins_2019_2021,FOOD_ROBUST_WINDOW_R24,32,1.0096712773052818,0.7680380140221023,-0.3973500769464824
core_cumulative_log,3,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,1.0096712773052818,0.7680380140221023,-0.3973500769464824
core_cumulative_log,3,origins_2019_2021,FOOD_NORM_REFIT_R24,32,1.0096712773052818,0.7680380140221023,-0.3973500769464824
core_cumulative_log,3,origins_2022_2023,STATE_FAST_R15,24,0.9493704396249709,0.8275091847017327,0.521914060240025
core_cumulative_log,3,origins_2022_2023,STABLE_LOCAL_CORE_R14B,24,1.4032185297084572,1.2756074452661412,0.7719855787907397
core_cumulative_log,3,origins_2022_2023,DAMPED_P95_Q001_R16,24,1.0464919579720464,0.8852573092540293,0.6524432725000467
core_cumulative_log,3,origins_2022_2023,FOOD_ZERO_DRIFT_R24,24,0.9493704396249709,0.8275091847017327,0.521914060240025
core_cumulative_log,3,origins_2022_2023,FOOD_ROBUST_WINDOW_R24,24,0.9493704396249709,0.8275091847017327,0.521914060240025
core_cumulative_log,3,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,0.9493704396249709,0.8275091847017327,0.521914060240025
core_cumulative_log,3,origins_2022_2023,FOOD_NORM_REFIT_R24,24,0.9493704396249709,0.8275091847017327,0.521914060240025
core_cumulative_log,3,origins_2024plus,STATE_FAST_R15,28,0.293924769947105,0.24839172841230875,-0.013764320365533449
core_cumulative_log,3,origins_2024plus,STABLE_LOCAL_CORE_R14B,28,0.2310497431386898,0.18019836480784504,-0.035423441120236966
core_cumulative_log,3,origins_2024plus,DAMPED_P95_Q001_R16,28,0.30558697135433216,0.2580050822923517,-0.12838757832013353
core_cumulative_log,3,origins_2024plus,FOOD_ZERO_DRIFT_R24,28,0.293924769947105,0.24839172841230875,-0.013764320365533449
core_cumulative_log,3,origins_2024plus,FOOD_ROBUST_WINDOW_R24,28,0.293924769947105,0.24839172841230875,-0.013764320365533449
core_cumulative_log,3,origins_2024plus,FOOD_NORM_SHIFT_R24,28,0.293924769947105,0.24839172841230875,-0.013764320365533449
core_cumulative_log,3,origins_2024plus,FOOD_NORM_REFIT_R24,28,0.293924769947105,0.24839172841230875,-0.013764320365533449
headline_yy,4,full,STATE_FAST_R15,83,1.7127461990319925,1.1559124165337678,-0.46916797817411265
headline_yy,4,full,STABLE_LOCAL_CORE_R14B,83,1.8686376080881502,1.2348192779935196,-0.4673265350366649
headline_yy,4,full,DAMPED_P95_Q001_R16,83,1.6812281631071593,1.1358266268861266,-0.46007275228968686
headline_yy,4,full,FOOD_ZERO_DRIFT_R24,83,1.7661108820957803,1.1721973969257433,-0.7035124074976675
headline_yy,4,full,FOOD_ROBUST_WINDOW_R24,83,1.7067056391422493,1.1320191902503225,-0.5109101661177607
headline_yy,4,full,FOOD_NORM_SHIFT_R24,83,1.7070843170170515,1.1289866507308655,-0.5385566259410661
headline_yy,4,full,FOOD_NORM_REFIT_R24,83,1.706549236386542,1.130695114280058,-0.5327498088174937
headline_yy,4,origins_2019_2021,STATE_FAST_R15,32,1.5314153404219781,1.099231008411484,-0.8169463476016524
headline_yy,4,origins_2019_2021,STABLE_LOCAL_CORE_R14B,32,1.7560527365706797,1.1646348133264093,-0.9489546936804525
headline_yy,4,origins_2019_2021,DAMPED_P95_Q001_R16,32,1.5207839056390504,1.0852610925953585,-0.8039830731167481
headline_yy,4,origins_2019_2021,FOOD_ZERO_DRIFT_R24,32,1.610698831054394,1.181255155699999,-0.9632012565472481
headline_yy,4,origins_2019_2021,FOOD_ROBUST_WINDOW_R24,32,1.5186583178517097,1.0825003870133507,-0.7938020207364137
headline_yy,4,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,1.5195389904532943,1.0855298193513023,-0.8033474857320955
headline_yy,4,origins_2019_2021,FOOD_NORM_REFIT_R24,32,1.5195500276900273,1.0855275122281753,-0.8032996167329004
headline_yy,4,origins_2022_2023,STATE_FAST_R15,24,2.601969231687828,2.118055992638027,-0.6586890453755099
headline_yy,4,origins_2022_2023,STABLE_LOCAL_CORE_R14B,24,2.786307269643262,2.3537714540990207,-0.4660601388678595
headline_yy,4,origins_2022_2023,DAMPED_P95_Q001_R16,24,2.5402531223239784,2.0986069464875596,-0.5408964273120718
headline_yy,4,origins_2022_2023,FOOD_ZERO_DRIFT_R24,24,2.6574843166572477,2.0681165506634582,-0.9538018121287625
