period,cpi_mm,agri_ppi_yoy,ppi_c_yoy,ppi_constr_yoy,ppi_d_yoy,ppi_e_yoy,ppi_yoy,ppi_services_yoy,esi,price_expect_survey,price_expect_survey_36m,eurczk_mm,usdczk_mm,ip_yoy,retail_yoy,constr_yoy,unemployment_rate,conf_business,conf_consumer,conf_economic_sentiment,pribor_3m,czgb_10y,reer_ppi_mm,reer_cpi_mm,hh_loans_mm,nfc_loans_mm,trade_balance,cpi_breadth,median_cpi_mm,services_cpi_mm,agri_price_mm,hpi_yoy,constr_ppi_yoy,m3_yoy,wage_lci_yoy,import_prices_mm,de_food_processed_mm,de_food_unprocessed_mm,de_energy_mm,de_services_mm,de_industrial_goods_ex_energy_mm,de_food_hicp_mm_proxy
2015-12,-0.100401606426,1.1,-4.6,1.3,-0.9,3.4,-3.7,0,104.7,1.7,1.99333333333,-0.051775147929,-1.29457549043,3.82644900734,,,4.71448196065,101.285191117,111.263786226,102.953403857,0.288571428571,0.49219334845,0.946112710819,0.598139122729,0.481575267579,-0.155320322452,9644.440591,0.0769230769231,-0.298210735586,-0.1827546104,-0.768311455883,6,1.11448834853,9.39092110856,6.33284241532,0,0.1,0.197823936696,0.102459016393,-2.08126858276,-0.197628458498,0.148911968348
2016-01,0.603015075377,1.1,-3.5,1.4,-0.9,3.4,-2.9,-0.3,104.9,1.70336162479,1.97336162479,0,0.128741551336,5.73805416416,,,4.67209041676,101.486709127,112.100356047,103.26108927,0.29,0.615827989304,0.224123879381,1.3543272407,0.760070943426,-2.57790038164,-1156.07264,0.461538461538,0,-0.0332889480692,0.545623483397,6,1.11448834853,7.95091643878,6.33284241532,-1.2,0.0999000999001,-1.08588351431,-2.76356192426,1.31578947368,-0.594059405941,-0.492991707207
2016-02,0.0999000999001,-1.2,-3.3,1.3,-4,0.5,-3.4,-0.2,106.3,1.832,1.97333333333,0.0481018278695,-2.04918032787,0.703544541079,,,4.58144038535,103.294773498,112.100356047,104.766883032,0.282857142857,0.460818353737,-0.142305346615,0.260727865291,-0.190797925399,1.43931222737,20890.038221,0.615384615385,0.299102691924,0.34965034965,-1.30915904753,6,1.21457489879,9.21727800298,6.33284241532,-1.5,0.199600798403,0.199600798403,-2.42105263158,-1.4985014985,-0.697211155378,0.199600798403
2016-03,-0.0998003992016,-2.9,-4.1,1.3,-4.1,0.5,-4,-0.1,104,1.81949102211,2.01080574493,0.0443803395096,-0.016408236935,1.33146276508,,,4.44602571654,102.527885514,109.869503191,103.75525069,0.28619047619,0.354480847836,-0.916123778502,-0.693466247697,0.514673997918,0.0332279571403,19896.246516,0.384615384615,0,-0.0165920026547,-0.92920292294,6.8,1.21457489879,8.93930676708,3.9270687237,-1.1,0,1.29482071713,-0.970873786408,0.811359026369,0.200601805416,0.647410358566
2016-04,0.599400599401,-4.6,-4.6,1.3,-4.1,0.5,-4.5,0,104.1,1.81428571429,2.01428571429,-0.0739344201693,-2.20727004185,5.87870406285,,,4.300658261,102.275988001,110.427216405,103.638703185,0.29,0.42631319696,0.0616396137251,0.687397708674,0.299151094421,2.6569180429,20926.759289,0.307692307692,0,0.182542316628,-2.33525353595,6.8,1.21457489879,9.42316074715,3.9270687237,0.2,0,1.17994100295,0.980392156863,1.0060362173,1.1011011011,0.589970501475
2016-05,-0.198609731877,-7.2,-4.9,1.2,-4,1.6,-4.7,0.2,104.2,1.79631295315,1.99009933877,-0.0184972808997,0.247524752475,1.22225783609,,,4.17831209462,100.893350541,110.148359798,102.440594836,0.29,0.462786084206,0.082135523614,-0.270914607716,0.594776582459,0.547228891974,23862.940204,0.692307692308,0.198807157058,0.265032300812,-1.03849788694,6.8,1.30784708249,9.14582668263,3.9270687237,-0.3,0.398406374502,0.291545189504,0.970873786408,-0.398406374502,0.49504950495,0.344975782003
2016-06,0.0995024875622,-7.1,-5,1,-4,1.6,-4.8,0.2,104.9,1.73592593679,1.95812606971,0.129504921187,0.85792006696,4.21613406835,,,4.11409347956,101.419536457,111.542642833,103.111908464,0.29,0.454468931441,-0.31801395158,-0.33684668043,0.715058133734,-0.191741983797,16877.21093,0.538461538462,-0.496031746032,0.198248802247,-2.15539535159,8.9,1.30784708249,9.34677479011,4.68018720749,0.4,-0.297619047619,-0.193798449612,1.49572649573,1,-0.0985221674877,-0.245708748616
2016-07,0.298210735586,-6.8,-4,1.1,-4,1.6,-4,0.2,104.5,1.75383786139,1.94594461544,-0.0849931635934,1.39004149378,9.0608316773,,,4.10754834331,100.602268971,110.427216405,102.244795028,0.29,0.365322432926,-0.0411649686117,0.436109899695,0.823892968717,0.412487781847,20044.633478,0.461538461538,0,0.115416323166,-2.7232888676,8.9,1.30784708249,9.46656410571,4.68018720749,0.7,-0.0995024875622,-0.582524271845,1.26315789474,0.49504950495,-0.69033530572,-0.341013379703
2016-08,-0.0991080277503,,,,,,,,106,1.79285714286,1.99230769231,-0.0480804793254,-1.35461428279,3.97938490546,,,4.10489490445,101.139650332,109.311789977,102.505861439,0.29,0.28733566178,-0.102954802842,-0.0108554059922,0.646285776816,1.70404763698,-209.23718,0.615384615385,0.1,0.148221343874,1.62660941301,8.9,1.20481927711,9.11145683358,4.68018720749,0.2,0.0996015936255,0.390625,-1.14345114345,1.87192118227,-0.695134061569,0.245113296813
2016-09,-0.297619047619,-6.9,-3.2,1.1,-4,1.6,-3.4,0.1,105.8,1.81650891659,1.992360141,-0.0148011100833,-0.0124460670428,-14.0889111268,,,4.04405809246,102.505494624,109.032933369,103.596746084,0.29,0.252427752308,0.113366999897,-0.0868526761481,0.764304734569,0.279520129343,7325.445303,0.384615384615,-0.09765625,-0.0493339911199,-1.03490866887,10.3,1.20481927711,9.30113022227,0.455235204856,-0.1,0.0995024875622,-1.1673151751,-0.841219768665,-0.0967117988395,0.3,-0.533906343768
