indicator_id,period,snapshot_id,value
SFTP01M11,2010-06-30,,0.75
SFTP01M11,2010-07-31,,0.75
SFTP01M11,2010-08-31,,0.75
SFTP01M11,2010-09-30,,0.75
SFTP01M11,2010-10-31,,0.75
SFTP01M11,2010-11-30,,0.75
SFTP01M11,2010-12-31,,0.75
SFTP01M11,2011-01-31,,0.75
SFTP01M11,2011-02-28,,0.75
SFTP01M11,2011-03-31,,0.75
SFTP01M11,2011-04-30,,0.75
SFTP01M11,2011-05-31,,0.75
SFTP01M11,2011-06-30,,0.75
SFTP01M11,2011-07-31,,0.75
SFTP01M11,2011-08-31,,0.75
SFTP01M11,2011-09-30,,0.75
SFTP01M11,2011-10-31,,0.75
SFTP01M11,2011-11-30,,0.75
SFTP01M11,2011-12-31,,0.75
SFTP01M11,2012-01-31,,0.75
SFTP01M11,2012-02-29,,0.75
SFTP01M11,2012-03-31,,0.75
SFTP01M11,2012-04-30,,0.75
SFTP01M11,2012-05-31,,0.75
SFTP01M11,2012-06-30,,0.5
SFTP01M11,2012-07-31,,0.5
SFTP01M11,2012-08-31,,0.5
SFTP01M11,2012-09-30,,0.5
SFTP01M11,2012-10-31,,0.25
SFTP01M11,2012-11-30,,0.05
SFTP01M11,2012-12-31,,0.05
SFTP01M11,2013-01-31,,0.05
SFTP01M11,2013-02-28,,0.05
SFTP01M11,2013-03-31,,0.05
SFTP01M11,2013-04-30,,0.05
SFTP01M11,2013-05-31,,0.05
SFTP01M11,2013-06-30,,0.05
SFTP01M11,2013-07-31,,0.05
SFTP01M11,2013-08-31,,0.05
SFTP01M11,2013-09-30,,0.05
SFTP01M11,2013-10-31,,0.05
SFTP01M11,2013-11-30,,0.05
SFTP01M11,2013-12-31,,0.05
SFTP01M11,2014-01-31,,0.05
SFTP01M11,2014-02-28,,0.05
SFTP01M11,2014-03-31,,0.05
SFTP01M11,2014-04-30,,0.05
SFTP01M11,2014-05-31,,0.05
SFTP01M11,2014-06-30,,0.05
SFTP01M11,2014-07-31,,0.05
SFTP01M11,2014-08-31,,0.05
SFTP01M11,2014-09-30,,0.05
SFTP01M11,2014-10-31,,0.05
SFTP01M11,2014-11-30,,0.05
SFTP01M11,2014-12-31,,0.05
SFTP01M11,2015-01-31,,0.05
SFTP01M11,2015-02-28,,0.05
SFTP01M11,2015-03-31,,0.05
SFTP01M11,2015-04-30,,0.05
SFTP01M11,2015-05-31,,0.05
SFTP01M11,2015-06-30,,0.05
SFTP01M11,2015-07-31,,0.05
SFTP01M11,2015-08-31,,0.05
SFTP01M11,2015-09-30,,0.05
SFTP01M11,2015-10-31,,0.05
SFTP01M11,2015-11-30,,0.05
SFTP01M11,2015-12-31,,0.05
SFTP01M11,2016-01-31,,0.05
SFTP01M11,2016-02-29,,0.05
SFTP01M11,2016-03-31,,0.05
SFTP01M11,2016-04-30,,0.05
SFTP01M11,2016-05-31,,0.05
SFTP01M11,2016-06-30,,0.05
SFTP01M11,2016-07-31,,0.05
SFTP01M11,2016-08-31,,0.05
SFTP01M11,2016-09-30,,0.05
SFTP01M11,2016-10-31,,0.05
SFTP01M11,2016-11-30,,0.05
SFTP01M11,2016-12-31,,0.05
SFTP01M11,2017-01-31,,0.05
SFTP01M11,2017-02-28,,0.05
SFTP01M11,2017-03-31,,0.05
SFTP01M11,2017-04-30,,0.05
SFTP01M11,2017-05-31,,0.05
SFTP01M11,2017-06-30,,0.05
SFTP01M11,2017-07-31,,0.05
SFTP01M11,2017-08-31,,0.25
SFTP01M11,2017-09-30,,0.25
SFTP01M11,2017-10-31,,0.25
SFTP01M11,2017-11-30,,0.5
SFTP01M11,2017-12-31,,0.5
SFTP01M11,2018-01-31,,0.5
SFTP01M11,2018-02-28,,0.75
SFTP01M11,2018-03-31,,0.75
SFTP01M11,2018-04-30,,0.75
SFTP01M11,2018-05-31,,0.75
SFTP01M11,2018-06-30,,1.0
SFTP01M11,2018-07-31,,1.0
SFTP01M11,2018-08-31,,1.25
SFTP01M11,2018-09-30,,1.5
SFTP01M11,2018-10-31,,1.5
SFTP01M11,2018-11-30,,1.75
SFTP01M11,2018-12-31,,1.75
SFTP01M11,2019-01-31,,1.75
SFTP01M11,2019-02-28,,1.75
SFTP01M11,2019-03-31,,1.75
SFTP01M11,2019-04-30,,1.75
SFTP01M11,2019-05-31,,2.0
SFTP01M11,2019-06-30,,2.0
SFTP01M11,2019-07-31,,2.0
SFTP01M11,2019-08-31,,2.0
SFTP01M11,2019-09-30,,2.0
SFTP01M11,2019-10-31,,2.0
SFTP01M11,2019-11-30,,2.0
SFTP01M11,2019-12-31,,2.0
SFTP01M11,2020-01-31,,2.0
SFTP01M11,2020-02-29,,2.25
SFTP01M11,2020-03-31,,1.0
SFTP01M11,2020-04-30,,1.0
SFTP01M11,2020-05-31,,0.25
SFTP01M11,2020-06-30,,0.25
SFTP01M11,2020-07-31,,0.25
SFTP01M11,2020-08-31,,0.25
SFTP01M11,2020-09-30,,0.25
SFTP01M11,2020-10-31,,0.25
SFTP01M11,2020-11-30,,0.25
SFTP01M11,2020-12-31,,0.25
SFTP01M11,2021-01-31,,0.25
SFTP01M11,2021-02-28,,0.25
SFTP01M11,2021-03-31,,0.25
SFTP01M11,2021-04-30,,0.25
SFTP01M11,2021-05-31,,0.25
SFTP01M11,2021-06-30,,0.5
SFTP01M11,2021-07-31,,0.5
SFTP01M11,2021-08-31,,0.75
SFTP01M11,2021-09-30,,0.75
SFTP01M11,2021-10-31,,1.5
SFTP01M11,2021-11-30,,2.75
SFTP01M11,2021-12-31,,3.75
SFTP01M11,2022-01-31,,3.75
SFTP01M11,2022-02-28,,4.5
SFTP01M11,2022-03-31,,4.5
SFTP01M11,2022-04-30,,5.0
SFTP01M11,2022-05-31,,5.75
SFTP01M11,2022-06-30,,7.0
SFTP01M11,2022-07-31,,7.0
SFTP01M11,2022-08-31,,7.0
SFTP01M11,2022-09-30,,7.0
SFTP01M11,2022-10-31,,7.0
SFTP01M11,2022-11-30,,7.0
SFTP01M11,2022-12-31,,7.0
SFTP01M11,2023-01-31,,7.0
SFTP01M11,2023-02-28,,7.0
SFTP01M11,2023-03-31,,7.0
SFTP01M11,2023-04-30,,7.0
SFTP01M11,2023-05-31,,7.0
SFTP01M11,2023-06-30,,7.0
SFTP01M11,2023-07-31,,7.0
SFTP01M11,2023-08-31,,7.0
SFTP01M11,2023-09-30,,7.0
SFTP01M11,2023-10-31,,7.0
SFTP01M11,2023-11-30,,7.0
SFTP01M11,2023-12-31,,6.75
SFTP01M11,2024-01-31,,6.75
SFTP01M11,2024-02-29,,6.25
SFTP01M11,2024-03-31,,5.75
SFTP01M11,2024-04-30,,5.75
SFTP01M11,2024-05-31,,5.25
SFTP01M11,2024-06-30,,4.75
SFTP01M11,2024-07-31,,4.75
SFTP01M11,2024-08-31,,4.5
SFTP01M11,2024-09-30,,4.25
SFTP01M11,2024-10-31,,4.25
SFTP01M11,2024-11-30,,4.0
SFTP01M11,2024-12-31,,4.0
SFTP01M11,2025-01-31,,4.0
SFTP01M11,2025-02-28,,3.75
SFTP01M11,2025-03-31,,3.75
SFTP01M11,2025-04-30,,3.75
SFTP01M11,2025-05-31,,3.5
SFTP01M11,2025-06-30,,3.5
SFTP01M11,2025-07-31,,3.5
SFTP01M11,2025-08-31,,3.5
SFTP01M11,2025-09-30,,3.5
SFTP01M11,2025-10-31,,3.5
SFTP01M11,2025-11-30,,3.5
SFTP01M11,2025-12-31,,3.5
SFTP01M11,2026-01-31,,3.5
SFTP01M11,2026-02-28,,3.5
SFTP01M11,2026-03-31,,3.5
SFTP01M11,2026-04-30,,3.5
SFTP01M11,2026-05-31,,3.5
SFTP01M11,2026-06-30,,3.75
SFTP01M11,2026-07-31,,3.75
SFTP04M2206,1993-01-31,,13.5994736842105
SFTP04M2206,1993-02-28,,14.473
SFTP04M2206,1993-03-31,,15.2239130434783
SFTP04M2206,1993-04-30,,18.8880952380952
SFTP04M2206,1993-05-31,,16.9004761904762
SFTP04M2206,1993-06-30,,15.055
SFTP04M2206,1993-07-31,,12.811
SFTP04M2206,1993-08-31,,12.4518181818182
SFTP04M2206,1993-09-30,,11.3290909090909
SFTP04M2206,1993-10-31,,10.2675
SFTP04M2206,1993-11-30,,8.795
SFTP04M2206,1993-12-31,,7.99909090909091
SFTP04M2206,1994-01-31,,8.6352380952381
SFTP04M2206,1994-02-28,,8.9965
SFTP04M2206,1994-03-31,,9.16347826086957
SFTP04M2206,1994-04-30,,8.5905
SFTP04M2206,1994-05-31,,7.75090909090909
SFTP04M2206,1994-06-30,,6.97545454545455
SFTP04M2206,1994-07-31,,7.97421052631579
SFTP04M2206,1994-08-31,,8.22608695652174
SFTP04M2206,1994-09-30,,8.88454545454545
SFTP04M2206,1994-10-31,,10.216
SFTP04M2206,1994-11-30,,11.2186363636364
SFTP04M2206,1994-12-31,,12.6538095238095
SFTP04M2206,1995-01-31,,11.4595454545455
SFTP04M2206,1995-02-28,,10.7405
SFTP04M2206,1995-03-31,,10.3760869565217
SFTP04M2206,1995-04-30,,10.3747368421053
SFTP04M2206,1995-05-31,,10.3604761904762
SFTP04M2206,1995-06-30,,10.7681818181818
SFTP04M2206,1995-07-31,,11.6378947368421
SFTP04M2206,1995-08-31,,11.2734782608696
SFTP04M2206,1995-09-30,,11.0195238095238
SFTP04M2206,1995-10-31,,11.1518181818182
SFTP04M2206,1995-11-30,,11.2618181818182
SFTP04M2206,1995-12-31,,10.9294736842105
SFTP04M2206,1996-01-31,,10.6440909090909
SFTP04M2206,1996-02-29,,10.8733333333333
SFTP04M2206,1996-03-31,,11.0642857142857
SFTP04M2206,1996-04-30,,11.4714285714286
SFTP04M2206,1996-05-31,,11.8342857142857
SFTP04M2206,1996-06-30,,12.169
SFTP04M2206,1996-07-31,,12.805
SFTP04M2206,1996-08-31,,12.7077272727273
SFTP04M2206,1996-09-30,,12.5628571428571
SFTP04M2206,1996-10-31,,12.6936363636364
SFTP04M2206,1996-11-30,,12.6971428571429
SFTP04M2206,1996-12-31,,12.6678947368421
SFTP04M2206,1997-01-31,,12.4359090909091
SFTP04M2206,1997-02-28,,12.316
SFTP04M2206,1997-03-31,,12.3985
SFTP04M2206,1997-04-30,,12.2659090909091
SFTP04M2206,1997-05-31,,20.76
SFTP04M2206,1997-06-30,,25.9852380952381
SFTP04M2206,1997-07-31,,16.9886956521739
SFTP04M2206,1997-08-31,,14.7
SFTP04M2206,1997-09-30,,14.7418181818182
SFTP04M2206,1997-10-31,,15.1640909090909
SFTP04M2206,1997-11-30,,16.723
SFTP04M2206,1997-12-31,,17.504
SFTP04M2206,1998-01-31,,16.5890476190476
SFTP04M2206,1998-02-28,,15.9215
SFTP04M2206,1998-03-31,,15.5245454545455
SFTP04M2206,1998-04-30,,15.4690476190476
SFTP04M2206,1998-05-31,,15.5510526315789
SFTP04M2206,1998-06-30,,15.8140909090909
SFTP04M2206,1998-07-31,,14.4959090909091
SFTP04M2206,1998-08-31,,14.2261904761905
SFTP04M2206,1998-09-30,,13.8195454545455
SFTP04M2206,1998-10-31,,13.2004761904762
SFTP04M2206,1998-11-30,,11.312380952381
SFTP04M2206,1998-12-31,,10.0790476190476
SFTP04M2206,1999-01-31,,8.4855
SFTP04M2206,1999-02-28,,8.183
SFTP04M2206,1999-03-31,,7.58086956521739
SFTP04M2206,1999-04-30,,7.09190476190476
SFTP04M2206,1999-05-31,,6.9647619047619
SFTP04M2206,1999-06-30,,6.94727272727273
SFTP04M2206,1999-07-31,,6.6085
SFTP04M2206,1999-08-31,,6.44681818181818
SFTP04M2206,1999-09-30,,6.29181818181818
SFTP04M2206,1999-10-31,,6.182
SFTP04M2206,1999-11-30,,5.87681818181818
SFTP04M2206,1999-12-31,,5.57863636363636
SFTP04M2206,2000-01-31,,5.41619047619048
SFTP04M2206,2000-02-29,,5.3852380952381
SFTP04M2206,2000-03-31,,5.3495652173913
SFTP04M2206,2000-04-30,,5.32789473684211
SFTP04M2206,2000-05-31,,5.32285714285714
SFTP04M2206,2000-06-30,,5.32727272727273
SFTP04M2206,2000-07-31,,5.34894736842105
SFTP04M2206,2000-08-31,,5.33739130434783
SFTP04M2206,2000-09-30,,5.342
SFTP04M2206,2000-10-31,,5.38772727272727
SFTP04M2206,2000-11-30,,5.40952380952381
SFTP04M2206,2000-12-31,,5.41947368421053
SFTP04M2206,2001-01-31,,5.34454545454545
SFTP04M2206,2001-02-28,,5.265
SFTP04M2206,2001-03-31,,5.04818181818182
SFTP04M2206,2001-04-30,,5.007
SFTP04M2206,2001-05-31,,5.03142857142857
SFTP04M2206,2001-06-30,,5.09142857142857
SFTP04M2206,2001-07-31,,5.254
SFTP04M2206,2001-08-31,,5.56565217391304
SFTP04M2206,2001-09-30,,5.40684210526316
SFTP04M2206,2001-10-31,,5.2904347826087
SFTP04M2206,2001-11-30,,5.08181818181818
SFTP04M2206,2001-12-31,,4.68944444444444
SFTP04M2206,2002-01-31,,4.55136363636364
SFTP04M2206,2002-02-28,,4.3015
SFTP04M2206,2002-03-31,,4.30095238095238
SFTP04M2206,2002-04-30,,4.20904761904762
SFTP04M2206,2002-05-31,,3.81333333333333
SFTP04M2206,2002-06-30,,3.776
SFTP04M2206,2002-07-31,,3.36545454545455
SFTP04M2206,2002-08-31,,3.0555
SFTP04M2206,2002-09-30,,2.99047619047619
SFTP04M2206,2002-10-31,,2.82
SFTP04M2206,2002-11-30,,2.77285714285714
SFTP04M2206,2002-12-31,,2.63315789473684
SFTP04M2206,2003-01-31,,2.66045454545455
SFTP04M2206,2003-02-28,,2.45
SFTP04M2206,2003-03-31,,2.39285714285714
SFTP04M2206,2003-04-30,,2.4452380952381
SFTP04M2206,2003-05-31,,2.454
SFTP04M2206,2003-06-30,,2.33333333333333
SFTP04M2206,2003-07-31,,2.25173913043478
SFTP04M2206,2003-08-31,,2.05809523809524
SFTP04M2206,2003-09-30,,2.06
SFTP04M2206,2003-10-31,,2.05681818181818
SFTP04M2206,2003-11-30,,2.06894736842105
SFTP04M2206,2003-12-31,,2.0765
SFTP04M2206,2004-01-31,,2.06761904761905
SFTP04M2206,2004-02-29,,2.064
SFTP04M2206,2004-03-31,,2.05434782608696
SFTP04M2206,2004-04-30,,2.05761904761905
SFTP04M2206,2004-05-31,,2.15619047619048
SFTP04M2206,2004-06-30,,2.32863636363636
SFTP04M2206,2004-07-31,,2.4725
SFTP04M2206,2004-08-31,,2.56727272727273
SFTP04M2206,2004-09-30,,2.72
SFTP04M2206,2004-10-31,,2.671
SFTP04M2206,2004-11-30,,2.60809523809524
SFTP04M2206,2004-12-31,,2.56863636363636
SFTP04M2206,2005-01-31,,2.53142857142857
SFTP04M2206,2005-02-28,,2.246
SFTP04M2206,2005-03-31,,2.08318181818182
SFTP04M2206,2005-04-30,,2.02666666666667
SFTP04M2206,2005-05-31,,1.77727272727273
SFTP04M2206,2005-06-30,,1.75090909090909
SFTP04M2206,2005-07-31,,1.77526315789474
SFTP04M2206,2005-08-31,,1.79130434782609
SFTP04M2206,2005-09-30,,1.7952380952381
SFTP04M2206,2005-10-31,,1.9055
SFTP04M2206,2005-11-30,,2.24428571428571
SFTP04M2206,2005-12-31,,2.17285714285714
SFTP04M2206,2006-01-31,,2.13636363636364
SFTP04M2206,2006-02-28,,2.0045
SFTP04M2206,2006-03-31,,2.08347826086957
SFTP04M2206,2006-04-30,,2.10684210526316
SFTP04M2206,2006-05-31,,2.12
SFTP04M2206,2006-06-30,,2.16272727272727
SFTP04M2206,2006-07-31,,2.29
SFTP04M2206,2006-08-31,,2.36130434782609
SFTP04M2206,2006-09-30,,2.4935
SFTP04M2206,2006-10-31,,2.65409090909091
SFTP04M2206,2006-11-30,,2.64428571428571
SFTP04M2206,2006-12-31,,2.56421052631579
SFTP04M2206,2007-01-31,,2.58318181818182
SFTP04M2206,2007-02-28,,2.5895
SFTP04M2206,2007-03-31,,2.56454545454545
SFTP04M2206,2007-04-30,,2.5995
SFTP04M2206,2007-05-31,,2.76619047619048
SFTP04M2206,2007-06-30,,2.92761904761905
SFTP04M2206,2007-07-31,,3.071
SFTP04M2206,2007-08-31,,3.2804347826087
SFTP04M2206,2007-09-30,,3.46421052631579
SFTP04M2206,2007-10-31,,3.54521739130435
SFTP04M2206,2007-11-30,,3.72909090909091
SFTP04M2206,2007-12-31,,4.05222222222222
SFTP04M2206,2008-01-31,,3.95545454545455
SFTP04M2206,2008-02-29,,3.93809523809524
SFTP04M2206,2008-03-31,,4.0425
SFTP04M2206,2008-04-30,,4.10772727272727
SFTP04M2206,2008-05-31,,4.1445
SFTP04M2206,2008-06-30,,4.20904761904762
SFTP04M2206,2008-07-31,,4.1104347826087
SFTP04M2206,2008-08-31,,3.8105
SFTP04M2206,2008-09-30,,3.805
SFTP04M2206,2008-10-31,,4.18590909090909
SFTP04M2206,2008-11-30,,4.24105263157895
SFTP04M2206,2008-12-31,,3.8885
SFTP04M2206,2009-01-31,,3.13904761904762
SFTP04M2206,2009-02-28,,2.503
SFTP04M2206,2009-03-31,,2.49227272727273
SFTP04M2206,2009-04-30,,2.49952380952381
SFTP04M2206,2009-05-31,,2.3010526315789477
SFTP04M2206,2009-06-30,,2.165909090909091
SFTP04M2206,2009-07-31,,2.0945454545454543
SFTP04M2206,2009-08-31,,1.9242857142857144
SFTP04M2206,2009-09-30,,1.8847619047619049
SFTP04M2206,2009-10-31,,1.8719047619047615
SFTP04M2206,2009-11-30,,1.8035
SFTP04M2206,2009-12-31,,1.6438095238095238
SFTP04M2206,2010-01-31,,1.548
SFTP04M2206,2010-02-28,,1.5185
SFTP04M2206,2010-03-31,,1.433478260869565
SFTP04M2206,2010-04-30,,1.416190476190476
SFTP04M2206,2010-05-31,,1.266190476190476
SFTP04M2206,2010-06-30,,1.235
SFTP04M2206,2010-07-31,,1.2275
SFTP04M2206,2010-08-31,,1.235
SFTP04M2206,2010-09-30,,1.2233333333333332
SFTP04M2206,2010-10-31,,1.204
SFTP04M2206,2010-11-30,,1.2176190476190476
SFTP04M2206,2010-12-31,,1.2218181818181817
SFTP04M2206,2011-01-31,,1.1966666666666665
SFTP04M2206,2011-02-28,,1.209
SFTP04M2206,2011-03-31,,1.207391304347826
SFTP04M2206,2011-04-30,,1.211
SFTP04M2206,2011-05-31,,1.2154545454545453
SFTP04M2206,2011-06-30,,1.198181818181818
SFTP04M2206,2011-07-31,,1.19
SFTP04M2206,2011-08-31,,1.188695652173913
SFTP04M2206,2011-09-30,,1.1738095238095239
SFTP04M2206,2011-10-31,,1.17
SFTP04M2206,2011-11-30,,1.1471428571428572
SFTP04M2206,2011-12-31,,1.1628571428571428
SFTP04M2206,2012-01-31,,1.1713636363636364
SFTP04M2206,2012-02-29,,1.1952380952380952
SFTP04M2206,2012-03-31,,1.2322727272727272
SFTP04M2206,2012-04-30,,1.2445
SFTP04M2206,2012-05-31,,1.2404761904761905
SFTP04M2206,2012-06-30,,1.2123809523809523
SFTP04M2206,2012-07-31,,1.0565
SFTP04M2206,2012-08-31,,0.9991304347826088
SFTP04M2206,2012-09-30,,0.871578947368421
SFTP04M2206,2012-10-31,,0.7104347826086956
SFTP04M2206,2012-11-30,,0.5377272727272727
SFTP04M2206,2012-12-31,,0.5044444444444445
SFTP04M2206,2013-01-31,,0.5
SFTP04M2206,2013-02-28,,0.5
SFTP04M2206,2013-03-31,,0.4876190476190476
SFTP04M2206,2013-04-30,,0.4695238095238095
SFTP04M2206,2013-05-31,,0.46
SFTP04M2206,2013-06-30,,0.4605
SFTP04M2206,2013-07-31,,0.46
SFTP04M2206,2013-08-31,,0.46
SFTP04M2206,2013-09-30,,0.45333333333333325
SFTP04M2206,2013-10-31,,0.4468181818181818
SFTP04M2206,2013-11-30,,0.4047619047619048
SFTP04M2206,2013-12-31,,0.38
SFTP04M2206,2014-01-31,,0.37454545454545457
SFTP04M2206,2014-02-28,,0.37
SFTP04M2206,2014-03-31,,0.37
SFTP04M2206,2014-04-30,,0.37
SFTP04M2206,2014-05-31,,0.3655
SFTP04M2206,2014-06-30,,0.3528571428571428
SFTP04M2206,2014-07-31,,0.35
SFTP04M2206,2014-08-31,,0.35
SFTP04M2206,2014-09-30,,0.35
SFTP04M2206,2014-10-31,,0.35
SFTP04M2206,2014-11-30,,0.3405263157894737
SFTP04M2206,2014-12-31,,0.34
SFTP04M2206,2015-01-31,,0.3333333333333333
SFTP04M2206,2015-02-28,,0.33
SFTP04M2206,2015-03-31,,0.32
SFTP04M2206,2015-04-30,,0.31
SFTP04M2206,2015-05-31,,0.31
SFTP04M2206,2015-06-30,,0.31
SFTP04M2206,2015-07-31,,0.3054545454545454
SFTP04M2206,2015-08-31,,0.31
SFTP04M2206,2015-09-30,,0.3023809523809524
SFTP04M2206,2015-10-31,,0.29
SFTP04M2206,2015-11-30,,0.29
SFTP04M2206,2015-12-31,,0.28857142857142853
