year,month,indic_code,indic_label,value
1997,10,BS-ICI-BAL,Industrial confidence indicator,5.2
1997,10,BS-RCI-BAL,Retail confidence indicator,11.9
1997,11,BS-CCI-BAL,Construction confidence indicator,-32.3
1997,11,BS-CSMCI-BAL,Consumer confidence indicator,-30.1
1997,11,BS-ESI-I,Economic sentiment indicator,95.4
1997,11,BS-ICI-BAL,Industrial confidence indicator,11.6
1997,11,BS-RCI-BAL,Retail confidence indicator,9.3
1997,12,BS-CCI-BAL,Construction confidence indicator,-34.2
1997,12,BS-CSMCI-BAL,Consumer confidence indicator,-29.8
1997,12,BS-ESI-I,Economic sentiment indicator,92.8
1997,12,BS-ICI-BAL,Industrial confidence indicator,8.8
1997,12,BS-RCI-BAL,Retail confidence indicator,10.1
1998,1,BS-CCI-BAL,Construction confidence indicator,-39.7
1998,1,BS-CSMCI-BAL,Consumer confidence indicator,-30.9
1998,1,BS-ESI-I,Economic sentiment indicator,87.4
1998,1,BS-ICI-BAL,Industrial confidence indicator,5.7
1998,1,BS-RCI-BAL,Retail confidence indicator,6.0
1998,2,BS-CCI-BAL,Construction confidence indicator,-31.7
1998,2,BS-CSMCI-BAL,Consumer confidence indicator,-30.8
1998,2,BS-ESI-I,Economic sentiment indicator,91.6
1998,2,BS-ICI-BAL,Industrial confidence indicator,8.6
1998,2,BS-RCI-BAL,Retail confidence indicator,9.8
1998,3,BS-CCI-BAL,Construction confidence indicator,-37.3
1998,3,BS-CSMCI-BAL,Consumer confidence indicator,-30.7
1998,3,BS-ESI-I,Economic sentiment indicator,88.5
1998,3,BS-ICI-BAL,Industrial confidence indicator,6.6
1998,3,BS-RCI-BAL,Retail confidence indicator,6.4
1998,4,BS-CCI-BAL,Construction confidence indicator,-43.8
1998,4,BS-CSMCI-BAL,Consumer confidence indicator,-24.3
1998,4,BS-ESI-I,Economic sentiment indicator,80.9
1998,4,BS-ICI-BAL,Industrial confidence indicator,-1.3
1998,4,BS-RCI-BAL,Retail confidence indicator,5.2
1998,5,BS-CCI-BAL,Construction confidence indicator,-43.3
1998,5,BS-CSMCI-BAL,Consumer confidence indicator,-24.1
1998,5,BS-ESI-I,Economic sentiment indicator,75.1
1998,5,BS-ICI-BAL,Industrial confidence indicator,-10.6
1998,5,BS-RCI-BAL,Retail confidence indicator,7.4
1998,6,BS-CCI-BAL,Construction confidence indicator,-38.8
1998,6,BS-CSMCI-BAL,Consumer confidence indicator,-24.1
1998,6,BS-ESI-I,Economic sentiment indicator,83.7
1998,6,BS-ICI-BAL,Industrial confidence indicator,-5.4
1998,6,BS-RCI-BAL,Retail confidence indicator,8.5
1998,7,BS-CCI-BAL,Construction confidence indicator,-46.1
1998,7,BS-CSMCI-BAL,Consumer confidence indicator,-21.7
1998,7,BS-ESI-I,Economic sentiment indicator,81.3
1998,7,BS-ICI-BAL,Industrial confidence indicator,-7.6
1998,7,BS-RCI-BAL,Retail confidence indicator,9.6
1998,8,BS-CCI-BAL,Construction confidence indicator,-41.4
1998,8,BS-CSMCI-BAL,Consumer confidence indicator,-21.9
1998,8,BS-ESI-I,Economic sentiment indicator,75.6
1998,8,BS-ICI-BAL,Industrial confidence indicator,-8.1
1998,8,BS-RCI-BAL,Retail confidence indicator,1.6
1998,9,BS-CCI-BAL,Construction confidence indicator,-39.0
1998,9,BS-CSMCI-BAL,Consumer confidence indicator,-21.5
1998,9,BS-ESI-I,Economic sentiment indicator,74.8
1998,9,BS-ICI-BAL,Industrial confidence indicator,-10.9
1998,9,BS-RCI-BAL,Retail confidence indicator,5.3
1998,10,BS-CCI-BAL,Construction confidence indicator,-46.0
1998,10,BS-CSMCI-BAL,Consumer confidence indicator,-23.5
1998,10,BS-ESI-I,Economic sentiment indicator,66.6
1998,10,BS-ICI-BAL,Industrial confidence indicator,-21.9
1998,10,BS-RCI-BAL,Retail confidence indicator,1.8
1998,11,BS-CCI-BAL,Construction confidence indicator,-47.6
1998,11,BS-CSMCI-BAL,Consumer confidence indicator,-23.5
1998,11,BS-ESI-I,Economic sentiment indicator,66.8
1998,11,BS-ICI-BAL,Industrial confidence indicator,-22.1
1998,11,BS-RCI-BAL,Retail confidence indicator,1.1
1998,12,BS-CCI-BAL,Construction confidence indicator,-45.1
1998,12,BS-CSMCI-BAL,Consumer confidence indicator,-23.2
1998,12,BS-ESI-I,Economic sentiment indicator,64.5
1998,12,BS-ICI-BAL,Industrial confidence indicator,-24.5
1998,12,BS-RCI-BAL,Retail confidence indicator,1.5
1999,1,BS-CCI-BAL,Construction confidence indicator,-49.9
1999,1,BS-CSMCI-BAL,Consumer confidence indicator,-26.5
1999,1,BS-ESI-I,Economic sentiment indicator,60.2
1999,1,BS-ICI-BAL,Industrial confidence indicator,-28.4
1999,1,BS-RCI-BAL,Retail confidence indicator,3.4
1999,2,BS-CCI-BAL,Construction confidence indicator,-52.3
1999,2,BS-CSMCI-BAL,Consumer confidence indicator,-27.9
1999,2,BS-ESI-I,Economic sentiment indicator,67.3
1999,2,BS-ICI-BAL,Industrial confidence indicator,-19.7
1999,2,BS-RCI-BAL,Retail confidence indicator,2.6
1999,3,BS-CCI-BAL,Construction confidence indicator,-51.1
1999,3,BS-CSMCI-BAL,Consumer confidence indicator,-30.3
1999,3,BS-ESI-I,Economic sentiment indicator,57.4
1999,3,BS-ICI-BAL,Industrial confidence indicator,-28.4
1999,3,BS-RCI-BAL,Retail confidence indicator,0.6
1999,4,BS-CCI-BAL,Construction confidence indicator,-47.1
1999,4,BS-CSMCI-BAL,Consumer confidence indicator,-26.7
1999,4,BS-ESI-I,Economic sentiment indicator,66.2
1999,4,BS-ICI-BAL,Industrial confidence indicator,-19.2
1999,4,BS-RCI-BAL,Retail confidence indicator,4.5
1999,5,BS-CCI-BAL,Construction confidence indicator,-51.3
1999,5,BS-CSMCI-BAL,Consumer confidence indicator,-30.5
1999,5,BS-ESI-I,Economic sentiment indicator,67.3
1999,5,BS-ICI-BAL,Industrial confidence indicator,-16.2
1999,5,BS-RCI-BAL,Retail confidence indicator,3.7
1999,6,BS-CCI-BAL,Construction confidence indicator,-46.2
1999,6,BS-CSMCI-BAL,Consumer confidence indicator,-24.5
1999,6,BS-ESI-I,Economic sentiment indicator,75.1
1999,6,BS-ICI-BAL,Industrial confidence indicator,-6.9
1999,6,BS-RCI-BAL,Retail confidence indicator,7.4
1999,7,BS-CCI-BAL,Construction confidence indicator,-42.7
1999,7,BS-CSMCI-BAL,Consumer confidence indicator,-25.9
1999,7,BS-ESI-I,Economic sentiment indicator,80.5
1999,7,BS-ICI-BAL,Industrial confidence indicator,-2.2
1999,7,BS-RCI-BAL,Retail confidence indicator,5.5
1999,8,BS-CCI-BAL,Construction confidence indicator,-40.7
1999,8,BS-CSMCI-BAL,Consumer confidence indicator,-29.1
1999,8,BS-ESI-I,Economic sentiment indicator,70.7
1999,8,BS-ICI-BAL,Industrial confidence indicator,-15.4
1999,8,BS-RCI-BAL,Retail confidence indicator,5.3
1999,9,BS-CCI-BAL,Construction confidence indicator,-43.9
1999,9,BS-CSMCI-BAL,Consumer confidence indicator,-30.3
1999,9,BS-ESI-I,Economic sentiment indicator,91.5
1999,9,BS-ICI-BAL,Industrial confidence indicator,9.5
1999,9,BS-RCI-BAL,Retail confidence indicator,13.7
1999,10,BS-CCI-BAL,Construction confidence indicator,-42.4
1999,10,BS-CSMCI-BAL,Consumer confidence indicator,-22.5
1999,10,BS-ESI-I,Economic sentiment indicator,87.4
1999,10,BS-ICI-BAL,Industrial confidence indicator,4.3
1999,10,BS-RCI-BAL,Retail confidence indicator,7.1
1999,11,BS-CCI-BAL,Construction confidence indicator,-37.2
1999,11,BS-CSMCI-BAL,Consumer confidence indicator,-23.0
1999,11,BS-ESI-I,Economic sentiment indicator,93.2
1999,11,BS-ICI-BAL,Industrial confidence indicator,12.7
