"Indicator","Territory","Weeks","Fuel type","Hodnota"
"Consumer price index of fuels (%)","Czechia","Week 24, 2026","Diesel","99.3"
"Consumer price index of fuels (%)","Czechia","Week 24, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2026","Petrol 95 O Natural","41.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2026","Diesel","38.46"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2026","LPG","22.72"
"Consumer price index of fuels (%)","Czechia","Week 23, 2026","Petrol 95 O Natural","96.4"
"Consumer price index of fuels (%)","Czechia","Week 23, 2026","Diesel","94.5"
"Consumer price index of fuels (%)","Czechia","Week 23, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2026","Petrol 95 O Natural","43.22"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2026","Diesel","40.69"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2026","LPG","22.73"
"Consumer price index of fuels (%)","Czechia","Week 22, 2026","Petrol 95 O Natural","102"
"Consumer price index of fuels (%)","Czechia","Week 22, 2026","Diesel","100"
"Consumer price index of fuels (%)","Czechia","Week 22, 2026","LPG","97.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2026","Petrol 95 O Natural","42.38"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2026","Diesel","40.69"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2026","LPG","23.34"
"Consumer price index of fuels (%)","Czechia","Week 21, 2026","Petrol 95 O Natural","99.5"
"Consumer price index of fuels (%)","Czechia","Week 21, 2026","Diesel","95.5"
"Consumer price index of fuels (%)","Czechia","Week 21, 2026","LPG","102.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2026","Petrol 95 O Natural","42.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2026","Diesel","42.59"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2026","LPG","22.77"
"Consumer price index of fuels (%)","Czechia","Week 20, 2026","Petrol 95 O Natural","100.8"
"Consumer price index of fuels (%)","Czechia","Week 20, 2026","Diesel","99"
"Consumer price index of fuels (%)","Czechia","Week 20, 2026","LPG","96.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2026","Petrol 95 O Natural","42.28"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2026","Diesel","43.03"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2026","LPG","23.58"
"Consumer price index of fuels (%)","Czechia","Week 19, 2026","Petrol 95 O Natural","103.1"
"Consumer price index of fuels (%)","Czechia","Week 19, 2026","Diesel","103.5"
"Consumer price index of fuels (%)","Czechia","Week 19, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2026","Petrol 95 O Natural","41"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2026","Diesel","41.59"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2026","LPG","23.59"
"Consumer price index of fuels (%)","Czechia","Week 18, 2026","Petrol 95 O Natural","100.9"
"Consumer price index of fuels (%)","Czechia","Week 18, 2026","Diesel","97.5"
"Consumer price index of fuels (%)","Czechia","Week 18, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2026","Petrol 95 O Natural","40.62"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2026","Diesel","42.65"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2026","LPG","23.58"
"Consumer price index of fuels (%)","Czechia","Week 17, 2026","Petrol 95 O Natural","98.4"
"Consumer price index of fuels (%)","Czechia","Week 17, 2026","Diesel","93.6"
"Consumer price index of fuels (%)","Czechia","Week 17, 2026","LPG","100.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2026","Petrol 95 O Natural","41.27"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2026","Diesel","45.57"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2026","LPG","23.52"
"Consumer price index of fuels (%)","Czechia","Week 16, 2026","Petrol 95 O Natural","99.4"
"Consumer price index of fuels (%)","Czechia","Week 16, 2026","Diesel","94"
"Consumer price index of fuels (%)","Czechia","Week 16, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2026","Petrol 95 O Natural","41.52"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2026","Diesel","48.49"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2026","LPG","23.53"
"Consumer price index of fuels (%)","Czechia","Week 15, 2026","Petrol 95 O Natural","100.3"
"Consumer price index of fuels (%)","Czechia","Week 15, 2026","Diesel","100.4"
"Consumer price index of fuels (%)","Czechia","Week 15, 2026","LPG","104.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2026","Petrol 95 O Natural","41.38"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2026","Diesel","48.29"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2026","LPG","22.6"
"Consumer price index of fuels (%)","Czechia","Week 14, 2026","Petrol 95 O Natural","101.3"
"Consumer price index of fuels (%)","Czechia","Week 14, 2026","Diesel","103.1"
"Consumer price index of fuels (%)","Czechia","Week 14, 2026","LPG","109.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2026","Petrol 95 O Natural","40.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2026","Diesel","46.85"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2026","LPG","20.57"
"Consumer price index of fuels (%)","Czechia","Week 13, 2026","Petrol 95 O Natural","107"
"Consumer price index of fuels (%)","Czechia","Week 13, 2026","Diesel","110.1"
"Consumer price index of fuels (%)","Czechia","Week 13, 2026","LPG","103.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2026","Petrol 95 O Natural","38.15"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2026","Diesel","42.54"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2026","LPG","19.83"
"Consumer price index of fuels (%)","Czechia","Week 12, 2026","Petrol 95 O Natural","105.6"
"Consumer price index of fuels (%)","Czechia","Week 12, 2026","Diesel","109.3"
"Consumer price index of fuels (%)","Czechia","Week 12, 2026","LPG","103.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2026","Petrol 95 O Natural","36.14"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2026","Diesel","38.93"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2026","LPG","19.24"
"Consumer price index of fuels (%)","Czechia","Week 11, 2026","Petrol 95 O Natural","107"
"Consumer price index of fuels (%)","Czechia","Week 11, 2026","Diesel","116.2"
"Consumer price index of fuels (%)","Czechia","Week 11, 2026","LPG","102.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2026","Petrol 95 O Natural","33.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2026","Diesel","33.49"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2026","LPG","18.84"
"Consumer price index of fuels (%)","Czechia","Week 10, 2026","Petrol 95 O Natural","101.7"
"Consumer price index of fuels (%)","Czechia","Week 10, 2026","Diesel","101.5"
"Consumer price index of fuels (%)","Czechia","Week 10, 2026","LPG","100.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2026","Petrol 95 O Natural","33.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2026","Diesel","33"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2026","LPG","18.83"
"Consumer price index of fuels (%)","Czechia","Week 09, 2026","Petrol 95 O Natural","100.3"
"Consumer price index of fuels (%)","Czechia","Week 09, 2026","Diesel","100.2"
"Consumer price index of fuels (%)","Czechia","Week 09, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2026","Petrol 95 O Natural","33.14"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2026","Diesel","32.92"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2026","LPG","18.83"
"Consumer price index of fuels (%)","Czechia","Week 08, 2026","Petrol 95 O Natural","99.7"
"Consumer price index of fuels (%)","Czechia","Week 08, 2026","Diesel","99.8"
"Consumer price index of fuels (%)","Czechia","Week 08, 2026","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2026","Petrol 95 O Natural","33.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2026","Diesel","32.99"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2026","LPG","18.85"
"Consumer price index of fuels (%)","Czechia","Week 07, 2026","Petrol 95 O Natural","100"
"Consumer price index of fuels (%)","Czechia","Week 07, 2026","Diesel","100.5"
"Consumer price index of fuels (%)","Czechia","Week 07, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2026","Petrol 95 O Natural","33.22"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2026","Diesel","32.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2026","LPG","18.85"
"Consumer price index of fuels (%)","Czechia","Week 06, 2026","Petrol 95 O Natural","100.7"
"Consumer price index of fuels (%)","Czechia","Week 06, 2026","Diesel","100.9"
"Consumer price index of fuels (%)","Czechia","Week 06, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2026","Petrol 95 O Natural","33"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2026","Diesel","32.53"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2026","LPG","18.85"
"Consumer price index of fuels (%)","Czechia","Week 05, 2026","Petrol 95 O Natural","100.4"
"Consumer price index of fuels (%)","Czechia","Week 05, 2026","Diesel","100.6"
"Consumer price index of fuels (%)","Czechia","Week 05, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2026","Petrol 95 O Natural","32.88"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2026","Diesel","32.34"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2026","LPG","18.85"
"Consumer price index of fuels (%)","Czechia","Week 04, 2026","Petrol 95 O Natural","99.9"
"Consumer price index of fuels (%)","Czechia","Week 04, 2026","Diesel","99.9"
"Consumer price index of fuels (%)","Czechia","Week 04, 2026","LPG","101.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2026","Petrol 95 O Natural","32.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2026","Diesel","32.36"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2026","LPG","18.65"
"Consumer price index of fuels (%)","Czechia","Week 03, 2026","Petrol 95 O Natural","99.5"
"Consumer price index of fuels (%)","Czechia","Week 03, 2026","Diesel","99.6"
"Consumer price index of fuels (%)","Czechia","Week 03, 2026","LPG","104.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2026","Petrol 95 O Natural","33.06"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2026","Diesel","32.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2026","LPG","17.79"
"Consumer price index of fuels (%)","Czechia","Week 02, 2026","Petrol 95 O Natural","99.4"
"Consumer price index of fuels (%)","Czechia","Week 02, 2026","Diesel","99.5"
"Consumer price index of fuels (%)","Czechia","Week 02, 2026","LPG","105"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2026","Petrol 95 O Natural","33.25"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2026","Diesel","32.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2026","LPG","16.95"
"Consumer price index of fuels (%)","Czechia","Week 01, 2026","Petrol 95 O Natural","99.8"
"Consumer price index of fuels (%)","Czechia","Week 01, 2026","Diesel","99.8"
"Consumer price index of fuels (%)","Czechia","Week 01, 2026","LPG","102.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 52, 2025","Petrol 95 O Natural","33.32"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 52, 2025","Diesel","32.72"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 52, 2025","LPG","16.51"
"Consumer price index of fuels (%)","Czechia","Week 52, 2025","Petrol 95 O Natural","98.3"
"Consumer price index of fuels (%)","Czechia","Week 52, 2025","Diesel","97.8"
"Consumer price index of fuels (%)","Czechia","Week 52, 2025","LPG","100.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2025","Petrol 95 O Natural","33.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2025","Diesel","33.47"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2025","LPG","16.44"
"Consumer price index of fuels (%)","Czechia","Week 51, 2025","Petrol 95 O Natural","98.8"
"Consumer price index of fuels (%)","Czechia","Week 51, 2025","Diesel","98.4"
"Consumer price index of fuels (%)","Czechia","Week 51, 2025","LPG","98.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2025","Petrol 95 O Natural","34.32"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2025","Diesel","34.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2025","LPG","16.64"
"Consumer price index of fuels (%)","Czechia","Week 50, 2025","Petrol 95 O Natural","99.1"
"Consumer price index of fuels (%)","Czechia","Week 50, 2025","Diesel","98.3"
"Consumer price index of fuels (%)","Czechia","Week 50, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2025","Petrol 95 O Natural","34.63"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2025","Diesel","34.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2025","LPG","16.66"
"Consumer price index of fuels (%)","Czechia","Week 49, 2025","Petrol 95 O Natural","99.2"
"Consumer price index of fuels (%)","Czechia","Week 49, 2025","Diesel","99.6"
"Consumer price index of fuels (%)","Czechia","Week 49, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2025","Petrol 95 O Natural","34.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2025","Diesel","34.75"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2025","LPG","16.67"
"Consumer price index of fuels (%)","Czechia","Week 48, 2025","Petrol 95 O Natural","100.6"
"Consumer price index of fuels (%)","Czechia","Week 48, 2025","Diesel","101.4"
"Consumer price index of fuels (%)","Czechia","Week 48, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2025","Petrol 95 O Natural","34.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2025","Diesel","34.26"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2025","LPG","16.69"
"Consumer price index of fuels (%)","Czechia","Week 47, 2025","Petrol 95 O Natural","100.5"
"Consumer price index of fuels (%)","Czechia","Week 47, 2025","Diesel","101.5"
"Consumer price index of fuels (%)","Czechia","Week 47, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2025","Petrol 95 O Natural","34.54"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2025","Diesel","33.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2025","LPG","16.7"
"Consumer price index of fuels (%)","Czechia","Week 46, 2025","Petrol 95 O Natural","100.2"
"Consumer price index of fuels (%)","Czechia","Week 46, 2025","Diesel","101.2"
"Consumer price index of fuels (%)","Czechia","Week 46, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2025","Petrol 95 O Natural","34.46"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2025","Diesel","33.37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2025","LPG","16.71"
"Consumer price index of fuels (%)","Czechia","Week 45, 2025","Petrol 95 O Natural","100.7"
"Consumer price index of fuels (%)","Czechia","Week 45, 2025","Diesel","101.2"
"Consumer price index of fuels (%)","Czechia","Week 45, 2025","LPG","99.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2025","Petrol 95 O Natural","34.22"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2025","Diesel","32.99"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2025","LPG","16.77"
"Consumer price index of fuels (%)","Czechia","Week 44, 2025","Petrol 95 O Natural","100"
"Consumer price index of fuels (%)","Czechia","Week 44, 2025","Diesel","100"
"Consumer price index of fuels (%)","Czechia","Week 44, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2025","Petrol 95 O Natural","34.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2025","Diesel","32.99"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2025","LPG","16.78"
"Consumer price index of fuels (%)","Czechia","Week 43, 2025","Petrol 95 O Natural","99.6"
"Consumer price index of fuels (%)","Czechia","Week 43, 2025","Diesel","99.1"
"Consumer price index of fuels (%)","Czechia","Week 43, 2025","LPG","99.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2025","Petrol 95 O Natural","34.37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2025","Diesel","33.28"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2025","LPG","16.9"
"Consumer price index of fuels (%)","Czechia","Week 42, 2025","Petrol 95 O Natural","100"
"Consumer price index of fuels (%)","Czechia","Week 42, 2025","Diesel","100"
"Consumer price index of fuels (%)","Czechia","Week 42, 2025","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2025","Petrol 95 O Natural","34.38"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2025","Diesel","33.28"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2025","LPG","16.9"
"Consumer price index of fuels (%)","Czechia","Week 41, 2025","Petrol 95 O Natural","100"
"Consumer price index of fuels (%)","Czechia","Week 41, 2025","Diesel","100"
"Consumer price index of fuels (%)","Czechia","Week 41, 2025","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2025","Petrol 95 O Natural","34.39"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2025","Diesel","33.29"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2025","LPG","16.9"
"Consumer price index of fuels (%)","Czechia","Week 40, 2025","Petrol 95 O Natural","100.1"
"Consumer price index of fuels (%)","Czechia","Week 40, 2025","Diesel","100.1"
"Consumer price index of fuels (%)","Czechia","Week 40, 2025","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2025","Petrol 95 O Natural","34.36"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2025","Diesel","33.25"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2025","LPG","16.9"
"Consumer price index of fuels (%)","Czechia","Week 39, 2025","Petrol 95 O Natural","100"
"Consumer price index of fuels (%)","Czechia","Week 39, 2025","Diesel","100.1"
"Consumer price index of fuels (%)","Czechia","Week 39, 2025","LPG","99.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2025","Petrol 95 O Natural","34.36"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2025","Diesel","33.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2025","LPG","16.95"
"Consumer price index of fuels (%)","Czechia","Week 38, 2025","Petrol 95 O Natural","100.2"
"Consumer price index of fuels (%)","Czechia","Week 38, 2025","Diesel","100.2"
"Consumer price index of fuels (%)","Czechia","Week 38, 2025","LPG","100.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2025","Petrol 95 O Natural","34.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2025","Diesel","33.17"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2025","LPG","16.92"
"Consumer price index of fuels (%)","Czechia","Week 37, 2025","Petrol 95 O Natural","100.3"
"Consumer price index of fuels (%)","Czechia","Week 37, 2025","Diesel","100.5"
"Consumer price index of fuels (%)","Czechia","Week 37, 2025","LPG","99.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2025","Petrol 95 O Natural","34.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2025","Diesel","33.02"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2025","LPG","16.96"
"Consumer price index of fuels (%)","Czechia","Week 36, 2025","Petrol 95 O Natural","99.8"
"Consumer price index of fuels (%)","Czechia","Week 36, 2025","Diesel","99.8"
"Consumer price index of fuels (%)","Czechia","Week 36, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2025","Petrol 95 O Natural","34.26"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2025","Diesel","33.09"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2025","LPG","16.98"
"Consumer price index of fuels (%)","Czechia","Week 35, 2025","Petrol 95 O Natural","99.5"
"Consumer price index of fuels (%)","Czechia","Week 35, 2025","Diesel","99.3"
"Consumer price index of fuels (%)","Czechia","Week 35, 2025","LPG","99.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2025","Petrol 95 O Natural","34.42"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2025","Diesel","33.34"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2025","LPG","17.05"
"Consumer price index of fuels (%)","Czechia","Week 34, 2025","Petrol 95 O Natural","99.7"
"Consumer price index of fuels (%)","Czechia","Week 34, 2025","Diesel","98.4"
"Consumer price index of fuels (%)","Czechia","Week 34, 2025","LPG","99.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2025","Petrol 95 O Natural","34.52"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2025","Diesel","33.88"
