origin,as_of,band,config,n_validation,reason,validation_last_release
2021-05,2021-06-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2021-05,2021-06-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-06,2021-07-12 23:59:00,0,a30_wexpanding,9,insufficient_validation,2021-06-10 09:00:00
2021-06,2021-07-12 23:59:00,1,a30_wexpanding,3,insufficient_validation,2021-06-10 09:00:00
2021-06,2021-07-12 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2021-06,2021-07-12 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-07,2021-08-09 23:59:00,0,a30_wexpanding,10,insufficient_validation,2021-07-13 09:00:00
2021-07,2021-08-09 23:59:00,1,a30_wexpanding,4,insufficient_validation,2021-07-13 09:00:00
2021-07,2021-08-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2021-07,2021-08-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-08,2021-09-09 23:59:00,0,a30_wexpanding,11,insufficient_validation,2021-08-10 09:00:00
2021-08,2021-09-09 23:59:00,1,a30_wexpanding,5,insufficient_validation,2021-08-10 09:00:00
2021-08,2021-09-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2021-08,2021-09-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-09,2021-10-10 23:59:00,0,a30_wexpanding,12,insufficient_validation,2021-09-10 09:00:00
2021-09,2021-10-10 23:59:00,1,a30_wexpanding,6,insufficient_validation,2021-09-10 09:00:00
2021-09,2021-10-10 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2021-09,2021-10-10 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-10,2021-11-09 23:59:00,0,a30_wexpanding,13,insufficient_validation,2021-10-11 09:00:00
2021-10,2021-11-09 23:59:00,1,a30_wexpanding,7,insufficient_validation,2021-10-11 09:00:00
2021-10,2021-11-09 23:59:00,2,a30_wexpanding,1,insufficient_validation,2021-10-11 09:00:00
2021-10,2021-11-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-11,2021-12-09 23:59:00,0,a30_wexpanding,14,insufficient_validation,2021-11-10 09:00:00
2021-11,2021-12-09 23:59:00,1,a30_wexpanding,8,insufficient_validation,2021-11-10 09:00:00
2021-11,2021-12-09 23:59:00,2,a30_wexpanding,2,insufficient_validation,2021-11-10 09:00:00
2021-11,2021-12-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-12,2022-01-11 23:59:00,0,a30_wexpanding,15,insufficient_validation,2021-12-10 09:00:00
2021-12,2022-01-11 23:59:00,1,a30_wexpanding,9,insufficient_validation,2021-12-10 09:00:00
2021-12,2022-01-11 23:59:00,2,a30_wexpanding,3,insufficient_validation,2021-12-10 09:00:00
2021-12,2022-01-11 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2022-01,2022-02-13 23:59:00,0,a30_wexpanding,16,insufficient_validation,2022-01-12 09:00:00
2022-01,2022-02-13 23:59:00,1,a30_wexpanding,10,insufficient_validation,2022-01-12 09:00:00
2022-01,2022-02-13 23:59:00,2,a30_wexpanding,4,insufficient_validation,2022-01-12 09:00:00
2022-01,2022-02-13 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2022-02,2022-03-09 23:59:00,0,a30_wexpanding,17,insufficient_validation,2022-02-14 09:00:00
2022-02,2022-03-09 23:59:00,1,a30_wexpanding,11,insufficient_validation,2022-02-14 09:00:00
2022-02,2022-03-09 23:59:00,2,a30_wexpanding,5,insufficient_validation,2022-02-14 09:00:00
2022-02,2022-03-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2022-03,2022-04-10 23:59:00,0,a30_wexpanding,18,insufficient_validation,2022-03-10 09:00:00
2022-03,2022-04-10 23:59:00,1,a30_wexpanding,12,insufficient_validation,2022-03-10 09:00:00
2022-03,2022-04-10 23:59:00,2,a30_wexpanding,6,insufficient_validation,2022-03-10 09:00:00
2022-03,2022-04-10 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2022-04,2022-05-09 23:59:00,0,a30_wexpanding,19,insufficient_validation,2022-04-11 09:00:00
2022-04,2022-05-09 23:59:00,1,a30_wexpanding,13,insufficient_validation,2022-04-11 09:00:00
2022-04,2022-05-09 23:59:00,2,a30_wexpanding,7,insufficient_validation,2022-04-11 09:00:00
2022-04,2022-05-09 23:59:00,3,a30_wexpanding,1,insufficient_validation,2022-04-11 09:00:00
2022-05,2022-06-09 23:59:00,0,a30_wexpanding,20,insufficient_validation,2022-05-10 09:00:00
2022-05,2022-06-09 23:59:00,1,a30_wexpanding,14,insufficient_validation,2022-05-10 09:00:00
2022-05,2022-06-09 23:59:00,2,a30_wexpanding,8,insufficient_validation,2022-05-10 09:00:00
2022-05,2022-06-09 23:59:00,3,a30_wexpanding,2,insufficient_validation,2022-05-10 09:00:00
2022-06,2022-07-12 23:59:00,0,a30_wexpanding,21,insufficient_validation,2022-06-10 09:00:00
2022-06,2022-07-12 23:59:00,1,a30_wexpanding,15,insufficient_validation,2022-06-10 09:00:00
2022-06,2022-07-12 23:59:00,2,a30_wexpanding,9,insufficient_validation,2022-06-10 09:00:00
2022-06,2022-07-12 23:59:00,3,a30_wexpanding,3,insufficient_validation,2022-06-10 09:00:00
2022-07,2022-08-09 23:59:00,0,a30_wexpanding,22,insufficient_validation,2022-07-13 09:00:00
2022-07,2022-08-09 23:59:00,1,a30_wexpanding,16,insufficient_validation,2022-07-13 09:00:00
2022-07,2022-08-09 23:59:00,2,a30_wexpanding,10,insufficient_validation,2022-07-13 09:00:00
2022-07,2022-08-09 23:59:00,3,a30_wexpanding,4,insufficient_validation,2022-07-13 09:00:00
2022-08,2022-09-11 23:59:00,0,a30_wexpanding,23,insufficient_validation,2022-08-10 09:00:00
2022-08,2022-09-11 23:59:00,1,a30_wexpanding,17,insufficient_validation,2022-08-10 09:00:00
2022-08,2022-09-11 23:59:00,2,a30_wexpanding,11,insufficient_validation,2022-08-10 09:00:00
2022-08,2022-09-11 23:59:00,3,a30_wexpanding,5,insufficient_validation,2022-08-10 09:00:00
2022-09,2022-10-10 23:59:00,0,a300_wexpanding,24,minimum_prior_mse,2022-09-12 09:00:00
2022-09,2022-10-10 23:59:00,1,a30_wexpanding,18,insufficient_validation,2022-09-12 09:00:00
2022-09,2022-10-10 23:59:00,2,a30_wexpanding,12,insufficient_validation,2022-09-12 09:00:00
2022-09,2022-10-10 23:59:00,3,a30_wexpanding,6,insufficient_validation,2022-09-12 09:00:00
2022-10,2022-11-09 23:59:00,0,a300_wexpanding,25,minimum_prior_mse,2022-10-11 09:00:00
2022-10,2022-11-09 23:59:00,1,a30_wexpanding,19,insufficient_validation,2022-10-11 09:00:00
2022-10,2022-11-09 23:59:00,2,a30_wexpanding,13,insufficient_validation,2022-10-11 09:00:00
2022-10,2022-11-09 23:59:00,3,a30_wexpanding,7,insufficient_validation,2022-10-11 09:00:00
2022-11,2022-12-11 23:59:00,0,a300_wexpanding,26,minimum_prior_mse,2022-11-10 09:00:00
2022-11,2022-12-11 23:59:00,1,a30_wexpanding,20,insufficient_validation,2022-11-10 09:00:00
2022-11,2022-12-11 23:59:00,2,a30_wexpanding,14,insufficient_validation,2022-11-10 09:00:00
2022-11,2022-12-11 23:59:00,3,a30_wexpanding,8,insufficient_validation,2022-11-10 09:00:00
2022-12,2023-01-10 23:59:00,0,a300_wexpanding,27,minimum_prior_mse,2022-12-12 09:00:00
2022-12,2023-01-10 23:59:00,1,a30_wexpanding,21,insufficient_validation,2022-12-12 09:00:00
2022-12,2023-01-10 23:59:00,2,a30_wexpanding,15,insufficient_validation,2022-12-12 09:00:00
2022-12,2023-01-10 23:59:00,3,a30_wexpanding,9,insufficient_validation,2022-12-12 09:00:00
2023-01,2023-02-09 23:59:00,0,a300_wexpanding,28,minimum_prior_mse,2023-01-11 09:00:00
2023-01,2023-02-09 23:59:00,1,a30_wexpanding,22,insufficient_validation,2023-01-11 09:00:00
2023-01,2023-02-09 23:59:00,2,a30_wexpanding,16,insufficient_validation,2023-01-11 09:00:00
2023-01,2023-02-09 23:59:00,3,a30_wexpanding,10,insufficient_validation,2023-01-11 09:00:00
2023-02,2023-03-09 23:59:00,0,a300_wexpanding,29,minimum_prior_mse,2023-02-10 09:00:00
2023-02,2023-03-09 23:59:00,1,a30_wexpanding,23,insufficient_validation,2023-02-10 09:00:00
2023-02,2023-03-09 23:59:00,2,a30_wexpanding,17,insufficient_validation,2023-02-10 09:00:00
2023-02,2023-03-09 23:59:00,3,a30_wexpanding,11,insufficient_validation,2023-02-10 09:00:00
2023-03,2023-04-12 23:59:00,0,a300_wexpanding,30,minimum_prior_mse,2023-03-10 09:00:00
2023-03,2023-04-12 23:59:00,1,a300_wexpanding,24,minimum_prior_mse,2023-03-10 09:00:00
2023-03,2023-04-12 23:59:00,2,a30_wexpanding,18,insufficient_validation,2023-03-10 09:00:00
2023-03,2023-04-12 23:59:00,3,a30_wexpanding,12,insufficient_validation,2023-03-10 09:00:00
2023-04,2023-05-10 23:59:00,0,a300_wexpanding,31,minimum_prior_mse,2023-04-13 09:00:00
2023-04,2023-05-10 23:59:00,1,a300_wexpanding,25,minimum_prior_mse,2023-04-13 09:00:00
2023-04,2023-05-10 23:59:00,2,a30_wexpanding,19,insufficient_validation,2023-04-13 09:00:00
2023-04,2023-05-10 23:59:00,3,a30_wexpanding,13,insufficient_validation,2023-04-13 09:00:00
2023-05,2023-06-11 23:59:00,0,a300_wexpanding,32,minimum_prior_mse,2023-05-11 09:00:00
2023-05,2023-06-11 23:59:00,1,a300_wexpanding,26,minimum_prior_mse,2023-05-11 09:00:00
2023-05,2023-06-11 23:59:00,2,a30_wexpanding,20,insufficient_validation,2023-05-11 09:00:00
2023-05,2023-06-11 23:59:00,3,a30_wexpanding,14,insufficient_validation,2023-05-11 09:00:00
2023-06,2023-07-12 23:59:00,0,a300_wexpanding,33,minimum_prior_mse,2023-06-12 09:00:00
2023-06,2023-07-12 23:59:00,1,a300_wexpanding,27,minimum_prior_mse,2023-06-12 09:00:00
2023-06,2023-07-12 23:59:00,2,a30_wexpanding,21,insufficient_validation,2023-06-12 09:00:00
2023-06,2023-07-12 23:59:00,3,a30_wexpanding,15,insufficient_validation,2023-06-12 09:00:00
2023-07,2023-08-09 23:59:00,0,a300_wexpanding,34,minimum_prior_mse,2023-07-13 09:00:00
2023-07,2023-08-09 23:59:00,1,a300_wexpanding,28,minimum_prior_mse,2023-07-13 09:00:00
2023-07,2023-08-09 23:59:00,2,a30_wexpanding,22,insufficient_validation,2023-07-13 09:00:00
2023-07,2023-08-09 23:59:00,3,a30_wexpanding,16,insufficient_validation,2023-07-13 09:00:00
2023-08,2023-09-10 23:59:00,0,a300_wexpanding,35,minimum_prior_mse,2023-08-10 09:00:00
2023-08,2023-09-10 23:59:00,1,a300_wexpanding,29,minimum_prior_mse,2023-08-10 09:00:00
2023-08,2023-09-10 23:59:00,2,a30_wexpanding,23,insufficient_validation,2023-08-10 09:00:00
2023-08,2023-09-10 23:59:00,3,a30_wexpanding,17,insufficient_validation,2023-08-10 09:00:00
2023-09,2023-10-09 23:59:00,0,a300_wexpanding,36,minimum_prior_mse,2023-09-11 09:00:00
2023-09,2023-10-09 23:59:00,1,a300_wexpanding,30,minimum_prior_mse,2023-09-11 09:00:00
2023-09,2023-10-09 23:59:00,2,a300_wexpanding,24,minimum_prior_mse,2023-09-11 09:00:00
2023-09,2023-10-09 23:59:00,3,a30_wexpanding,18,insufficient_validation,2023-09-11 09:00:00
2023-10,2023-11-09 23:59:00,0,a300_wexpanding,36,minimum_prior_mse,2023-10-10 09:00:00
2023-10,2023-11-09 23:59:00,1,a300_wexpanding,31,minimum_prior_mse,2023-10-10 09:00:00
2023-10,2023-11-09 23:59:00,2,a300_wexpanding,25,minimum_prior_mse,2023-10-10 09:00:00
2023-10,2023-11-09 23:59:00,3,a30_wexpanding,19,insufficient_validation,2023-10-10 09:00:00
2023-11,2023-12-10 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2023-11-10 09:00:00
2023-11,2023-12-10 23:59:00,1,a300_wexpanding,32,minimum_prior_mse,2023-11-10 09:00:00
2023-11,2023-12-10 23:59:00,2,a300_wexpanding,26,minimum_prior_mse,2023-11-10 09:00:00
2023-11,2023-12-10 23:59:00,3,a30_wexpanding,20,insufficient_validation,2023-11-10 09:00:00
2023-12,2024-01-10 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2023-12-11 09:00:00
2023-12,2024-01-10 23:59:00,1,a300_wexpanding,33,minimum_prior_mse,2023-12-11 09:00:00
2023-12,2024-01-10 23:59:00,2,a300_wexpanding,27,minimum_prior_mse,2023-12-11 09:00:00
2023-12,2024-01-10 23:59:00,3,a30_wexpanding,21,insufficient_validation,2023-12-11 09:00:00
2024-01,2024-02-14 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2024-01-11 09:00:00
2024-01,2024-02-14 23:59:00,1,a300_wexpanding,34,minimum_prior_mse,2024-01-11 09:00:00
2024-01,2024-02-14 23:59:00,2,a300_wexpanding,28,minimum_prior_mse,2024-01-11 09:00:00
2024-01,2024-02-14 23:59:00,3,a30_wexpanding,22,insufficient_validation,2024-01-11 09:00:00
2024-02,2024-03-10 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2024-02-15 09:00:00
2024-02,2024-03-10 23:59:00,1,a300_wexpanding,35,minimum_prior_mse,2024-02-15 09:00:00
2024-02,2024-03-10 23:59:00,2,a300_wexpanding,29,minimum_prior_mse,2024-02-15 09:00:00
2024-02,2024-03-10 23:59:00,3,a30_wexpanding,23,insufficient_validation,2024-02-15 09:00:00
2024-03,2024-04-09 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2024-03-11 09:00:00
2024-03,2024-04-09 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2024-03-11 09:00:00
2024-03,2024-04-09 23:59:00,2,a300_wexpanding,30,minimum_prior_mse,2024-03-11 09:00:00
2024-03,2024-04-09 23:59:00,3,a300_wexpanding,24,minimum_prior_mse,2024-03-11 09:00:00
2024-04,2024-05-12 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2024-04-10 09:00:00
2024-04,2024-05-12 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2024-04-10 09:00:00
2024-04,2024-05-12 23:59:00,2,a300_wexpanding,31,minimum_prior_mse,2024-04-10 09:00:00
2024-04,2024-05-12 23:59:00,3,a300_wexpanding,25,minimum_prior_mse,2024-04-10 09:00:00
2024-05,2024-06-10 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2024-05-13 09:00:00
2024-05,2024-06-10 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2024-05-13 09:00:00
2024-05,2024-06-10 23:59:00,2,a300_wexpanding,32,minimum_prior_mse,2024-05-13 09:00:00
2024-05,2024-06-10 23:59:00,3,a300_wexpanding,26,minimum_prior_mse,2024-05-13 09:00:00
2024-06,2024-07-09 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2024-06-11 09:00:00
2024-06,2024-07-09 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2024-06-11 09:00:00
2024-06,2024-07-09 23:59:00,2,a300_wexpanding,33,minimum_prior_mse,2024-06-11 09:00:00
2024-06,2024-07-09 23:59:00,3,a300_wexpanding,27,minimum_prior_mse,2024-06-11 09:00:00
2024-07,2024-08-11 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2024-07-10 09:00:00
2024-07,2024-08-11 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2024-07-10 09:00:00
2024-07,2024-08-11 23:59:00,2,a300_wexpanding,34,minimum_prior_mse,2024-07-10 09:00:00
2024-07,2024-08-11 23:59:00,3,a300_wexpanding,28,minimum_prior_mse,2024-07-10 09:00:00
2024-08,2024-09-09 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2024-08-12 09:00:00
2024-08,2024-09-09 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2024-08-12 09:00:00
2024-08,2024-09-09 23:59:00,2,a300_wexpanding,35,minimum_prior_mse,2024-08-12 09:00:00
2024-08,2024-09-09 23:59:00,3,a300_wexpanding,29,minimum_prior_mse,2024-08-12 09:00:00
2024-09,2024-10-09 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2024-09-10 09:00:00
2024-09,2024-10-09 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2024-09-10 09:00:00
2024-09,2024-10-09 23:59:00,2,a300_wexpanding,36,minimum_prior_mse,2024-09-10 09:00:00
2024-09,2024-10-09 23:59:00,3,a300_wexpanding,30,minimum_prior_mse,2024-09-10 09:00:00
2024-10,2024-11-10 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2024-10-10 09:00:00
2024-10,2024-11-10 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2024-10-10 09:00:00
2024-10,2024-11-10 23:59:00,2,a300_wexpanding,36,minimum_prior_mse,2024-10-10 09:00:00
2024-10,2024-11-10 23:59:00,3,a300_wexpanding,31,minimum_prior_mse,2024-10-10 09:00:00
2024-11,2024-12-09 23:59:00,0,a3_wexpanding,36,minimum_prior_mse,2024-11-11 09:00:00
2024-11,2024-12-09 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2024-11-11 09:00:00
2024-11,2024-12-09 23:59:00,2,a300_wexpanding,36,minimum_prior_mse,2024-11-11 09:00:00
2024-11,2024-12-09 23:59:00,3,a300_wexpanding,32,minimum_prior_mse,2024-11-11 09:00:00
2024-12,2025-01-12 23:59:00,0,a3_wexpanding,36,minimum_prior_mse,2024-12-10 09:00:00
2024-12,2025-01-12 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2024-12-10 09:00:00
2024-12,2025-01-12 23:59:00,2,a300_wexpanding,36,minimum_prior_mse,2024-12-10 09:00:00
2024-12,2025-01-12 23:59:00,3,a300_wexpanding,33,minimum_prior_mse,2024-12-10 09:00:00
2025-01,2025-02-05 23:59:00,0,a3_wexpanding,36,minimum_prior_mse,2025-01-13 09:00:00
2025-01,2025-02-05 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2025-01-13 09:00:00
2025-01,2025-02-05 23:59:00,2,a300_wexpanding,36,minimum_prior_mse,2025-01-13 09:00:00
2025-01,2025-02-05 23:59:00,3,a300_wexpanding,34,minimum_prior_mse,2025-01-13 09:00:00
2025-02,2025-03-04 23:59:00,0,a30_wexpanding,36,minimum_prior_mse,2025-02-12 09:00:00
2025-02,2025-03-04 23:59:00,1,a300_wexpanding,36,minimum_prior_mse,2025-02-12 09:00:00
2025-02,2025-03-04 23:59:00,2,a300_wexpanding,36,minimum_prior_mse,2025-02-12 09:00:00
