origin,target,h,model,mm_forecast,mm_actual,cumulative_log_forecast,cumulative_log_actual
2019-05,2019-11,6,CORE_LEVEL_RF_R14,,0.0,,1.188516952103802
2019-05,2019-12,7,CORE_LEVEL_RF_R14,,0.1,,1.2884669854121553
2019-05,2020-01,8,CORE_LEVEL_RF_R14,,0.8,,2.0852839503298424
2019-05,2020-02,9,CORE_LEVEL_RF_R14,,0.7,,2.7828453239723667
2019-05,2020-03,10,CORE_LEVEL_RF_R14,,-0.3,,2.4823944219424945
2019-05,2020-04,11,CORE_LEVEL_RF_R14,,0.2,,2.6821946882098002
2019-05,2020-05,12,CORE_LEVEL_RF_R14,,0.7,,3.3797560618523246
2019-05,2019-06,1,CORE_LEVEL_RIDGE_R14,,0.3,,0.2995508979798479
2019-05,2019-07,2,CORE_LEVEL_RIDGE_R14,,1.0,,1.2945839832966564
2019-05,2019-08,3,CORE_LEVEL_RIDGE_R14,,0.2,,1.4943842495639619
2019-05,2019-09,4,CORE_LEVEL_RIDGE_R14,,-0.9,,0.5903097843490555
2019-05,2019-10,5,CORE_LEVEL_RIDGE_R14,,0.6,,1.188516952103802
2019-05,2019-11,6,CORE_LEVEL_RIDGE_R14,,0.0,,1.188516952103802
2019-05,2019-12,7,CORE_LEVEL_RIDGE_R14,,0.1,,1.2884669854121553
2019-05,2020-01,8,CORE_LEVEL_RIDGE_R14,,0.8,,2.0852839503298424
2019-05,2020-02,9,CORE_LEVEL_RIDGE_R14,,0.7,,2.7828453239723667
2019-05,2020-03,10,CORE_LEVEL_RIDGE_R14,,-0.3,,2.4823944219424945
2019-05,2020-04,11,CORE_LEVEL_RIDGE_R14,,0.2,,2.6821946882098002
2019-05,2020-05,12,CORE_LEVEL_RIDGE_R14,,0.7,,3.3797560618523246
2019-05,2019-06,1,CORE_LOCAL_R14,0.2556630650790284,0.3,0.2553368030341818,0.2995508979798479
2019-05,2019-07,2,CORE_LOCAL_R14,0.5217767662545151,1.0,0.7757570310079835,1.2945839832966564
2019-05,2019-08,3,CORE_LOCAL_R14,0.21147432435112584,0.2,0.9870080631581778,1.4943842495639619
2019-05,2019-09,4,CORE_LOCAL_R14,-0.32869391916318663,-0.9,0.6577727588736803,0.5903097843490555
2019-05,2019-10,5,CORE_LOCAL_R14,0.41586836386386783,0.6,1.0727787802369482,1.188516952103802
2019-05,2019-11,6,CORE_LOCAL_R14,0.06287809612691944,0.0,1.135637116371709,1.188516952103802
2019-05,2019-12,7,CORE_LOCAL_R14,0.2313445134425138,0.1,1.3667144404007419,1.2884669854121553
2019-05,2020-01,8,CORE_LOCAL_R14,0.33801263703033224,0.8,1.7041570987559447,2.0852839503298424
2019-05,2020-02,9,CORE_LOCAL_R14,0.34662340048745666,0.7,2.050181144936769,2.7828453239723667
2019-05,2020-03,10,CORE_LOCAL_R14,0.07710179613675731,-0.3,2.1272532329080605,2.4823944219424945
2019-05,2020-04,11,CORE_LOCAL_R14,0.47523552858705137,0.2,2.6013630824659066,2.6821946882098002
2019-05,2020-05,12,CORE_LOCAL_R14,0.18634709581031408,0.7,2.7875367674728793,3.3797560618523246
2019-06,2019-07,1,CORE_GAP_ADAPT_R14,,1.0,,0.9950330853168083
2019-06,2019-08,2,CORE_GAP_ADAPT_R14,,0.2,,1.1948333515841139
2019-06,2019-09,3,CORE_GAP_ADAPT_R14,,-0.9,,0.29075888636920755
2019-06,2019-10,4,CORE_GAP_ADAPT_R14,,0.6,,0.888966054123954
