model,reference,sample,block,n,rmse_delta,lower,upper
HEADLINE_ENET_R21,HARD_FULL,full90,3,90,0.081455006612216,0.03396220873837469,0.12578579416586746
HEADLINE_ENET_R21,HARD_FULL,full90,6,90,0.081455006612216,0.039734628096841515,0.1179691636678289
HEADLINE_ENET_R21,HARD_FULL,full90,12,90,0.081455006612216,0.03073347883682977,0.1238837843018289
HEADLINE_ENET_R21,HARD_FULL,common_fitted,3,66,0.09711086146492598,0.04506159431402071,0.14880928585623562
HEADLINE_ENET_R21,HARD_FULL,common_fitted,6,66,0.09711086146492598,0.0547191152484272,0.139345967079382
HEADLINE_ENET_R21,HARD_FULL,common_fitted,12,66,0.09711086146492598,0.045505527898489294,0.14031809805789539
HEADLINE_ENET_R21,HARD_FULL,2024+,3,31,0.02052408716503662,-0.04006254053781972,0.08455218846560858
HEADLINE_ENET_R21,HARD_FULL,2024+,6,31,0.02052408716503662,-0.037912201955849434,0.07761615838172738
HEADLINE_ENET_R21,HARD_FULL,2024+,12,31,0.02052408716503662,-0.030766593200950463,0.06861523383622536
HEADLINE_MEAN_R21,HARD_BASE,full90,3,90,0.005839214419705918,-0.006365370506167127,0.015579376143866801
HEADLINE_MEAN_R21,HARD_BASE,full90,6,90,0.005839214419705918,-0.006170341062390795,0.015028058658670742
HEADLINE_MEAN_R21,HARD_BASE,full90,12,90,0.005839214419705918,-0.004655476989631845,0.013732721203630624
HEADLINE_MEAN_R21,HARD_BASE,common_fitted,3,66,0.007167624979072362,-0.007890613279778485,0.018887407521604338
HEADLINE_MEAN_R21,HARD_BASE,common_fitted,6,66,0.007167624979072362,-0.008143512588456466,0.018092624174678426
HEADLINE_MEAN_R21,HARD_BASE,common_fitted,12,66,0.007167624979072362,-0.006300905175836346,0.01656436613698219
HEADLINE_MEAN_R21,HARD_BASE,2024+,3,31,0.004670595971794617,0.0009381628201734105,0.008099028723661389
HEADLINE_MEAN_R21,HARD_BASE,2024+,6,31,0.004670595971794617,0.0018127512457731657,0.00707963374830905
HEADLINE_MEAN_R21,HARD_BASE,2024+,12,31,0.004670595971794617,0.002445192975811219,0.00658988474467026
HEADLINE_MEAN_R21,HARD_FULL,full90,3,90,0.009859914814215776,-0.01413317853893731,0.029931656380721094
HEADLINE_MEAN_R21,HARD_FULL,full90,6,90,0.009859914814215776,-0.00968543979046851,0.025359312408511584
HEADLINE_MEAN_R21,HARD_FULL,full90,12,90,0.009859914814215776,-0.010937761640773824,0.024699356349268883
HEADLINE_MEAN_R21,HARD_FULL,common_fitted,3,66,0.009938126926555768,-0.019875714797316896,0.032490751045501566
HEADLINE_MEAN_R21,HARD_FULL,common_fitted,6,66,0.009938126926555768,-0.014731622485720753,0.027975104062542205
HEADLINE_MEAN_R21,HARD_FULL,common_fitted,12,66,0.009938126926555768,-0.016049042194088543,0.028196814414794772
HEADLINE_MEAN_R21,HARD_FULL,2024+,3,31,-0.0016682227492694768,-0.019434657096977385,0.01641328607554633
HEADLINE_MEAN_R21,HARD_FULL,2024+,6,31,-0.0016682227492694768,-0.0175726980757289,0.01719963801970787
HEADLINE_MEAN_R21,HARD_FULL,2024+,12,31,-0.0016682227492694768,-0.016257273629480817,0.01878209640408523
