model,reference,omitted,rmse_delta,mae_delta
CORE_RF_MEAN_R21,HARD_BASE,2022-08,-0.004620812245748673,-0.004165522333474725
CORE_RF_MEAN_R21,HARD_BASE,2022-09,-0.004504739009432601,-0.00376375006987667
CORE_RF_MEAN_R21,HARD_BASE,2022-10,-0.00593542283596854,-0.003710990990594021
CORE_RF_MEAN_R21,HARD_BASE,2022-11,-0.0035087026789212827,-0.002822094504288941
CORE_RF_MEAN_R21,HARD_BASE,2022-12,-0.004516333135438311,-0.004605020393436632
CORE_RF_MEAN_R21,HARD_BASE,2023-01,-0.0022143879832756674,-0.002841062677700096
CORE_RF_MEAN_R21,HARD_BASE,2023-02,-0.004298242630627669,-0.0035354227918923398
CORE_RF_MEAN_R21,HARD_BASE,2023-03,-0.004313691456087787,-0.0036583082492523955
CORE_RF_MEAN_R21,HARD_BASE,2023-04,-0.004372226489364972,-0.0036657219005687414
CORE_RF_MEAN_R21,HARD_BASE,2023-05,-0.0042566119247252066,-0.0030897641688327204
CORE_RF_MEAN_R21,HARD_BASE,2023-06,-0.004244826150234249,-0.0035467268303994715
CORE_RF_MEAN_R21,HARD_BASE,2023-07,-0.004225641722922779,-0.0032643835631321894
CORE_RF_MEAN_R21,HARD_BASE,2023-08,-0.004535145669602669,-0.0039778311775253705
CORE_RF_MEAN_R21,HARD_BASE,2023-09,-0.00482481103016047,-0.004101269280238906
CORE_RF_MEAN_R21,HARD_BASE,2023-10,-0.0043678226449274105,-0.0037744288740801935
CORE_RF_MEAN_R21,HARD_BASE,2023-11,-0.004298845015225261,-0.0033644109283610946
CORE_RF_MEAN_R21,HARD_BASE,2023-12,-0.004627630814448336,-0.004114418820829913
CORE_RF_MEAN_R21,HARD_BASE,2024-01,-0.004205772628486704,-0.003565659608618321
CORE_RF_MEAN_R21,HARD_BASE,2024-02,-0.004308698238950859,-0.003434382018905058
CORE_RF_MEAN_R21,HARD_BASE,2024-03,-0.004491449375532808,-0.004342776744076626
CORE_RF_MEAN_R21,HARD_BASE,2024-04,-0.004217548682889927,-0.003392219693614529
CORE_RF_MEAN_R21,HARD_BASE,2024-05,-0.004866906714823982,-0.004587351338968815
CORE_RF_MEAN_R21,HARD_BASE,2024-06,-0.005652550098125708,-0.005013679764838852
CORE_RF_MEAN_R21,HARD_BASE,2024-07,-0.003980915714441258,-0.003358907200906147
CORE_RF_MEAN_R21,HARD_BASE,2024-08,-0.0041594336509861995,-0.0033554141989712294
CORE_RF_MEAN_R21,HARD_BASE,2024-09,-0.004518700689084443,-0.004496440535582846
CORE_RF_MEAN_R21,HARD_BASE,2024-10,-0.0042419774831682355,-0.0030004432137334947
CORE_RF_MEAN_R21,HARD_BASE,2024-11,-0.004331450612418741,-0.003815014478781853
CORE_RF_MEAN_R21,HARD_BASE,2024-12,-0.00425744336648437,-0.003578335728564197
CORE_RF_MEAN_R21,HARD_BASE,2025-01,-0.004115854785731121,-0.0031069838780158343
CORE_RF_MEAN_R21,HARD_BASE,2025-02,-0.004586617714960217,-0.00437757817339568
CORE_RF_MEAN_R21,HARD_BASE,2025-03,-0.004305358560106054,-0.0035936410686777664
CORE_RF_MEAN_R21,HARD_BASE,2025-04,-0.004190069077802061,-0.003472676479114145
CORE_RF_MEAN_R21,HARD_BASE,2025-05,-0.003944763108428451,-0.0029016636244291183
CORE_RF_MEAN_R21,HARD_BASE,2025-06,-0.004245691039385768,-0.0031993224359051498
CORE_RF_MEAN_R21,HARD_BASE,2025-07,-0.0043328807518770995,-0.0038906917904171223
CORE_RF_MEAN_R21,HARD_BASE,2025-08,-0.004314083731442597,-0.003540698104739115
CORE_RF_MEAN_R21,HARD_BASE,2025-09,-0.004220660165562884,-0.00327098360540079
CORE_RF_MEAN_R21,HARD_BASE,2025-10,-0.004006529243353707,-0.0031110564986169265
CORE_RF_MEAN_R21,HARD_BASE,2025-11,-0.004875026148684847,-0.004336554074116095
CORE_RF_MEAN_R21,HARD_BASE,2025-12,-0.004315676603461049,-0.0035389593503265537
CORE_RF_MEAN_R21,HARD_BASE,2026-01,-0.004288861557508239,-0.003226092498529065
CORE_RF_MEAN_R21,HARD_BASE,2026-02,-0.004531525537017633,-0.0041235429772164545
CORE_RF_MEAN_R21,HARD_BASE,2026-03,-0.004319241137837715,-0.003674337277824513
CORE_RF_MEAN_R21,HARD_BASE,2026-04,-0.004358217493902639,-0.0042619102008890075
CORE_RF_MEAN_R21,HARD_BASE,2026-05,-0.004519777188669527,-0.003963902967567323
CORE_RF_MEAN_R21,HARD_BASE,2026-06,-0.004209929371155885,-0.0034716603082247666
CORE_RF_MEAN_R21,HARD_BASE,2026-07,-0.004076701113750358,-0.0027646674223785195
CORE_RF_MEAN_R21,HARD_FULL,2019-02,-0.000411478198826587,-0.01117286397620848
CORE_RF_MEAN_R21,HARD_FULL,2019-03,-0.0003077598343985133,-0.010986641792611163
CORE_RF_MEAN_R21,HARD_FULL,2019-04,-0.0003002626682147014,-0.010897808983891477
CORE_RF_MEAN_R21,HARD_FULL,2019-05,0.0002234960912955164,-0.010379601526451177
CORE_RF_MEAN_R21,HARD_FULL,2019-06,5.716841360164926e-05,-0.009797760268591915
CORE_RF_MEAN_R21,HARD_FULL,2019-07,-0.0002923500582495131,-0.011004236677674917
CORE_RF_MEAN_R21,HARD_FULL,2019-08,-0.00028069154762183635,-0.01107013547181579
CORE_RF_MEAN_R21,HARD_FULL,2019-09,-0.0003329961945837123,-0.010955988210918866
CORE_RF_MEAN_R21,HARD_FULL,2019-10,-0.0003885844490419954,-0.011145221390925886
CORE_RF_MEAN_R21,HARD_FULL,2019-11,-0.0003011268338053985,-0.01098905405640882
CORE_RF_MEAN_R21,HARD_FULL,2019-12,-0.00023257348281785495,-0.010771805720574013
CORE_RF_MEAN_R21,HARD_FULL,2020-01,-0.00010290459169282062,-0.010741891069418696
CORE_RF_MEAN_R21,HARD_FULL,2020-02,-0.0002939393759405773,-0.011030156659872059
CORE_RF_MEAN_R21,HARD_FULL,2020-03,-0.00034852007832808507,-0.011054558917364565
CORE_RF_MEAN_R21,HARD_FULL,2020-04,-0.00028173720767016297,-0.01089239153255056
CORE_RF_MEAN_R21,HARD_FULL,2020-05,7.762630864549536e-06,-0.010299798946836691
CORE_RF_MEAN_R21,HARD_FULL,2020-06,-0.00028849452364659856,-0.010900018677163836
CORE_RF_MEAN_R21,HARD_FULL,2020-07,-0.00014779168749767813,-0.010317621994974158
CORE_RF_MEAN_R21,HARD_FULL,2020-08,-0.00024556464074365625,-0.010519818286676363
CORE_RF_MEAN_R21,HARD_FULL,2020-09,-0.00040663396675133523,-0.011162603633988355
CORE_RF_MEAN_R21,HARD_FULL,2020-10,-7.776006852089346e-06,-0.009902659110147483
CORE_RF_MEAN_R21,HARD_FULL,2020-11,-0.00023358278265595,-0.010764437599225407
CORE_RF_MEAN_R21,HARD_FULL,2020-12,0.00022280818539255343,-0.010329870131548402
CORE_RF_MEAN_R21,HARD_FULL,2021-01,-0.0006376877936052905,-0.011282810950983602
CORE_RF_MEAN_R21,HARD_FULL,2021-02,0.0004203280014198896,-0.010057684988642401
CORE_RF_MEAN_R21,HARD_FULL,2021-03,-0.0003057392873251352,-0.01106376299810613
CORE_RF_MEAN_R21,HARD_FULL,2021-04,-0.00019208480340088263,-0.010672598717472503
CORE_RF_MEAN_R21,HARD_FULL,2021-05,-0.0004892272457117097,-0.011082741171729804
CORE_RF_MEAN_R21,HARD_FULL,2021-06,-0.00015108386698509113,-0.010426663891431487
CORE_RF_MEAN_R21,HARD_FULL,2021-07,-0.00031427601550332307,-0.010923249110191047
CORE_RF_MEAN_R21,HARD_FULL,2021-08,0.0009759963913348324,-0.00993267222388966
CORE_RF_MEAN_R21,HARD_FULL,2021-09,-0.00022265540642263382,-0.010799862064943544
CORE_RF_MEAN_R21,HARD_FULL,2021-10,-0.00040983428060270555,-0.01123258549409023
CORE_RF_MEAN_R21,HARD_FULL,2021-11,0.0003146334910965054,-0.010375470551436838
CORE_RF_MEAN_R21,HARD_FULL,2021-12,0.0016097056606293458,-0.009338499974695325
CORE_RF_MEAN_R21,HARD_FULL,2022-01,-0.0002375348290618029,-0.010527760694873378
CORE_RF_MEAN_R21,HARD_FULL,2022-02,-0.0011268426746396387,-0.011971416721139494
CORE_RF_MEAN_R21,HARD_FULL,2022-03,3.6596857432846797e-05,-0.010699075039736494
CORE_RF_MEAN_R21,HARD_FULL,2022-04,-0.0032366110705430162,-0.012092275228846538
CORE_RF_MEAN_R21,HARD_FULL,2022-05,0.00023483343470120932,-0.009671281244311991
CORE_RF_MEAN_R21,HARD_FULL,2022-06,-0.00035916745258240956,-0.011544432703280816
CORE_RF_MEAN_R21,HARD_FULL,2022-07,0.0005240688335978461,-0.009654049341028315
CORE_RF_MEAN_R21,HARD_FULL,2022-08,3.645376925598409e-05,-0.010430017639259548
CORE_RF_MEAN_R21,HARD_FULL,2022-09,0.0013627512974230815,-0.009895597368822728
CORE_RF_MEAN_R21,HARD_FULL,2022-10,-0.009276819745303144,-0.011997500288911556
CORE_RF_MEAN_R21,HARD_FULL,2022-11,-0.00010463172926822306,-0.010681340493534586
CORE_RF_MEAN_R21,HARD_FULL,2022-12,-0.0002593414216066625,-0.010819248058885345
CORE_RF_MEAN_R21,HARD_FULL,2023-01,0.0031302589578056095,-0.009640337147741956
CORE_RF_MEAN_R21,HARD_FULL,2023-02,-0.00011259457827345054,-0.010111932314156635
CORE_RF_MEAN_R21,HARD_FULL,2023-03,-0.0007106095146151015,-0.012288954621851644
CORE_RF_MEAN_R21,HARD_FULL,2023-04,-0.0026194144889035154,-0.012236898405715235
CORE_RF_MEAN_R21,HARD_FULL,2023-05,0.00022189159376184708,-0.00891090934529748
CORE_RF_MEAN_R21,HARD_FULL,2023-06,0.001353919222201183,-0.00889111285475469
CORE_RF_MEAN_R21,HARD_FULL,2023-07,-3.506059827518282e-06,-0.009919821819081964
CORE_RF_MEAN_R21,HARD_FULL,2023-08,-0.0005222645182257901,-0.011230185222354638
CORE_RF_MEAN_R21,HARD_FULL,2023-09,-0.0013691856904610722,-0.011891138172143656
CORE_RF_MEAN_R21,HARD_FULL,2023-10,-0.00039821515990901,-0.011143763221931668
CORE_RF_MEAN_R21,HARD_FULL,2023-11,-0.00019081687595773333,-0.010115424603925227
CORE_RF_MEAN_R21,HARD_FULL,2023-12,-0.0007741652128258059,-0.011633058009573649
CORE_RF_MEAN_R21,HARD_FULL,2024-01,0.0014288059321050373,-0.0097200444309537
CORE_RF_MEAN_R21,HARD_FULL,2024-02,-0.0002368559312045937,-0.010342641141798059
CORE_RF_MEAN_R21,HARD_FULL,2024-03,-0.0004487809601746995,-0.011540998881824027
CORE_RF_MEAN_R21,HARD_FULL,2024-04,1.2972848556946914e-05,-0.010165797818054101
CORE_RF_MEAN_R21,HARD_FULL,2024-05,-0.0006845031086857301,-0.011525196387598247
CORE_RF_MEAN_R21,HARD_FULL,2024-06,-0.0009378830619680145,-0.011492447413704865
CORE_RF_MEAN_R21,HARD_FULL,2024-07,-0.0008140262258432562,-0.011378237850092343
CORE_RF_MEAN_R21,HARD_FULL,2024-08,0.0002022053765687315,-0.010028943412434377
CORE_RF_MEAN_R21,HARD_FULL,2024-09,0.0001245291433595308,-0.009942096459021998
CORE_RF_MEAN_R21,HARD_FULL,2024-10,-0.0002507548855624764,-0.010542910874996814
CORE_RF_MEAN_R21,HARD_FULL,2024-11,-0.0003006394713459537,-0.011288892892412417
CORE_RF_MEAN_R21,HARD_FULL,2024-12,-0.0007015099845631978,-0.011537132902886937
CORE_RF_MEAN_R21,HARD_FULL,2025-01,-0.0002196256135442165,-0.010694958589219816
CORE_RF_MEAN_R21,HARD_FULL,2025-02,-0.00040359968249870093,-0.011173384223071459
CORE_RF_MEAN_R21,HARD_FULL,2025-03,-0.000199442348991552,-0.010488862410125255
CORE_RF_MEAN_R21,HARD_FULL,2025-04,-0.0003929012657508113,-0.011056971913020075
CORE_RF_MEAN_R21,HARD_FULL,2025-05,-0.00015923566318315485,-0.010603539710831444
CORE_RF_MEAN_R21,HARD_FULL,2025-06,-0.00022227563422733132,-0.010496736792764139
CORE_RF_MEAN_R21,HARD_FULL,2025-07,-5.046441104239463e-05,-0.009768054650336255
CORE_RF_MEAN_R21,HARD_FULL,2025-08,-0.0002682704753003695,-0.010688631292035677
CORE_RF_MEAN_R21,HARD_FULL,2025-09,-0.0003541577109233973,-0.011417440022835956
CORE_RF_MEAN_R21,HARD_FULL,2025-10,-0.00048647616795410853,-0.011336134285956978
CORE_RF_MEAN_R21,HARD_FULL,2025-11,-0.0005652898832165243,-0.01120695478815964
CORE_RF_MEAN_R21,HARD_FULL,2025-12,-0.00027076483360094494,-0.01069431813667604
CORE_RF_MEAN_R21,HARD_FULL,2026-01,-0.000249962734799658,-0.010458372700531404
CORE_RF_MEAN_R21,HARD_FULL,2026-02,-0.00029216304263790516,-0.010903177366171468
CORE_RF_MEAN_R21,HARD_FULL,2026-03,-0.00026425282934167127,-0.010673197912164756
CORE_RF_MEAN_R21,HARD_FULL,2026-04,-0.0002779483030866392,-0.010885979246315569
CORE_RF_MEAN_R21,HARD_FULL,2026-05,-0.00019564492878765272,-0.010759644999237483
CORE_RF_MEAN_R21,HARD_FULL,2026-06,-0.00044590113914122487,-0.011211482571280518
CORE_RF_MEAN_R21,HARD_FULL,2026-07,-0.00033674709110859125,-0.011411291132820911
CORE_RF_MEDIAN_R21,HARD_BASE,2019-02,-0.004433459421047392,-0.004104859254411508
CORE_RF_MEDIAN_R21,HARD_BASE,2019-03,-0.004273543680653191,-0.003727434907460303
CORE_RF_MEDIAN_R21,HARD_BASE,2019-04,-0.004914951246577481,-0.004328380840200818
CORE_RF_MEDIAN_R21,HARD_BASE,2019-05,-0.0035013914126260093,-0.0027555031750410297
CORE_RF_MEDIAN_R21,HARD_BASE,2019-06,-0.0041777868374930915,-0.0033568007896365715
CORE_RF_MEDIAN_R21,HARD_BASE,2019-07,-0.0042027858463410395,-0.0035636265786874732
CORE_RF_MEDIAN_R21,HARD_BASE,2019-08,-0.004178186153433072,-0.0031251866198430123
CORE_RF_MEDIAN_R21,HARD_BASE,2019-09,-0.00433045640345836,-0.0036053726735191804
CORE_RF_MEDIAN_R21,HARD_BASE,2019-10,-0.003694808829774243,-0.0025136368284832677
CORE_RF_MEDIAN_R21,HARD_BASE,2019-11,-0.004092185097327894,-0.003093411601385654
CORE_RF_MEDIAN_R21,HARD_BASE,2019-12,-0.004040314084872876,-0.0030444630682290863
CORE_RF_MEDIAN_R21,HARD_BASE,2020-01,-0.0033369652082074763,-0.002782825869630967
CORE_RF_MEDIAN_R21,HARD_BASE,2020-02,-0.0041940353707217715,-0.0036315392240828803
CORE_RF_MEDIAN_R21,HARD_BASE,2020-03,-0.004166970630881228,-0.003356961977095285
CORE_RF_MEDIAN_R21,HARD_BASE,2020-04,-0.004159104194691066,-0.0033067618630250872
CORE_RF_MEDIAN_R21,HARD_BASE,2020-05,-0.004042784822586465,-0.003122298072009866
CORE_RF_MEDIAN_R21,HARD_BASE,2020-06,-0.004009580938859558,-0.003099928017401554
CORE_RF_MEDIAN_R21,HARD_BASE,2020-07,-0.004193279596040378,-0.003440186661108402
CORE_RF_MEDIAN_R21,HARD_BASE,2020-08,-0.004189980867276177,-0.0034383714192111614
CORE_RF_MEDIAN_R21,HARD_BASE,2020-09,-0.004203532643711372,-0.003438371419211217
CORE_RF_MEDIAN_R21,HARD_BASE,2020-10,-0.004234333078385888,-0.003917392170803835
CORE_RF_MEDIAN_R21,HARD_BASE,2020-11,-0.0041862273498843305,-0.003407800218745649
CORE_RF_MEDIAN_R21,HARD_BASE,2020-12,-0.004267156171127329,-0.0034880250078199726
CORE_RF_MEDIAN_R21,HARD_BASE,2021-01,-0.003277961257501738,-0.002520402370895458
CORE_RF_MEDIAN_R21,HARD_BASE,2021-02,-0.00462353259981696,-0.0041078444373592315
CORE_RF_MEDIAN_R21,HARD_BASE,2021-03,-0.004186879201002414,-0.0034051601631922
CORE_RF_MEDIAN_R21,HARD_BASE,2021-04,-0.0038021745873993984,-0.002638858597694249
CORE_RF_MEDIAN_R21,HARD_BASE,2021-05,-0.004451907512772857,-0.003689686526958058
CORE_RF_MEDIAN_R21,HARD_BASE,2021-06,-0.003962549671563453,-0.0027393598676114794
CORE_RF_MEDIAN_R21,HARD_BASE,2021-07,-0.003936170663859151,-0.0030948605642210913
CORE_RF_MEDIAN_R21,HARD_BASE,2021-08,-0.004585885304723314,-0.003731914584833851
CORE_RF_MEDIAN_R21,HARD_BASE,2021-09,-0.004113077991697411,-0.0033059357270711076
CORE_RF_MEDIAN_R21,HARD_BASE,2021-10,-0.0034614019444110244,-0.001977303623253601
CORE_RF_MEDIAN_R21,HARD_BASE,2021-11,-0.00387151547357395,-0.0031152136792807483
CORE_RF_MEDIAN_R21,HARD_BASE,2021-12,-0.004822132691376768,-0.004060056365135956
CORE_RF_MEDIAN_R21,HARD_BASE,2022-01,-0.004182160004697677,-0.0031772012406495187
CORE_RF_MEDIAN_R21,HARD_BASE,2022-02,-0.003577810984312202,-0.0027717500700283892
CORE_RF_MEDIAN_R21,HARD_BASE,2022-03,-0.004624222143288004,-0.0036244298188903845
CORE_RF_MEDIAN_R21,HARD_BASE,2022-04,-0.0040352412422483,-0.003303559527063127
CORE_RF_MEDIAN_R21,HARD_BASE,2022-05,-0.004414102010799226,-0.00459923478424451
CORE_RF_MEDIAN_R21,HARD_BASE,2022-06,-0.003634084406154814,-0.001501131456796756
CORE_RF_MEDIAN_R21,HARD_BASE,2022-07,-0.00502924155477269,-0.005302673239342359
CORE_RF_MEDIAN_R21,HARD_BASE,2022-08,-0.004436037584387376,-0.003823807402842383
CORE_RF_MEDIAN_R21,HARD_BASE,2022-09,-0.004559385736350563,-0.003622450645465014
CORE_RF_MEDIAN_R21,HARD_BASE,2022-10,-0.0038504482171005106,-0.003216739102034044
CORE_RF_MEDIAN_R21,HARD_BASE,2022-11,-0.003393931411580675,-0.002581539892073881
CORE_RF_MEDIAN_R21,HARD_BASE,2022-12,-0.004437907176239153,-0.00450547852073746
CORE_RF_MEDIAN_R21,HARD_BASE,2023-01,-0.0026365326238795284,-0.0027921678977818054
CORE_RF_MEDIAN_R21,HARD_BASE,2023-02,-0.004188966290695706,-0.003421261717110713
CORE_RF_MEDIAN_R21,HARD_BASE,2023-03,-0.004201532160906185,-0.0034397328332262944
CORE_RF_MEDIAN_R21,HARD_BASE,2023-04,-0.004072242659477587,-0.003316596046992526
CORE_RF_MEDIAN_R21,HARD_BASE,2023-05,-0.004122664500047057,-0.002744468808419498
CORE_RF_MEDIAN_R21,HARD_BASE,2023-06,-0.004050584340301588,-0.0031817759152320546
CORE_RF_MEDIAN_R21,HARD_BASE,2023-07,-0.004137620671993469,-0.0032129097340293233
CORE_RF_MEDIAN_R21,HARD_BASE,2023-08,-0.004330738570721027,-0.0036160156865182036
CORE_RF_MEDIAN_R21,HARD_BASE,2023-09,-0.004500102055178701,-0.0036762838979741974
CORE_RF_MEDIAN_R21,HARD_BASE,2023-10,-0.004427549325295155,-0.00388335170234666
CORE_RF_MEDIAN_R21,HARD_BASE,2023-11,-0.00417959937234319,-0.003319050896034126
CORE_RF_MEDIAN_R21,HARD_BASE,2023-12,-0.004628379737190047,-0.004029841343305363
CORE_RF_MEDIAN_R21,HARD_BASE,2024-01,-0.003969931176606767,-0.003229176492884178
CORE_RF_MEDIAN_R21,HARD_BASE,2024-02,-0.004177447509089549,-0.00315636119784235
CORE_RF_MEDIAN_R21,HARD_BASE,2024-03,-0.0042989583064876324,-0.003883909727449286
CORE_RF_MEDIAN_R21,HARD_BASE,2024-04,-0.004133588150732004,-0.0032679776809219074
CORE_RF_MEDIAN_R21,HARD_BASE,2024-05,-0.004611410021914675,-0.004143984130537903
CORE_RF_MEDIAN_R21,HARD_BASE,2024-06,-0.005625691615415873,-0.004846042827089614
CORE_RF_MEDIAN_R21,HARD_BASE,2024-07,-0.004035774005982096,-0.0032640071210374155
CORE_RF_MEDIAN_R21,HARD_BASE,2024-08,-0.004034634339379561,-0.0031091145400164444
CORE_RF_MEDIAN_R21,HARD_BASE,2024-09,-0.004455480578218818,-0.004429758546935003
CORE_RF_MEDIAN_R21,HARD_BASE,2024-10,-0.004116523927780724,-0.0028446075167199436
CORE_RF_MEDIAN_R21,HARD_BASE,2024-11,-0.00417929045242782,-0.0032577979979842575
CORE_RF_MEDIAN_R21,HARD_BASE,2024-12,-0.004213328605548627,-0.0034392711011919097
CORE_RF_MEDIAN_R21,HARD_BASE,2025-01,-0.003975825494473895,-0.0028170953343621408
CORE_RF_MEDIAN_R21,HARD_BASE,2025-02,-0.0044293898953394195,-0.004059888202083306
CORE_RF_MEDIAN_R21,HARD_BASE,2025-03,-0.004173746559167191,-0.0033301191326541857
CORE_RF_MEDIAN_R21,HARD_BASE,2025-04,-0.0042440296891631535,-0.0034855067312568044
CORE_RF_MEDIAN_R21,HARD_BASE,2025-05,-0.003983091578946274,-0.003021093216356574
CORE_RF_MEDIAN_R21,HARD_BASE,2025-06,-0.00414387124910659,-0.0031679838090625245
CORE_RF_MEDIAN_R21,HARD_BASE,2025-07,-0.004191018553311887,-0.003474162996001229
CORE_RF_MEDIAN_R21,HARD_BASE,2025-08,-0.004182028199114118,-0.003215851630807287
CORE_RF_MEDIAN_R21,HARD_BASE,2025-09,-0.004107584402119335,-0.0030966152654255397
CORE_RF_MEDIAN_R21,HARD_BASE,2025-10,-0.0038413902149348478,-0.0027829338347679644
CORE_RF_MEDIAN_R21,HARD_BASE,2025-11,-0.004376283182892182,-0.003645912857093203
CORE_RF_MEDIAN_R21,HARD_BASE,2025-12,-0.004184425306176687,-0.003242163877165638
CORE_RF_MEDIAN_R21,HARD_BASE,2026-01,-0.004168146356285873,-0.0031993012255235875
CORE_RF_MEDIAN_R21,HARD_BASE,2026-02,-0.004406979963063606,-0.0038767433574096732
CORE_RF_MEDIAN_R21,HARD_BASE,2026-03,-0.004184868646640805,-0.003266121502757069
CORE_RF_MEDIAN_R21,HARD_BASE,2026-04,-0.004201729663325937,-0.0037522196504550798
CORE_RF_MEDIAN_R21,HARD_BASE,2026-05,-0.004342085478500013,-0.0036379696663293992
CORE_RF_MEDIAN_R21,HARD_BASE,2026-06,-0.004119923200847142,-0.003287712928062847
CORE_RF_MEDIAN_R21,HARD_BASE,2026-07,-0.0039785276860121455,-0.0026791847271744884
CORE_RF_MEDIAN_R21,HARD_FULL,2019-02,-0.00016826757444343698,-0.010667410156952106
CORE_RF_MEDIAN_R21,HARD_FULL,2019-03,-0.0002026092092826115,-0.010814016749273014
CORE_RF_MEDIAN_R21,HARD_FULL,2019-04,-2.976119125402965e-05,-0.010484650726400147
CORE_RF_MEDIAN_R21,HARD_FULL,2019-05,0.00016953195381869124,-0.010308916059970474
CORE_RF_MEDIAN_R21,HARD_FULL,2019-06,0.0002108655627132694,-0.009413266863468606
CORE_RF_MEDIAN_R21,HARD_FULL,2019-07,-0.00014873365839901398,-0.010644056894150045
CORE_RF_MEDIAN_R21,HARD_FULL,2019-08,-0.00014534663881404786,-0.010623413465972176
CORE_RF_MEDIAN_R21,HARD_FULL,2019-09,-0.00036558591304536314,-0.01092740569566475
CORE_RF_MEDIAN_R21,HARD_FULL,2019-10,-0.0002898651841763966,-0.010957863384116084
CORE_RF_MEDIAN_R21,HARD_FULL,2019-11,-0.00021536847223779798,-0.010913589175428229
CORE_RF_MEDIAN_R21,HARD_FULL,2019-12,8.283774407424893e-06,-0.01023337715656214
CORE_RF_MEDIAN_R21,HARD_FULL,2020-01,-4.24926233055789e-05,-0.010536210692866144
