check_ts,source_id,url,cadence,verdict,status,sha256,last_modified,etag,n_chars,note
2026-09-07T12:45:04+00:00,mf_press,https://www.mfcr.cz/cs/aktualne/tiskove-zpravy,monthly,FIRST,200,a60c139844161f1593127754bd0d65201153c00de234e657fb2419182bbc486e,,,27036,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,czso_cpi_notes,https://csu.gov.cz/inflace-spotrebitelske-ceny,every_call,FIRST,200,058e42a2b638d8a1dfb648c27def330579383eeb881799743038b280a383674e,,,6150,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,cez_pricelists,https://www.cez.cz/cs/podpora/ceniky,monthly,UNVERIFIED,404,,,,0,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,pre_pricelists,https://www.pre.cz/cs/domacnosti/elektrina/ceniky/,monthly,FIRST,200,e0fb0b1fbf1d84a36ffa47ce232e2de0a4db6aac7ed0871bdc455cebb3644aaf,,,7887,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,eon_pricelists,https://www.eon.cz/domacnosti/elektrina/ceniky/,monthly,UNVERIFIED,404,,,,0,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,sovak_water,https://www.sovak.cz/,quarterly,FIRST,200,b8c7451f235869a17048b1479772071b9b00affe6949e650feb44581485a31eb,"Mon, 07 Sep 2026 12:04:32 GMT","""1788782672-gzip""",5381,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,pid_fares,https://pid.cz/jizdne/,quarterly,FIRST,200,bd3ea4d1b856fb96c8ccd58ccba7be4c601f62a7bf4243256e57c042568b9d36,,,4495,protocol validation run 2026-09-07
2026-09-07T12:46:14+00:00,eru_ipnc,https://eru.gov.cz/ipnc,monthly,UNCHANGED,200,aaefe9f43b51240d595c81259a77a6d27518e8ac428c284b161d22dc4d5e576b,"Mon, 07 Sep 2026 11:26:00 GMT","""1788780360-gzip""",7025,url fix validation
2026-09-07T12:46:14+00:00,law_energy_cap_298_2022,https://www.zakonyprolidi.cz/cs/2022-298,monthly,UNCHANGED,200,d4f6515085650e8cc15c7e15bb5a86fe1550415c6548548993118c48755712c5,,,76045,url fix validation
2026-09-07T12:46:14+00:00,law_vat_235_2004,https://www.zakonyprolidi.cz/cs/2004-235,monthly,UNCHANGED,200,2ad81ba32f23ddd1283aa6efd2f1ab2bb2b23c1cdb156be18681a5249475b3f0,,,602553,url fix validation
2026-09-07T12:46:14+00:00,law_excise_353_2003,https://www.zakonyprolidi.cz/cs/2003-353,monthly,UNCHANGED,200,a6b8d4d33b34f4892cc4a9ebcd5186ebf302653e1410ef7747a8d0c0dcc75773,,,594739,url fix validation
2026-09-07T12:46:14+00:00,mf_press,https://www.mfcr.cz/cs/aktualne/tiskove-zpravy,monthly,UNCHANGED,200,a60c139844161f1593127754bd0d65201153c00de234e657fb2419182bbc486e,,,27036,url fix validation
2026-09-07T12:46:14+00:00,cez_pricelists,https://www.cez.cz/cs/pro-media/tiskove-zpravy,monthly,FIRST,200,7ed6a9fbd502690564e622c91176e8508ec88b532ec0998ffcb9d4f21d71b987,,,11,url fix validation
2026-09-07T12:46:14+00:00,pre_pricelists,https://www.pre.cz/cs/domacnosti/elektrina/ceniky/,monthly,UNCHANGED,200,e0fb0b1fbf1d84a36ffa47ce232e2de0a4db6aac7ed0871bdc455cebb3644aaf,,,7887,url fix validation
2026-09-07T12:46:14+00:00,eon_pricelists,https://www.eon.cz/domacnosti/zakaznicka-pece/ceniky/,monthly,FIRST,200,f5b46aa1a148f0f7aa1ccfbc72b9819b2d7c49abc03b8144708069afd0f4c70c,,,6766,url fix validation
