,ote_base_eur_mwh
2026-02-17,111.27
2026-02-18,122.51
2026-02-19,115.47
2026-02-20,99.0
2026-02-21,82.1
2026-02-22,66.59
2026-02-23,83.13
2026-02-24,114.79
2026-02-25,101.39
2026-02-26,81.19
2026-02-27,72.49
2026-02-28,57.56
2026-03-01,58.6
2026-03-02,103.17
2026-03-03,107.14
2026-03-04,144.89
2026-03-05,115.16
2026-03-06,116.39
2026-03-07,105.33
2026-03-08,97.82
2026-03-09,128.3
2026-03-10,135.04
2026-03-11,89.6
2026-03-12,101.87
2026-03-13,87.37
2026-03-14,95.32
2026-03-15,105.77
2026-03-16,97.98
2026-03-17,129.96
2026-03-18,96.74
2026-03-19,117.1
2026-03-20,148.16
2026-03-21,124.25
2026-03-22,90.47
2026-03-23,151.66
2026-03-24,101.54
2026-03-25,82.71
2026-03-26,113.75
2026-03-27,124.1
2026-03-28,82.16
2026-03-29,86.6
2026-03-30,127.97
2026-03-31,139.45
2026-04-01,147.9
2026-04-02,119.95
2026-04-03,92.54
2026-04-04,59.57
2026-04-05,9.15
2026-04-06,9.63
2026-04-07,91.05
2026-04-08,87.78
2026-04-09,83.44
2026-04-10,121.07
2026-04-11,54.26
2026-04-12,77.04
2026-04-13,109.98
2026-04-14,141.91
2026-04-15,121.67
2026-04-16,111.38
2026-04-17,99.13
2026-04-18,80.11
2026-04-19,81.05
2026-04-20,98.85
2026-04-21,93.21
2026-04-22,81.22
2026-04-23,67.79
2026-04-24,75.8
2026-04-25,17.66
2026-04-26,-3.53
2026-04-27,96.59
2026-04-28,80.54
2026-04-29,72.46
2026-04-30,75.35
2026-05-01,-3.01
2026-05-02,58.56
2026-05-03,71.75
2026-05-04,115.8
2026-05-05,121.07
2026-05-06,118.27
2026-05-07,136.8
2026-05-08,114.67
2026-05-09,89.52
2026-05-10,78.57
2026-05-11,121.11
2026-05-12,94.69
2026-05-13,115.59
2026-05-14,99.83
2026-05-15,115.17
2026-05-16,82.89
2026-05-17,83.6
2026-05-18,140.52
2026-05-19,132.65
2026-05-20,111.53
2026-05-21,107.92
2026-05-22,106.86
2026-05-23,81.51
2026-05-24,66.9
2026-05-25,84.71
2026-05-26,98.2
2026-05-27,91.42
2026-05-28,118.8
2026-05-29,101.45
2026-05-30,85.8
2026-05-31,91.13
2026-06-01,149.95
2026-06-02,121.93
2026-06-03,114.9
2026-06-04,67.38
2026-06-05,103.45
2026-06-06,84.72
2026-06-07,44.0
2026-06-08,114.72
2026-06-09,109.67
2026-06-10,125.13
2026-06-11,110.68
2026-06-12,101.66
2026-06-13,31.79
2026-06-14,23.24
2026-06-15,74.92
2026-06-16,104.86
2026-06-17,116.31
2026-06-18,135.33
2026-06-19,105.92
2026-06-20,85.28
2026-06-21,82.06
2026-06-22,124.22
2026-06-23,171.57
2026-06-24,198.7
2026-06-25,129.6
2026-06-26,131.74
2026-06-27,94.9
2026-06-28,83.1
2026-06-29,127.51
2026-06-30,174.13
2026-07-01,141.18
2026-07-02,88.16
2026-07-03,70.81
2026-07-04,65.45
2026-07-05,64.29
2026-07-06,105.44
2026-07-07,92.43
2026-07-08,116.82
2026-07-09,122.81
2026-07-10,123.25
2026-07-11,94.78
2026-07-12,78.4
2026-07-13,124.0
2026-07-14,129.82
2026-07-15,142.56
2026-07-16,160.09
2026-07-17,142.3
2026-07-18,90.47
2026-07-19,78.55
2026-07-20,114.02
2026-07-21,121.33
2026-07-22,101.59
2026-07-23,117.91
2026-07-24,131.57
2026-07-25,93.2
2026-07-26,91.02
2026-07-27,83.87
2026-07-28,117.88
2026-07-29,128.56
2026-07-30,122.37
2026-07-31,152.85
2026-08-01,124.67
2026-08-02,107.05
2026-08-03,135.8
2026-08-04,160.45
2026-08-05,149.12
2026-08-06,151.45
2026-08-07,137.83
2026-08-08,107.09
2026-08-09,95.94
2026-08-10,143.66
2026-08-11,133.0
2026-08-12,142.38
2026-08-13,157.71
2026-08-14,142.85
2026-08-15,115.8
2026-08-16,137.77
2026-08-17,180.8
2026-08-18,165.12
2026-08-19,166.46
2026-08-20,155.81
2026-08-21,172.11
2026-08-22,103.31
