period,core_ridge,correction,core_full,core_half,history_n,original_headline,archived_headline
2023-05,0.431917319025079,-0.3363868438310475,0.09553047519403152,0.26372389710955524,97,-0.005772022451456839,-0.0057720224514568
2023-06,0.30057201062257066,-0.31503395130800416,-0.014461940685433494,0.14305503496856858,98,-0.17340314764738884,-0.1734031476473888
2023-07,0.888704548019829,-0.17922472931294103,0.709479818706888,0.7990921833633585,99,0.32505601761872177,0.3250560176187217
2023-08,0.570126048287767,-0.14402562896916232,0.4261004193186047,0.49811323380318584,100,0.42181787948933974,0.4218178794893397
2023-09,-0.19539637604324306,-0.17982343472193763,-0.3752198107651807,-0.28530809340421187,101,-0.37516790051190846,-0.3751679005119084
2023-10,0.7027578864562943,-0.393546011440674,0.3092118750156203,0.5059848807359573,102,0.15743584227014648,0.1574358422701464
2023-11,0.2645692890722845,-0.37038654075925875,-0.10581725168697426,0.07937601869265512,103,-0.18102374902013257,-0.1810237490201325
2023-12,0.2761773976523872,-0.24614206890935053,0.03003532874303666,0.15310636319771193,104,-0.2945360983060327,-0.2945360983060327
2024-01,0.31389241774248955,-0.27016272872527697,0.04372968901721258,0.17881105337985106,105,0.6513496819732283,0.6513496819732283
2024-02,0.15937964243441072,-0.305962467784352,-0.14658282534994127,0.006398408542234724,106,0.06613662878839845,0.0661366287883984
2024-03,0.05249271322748139,0.005985258500589285,0.05847797172807068,0.055485342477776034,107,0.10712690246945064,0.1071269024694506
2024-04,0.3129413863365216,0.02449176519263562,0.3374331515291572,0.3251872689328394,108,0.4918295250240938,0.4918295250240938
2024-05,-0.01233749499633044,-0.008974396537479697,-0.021311891533810134,-0.016824693265070287,109,0.13935932729988537,0.1393593272998853
2024-06,0.25246891879037714,0.13431800208580513,0.38678692087618227,0.3196279198332797,110,0.11531378364811243,0.1153137836481124
2024-07,0.5334043162676153,0.14983591052050138,0.6832402267881167,0.608322271527866,111,0.34757041008442996,0.3475704100844299
2024-08,0.31941905379619057,0.006160022091208515,0.3255790758873991,0.3224990648417948,112,0.09020243037408072,0.0902024303740807
2024-09,-0.41835409961302683,-0.21334647792204364,-0.6317005775350705,-0.5250273385740487,113,-0.707902485474173,-0.707902485474173
2024-10,0.2656785843071485,0.16003679844393504,0.42571538275108356,0.34569698352911604,114,0.35914435310831905,0.359144353108319
2024-11,-0.016607061119931044,-0.06821491501354816,-0.08482197613347921,-0.050714518626705125,115,0.07525253058066703,0.075252530580667
2024-12,0.0735575487013555,-0.15554179822686628,-0.08198424952551078,-0.0042133504120776405,116,-0.1031274926046534,-0.1031274926046534
2025-01,0.25712980493280974,-0.044793201399351085,0.21233660353345865,0.2347332042331342,117,0.9536723771324224,0.9536723771324224
2025-02,0.411379228979413,0.11270803912392104,0.5240872681033341,0.4677332485413735,118,0.4070565805925405,0.4070565805925405
2025-03,0.1613497189377208,-0.03544513234984359,0.1259045865878772,0.143627152762799,119,0.004958039567635214,0.0049580395676352
2025-04,0.2657103370671957,-0.07121267432181363,0.19449766274538208,0.23010399990628888,120,0.14331554328975243,0.1433155432897524
2025-05,0.03165144542283452,0.027814126284439918,0.059465571707274435,0.04555850856505447,121,0.30045057965377764,0.3004505796537776
2025-06,0.1698009405106371,0.030361136177372242,0.20016207668800934,0.18498150859932322,122,0.21125092034634366,0.2112509203463436
2025-07,0.797289651066491,0.3945267286076714,1.1918163796741623,0.9945530153703267,123,0.6201018136042484,0.6201018136042484
2025-08,0.2619000896526543,-0.04283884068681946,0.21906124896583487,0.24048066930924458,124,0.07373966927206005,0.07373966927206
2025-09,-0.5522880087508404,-0.12972164073280074,-0.6820096494836412,-0.6171488291172408,125,-0.5243310719520269,-0.5243310719520269
2025-10,0.24317798478360536,0.0762859009421661,0.31946388572577145,0.28132093525468843,126,0.22729772356288214,0.2272977235628821
2025-11,-0.10947785396207194,0.00033258043411452175,-0.10914527352795741,-0.10931156374501468,127,-0.05006967493495874,-0.0500696749349587
2025-12,-0.048537233967943766,0.030882109425831916,-0.01765512454211185,-0.03309617925502781,128,-0.31185875364808074,-0.3118587536480807
2026-01,0.3508886407402646,0.011730139321436248,0.36261878006170084,0.35675371040098275,129,0.7858792461503449,0.7858792461503449
2026-02,0.37889917133001444,0.08018642086132283,0.45908559219133727,0.4189923817606759,130,0.14055861272429448,0.1405586127242944
2026-03,0.03520521770595056,0.05562261879755351,0.09082783650350407,0.06301652710472731,131,0.5776746475727703,0.5776746475727703
2026-04,0.34179811834792895,0.035302417058053016,0.377100535405982,0.35944932687695547,132,0.45740875541931925,0.4574087554193192
2026-05,0.2342667715029298,-0.010210536738832036,0.22405623476409775,0.22916150313351377,133,0.3453629592406653,0.3453629592406653
2026-06,0.3498340410031457,-0.03684404557359902,0.31298999542954664,0.3314120182163462,134,-0.10132805202978273,-0.1013280520297827
2026-07,0.7434680771783047,0.24537275073405224,0.9888408279123568,0.8661544525453307,135,0.6748813353495953,0.6748813353495953
