period,eurczk_mm,services_l1,import_l2,core_l1,core_l2,core_l12,state,eurczk_mm_x_state,import_l2_x_state,mon_2,mon_3,mon_4,mon_5,mon_6,mon_7,mon_8,mon_9,mon_10,mon_11,mon_12,base_forecast,released_headline_error_last,released_headline_error_last3
2025-09,-0.6933964188114317,0.066941872141002,-0.7000000000000028,0.3,0.9,-0.7,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.4796923876781566,-0.02246127477104276,0.02693335927270546
2025-10,-0.1314330307635391,0.6578213847697745,-0.5999999999999943,-0.7,0.3,0.4,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24018251506517188,-0.1203076123218434,-0.041822855022671725
2025-11,-0.3125642607443968,0.2326096588391557,-0.5,0.4,-0.7,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.013912520901711065,0.25981748493482815,0.03901619928064733
2025-12,0.0866372375098123,-0.0773566139904868,-0.4000000000000057,-0.1,0.4,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3176359844265689,-0.31391252090171107,-0.05813421609624211
2026-01,0.078318219291007,0.1548330015483046,-0.0999999999999943,0.2,-0.1,0.5,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8514524588474814,0.017635984426568885,-0.012153017180104678
2026-02,-0.0782569298570678,1.0048586572438456,-0.2000000000000028,0.4,0.2,0.5,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07585143971505987,0.04854754115251858,-0.08257633177420787
2026-03,0.7295960428689074,0.5356947633103681,0.4000000000000057,0.5,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5831477425464591,-0.17585143971505987,-0.036555971378657466
2026-04,-0.2250685436019139,0.1522401043932086,-0.0999999999999943,0.2,0.5,0.2,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4980319143303553,0.01685225745354091,-0.036817213703000125
2026-05,-0.282995652530571,0.2714440825190012,2.5,0.3,0.2,0.2,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36764935566655854,0.0019680856696446813,-0.052343698863958094
2026-06,-0.4236416731789538,0.1840822956145071,2.700000000000003,0.2,0.3,0.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05839529757472206,-0.26764935566655856,-0.08294300418112432
2026-07,0.0,0.3026372676178113,0.7,0.3,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.44767252748945857,-0.24160470242527793,-0.1690953241407306
