origin,series,stamp_t_minus_1,stamp_t,clock,t_minus_1_visible,t_visible
2021-08,food,2021-08-10 07:00:00+00:00,2021-09-10 07:00:00+00:00,2021-09-09 21:59:00+00:00,True,False
2021-09,agri4,2021-09-25 22:00:00+00:00,2021-10-25 22:00:00+00:00,2021-10-10 21:59:00+00:00,True,False
2021-09,food_ppi,2021-09-15 22:00:00+00:00,2021-10-15 22:00:00+00:00,2021-10-10 21:59:00+00:00,True,False
2021-09,food,2021-09-10 07:00:00+00:00,2021-10-11 07:00:00+00:00,2021-10-10 21:59:00+00:00,True,False
2021-10,agri4,2021-10-25 22:00:00+00:00,2021-11-25 23:00:00+00:00,2021-11-09 22:59:00+00:00,True,False
2021-10,food_ppi,2021-10-15 22:00:00+00:00,2021-11-15 23:00:00+00:00,2021-11-09 22:59:00+00:00,True,False
2021-10,food,2021-10-11 07:00:00+00:00,2021-11-10 08:00:00+00:00,2021-11-09 22:59:00+00:00,True,False
2021-11,agri4,2021-11-25 23:00:00+00:00,2021-12-25 23:00:00+00:00,2021-12-09 22:59:00+00:00,True,False
2021-11,food_ppi,2021-11-15 23:00:00+00:00,2021-12-15 23:00:00+00:00,2021-12-09 22:59:00+00:00,True,False
2021-11,food,2021-11-10 08:00:00+00:00,2021-12-10 08:00:00+00:00,2021-12-09 22:59:00+00:00,True,False
2021-12,agri4,2021-12-25 23:00:00+00:00,2022-01-25 23:00:00+00:00,2022-01-11 22:59:00+00:00,True,False
2021-12,food_ppi,2021-12-15 23:00:00+00:00,2022-01-16 23:00:00+00:00,2022-01-11 22:59:00+00:00,True,False
2021-12,food,2021-12-10 08:00:00+00:00,2022-01-12 08:00:00+00:00,2022-01-11 22:59:00+00:00,True,False
2022-01,agri4,2022-01-25 23:00:00+00:00,2022-02-25 23:00:00+00:00,2022-02-13 22:59:00+00:00,True,False
2022-01,food_ppi,2022-01-16 23:00:00+00:00,2022-02-24 23:00:00+00:00,2022-02-13 22:59:00+00:00,True,False
2022-01,food,2022-01-12 08:00:00+00:00,2022-02-14 08:00:00+00:00,2022-02-13 22:59:00+00:00,True,False
2022-02,agri4,2022-02-25 23:00:00+00:00,2022-03-25 23:00:00+00:00,2022-03-09 22:59:00+00:00,True,False
2022-02,food_ppi,2022-02-24 23:00:00+00:00,2022-03-15 23:00:00+00:00,2022-03-09 22:59:00+00:00,True,False
2022-02,food,2022-02-14 08:00:00+00:00,2022-03-10 08:00:00+00:00,2022-03-09 22:59:00+00:00,True,False
2022-03,agri4,2022-03-25 23:00:00+00:00,2022-04-25 22:00:00+00:00,2022-04-10 21:59:00+00:00,True,False
2022-03,food_ppi,2022-03-15 23:00:00+00:00,2022-04-19 22:00:00+00:00,2022-04-10 21:59:00+00:00,True,False
2022-03,food,2022-03-10 08:00:00+00:00,2022-04-11 07:00:00+00:00,2022-04-10 21:59:00+00:00,True,False
2022-04,agri4,2022-04-25 22:00:00+00:00,2022-05-25 22:00:00+00:00,2022-05-09 21:59:00+00:00,True,False
2022-04,food_ppi,2022-04-19 22:00:00+00:00,2022-05-19 22:00:00+00:00,2022-05-09 21:59:00+00:00,True,False
2022-04,food,2022-04-11 07:00:00+00:00,2022-05-10 07:00:00+00:00,2022-05-09 21:59:00+00:00,True,False
2022-05,agri4,2022-05-25 22:00:00+00:00,2022-06-25 22:00:00+00:00,2022-06-09 21:59:00+00:00,True,False
2022-05,food_ppi,2022-05-19 22:00:00+00:00,2022-06-15 22:00:00+00:00,2022-06-09 21:59:00+00:00,True,False
2022-05,food,2022-05-10 07:00:00+00:00,2022-06-10 07:00:00+00:00,2022-06-09 21:59:00+00:00,True,False
2022-06,agri4,2022-06-25 22:00:00+00:00,2022-07-25 22:00:00+00:00,2022-07-12 21:59:00+00:00,True,False
2022-06,food_ppi,2022-06-15 22:00:00+00:00,2022-07-16 22:00:00+00:00,2022-07-12 21:59:00+00:00,True,False
2022-06,food,2022-06-10 07:00:00+00:00,2022-07-13 07:00:00+00:00,2022-07-12 21:59:00+00:00,True,False
2022-07,agri4,2022-07-25 22:00:00+00:00,2022-08-25 22:00:00+00:00,2022-08-09 21:59:00+00:00,True,False
2022-07,food_ppi,2022-07-16 22:00:00+00:00,2022-08-15 22:00:00+00:00,2022-08-09 21:59:00+00:00,True,False
2022-07,food,2022-07-13 07:00:00+00:00,2022-08-10 07:00:00+00:00,2022-08-09 21:59:00+00:00,True,False
2022-08,agri4,2022-08-25 22:00:00+00:00,2022-09-25 22:00:00+00:00,2022-09-11 21:59:00+00:00,True,False
2022-08,food_ppi,2022-08-15 22:00:00+00:00,2022-09-15 22:00:00+00:00,2022-09-11 21:59:00+00:00,True,False
2022-08,food,2022-08-10 07:00:00+00:00,2022-09-12 07:00:00+00:00,2022-09-11 21:59:00+00:00,True,False
2022-09,agri4,2022-09-25 22:00:00+00:00,2022-10-25 22:00:00+00:00,2022-10-10 21:59:00+00:00,True,False
2022-09,food_ppi,2022-09-15 22:00:00+00:00,2022-10-15 22:00:00+00:00,2022-10-10 21:59:00+00:00,True,False
2022-09,food,2022-09-12 07:00:00+00:00,2022-10-11 07:00:00+00:00,2022-10-10 21:59:00+00:00,True,False
2022-10,agri4,2022-10-25 22:00:00+00:00,2022-11-25 23:00:00+00:00,2022-11-09 22:59:00+00:00,True,False
2022-10,food_ppi,2022-10-15 22:00:00+00:00,2022-11-15 23:00:00+00:00,2022-11-09 22:59:00+00:00,True,False
2022-10,food,2022-10-11 07:00:00+00:00,2022-11-10 08:00:00+00:00,2022-11-09 22:59:00+00:00,True,False
2022-11,agri4,2022-11-25 23:00:00+00:00,2022-12-25 23:00:00+00:00,2022-12-11 22:59:00+00:00,True,False
2022-11,food_ppi,2022-11-15 23:00:00+00:00,2022-12-15 23:00:00+00:00,2022-12-11 22:59:00+00:00,True,False
2022-11,food,2022-11-10 08:00:00+00:00,2022-12-12 08:00:00+00:00,2022-12-11 22:59:00+00:00,True,False
2022-12,agri4,2022-12-25 23:00:00+00:00,2023-01-25 23:00:00+00:00,2023-01-10 22:59:00+00:00,True,False
2022-12,food_ppi,2022-12-15 23:00:00+00:00,2023-01-16 23:00:00+00:00,2023-01-10 22:59:00+00:00,True,False
2022-12,food,2022-12-12 08:00:00+00:00,2023-01-11 08:00:00+00:00,2023-01-10 22:59:00+00:00,True,False
2023-01,agri4,2023-01-25 23:00:00+00:00,2023-02-25 23:00:00+00:00,2023-02-09 22:59:00+00:00,True,False
2023-01,food_ppi,2023-01-16 23:00:00+00:00,2023-02-24 23:00:00+00:00,2023-02-09 22:59:00+00:00,True,False
2023-01,food,2023-01-11 08:00:00+00:00,2023-02-10 08:00:00+00:00,2023-02-09 22:59:00+00:00,True,False
2023-02,agri4,2023-02-25 23:00:00+00:00,2023-03-25 23:00:00+00:00,2023-03-09 22:59:00+00:00,True,False
2023-02,food_ppi,2023-02-24 23:00:00+00:00,2023-03-15 23:00:00+00:00,2023-03-09 22:59:00+00:00,True,False
2023-02,food,2023-02-10 08:00:00+00:00,2023-03-10 08:00:00+00:00,2023-03-09 22:59:00+00:00,True,False
2023-03,agri4,2023-03-25 23:00:00+00:00,2023-04-25 22:00:00+00:00,2023-04-12 21:59:00+00:00,True,False
2023-03,food_ppi,2023-03-15 23:00:00+00:00,2023-04-19 22:00:00+00:00,2023-04-12 21:59:00+00:00,True,False
2023-03,food,2023-03-10 08:00:00+00:00,2023-04-13 07:00:00+00:00,2023-04-12 21:59:00+00:00,True,False
2023-04,agri4,2023-04-25 22:00:00+00:00,2023-05-25 22:00:00+00:00,2023-05-10 21:59:00+00:00,True,False
2023-04,food_ppi,2023-04-19 22:00:00+00:00,2023-05-19 22:00:00+00:00,2023-05-10 21:59:00+00:00,True,False
2023-04,food,2023-04-13 07:00:00+00:00,2023-05-11 07:00:00+00:00,2023-05-10 21:59:00+00:00,True,False
2023-05,agri4,2023-05-25 22:00:00+00:00,2023-06-25 22:00:00+00:00,2023-06-11 21:59:00+00:00,True,False
2023-05,food_ppi,2023-05-19 22:00:00+00:00,2023-06-15 22:00:00+00:00,2023-06-11 21:59:00+00:00,True,False
2023-05,food,2023-05-11 07:00:00+00:00,2023-06-12 07:00:00+00:00,2023-06-11 21:59:00+00:00,True,False
