area,model_use,reference,ticker,transform,first,last,n,exact_share,equal_after_rounding,within_tol,tol,mean_abs_gap,max_abs_gap,corr,exact_share_2000on,max_abs_gap_2000on,exact_share_2015on,max_abs_gap_2015on,verdict,largest_gaps,note
CPI and prices,"CZSO CPI index level, COICOP 02",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPA Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 03",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPC Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 04",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPH Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 05",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPN Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 06",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPHE Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 07",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPTR Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 08",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPP Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 09",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPR Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 10",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPE Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 11",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPSH Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 12",CZSO 2025=100 index (cpi_czso.cpi_long),CZCP12 Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 13",CZSO 2025=100 index (cpi_czso.cpi_long),CZCP13 Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,R10 category model: actual_rent m/m,m/m of CZSO group level (data/core_split),CP41CZ Index,"HICP, m/m from level",2015-02,2026-07,138,0.0072,,1.0,0.1,0.030404283927510222,0.09469044040246732,0.9921,0.0072,0.09469044040246732,0.0072,0.09469044040246732,extremely similar,2016-11: 0.10216 vs 0.19685; 2017-11: 0.285551 vs 0.192308; 2017-12: 0.0996583 vs 0.191939,
CPI and prices,R10 category model: catering m/m,m/m of CZSO group level (data/core_split),CP1SCZ Index,"HICP, m/m from level",2015-02,2026-07,138,0.0072,,0.9783,0.1,0.0280606349953458,0.21827006365924273,0.9979,0.0072,0.21827006365924273,0.0072,0.21827006365924273,extremely similar,2016-12: 2.65018 vs 2.43191; 2016-04: 0.12024 vs 0; 2016-05: 0.180144 vs 0.297324,
CPI and prices,R10 category model: package_holidays m/m,m/m of CZSO group level (data/core_split),CP96CZ Index,"HICP, m/m from level",2015-02,2026-07,138,0.0,,0.9638,0.1,0.03439313006391821,0.12078982928133142,1.0,0.0,0.12078982928133142,0.0,0.12078982928133142,extremely similar,2017-11: -1.94411 vs -2.0649; 2016-07: 12.7029 vs 12.8128; 2016-12: -0.508813 vs -0.61792,
CPI and prices,R10 category model: accommodation m/m,m/m of CZSO group level (data/core_split),CP1ACZ Index,"HICP, m/m from level",2015-02,2026-07,138,0.0145,,0.2319,0.1,0.45599505059103196,2.3810867647862666,0.917,0.0145,2.3810867647862666,0.0145,2.3810867647862666,different,2015-11: -3.27839 vs -0.897308; 2015-04: 2.8582 vs 0.909091; 2020-10: -2.99132 vs -1.35135,
CPI and prices,nowcast import_l2,fixture import_l2 shifted back 2 months (CZSO CEN0301),CZEIIMOM Index,published m/m,2015-01,2026-05,137,0.9854,0.9854,,,0.0014598540146021854,0.10000000000000564,1.0,0.9854,0.10000000000000564,0.9854,0.10000000000000564,extremely similar,2017-06: -1.8 vs -1.9; 2016-12: 1.2 vs 1.3,
CPI and prices,path_live E7 import prices m/m,CZSO CEN0303 (data/czso_import_prices_sitc_monthly.csv),CZEIIMOM Index,published m/m,2008-01,2026-06,222,0.991,0.991,,,0.0009009009009045631,0.10000000000000564,1.0,0.991,0.10000000000000564,0.9855,0.10000000000000564,extremely similar,2017-06: -1.8 vs -1.9; 2016-12: 1.2 vs 1.3,
CPI and prices,CNB paper row 26 import prices,A6 row 26: cnb_arad:SIMCSUM2005PM01+SIMCSUM2015PM01 (mm_index_previous_month_100) minus 100,CZEIIMOM Index,published m/m,2007-02,2026-07,233,0.9914,0.9914,,,0.0008583690987161155,0.10000000000000564,1.0,0.9914,0.10000000000000564,0.9856,0.10000000000000564,extremely similar,2017-06: -1.8 vs -1.9; 2016-12: 1.2 vs 1.3,
CPI and prices,food block: food-products PPI m/m,m/m of CZSO CEN0201B index (data/cz_ppi_product_raw.csv),CZPPA10M Index,published m/m,2015-02,2026-07,138,0.0652,0.9783,,,0.018988010177071833,0.10039840637450209,0.9995,0.0652,0.10039840637450209,0.0652,0.10039840637450209,extremely similar,2015-04: 0.2 vs 0.0996016; 2015-10: -0.4 vs -0.300601; 2015-08: -0.3 vs -0.399202,
CPI and prices,CNB paper row 44 PPI y/y,A6 row 44: eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:PCH_SM:CZ (yoy_change_pct),EUPPCZY Index,published y/y,1991-01,2026-07,427,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,CNB paper row 45 domestic PPI,m/m of A6 row 45: eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ (index_level),EUPPCZM Index,published m/m,1990-02,2026-07,438,0.1301,1.0,,,0.022956829981176635,0.04999999999999466,0.9999,0.1034,0.04999999999999466,0.0432,0.049783174327847846,extremely similar,2005-02: 0.2 vs 0.25; 2009-05: -0.4 vs -0.350058; 2022-03: 4.2 vs 4.24978,
CPI and prices,CNB paper row 45 domestic PPI,m/m of A6 row 45: eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ (index_level),CZPPMOM Index,CZSO published m/m,1990-02,2026-07,438,0.0845,0.5365,,,0.07382852484450321,1.273239436619722,0.9973,0.0784,0.1854524627720508,0.0288,0.1854524627720508,similar,1991-02: 22.4 vs 21.1268; 1993-07: 0.7 vs 1.34875; 1990-12: 6.6 vs 7.24638,
CPI and prices,CNB paper row 45 domestic PPI,A6 row 45: eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ (index_level),PPTXCZ Index,index level,1990-01,2026-07,439,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,CNB paper row 45 domestic PPI,m/m of A6 row 45: eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ (index_level),PPTXCZ Index,m/m from level,1990-02,2026-07,438,1.0,,1.0,0.1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,CNB paper row 46 domestic PPI,m/m of A6 row 46: eurostat:sts_inppd_m:PRC_PRR_DOM:B:I21:CZ (index_level),CZPPBM Index,CZSO published m/m,2000-02,2026-07,317,0.0915,0.6215,,,0.047366094988735355,0.2589403973510048,0.9997,0.0915,0.2589403973510048,0.0504,0.1929705215419566,similar,2003-03: 0.9 vs 1.15894; 2001-09: 0.4 vs 0.165837; 2001-12: -0.3 vs -0.493421,
CPI and prices,CNB paper row 46 domestic PPI,A6 row 46: eurostat:sts_inppd_m:PRC_PRR_DOM:B:I21:CZ (index_level),EPP00BCZ Index,index level,1990-01,2026-07,439,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,CNB paper row 46 domestic PPI,m/m of A6 row 46: eurostat:sts_inppd_m:PRC_PRR_DOM:B:I21:CZ (index_level),EPP00BCZ Index,m/m from level,1990-02,2026-07,438,1.0,,1.0,0.1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,CNB paper row 47 domestic PPI,m/m of A6 row 47: eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ (index_level),CZPPCM Index,CZSO published m/m,2000-02,2026-07,317,0.0789,0.5868,,,0.046632852515594445,0.2,0.9965,0.0789,0.2,0.0576,0.150054171180936,similar,2001-10: -0.2 vs 0; 2012-12: -0.4 vs -0.212089; 2011-05: 0.5 vs 0.326442,
CPI and prices,CNB paper row 48 domestic PPI,m/m of A6 row 48: eurostat:sts_inppd_m:PRC_PRR_DOM:D:I21:CZ (index_level),CZPPDM Index,CZSO published m/m,2000-02,2025-12,310,0.4806,0.7903,,,0.027505327349211347,0.3151079136690713,0.9998,0.4806,0.3151079136690713,0.2576,0.11428571428571177,similar,2002-10: 5.8 vs 6.11511; 2002-11: -0.1 vs -0.338983; 2006-01: 7 vs 7.2327,
CPI and prices,CNB paper row 48 domestic PPI,A6 row 48: eurostat:sts_inppd_m:PRC_PRR_DOM:D:I21:CZ (index_level),EPP00DCZ Index,index level,1990-01,2026-07,439,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,CNB paper row 48 domestic PPI,m/m of A6 row 48: eurostat:sts_inppd_m:PRC_PRR_DOM:D:I21:CZ (index_level),EPP00DCZ Index,m/m from level,1990-02,2026-07,438,1.0,,1.0,0.1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,CNB paper row 49 domestic PPI,m/m of A6 row 49: eurostat:sts_inppd_m:PRC_PRR_DOM:E36:I21:CZ (index_level),CZPPEM Index,CZSO published m/m,2000-02,2025-12,310,0.8161,0.8903,,,0.018048529298110426,0.28647214854111347,0.9995,0.8161,0.28647214854111347,0.9091,0.07989417989418612,similar,2001-01: 4 vs 3.71353; 2000-03: 0.8 vs 0.542005; 2001-04: 0.5 vs 0.251889,
CPI and prices,CNB paper row 49 domestic PPI,A6 row 49: eurostat:sts_inppd_m:PRC_PRR_DOM:E36:I21:CZ (index_level),EPP036CZ Index,index level,1990-01,2026-07,439,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,CNB paper row 49 domestic PPI,m/m of A6 row 49: eurostat:sts_inppd_m:PRC_PRR_DOM:E36:I21:CZ (index_level),EPP036CZ Index,m/m from level,1990-02,2026-07,438,1.0,,1.0,0.1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
Surveys and labour,nowcast household_exp,fixture core_features.household_exp (Eurostat BS-PT-NY),EUA8CZ Index,level,2007-01,2026-08,236,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
Surveys and labour,CNB paper row 72,A6 row 72: eurostat:ei_bsco_m:BS-PT-NY:SA:CZ (balance),EUA8CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
Surveys and labour,CNB paper row 71,A6 row 71: eurostat:ei_bsco_m:BS-PT-LY:SA:CZ (balance),EUA7CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
Surveys and labour,nowcast esi (frozen fixture),fixture core_features.esi,EUESCZ Index,level,2007-01,2026-07,235,0.234,0.234,,,0.09489361702127644,0.29999999999999716,0.9999,0.234,0.29999999999999716,0.2518,0.20000000000000284,similar,2008-03: 113.8 vs 113.5; 2007-03: 115.5 vs 115.3; 2007-08: 115.7 vs 115.5,
Surveys and labour,path drivers esi (live database),eurostat.bcs_survey BS-ESI-I (czechia.duckdb),EUESCZ Index,level,1995-01,2026-07,379,0.4037,0.4037,,,0.07440633245382584,0.29999999999999716,1.0,0.2915,0.29999999999999716,0.2518,0.20000000000000284,similar,2008-03: 113.8 vs 113.5; 2002-11: 107.5 vs 107.7; 2004-12: 112.8 vs 112.6,
Surveys and labour,"survey nowcasts, path drivers: esi","ECFIN official CZ.ESI, August 2026 download (official_bcs_ecfin_2608)",EUESCZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
Surveys and labour,CNB paper row 1,A6 row 1: eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ (balance),EUI6CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 2,A6 row 2: eurostat:ei_bsin_m_r2:BS-IPE:SA:CZ (balance),EUI1CZ Index,level,1993-02,2026-08,403,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 3,A6 row 3: eurostat:ei_bsse_m_r2:BS-SABC:SA:CZ (balance),EUS1CZ Index,level,2002-05,2026-08,292,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 4,A6 row 4: eurostat:ei_bsse_m_r2:BS-SARM:SA:CZ (balance),EUS2CZ Index,level,2002-05,2026-08,292,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 5,A6 row 5: eurostat:ei_bsrt_m_r2:BS-RPBS:SA:CZ (balance),EUR1CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 6,A6 row 6: eurostat:ei_bsbu_m_r2:BS-CTA-BAL:SA:CZ (balance),EUB1CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 7,A6 row 7: eurostat:ei_bsbu_m_r2:BS-FLBA4-PC:SA:CZ (percent_of_firms),EUB5F4CZ Index,level,1993-02,2026-08,403,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 8,A6 row 8: eurostat:ei_bsbu_m_r2:BS-FLBA5-PC:SA:CZ (percent_of_firms),EUB5F5CZ Index,level,1993-02,2026-08,403,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 9,A6 row 9: eurostat:ei_bsbu_m_r2:BS-FLBA7-PC:SA:CZ (percent_of_firms),EUB5F7CZ Index,level,1993-02,2026-08,403,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 10,A6 row 10: eurostat:ei_bsco_m:BS-FS-NY:SA:CZ (balance),EUA2CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 18,A6 row 18: eurostat:ei_bsin_m_r2:BS-ICI:SA:DE (balance),EUICDE Index,level,1985-01,2026-08,500,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 60 (1980-01..1984-12)
Surveys and labour,CNB paper row 19,A6 row 19: eurostat:ei_bsse_m_r2:BS-SCI:SA:DE (balance),EUSCDE Index,level,1995-04,2026-08,377,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 20,A6 row 20: eurostat:ei_bsrt_m_r2:BS-RCI:SA:DE (balance),EURTDE Index,level,1985-01,2026-08,500,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 11 (1984-02..1984-12)
Surveys and labour,CNB paper row 21,A6 row 21: eurostat:ei_bsbu_m_r2:BS-CCI-BAL:SA:DE (balance),EUCODE Index,level,1985-01,2026-08,500,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 60 (1980-01..1984-12)
Surveys and labour,CNB paper row 22,A6 row 22: eurostat:ei_bsrt_m_r2:BS-RCI:SA:PL (balance),EURTPL Index,level,1993-10,2026-08,395,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 27,A6 row 27: eurostat:ei_bsco_m:BS-PT-NY:SA:EA20 (balance),EUA8EMU Index,level,1985-01,2025-12,492,0.1748,0.1748,,,0.17134146341463413,1.0999999999999996,0.9998,0.0737,1.0999999999999996,0.0379,1.0999999999999996,similar,2024-03: 12.6 vs 13.7; 2025-04: 29.3 vs 30.3; 2022-04: 50.5 vs 51.5,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 28,A6 row 28: eurostat:ei_bsco_m:BS-PT-LY:SA:EA20 (balance),EUA7EMU Index,level,1985-01,2025-12,492,0.5447,0.5447,,,0.06138211382113817,0.3000000000000007,1.0,0.2853,0.3000000000000007,0.2348,0.3000000000000007,similar,2020-03: 12.9 vs 12.6; 2020-04: 5.1 vs 4.8; 2002-08: 60 vs 60.2,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 29,A6 row 29: eurostat:ei_bsin_m_r2:BS-ICI:SA:CZ (balance),EUICCZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 30,A6 row 30: eurostat:ei_bsse_m_r2:BS-SAEM:SA:CZ (balance),EUS3CZ Index,level,2002-05,2026-08,292,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 31,A6 row 31: eurostat:ei_bsse_m_r2:BS-SEEM:SA:CZ (balance),EUS5CZ Index,level,2002-05,2026-08,292,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 32,A6 row 32: eurostat:ei_bsse_m_r2:BS-SCI:SA:CZ (balance),EUSCCZ Index,level,2002-05,2026-08,292,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 33,A6 row 33: eurostat:ei_bsrt_m_r2:BS-ROP:SA:CZ (balance),EUR3CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 34,A6 row 34: eurostat:ei_bsrt_m_r2:BS-REBS:SA:CZ (balance),EUR4CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 35,A6 row 35: eurostat:ei_bsrt_m_r2:BS-REM:SA:CZ (balance),EUR5CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 36,A6 row 36: eurostat:ei_bsrt_m_r2:BS-RCI:SA:CZ (balance),EURTCZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 37,A6 row 37: eurostat:ei_bsbu_m_r2:BS-CEME-BAL:SA:CZ (balance),EUB3CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 38,A6 row 38: eurostat:ei_bsbu_m_r2:BS-CCI-BAL:SA:CZ (balance),EUCOCZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 39,A6 row 39: eurostat:ei_bsco_m:BS-FS-LY:SA:CZ (balance),EUA1CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 40,A6 row 40: eurostat:ei_bsco_m:BS-SV-NY:SA:CZ (balance),EUA0CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 41,A6 row 41: eurostat:ei_bsco_m:BS-UE-NY:SA:CZ (balance),EUAUCZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 42,A6 row 42: eurostat:ei_bsco_m:BS-MP-NY:SA:CZ (balance),EUA6CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 67,A6 row 67: eurostat:ei_bsin_m_r2:BS-ISPE:SA:CZ (balance),EUI5CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 68,A6 row 68: eurostat:ei_bsbu_m_r2:BS-CPE-BAL:SA:CZ (balance),EUB4CZ Index,level,1995-01,2026-08,380,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 24,A6 row 24: eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:DE (percent),UMRTDE Index,level,1991-01,2026-07,427,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 23,A6 row 23: eurostat:prc_hicp_minr:TOTAL:I25:DE (index_level),GRCPHCPI Index,level,1996-01,2026-08,368,0.106,0.9538,,,0.026467391304347734,0.05000000000001137,1.0,0.1031,0.05000000000001137,0.1357,0.05000000000001137,extremely similar,2020-12: 79.9 vs 79.85; 2022-02: 85.9 vs 85.85; 2019-06: 80.4 vs 80.35,model months not on Bloomberg: 0
Surveys and labour,CNB paper row 11 unemployment,A6 row 11: eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ (percent),UMRTCZ Index,level,1993-01,2026-07,403,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
Surveys and labour,path lines un_d (monthly change),first difference of CZSO 15-64 trend-cycle (czso.unemployment_ri),UMRTCZ Index,first difference,1993-02,2026-07,402,0.0,,0.1716,0.05,0.1740461584238038,0.7754908879971572,0.4499,0.0,0.7754908879971572,0.0,0.7754908879971572,different,2022-11: 0.8 vs 0.0245091; 2022-12: -0.6 vs 0.0611977; 2006-03: 0.5 vs -0.14749,
