survey_month,target_month,model,model_origin,model_h,as_of,forecast,status,survey_mean_yoy_pct,document_issue_date,source_url,pdf_sha256,availability_kind,actual,error,survey_error
2023-11,2024-11,PIPELINE_GAP_RIDGE_R14,2023-11,12,2023-11-24T00:00:00+01:00,2.425843246406338,estimated,2.8,2023-11-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_11_2023.pdf,1ece3a570b6aac6e09b30b2e87310cb92f6be85eace7e13c68aa471afdf5f316,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.834008097166013,-0.4081648507596749,-0.03400809716601305
2023-11,2024-11,PIPELINE_GAP_RF_R14,2023-11,12,2023-11-24T00:00:00+01:00,3.426480608681489,estimated,2.8,2023-11-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_11_2023.pdf,1ece3a570b6aac6e09b30b2e87310cb92f6be85eace7e13c68aa471afdf5f316,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.834008097166013,0.5924725115154761,-0.03400809716601305
2023-11,2024-11,STABLE_PIPELINE_R14B,2023-11,12,2023-11-24T00:00:00+01:00,2.1327049616671276,estimated,2.8,2023-11-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_11_2023.pdf,1ece3a570b6aac6e09b30b2e87310cb92f6be85eace7e13c68aa471afdf5f316,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.834008097166013,-0.7013031354988852,-0.03400809716601305
2023-11,2024-11,STABLE_LOCAL_CORE_R14B,2023-11,12,2023-11-24T00:00:00+01:00,3.4507305849192607,estimated,2.8,2023-11-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_11_2023.pdf,1ece3a570b6aac6e09b30b2e87310cb92f6be85eace7e13c68aa471afdf5f316,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.834008097166013,0.6167224877532478,-0.03400809716601305
2023-11,2024-11,STABLE_LONG_CORE_R14B,2023-11,12,2023-11-24T00:00:00+01:00,3.050726755109153,estimated,2.8,2023-11-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_11_2023.pdf,1ece3a570b6aac6e09b30b2e87310cb92f6be85eace7e13c68aa471afdf5f316,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.834008097166013,0.21671865794314016,-0.03400809716601305
2023-11,2024-11,STABLE_LONG_GAP_R14B,2023-11,12,2023-11-24T00:00:00+01:00,3.8917644814988535,estimated,2.8,2023-11-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_11_2023.pdf,1ece3a570b6aac6e09b30b2e87310cb92f6be85eace7e13c68aa471afdf5f316,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.834008097166013,1.0577563843328406,-0.03400809716601305
2023-12,2024-12,INDEPENDENT_BRIDGE,2023-12,12,2023-12-23T00:00:00+01:00,3.076680813091879,estimated,2.9,2023-12-22,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_12_2023.pdf,f6664ed18a6de80d8ce021f03da346a76d5459b1787477bf8dfe1e90205f6baa,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.9810298102981085,0.09565100279377026,-0.08102981029810863
2023-12,2024-12,PIPELINE_FOOD_FUEL_R14,2023-12,12,2023-12-23T00:00:00+01:00,1.844111292868194,estimated,2.9,2023-12-22,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_12_2023.pdf,f6664ed18a6de80d8ce021f03da346a76d5459b1787477bf8dfe1e90205f6baa,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.9810298102981085,-1.1369185174299146,-0.08102981029810863
2023-12,2024-12,PIPELINE_GAP_RIDGE_R14,2023-12,12,2023-12-23T00:00:00+01:00,3.1219557919951355,estimated,2.9,2023-12-22,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_12_2023.pdf,f6664ed18a6de80d8ce021f03da346a76d5459b1787477bf8dfe1e90205f6baa,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.9810298102981085,0.14092598169702697,-0.08102981029810863
2023-12,2024-12,PIPELINE_GAP_RF_R14,2023-12,12,2023-12-23T00:00:00+01:00,3.9229779934752655,estimated,2.9,2023-12-22,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_12_2023.pdf,f6664ed18a6de80d8ce021f03da346a76d5459b1787477bf8dfe1e90205f6baa,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.9810298102981085,0.941948183177157,-0.08102981029810863
