scope,model,h,metric,sample,n_intended,n_missing_forecasts,n,mae,rmse,bias
original_R16_calendar,FOOD_ECM_A005_R27,3,headline_yy,recent_targets,31,0,31,0.39566549353450226,0.49446075068163764,-0.03315345339495902
original_R16_calendar,FOOD_ECM_A005_R27,4,headline_yy,full,83,0,83,1.1226301181087948,1.702359233897011,-0.549531157854112
original_R16_calendar,FOOD_ECM_A005_R27,4,headline_yy,origins_2019_2021,32,0,32,1.0825593650472798,1.5103185523466125,-0.8160436699062216
original_R16_calendar,FOOD_ECM_A005_R27,4,headline_yy,origins_2022_2023,24,0,24,2.063133788479943,2.599136821793405,-0.8076176391854636
original_R16_calendar,FOOD_ECM_A005_R27,4,headline_yy,origins_2024plus,27,0,27,0.3341181184443841,0.44762568666594166,-0.00425427127559521
original_R16_calendar,FOOD_ECM_A005_R27,4,headline_yy,recent_targets,31,0,31,0.36892427037417863,0.4861557706410839,-0.01606508828620993
original_R16_calendar,FOOD_ECM_A005_R27,5,headline_yy,full,82,0,82,1.3042806950352919,1.9751595812276417,-0.7155060370614227
original_R16_calendar,FOOD_ECM_A005_R27,5,headline_yy,origins_2019_2021,32,0,32,1.4604458201057908,2.0787928230152306,-1.1972462484181798
original_R16_calendar,FOOD_ECM_A005_R27,5,headline_yy,origins_2022_2023,24,0,24,2.146856181987403,2.7108697089672646,-0.848295390501924
original_R16_calendar,FOOD_ECM_A005_R27,5,headline_yy,origins_2024plus,26,0,26,0.3343154762234971,0.44924052660361763,-2.0219908028533512e-05
original_R16_calendar,FOOD_ECM_A005_R27,5,headline_yy,recent_targets,31,0,31,0.407142692676307,0.5502366205266164,0.02417310601561492
original_R16_calendar,FOOD_ECM_A005_R27,6,headline_yy,full,81,0,81,1.4550815213930428,2.2602839671491197,-0.8694038479841374
original_R16_calendar,FOOD_ECM_A005_R27,6,headline_yy,origins_2019_2021,32,0,32,1.9132903097186418,2.743875509821542,-1.6249842281068747
original_R16_calendar,FOOD_ECM_A005_R27,6,headline_yy,origins_2022_2023,24,0,24,2.016414412171295,2.6396731852126223,-0.7999852041405022
original_R16_calendar,FOOD_ECM_A005_R27,6,headline_yy,origins_2024plus,25,0,25,0.3296946971891546,0.4761215795142066,0.031097140483076144
original_R16_calendar,FOOD_ECM_A005_R27,6,headline_yy,recent_targets,31,0,31,0.4042655654745916,0.5641663645390195,0.08718661197900715
original_R16_calendar,FOOD_ECM_A005_R27,7,headline_yy,full,80,0,80,1.6677564431876242,2.6079432156841924,-1.0263915884314743
original_R16_calendar,FOOD_ECM_A005_R27,7,headline_yy,origins_2019_2021,32,0,32,2.39370888545936,3.463689491948017,-2.0768752384792393
original_R16_calendar,FOOD_ECM_A005_R27,7,headline_yy,origins_2022_2023,24,0,24,1.9277007136884865,2.525636780879887,-0.7120412752716435
original_R16_calendar,FOOD_ECM_A005_R27,7,headline_yy,origins_2024plus,24,0,24,0.43987558299111384,0.5442349765213792,0.05990296513904772
original_R16_calendar,FOOD_ECM_A005_R27,7,headline_yy,recent_targets,31,0,31,0.4547312464423527,0.5748301013156024,0.12366039863889754
original_R16_calendar,FOOD_ECM_A005_R27,8,headline_yy,full,79,0,79,1.9162546038019619,3.0171982979204524,-1.1832122475865383
original_R16_calendar,FOOD_ECM_A005_R27,8,headline_yy,origins_2019_2021,32,0,32,2.9207730740190527,4.171692617116518,-2.5422453601733928
original_R16_calendar,FOOD_ECM_A005_R27,8,headline_yy,origins_2022_2023,24,0,24,1.9672901045772837,2.5381686972564936,-0.6189958586689515
original_R16_calendar,FOOD_ECM_A005_R27,8,headline_yy,origins_2024plus,23,0,23,0.4654092531256732,0.5772323229380995,0.11886889453334298
original_R16_calendar,FOOD_ECM_A005_R27,8,headline_yy,recent_targets,31,0,31,0.5172184782315838,0.616424032325485,0.19696632783468535
original_R16_calendar,FOOD_ECM_A005_R27,9,headline_yy,full,78,0,78,2.156437320279886,3.4886570943942004,-1.3449086229453184
original_R16_calendar,FOOD_ECM_A005_R27,9,headline_yy,origins_2019_2021,32,0,32,3.4163545359729093,4.8989017105678085,-3.0221035171664163
original_R16_calendar,FOOD_ECM_A005_R27,9,headline_yy,origins_2022_2023,24,0,24,1.9995921990812973,2.6907148893393975,-0.4735225082292569
original_R16_calendar,FOOD_ECM_A005_R27,9,headline_yy,origins_2024plus,22,0,22,0.49493422967031003,0.5870757782117688,0.14404455259512086
original_R16_calendar,FOOD_ECM_A005_R27,9,headline_yy,recent_targets,31,0,31,0.6379279446129084,0.8554203407679619,0.31504992714704483
original_R16_calendar,FOOD_ECM_A005_R27,10,headline_yy,full,77,0,77,2.381281973727246,3.9662195841796537,-1.5100669981101413
original_R16_calendar,FOOD_ECM_A005_R27,10,headline_yy,origins_2019_2021,32,0,32,3.7780652594063833,5.504083291784177,-3.436112310865178
original_R16_calendar,FOOD_ECM_A005_R27,10,headline_yy,origins_2022_2023,24,0,24,2.1712228200555055,3.117189165339813,-0.4190948909076395
original_R16_calendar,FOOD_ECM_A005_R27,10,headline_yy,origins_2024plus,21,0,21,0.49291790450769307,0.6412947673638703,0.17803392738038898
original_R16_calendar,FOOD_ECM_A005_R27,10,headline_yy,recent_targets,31,0,31,0.7636196320328859,1.1396881632998137,0.4679558836611328
original_R16_calendar,FOOD_ECM_A005_R27,11,headline_yy,full,76,0,76,2.6357660886758425,4.422255013556163,-1.6885321707299894
original_R16_calendar,FOOD_ECM_A005_R27,11,headline_yy,origins_2019_2021,32,0,32,4.169567885553523,6.1168331445881945,-3.890935753315171
original_R16_calendar,FOOD_ECM_A005_R27,11,headline_yy,origins_2022_2023,24,0,24,2.34913038118907,3.4177991170605506,-0.3094214864930948
original_R16_calendar,FOOD_ECM_A005_R27,11,headline_yy,origins_2024plus,20,0,20,0.5256460626556794,0.6568351568223151,0.18038074032202528
original_R16_calendar,FOOD_ECM_A005_R27,11,headline_yy,recent_targets,31,0,31,0.8929926314897889,1.335267735772264,0.6076563981574523
original_R16_calendar,FOOD_ECM_A005_R27,12,headline_yy,full,75,0,75,2.8535781322861697,4.787302813265887,-1.8455046649039677
original_R16_calendar,FOOD_ECM_A005_R27,12,headline_yy,origins_2019_2021,32,0,32,4.515327423913742,6.625890138786351,-4.2935368926984445
original_R16_calendar,FOOD_ECM_A005_R27,12,headline_yy,origins_2022_2023,24,0,24,2.46352964528903,3.5691988586008767,-0.20646244889321488
original_R16_calendar,FOOD_ECM_A005_R27,12,headline_yy,origins_2024plus,19,0,19,0.5475353089098035,0.6590400087102185,0.20712786694682986
original_R16_calendar,FOOD_ECM_A005_R27,12,headline_yy,recent_targets,31,0,31,1.0127038294562474,1.4796300895134873,0.7471348766238609
original_R16_calendar,FOOD_ECM_A010_R27,1,headline_yy,full,88,0,88,0.5025887917620255,0.8611259088602391,-0.12825329748968217
original_R16_calendar,FOOD_ECM_A010_R27,1,headline_yy,origins_2019_2021,34,0,34,0.3671465428027954,0.452797005990828,-0.12934185512273724
original_R16_calendar,FOOD_ECM_A010_R27,1,headline_yy,origins_2022_2023,24,0,24,1.0159448090951464,1.514087138228274,-0.28789001323638047
original_R16_calendar,FOOD_ECM_A010_R27,1,headline_yy,origins_2024plus,30,0,30,0.24540519338265604,0.3299211044572742,0.0006897737584722415
original_R16_calendar,FOOD_ECM_A010_R27,1,headline_yy,recent_targets,31,0,31,0.24613786998072273,0.3281092170131998,-0.00798145016672758
original_R16_calendar,FOOD_ECM_A010_R27,2,headline_yy,full,86,0,86,0.7588913382207192,1.228890144146715,-0.2397912782257482
original_R16_calendar,FOOD_ECM_A010_R27,2,headline_yy,origins_2019_2021,33,0,33,0.5214712431409172,0.6419417577586348,-0.24255562559436294
original_R16_calendar,FOOD_ECM_A010_R27,2,headline_yy,origins_2022_2023,24,0,24,1.5962324732168003,2.1483509071110407,-0.5276947202051107
original_R16_calendar,FOOD_ECM_A010_R27,2,headline_yy,origins_2024plus,29,0,29,0.3360870588320131,0.4357269658791924,0.001619275935251061
original_R16_calendar,FOOD_ECM_A010_R27,2,headline_yy,recent_targets,31,0,31,0.3333399387794586,0.42799134954029927,-0.017421109481050176
original_R16_calendar,FOOD_ECM_A010_R27,3,headline_yy,full,84,0,84,0.9533035125317075,1.4511883998661694,-0.3978331123509995
original_R16_calendar,FOOD_ECM_A010_R27,3,headline_yy,origins_2019_2021,32,0,32,0.7955157665361375,1.053280721154702,-0.508868538615977
original_R16_calendar,FOOD_ECM_A010_R27,3,headline_yy,origins_2022_2023,24,0,24,1.803656901426617,2.364423287798247,-0.7046092224973165
original_R16_calendar,FOOD_ECM_A010_R27,3,headline_yy,origins_2024plus,28,0,28,0.40475803175957986,0.5080376935233116,-0.007984530779896375
original_R16_calendar,FOOD_ECM_A010_R27,3,headline_yy,recent_targets,31,0,31,0.39434316622616616,0.49407397566591177,-0.03092066301645601
original_R16_calendar,FOOD_ECM_A010_R27,4,headline_yy,full,83,0,83,1.1185852109588152,1.6993663703648962,-0.5578127637300065
original_R16_calendar,FOOD_ECM_A010_R27,4,headline_yy,origins_2019_2021,32,0,32,1.080312441831409,1.5039032052804142,-0.8256303157604266
original_R16_calendar,FOOD_ECM_A010_R27,4,headline_yy,origins_2022_2023,24,0,24,2.0521173552292042,2.5979612598656456,-0.8298154654730135
original_R16_calendar,FOOD_ECM_A010_R27,4,headline_yy,origins_2024plus,27,0,27,0.3341391794620621,0.44432065609836136,0.0013808105961272523
original_R16_calendar,FOOD_ECM_A010_R27,4,headline_yy,recent_targets,31,0,31,0.3692526302548245,0.48457522939310343,-0.014809871892296218
original_R16_calendar,FOOD_ECM_A010_R27,5,headline_yy,full,82,0,82,1.2994421992718141,1.9704012455691493,-0.7250520822633508
original_R16_calendar,FOOD_ECM_A010_R27,5,headline_yy,origins_2019_2021,32,0,32,1.4578427316987588,2.0705039208362983,-1.2082798178901646
original_R16_calendar,FOOD_ECM_A010_R27,5,headline_yy,origins_2022_2023,24,0,24,2.1404926587698627,2.70831738387888,-0.8736325947802918
original_R16_calendar,FOOD_ECM_A010_R27,5,headline_yy,origins_2024plus,26,0,26,0.3281334275173759,0.44463843644509915,0.006840988523750002
original_R16_calendar,FOOD_ECM_A010_R27,5,headline_yy,recent_targets,31,0,31,0.40301521534895074,0.5460053514826732,0.02453022433357332
original_R16_calendar,FOOD_ECM_A010_R27,6,headline_yy,full,81,0,81,1.4480723191615494,2.2526215730699364,-0.879789794433062
original_R16_calendar,FOOD_ECM_A010_R27,6,headline_yy,origins_2019_2021,32,0,32,1.9060846441442578,2.7331384005936123,-1.637175745298455
original_R16_calendar,FOOD_ECM_A010_R27,6,headline_yy,origins_2022_2023,24,0,24,2.0092259909242873,2.6338112065139954,-0.827848732218559
original_R16_calendar,FOOD_ECM_A010_R27,6,headline_yy,origins_2024plus,25,0,25,0.3231090182914545,0.4686187453901556,0.03980080294871811
original_R16_calendar,FOOD_ECM_A010_R27,6,headline_yy,recent_targets,31,0,31,0.3987154978003634,0.5549848294247787,0.08681576381657453
original_R16_calendar,FOOD_ECM_A010_R27,7,headline_yy,full,80,0,80,1.660462035546858,2.598011826204828,-1.0370631090462408
original_R16_calendar,FOOD_ECM_A010_R27,7,headline_yy,origins_2019_2021,32,0,32,2.3861828996796035,3.4525557398890907,-2.089073259385324
original_R16_calendar,FOOD_ECM_A010_R27,7,headline_yy,origins_2022_2023,24,0,24,1.916093345111711,2.5134319468028337,-0.7397569010915358
original_R16_calendar,FOOD_ECM_A010_R27,7,headline_yy,origins_2024plus,24,0,24,0.4372029071383438,0.5366778950822653,0.06831088345116502
original_R16_calendar,FOOD_ECM_A010_R27,7,headline_yy,recent_targets,31,0,31,0.45091484530393183,0.5639448352789205,0.12127438142816084
original_R16_calendar,FOOD_ECM_A010_R27,8,headline_yy,full,79,0,79,1.9070361741577078,3.006457178088996,-1.1938165726346004
original_R16_calendar,FOOD_ECM_A010_R27,8,headline_yy,origins_2019_2021,32,0,32,2.9135443671752057,4.161389096874212,-2.5544457437503993
original_R16_calendar,FOOD_ECM_A010_R27,8,headline_yy,origins_2022_2023,24,0,24,1.9510285193886776,2.5197754558005565,-0.6466664867596373
original_R16_calendar,FOOD_ECM_A010_R27,8,headline_yy,origins_2024plus,23,0,23,0.4607718931966982,0.5722746789767643,0.12829348887437628
original_R16_calendar,FOOD_ECM_A010_R27,8,headline_yy,recent_targets,31,0,31,0.5089792208568332,0.6067895296805691,0.19410500207388692
original_R16_calendar,FOOD_ECM_A010_R27,9,headline_yy,full,78,0,78,2.1465534392438177,3.4778579306325574,-1.3552800280608404
original_R16_calendar,FOOD_ECM_A010_R27,9,headline_yy,origins_2019_2021,32,0,32,3.4091245202452978,4.889241206974942,-3.03431371069991
original_R16_calendar,FOOD_ECM_A010_R27,9,headline_yy,origins_2022_2023,24,0,24,1.98129056059799,2.669663930036297,-0.5011211477364893
original_R16_calendar,FOOD_ECM_A010_R27,9,headline_yy,origins_2024plus,22,0,22,0.4903731890371146,0.5818619306030698,0.15514109542396806
original_R16_calendar,FOOD_ECM_A010_R27,9,headline_yy,recent_targets,31,0,31,0.6277732028257125,0.8409659564557399,0.31094794450045304
original_R16_calendar,FOOD_ECM_A010_R27,10,headline_yy,full,77,0,77,2.374171764031495,3.9561487168153584,-1.520398662355122
original_R16_calendar,FOOD_ECM_A010_R27,10,headline_yy,origins_2019_2021,32,0,32,3.773914843387611,5.4960021289434335,-3.4483331612124237
original_R16_calendar,FOOD_ECM_A010_R27,10,headline_yy,origins_2022_2023,24,0,24,2.1573097134165145,3.095950722073477,-0.44664993761270494
original_R16_calendar,FOOD_ECM_A010_R27,10,headline_yy,origins_2024plus,21,0,21,0.4890722723821535,0.6363794072236955,0.19026488857895701
original_R16_calendar,FOOD_ECM_A010_R27,10,headline_yy,recent_targets,31,0,31,0.7552794257193264,1.121916283111222,0.4623228407422034
original_R16_calendar,FOOD_ECM_A010_R27,11,headline_yy,full,76,0,76,2.6266796208391283,4.413340641121297,-1.6986298211885709
original_R16_calendar,FOOD_ECM_A010_R27,11,headline_yy,origins_2019_2021,32,0,32,4.165442981599443,6.1104631228068005,-3.9031542599618163
original_R16_calendar,FOOD_ECM_A010_R27,11,headline_yy,origins_2022_2023,24,0,24,2.325412603559181,3.3973012875943036,-0.33691408164848813
original_R16_calendar,FOOD_ECM_A010_R27,11,headline_yy,origins_2024plus,20,0,20,0.5261786643585611,0.6514482087306355,0.19455039340052288
original_R16_calendar,FOOD_ECM_A010_R27,11,headline_yy,recent_targets,31,0,31,0.8820369963462192,1.3121634423653648,0.6004121735140909
original_R16_calendar,FOOD_ECM_A010_R27,12,headline_yy,full,75,0,75,2.8414012670689233,4.778569830511654,-1.8555466080159972
original_R16_calendar,FOOD_ECM_A010_R27,12,headline_yy,origins_2019_2021,32,0,32,4.508963901585701,6.6202902283424345,-4.305785198061424
original_R16_calendar,FOOD_ECM_A010_R27,12,headline_yy,origins_2022_2023,24,0,24,2.436489672417908,3.5465880736628597,-0.2339508848782912
original_R16_calendar,FOOD_ECM_A010_R27,12,headline_yy,origins_2024plus,19,0,19,0.5443420021787913,0.6578300892130913,0.2228395775707762
original_R16_calendar,FOOD_ECM_A010_R27,12,headline_yy,recent_targets,31,0,31,0.9996277162881723,1.4550217474797786,0.7384594799921821
original_R16_calendar,FOOD_ECM_A015_R27,1,headline_yy,full,88,0,88,0.5017953160195391,0.8611390318370042,-0.13020238313000257
original_R16_calendar,FOOD_ECM_A015_R27,1,headline_yy,origins_2019_2021,34,0,34,0.367017730713743,0.45274824329054947,-0.13163612900178212
original_R16_calendar,FOOD_ECM_A015_R27,1,headline_yy,origins_2022_2023,24,0,24,1.0134730625609365,1.5142636748105096,-0.2943378490687043
original_R16_calendar,FOOD_ECM_A015_R27,1,headline_yy,origins_2024plus,30,0,30,0.24520104879965707,0.3294489107470774,0.002730901608975711
original_R16_calendar,FOOD_ECM_A015_R27,1,headline_yy,recent_targets,31,0,31,0.246178471412126,0.32784725137737,-0.006244325855384627
original_R16_calendar,FOOD_ECM_A015_R27,2,headline_yy,full,86,0,86,0.7567854761416675,1.2287393069434809,-0.2434330962655611
original_R16_calendar,FOOD_ECM_A015_R27,2,headline_yy,origins_2019_2021,33,0,33,0.5216407867569987,0.6407140363473558,-0.24690795071003666
original_R16_calendar,FOOD_ECM_A015_R27,2,headline_yy,origins_2022_2023,24,0,24,1.592369903033381,2.1486833216340084,-0.538709795973886
original_R16_calendar,FOOD_ECM_A015_R27,2,headline_yy,origins_2024plus,29,0,29,0.33284576939314864,0.43516490494882104,0.004887972343662645
original_R16_calendar,FOOD_ECM_A015_R27,2,headline_yy,recent_targets,31,0,31,0.33127569739102675,0.42813321994918124,-0.01533122931465484
original_R16_calendar,FOOD_ECM_A015_R27,3,headline_yy,full,84,0,84,0.9506134822725413,1.4497754382712635,-0.4028846954026395
original_R16_calendar,FOOD_ECM_A015_R27,3,headline_yy,origins_2019_2021,32,0,32,0.7926921378866312,1.049258549744737,-0.5149263585941952
