origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual
2021-10,4,2022-02,2021-11-09T22:59:00+00:00,FOOD_ECM_A010_R27,0.5664119986412305,1.2841091492777013,11.091549295774657,6.993619273418251,2.7484622153584426,6.21114635434876,0.9275799298349808,0.9,3.2630706804338834,4.472496812540605
2021-10,5,2022-03,2021-11-09T22:59:00+00:00,FOOD_ECM_A010_R27,0.3275088553365464,1.6640253565768592,12.741652021089632,7.15537901488994,3.0754359285503092,7.861478505796554,0.4982285387020626,0.7,3.760062167945318,5.170058186183129
2021-10,6,2022-04,2021-11-09T22:59:00+00:00,FOOD_ECM_A010_R27,0.5601590289820453,1.7926734216679563,14.160839160839142,7.190467694718754,3.6340319011944464,9.63827302787054,0.9440671242308355,1.5,4.6997008284632775,6.658919435558195
2021-10,7,2022-05,2021-11-09T22:59:00+00:00,FOOD_ECM_A010_R27,0.5376454052025803,1.7611026033690802,15.968586387434565,7.578697672813433,4.170237153127466,11.38404791555745,0.7334802436724762,1.4,5.430504187440396,8.049209952457337
2021-10,8,2022-06,2021-11-09T22:59:00+00:00,FOOD_ECM_A010_R27,0.4968900075035631,1.5801354401805856,17.187499999999993,7.550155651586715,4.665896736453166,12.951829187480426,0.8326473475271731,1.5,6.259704150093764,9.538071201832402
2021-10,9,2022-07,2021-11-09T22:59:00+00:00,FOOD_ECM_A010_R27,0.6271679898646767,1.333333333333342,17.525773195876276,7.108957493657499,5.291106212396356,14.276351862482498,1.2211288705870902,1.6,7.4734373880206695,11.125406117461416
2021-10,10,2022-08,2021-11-09T22:59:00+00:00,FOOD_ECM_A010_R27,0.3499850564552216,0.4385964912280604,17.235494880546053,6.750144867412937,5.6404802463960335,14.713989322462377,0.708009477098744,0.9,8.17895224586053,12.021380254608607
2021-10,11,2022-09,2021-11-09T22:59:00+00:00,FOOD_ECM_A010_R27,0.03914095238478279,0.8005822416302655,17.972742759795548,6.609999563885357,5.679613540708278,15.511383906376789,0.06663074024996916,0.3,8.245560797688428,12.320931152588456
2021-10,12,2022-10,2021-11-09T22:59:00+00:00,FOOD_ECM_A010_R27,0.6200504811086405,-1.4440433212996373,15.092748735244497,6.500287233144355,6.297749618258108,14.056812806138913,0.9678498662999602,1.2,9.208757000062846,13.513788239115836
2021-10,1,2021-11,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,0.5460409782213055,0.1686340640809414,5.976806422836781,6.061838869819681,0.5445555792764272,0.16849203649194455,0.5916615984083882,1.1,0.5899181546513801,1.0939940038334364
2021-10,2,2021-12,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,0.40587736339253916,0.4208754208754106,6.613047363717604,6.68265466367644,0.9496114824954769,0.588484254024522,0.7469104239091828,0.8,1.334053014735974,1.8908109687511239
2021-10,3,2022-01,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,1.2479671183112981,4.442581726739303,9.876543209876534,6.585262248222558,2.1898556778110283,4.935211978972746,1.0107876323566616,1.7,2.339766353808882,3.5765226753934143
2021-10,4,2022-02,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,0.5673520763215265,1.2841091492777013,11.091549295774657,7.001261200255671,2.7556043739220035,6.21114635434876,0.9275799298349808,0.9,3.2630706804338834,4.472496812540605
2021-10,5,2022-03,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,0.32806364488990053,1.6640253565768592,12.741652021089632,7.163625083806598,3.083131064084749,7.861478505796554,0.4982285387020626,0.7,3.760062167945318,5.170058186183129
2021-10,6,2022-04,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,0.5604123381228743,1.7926734216679563,14.160839160839142,7.198986495402368,3.6419789345224407,9.63827302787054,0.9440671242308355,1.5,4.6997008284632775,6.658919435558195
2021-10,7,2022-05,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,0.5376454052025803,1.7611026033690802,15.968586387434565,7.587247327488768,4.17818418645546,11.38404791555745,0.7334802436724762,1.4,5.430504187440396,8.049209952457337
2021-10,8,2022-06,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,0.4968900075035631,1.5801354401805856,17.187499999999993,7.55870303792798,4.673843769781161,12.951829187480426,0.8326473475271731,1.5,6.259704150093764,9.538071201832402
2021-10,9,2022-07,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,0.6271679898646767,1.333333333333342,17.525773195876276,7.117469816440872,5.299053245724352,14.276351862482498,1.2211288705870902,1.6,7.4734373880206695,11.125406117461416
2021-10,10,2022-08,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,0.3499850564552216,0.4385964912280604,17.235494880546053,6.758628674104241,5.648427279724029,14.713989322462377,0.708009477098744,0.9,8.17895224586053,12.021380254608607
2021-10,11,2022-09,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,0.03914095238478279,0.8005822416302655,17.972742759795548,6.618472232740125,5.687560574036274,15.511383906376789,0.06663074024996916,0.3,8.245560797688428,12.320931152588456
2021-10,12,2022-10,2021-11-09T22:59:00+00:00,FOOD_ECM_A015_R27,0.6200504811086405,-1.4440433212996373,15.092748735244497,6.508751182777177,6.305696651586104,14.056812806138913,0.9678498662999602,1.2,9.208757000062846,13.513788239115836
2021-11,1,2021-12,2021-12-09T22:59:00+00:00,FOOD_ECM_R27,0.5002070401730844,0.4208754208754106,6.613047363717604,7.244467216139923,0.49896016101417884,0.41999221753257737,0.8244542366698723,0.8,0.8210741780443027,0.7968169649176874
