scope,benchmark,model,metric,h,sample,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,8,full,82,12,2000,1509,71,82,-0.24869969797009228,-0.5081031938657508,-0.04729501226676339,0.992,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,8,origins_2019_2021,35,12,2000,1509,24,35,-0.2656202489134527,-0.4317566242218313,-0.046315141040018375,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,8,origins_2022_2023,24,12,2000,1509,13,24,-0.34369726298359177,-0.974482588555793,0.24308092414275925,0.926,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,8,origins_2024plus,23,12,2000,1509,12,23,-0.12382313956393574,-0.26426859411957626,0.016906930637680045,0.9335,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,8,recent_targets,31,12,2000,1509,20,31,-0.18940828364422096,-0.239741806512534,0.04691098799092817,0.872,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,9,full,81,12,2000,1509,70,81,-0.3469097422203859,-0.6832748632011049,-0.09016157251659096,0.9995,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,9,origins_2019_2021,35,12,2000,1509,24,35,-0.343473261560624,-0.5688156698847585,-0.05123182585664752,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,9,origins_2022_2023,24,12,2000,1509,13,24,-0.5212374802569569,-1.2570148438867654,0.05543948512219508,0.9705,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,9,origins_2024plus,22,12,2000,1509,11,22,-0.1622011563210208,-0.30956897341497186,0.017327321707313565,0.9435,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,9,recent_targets,31,12,2000,1509,20,31,-0.32422533691769895,-0.3701878755682047,0.04093880686420369,0.923,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,10,full,80,12,2000,1509,69,80,-0.4570896069413989,-0.8879777575836498,-0.14300609164128897,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,10,origins_2019_2021,35,12,2000,1509,24,35,-0.4128929378782203,-0.7158074425593485,-0.05083148928072763,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,10,origins_2022_2023,24,12,2000,1509,13,24,-0.7368124877067487,-1.5261004501039326,-0.21354753461198797,0.9935,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,10,origins_2024plus,21,12,2000,1509,10,21,-0.21106742974343953,-0.37350124903511145,0.01594468694843871,0.9475,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,10,recent_targets,31,12,2000,1509,20,31,-0.5122953879593379,-0.6037214354199097,0.03379303937431737,0.9525,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,11,full,79,12,2000,1509,68,79,-0.571335490020994,-1.100283983129232,-0.19119559553806947,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,11,origins_2019_2021,35,12,2000,1509,24,35,-0.4802987942386511,-0.8612638976188474,-0.04087403323840351,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,11,origins_2022_2023,24,12,2000,1509,13,24,-0.9762171490115003,-1.8711577269059128,-0.5052908016309456,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,11,origins_2024plus,20,12,2000,1509,9,20,-0.24479171685148643,-0.42827657603456515,-0.0010799161537930284,0.977,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,11,recent_targets,31,12,2000,1509,20,31,-0.7250174581261423,-0.9819957152460667,0.009373158267761653,0.969,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,12,full,78,12,2000,1509,67,78,-0.7027167904677222,-1.3206584419243501,-0.25336097137756747,1.0,ok
