period,as_of,target_available_from,raw_core,error,core_weight,status,n_common_labels,basket_regime,basket_available_from,reconciliation_error,weight_actual_rent,weight_imputed_rent,weight_catering,weight_accommodation,weight_package_holidays
2016-10,2016-11-08 23:59:00,2016-11-09 09:00:00,,,,insufficient_history,20,,,,,,,,
2016-11,2016-12-08 23:59:00,2016-12-09 09:00:00,,,,insufficient_history,21,,,,,,,,
2016-12,2017-01-09 23:59:00,2017-01-10 09:00:00,,,,insufficient_history,22,,,,,,,,
2017-01,2017-02-09 23:59:00,2017-02-10 09:00:00,,,,insufficient_history,23,,,,,,,,
2017-02,2017-03-08 23:59:00,2017-03-09 09:00:00,,,,insufficient_history,24,,,,,,,,
2017-03,2017-04-09 23:59:00,2017-04-10 09:00:00,,,,insufficient_history,25,,,,,,,,
2017-04,2017-05-09 23:59:00,2017-05-10 09:00:00,,,,insufficient_history,26,,,,,,,,
2017-05,2017-06-08 23:59:00,2017-06-09 09:00:00,,,,insufficient_history,27,,,,,,,,
2017-06,2017-07-11 23:59:00,2017-07-12 09:00:00,,,,insufficient_history,28,,,,,,,,
2017-07,2017-08-08 23:59:00,2017-08-09 09:00:00,,,,insufficient_history,29,,,,,,,,
2017-08,2017-09-10 23:59:00,2017-09-11 09:00:00,,,,insufficient_history,30,,,,,,,,
2017-09,2017-10-08 23:59:00,2017-10-09 09:00:00,,,,insufficient_history,31,,,,,,,,
2017-10,2017-11-08 23:59:00,2017-11-09 09:00:00,,,,insufficient_history,32,,,,,,,,
2017-11,2017-12-10 23:59:00,2017-12-11 09:00:00,,,,insufficient_history,33,,,,,,,,
2017-12,2018-01-09 23:59:00,2018-01-10 09:00:00,,,,insufficient_history,34,,,,,,,,
2018-01,2018-02-13 23:59:00,2018-02-14 09:00:00,,,,insufficient_history,35,,,,,,,,
2018-02,2018-03-08 23:59:00,2018-03-09 09:00:00,,,,insufficient_history,36,,,,,,,,
2018-03,2018-04-09 23:59:00,2018-04-10 09:00:00,,,,insufficient_history,37,,,,,,,,
2018-04,2018-05-09 23:59:00,2018-05-10 09:00:00,,,,insufficient_history,38,,,,,,,,
2018-05,2018-06-10 23:59:00,2018-06-11 09:00:00,,,,insufficient_history,39,,,,,,,,
2018-06,2018-07-10 23:59:00,2018-07-11 09:00:00,,,,insufficient_history,40,,,,,,,,
2018-07,2018-08-08 23:59:00,2018-08-09 09:00:00,,,,insufficient_history,41,,,,,,,,
2018-08,2018-09-09 23:59:00,2018-09-10 09:00:00,,,,insufficient_history,42,,,,,,,,
2018-09,2018-10-08 23:59:00,2018-10-09 09:00:00,,,,insufficient_history,43,,,,,,,,
2018-10,2018-11-08 23:59:00,2018-11-09 09:00:00,,,,insufficient_history,44,,,,,,,,
2018-11,2018-12-09 23:59:00,2018-12-10 09:00:00,,,,insufficient_history,45,,,,,,,,
2018-12,2019-01-09 23:59:00,2019-01-10 09:00:00,,,,insufficient_history,46,,,,,,,,
2019-01,2019-02-12 23:59:00,2019-02-13 09:00:00,,,,insufficient_history,47,,,,,,,,
2019-02,2019-03-10 23:59:00,2019-03-11 09:00:00,0.33856769759785327,-0.03856769759785328,0.5473483906668922,estimated,48,2018.0,2018-02-14,2.7755575615628914e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2019-03,2019-04-09 23:59:00,2019-04-10 09:00:00,-0.10175572504998041,0.0017557250499804083,0.5518118388714258,estimated,49,2018.0,2018-02-14,2.7755575615628914e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2019-04,2019-05-12 23:59:00,2019-05-13 09:00:00,0.35614293154230797,0.04385706845769205,0.5506152285898372,estimated,50,2018.0,2018-02-14,2.7755575615628914e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2019-05,2019-06-10 23:59:00,2019-06-11 09:00:00,0.18377122305722282,-0.08377122305722282,0.5509025905852826,estimated,51,2018.0,2018-02-14,2.7755575615628914e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2019-06,2019-07-10 23:59:00,2019-07-11 09:00:00,0.1712455534035054,0.1287544465964946,0.5513522221960248,estimated,52,2018.0,2018-02-14,2.7755575615628914e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2019-07,2019-08-11 23:59:00,2019-08-12 09:00:00,0.7839097377607614,0.21609026223923855,0.5511366843062552,estimated,53,2018.0,2018-02-14,2.7755575615628914e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2019-08,2019-09-09 23:59:00,2019-09-10 09:00:00,0.1320248929006193,0.0679751070993807,0.550495125585692,estimated,54,2018.0,2018-02-14,2.7755575615628914e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2019-09,2019-10-09 23:59:00,2019-10-10 09:00:00,-0.6862700704930784,-0.2137299295069216,0.5501700104465688,estimated,55,2018.0,2018-02-14,2.7755575615628914e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2019-10,2019-11-10 23:59:00,2019-11-11 09:00:00,0.4050403492083937,0.19495965079160626,0.5518523549344644,estimated,56,2018.0,2018-02-14,2.7755575615628914e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2019-11,2019-12-09 23:59:00,2019-12-10 09:00:00,0.08911540960792114,-0.08911540960792114,0.5505863362349064,estimated,57,2018.0,2018-02-14,1.3877787807814457e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2019-12,2020-01-12 23:59:00,2020-01-13 09:00:00,0.2686492841943993,-0.1686492841943993,0.5497945860040815,estimated,58,2018.0,2018-02-14,1.3877787807814457e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2020-01,2020-02-13 23:59:00,2020-02-14 09:00:00,0.43196239709091233,0.3680376029090877,0.5495554642099969,estimated,59,2018.0,2018-02-14,2.7755575615628914e-17,0.033660201,0.10385733600000001,0.051351304,0.007778524,0.019182249
2020-02,2020-03-09 23:59:00,2020-03-10 09:00:00,0.2922666496189266,0.40773335038107333,0.5500012072099969,estimated,60,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2020-03,2020-04-13 23:59:00,2020-04-14 09:00:00,-0.18554360355266203,-0.11445639644733796,0.5500012072099969,estimated,61,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2020-04,2020-05-12 23:59:00,2020-05-13 09:00:00,0.26983559402042606,-0.06983559402042605,0.5500012072099969,estimated,62,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2020-05,2020-06-09 23:59:00,2020-06-10 09:00:00,0.09588235323059288,0.604117646769407,0.6216007530000001,estimated,63,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2020-06,2020-07-09 23:59:00,2020-07-10 09:00:00,0.1445679308778518,0.3554320691221482,0.5396866552269519,estimated,64,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2020-07,2020-08-12 23:59:00,2020-08-13 09:00:00,0.7031985478497953,0.49680145215020466,0.5546457536795688,estimated,65,2020.0,2020-02-14,2.7755575615628914e-17,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2020-08,2020-09-09 23:59:00,2020-09-10 09:00:00,0.20028512337357962,-0.20028512337357962,0.4974562446703834,estimated,66,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2020-09,2020-10-11 23:59:00,2020-10-12 09:00:00,-0.8510179860603799,0.05101798606037988,0.4974562446703834,estimated,67,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2020-10,2020-11-09 23:59:00,2020-11-10 09:00:00,0.4264338922856109,0.0735661077143891,0.525484605528538,estimated,68,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2020-11,2020-12-09 23:59:00,2020-12-10 09:00:00,0.03121632066750538,-0.03121632066750538,0.5483332202847917,estimated,69,2020.0,2020-02-14,2.7755575615628914e-17,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2020-12,2021-01-12 23:59:00,2021-01-13 09:00:00,0.20686284548276843,-0.20686284548276843,0.548521718017104,estimated,70,2020.0,2020-02-14,2.7755575615628914e-17,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-01,2021-02-11 23:59:00,2021-02-12 09:00:00,0.4515856250710535,0.24841437492894647,0.548414886550344,estimated,71,2020.0,2020-02-14,2.7755575615628914e-17,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-02,2021-03-09 23:59:00,2021-03-10 09:00:00,0.5106341704463581,-0.21063417044635807,0.5497432154591964,estimated,72,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-03,2021-04-12 23:59:00,2021-04-13 09:00:00,-0.18576928728499978,-0.014230712715000232,0.5488701034587677,estimated,73,2020.0,2020-02-14,2.7755575615628914e-17,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-04,2021-05-10 23:59:00,2021-05-11 09:00:00,0.3366187303662428,-0.0366187303662428,0.5491105590630627,estimated,74,2020.0,2020-02-14,2.7755575615628914e-17,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-05,2021-06-09 23:59:00,2021-06-10 09:00:00,0.3588843261786316,0.04111567382136844,0.5484101494566364,estimated,75,2020.0,2020-02-14,2.7755575615628914e-17,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-06,2021-07-12 23:59:00,2021-07-13 09:00:00,0.3513950924414445,0.5486049075585555,0.5481060061489085,estimated,76,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-07,2021-08-09 23:59:00,2021-08-10 09:00:00,1.1367136831237767,0.36328631687622326,0.548162729046482,estimated,77,2020.0,2020-02-14,2.7755575615628914e-17,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-08,2021-09-09 23:59:00,2021-09-10 09:00:00,0.3598771903264801,0.6401228096735199,0.5555839028028581,estimated,78,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-09,2021-10-10 23:59:00,2021-10-11 09:00:00,-0.30390297946533673,0.5039029794653367,0.5539243311486131,estimated,79,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-10,2021-11-09 23:59:00,2021-11-10 09:00:00,1.0535421728047731,0.2464578271952269,0.5526743041044948,estimated,80,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-11,2021-12-09 23:59:00,2021-12-10 09:00:00,0.6518659721121537,0.4481340278878464,0.5520550466487686,estimated,81,2020.0,2020-02-14,6.938893903907228e-18,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2021-12,2022-01-11 23:59:00,2022-01-12 09:00:00,0.8460742915055798,-0.046074291505579734,0.5640400689325468,estimated,82,2020.0,2020-02-14,2.7755575615628914e-17,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2022-01,2022-02-13 23:59:00,2022-02-14 09:00:00,0.9601490784903755,0.7398509215096245,0.5636051380786834,estimated,83,2020.0,2020-02-14,2.7755575615628914e-17,0.036321093,0.106143269,0.054804978,0.008724414,0.019151497
2022-02,2022-03-09 23:59:00,2022-03-10 09:00:00,0.9728336656817185,-0.07283366568171845,0.5652083420786833,estimated,84,2022.0,2022-02-14,2.7755575615628914e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2022-03,2022-04-10 23:59:00,2022-04-11 09:00:00,0.38338869279857035,0.3166113072014296,0.5652083420786833,estimated,85,2022.0,2022-02-14,2.7755575615628914e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2022-04,2022-05-09 23:59:00,2022-05-10 09:00:00,0.8438717756802704,0.6561282243197296,0.5652083420786833,estimated,86,2022.0,2022-02-14,5.551115123125783e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2022-05,2022-06-09 23:59:00,2022-06-10 09:00:00,1.1674699310213472,0.2325300689786527,0.5591021584169187,estimated,87,2022.0,2022-02-14,1.3877787807814457e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2022-06,2022-07-12 23:59:00,2022-07-13 09:00:00,1.4415202876077888,0.05847971239221117,0.5590995404188934,estimated,88,2022.0,2022-02-14,5.551115123125783e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2022-07,2022-08-09 23:59:00,2022-08-10 09:00:00,1.8706734448348816,-0.27067344483488154,0.5590895189731001,estimated,89,2022.0,2022-02-14,5.551115123125783e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2022-08,2022-09-11 23:59:00,2022-09-12 09:00:00,0.7931344824950416,0.10686551750495843,0.5592091965065509,estimated,90,2022.0,2022-02-14,5.551115123125783e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2022-09,2022-10-10 23:59:00,2022-10-11 09:00:00,-0.014500075955519526,0.31450007595551954,0.5592011934659561,estimated,91,2022.0,2022-02-14,2.7755575615628914e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2022-10,2022-11-09 23:59:00,2022-11-10 09:00:00,1.2137160032669156,-0.013716003266915688,0.5590543173120135,estimated,92,2022.0,2022-02-14,1.3877787807814457e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2022-11,2022-12-11 23:59:00,2022-12-12 09:00:00,0.7864130067686332,-0.3864130067686332,0.5467787196146041,estimated,93,2022.0,2022-02-14,2.7755575615628914e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2022-12,2023-01-10 23:59:00,2023-01-11 09:00:00,0.6219605460706918,-0.22196054607069182,0.5474977284571143,estimated,94,2022.0,2022-02-14,2.7755575615628914e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-01,2023-02-09 23:59:00,2023-02-10 09:00:00,0.7616629028250345,0.038337097174965584,0.5474766813057488,estimated,95,2022.0,2022-02-14,1.3877787807814457e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-02,2023-03-09 23:59:00,2023-03-10 09:00:00,0.4430162611658354,0.25698373883416453,0.5518978401481048,estimated,96,2022.0,2022-02-14,2.7755575615628914e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-03,2023-04-12 23:59:00,2023-04-13 09:00:00,0.14278505122071306,0.057214948779286956,0.5518982249256993,estimated,97,2022.0,2022-02-14,5.551115123125783e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-04,2023-05-10 23:59:00,2023-05-11 09:00:00,0.6525774795238234,-0.4525774795238234,0.5518957076161669,estimated,98,2022.0,2022-02-14,5.551115123125783e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-05,2023-06-11 23:59:00,2023-06-12 09:00:00,0.3168772608795387,-0.2168772608795387,0.5518952847539805,estimated,99,2022.0,2022-02-14,5.551115123125783e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-06,2023-07-12 23:59:00,2023-07-13 09:00:00,0.4269088150296341,0.07309118497036587,0.5518894018381354,estimated,100,2022.0,2022-02-14,5.551115123125783e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-07,2023-08-09 23:59:00,2023-08-10 09:00:00,0.9932064286092926,0.006793571390707354,0.5518819685390914,estimated,101,2022.0,2022-02-14,2.7755575615628914e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-08,2023-09-10 23:59:00,2023-09-11 09:00:00,0.2956190610173802,-0.09561906101738021,0.5518721535715265,estimated,102,2022.0,2022-02-14,1.3877787807814457e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-09,2023-10-09 23:59:00,2023-10-10 09:00:00,-0.4669256415927287,-0.13307435840727128,0.5518796456498034,estimated,103,2022.0,2022-02-14,1.3877787807814457e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-10,2023-11-09 23:59:00,2023-11-10 09:00:00,0.6054995827051619,-0.3054995827051619,0.5518625583327961,estimated,104,2022.0,2022-02-14,5.551115123125783e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-11,2023-12-10 23:59:00,2023-12-11 09:00:00,0.017454351863215905,0.0825456481367841,0.5518339593603102,estimated,105,2022.0,2022-02-14,5.551115123125783e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2023-12,2024-01-10 23:59:00,2024-01-11 09:00:00,0.22135464691009943,-0.22135464691009943,0.5518047162146195,estimated,106,2022.0,2022-02-14,5.551115123125783e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2024-01,2024-02-14 23:59:00,2024-02-15 09:00:00,0.5125547143939557,-0.3125547143939557,0.5517903316967623,estimated,107,2022.0,2022-02-14,1.3877787807814457e-17,0.033478171,0.122207014,0.051302108,0.006607458,0.016949289
2024-02,2024-03-10 23:59:00,2024-03-11 09:00:00,0.17139388650575518,0.32860611349424484,0.5510885466967623,estimated,108,2024.0,2024-02-15,5.551115123125783e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2024-03,2024-04-09 23:59:00,2024-04-10 09:00:00,0.00032502314662551075,0.0996749768533745,0.5510885466967623,estimated,109,2024.0,2024-02-15,5.551115123125783e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2024-04,2024-05-12 23:59:00,2024-05-13 09:00:00,0.36374441764954496,-0.2637444176495449,0.5510885466967623,estimated,110,2024.0,2024-02-15,5.551115123125783e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2024-05,2024-06-10 23:59:00,2024-06-11 09:00:00,0.12967750308613848,-0.02967750308613848,0.522992760109963,estimated,111,2024.0,2024-02-15,2.7755575615628914e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2024-06,2024-07-09 23:59:00,2024-07-10 09:00:00,0.34018910195109603,-0.24018910195109602,0.5231008951870135,estimated,112,2024.0,2024-02-15,5.551115123125783e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2024-07,2024-08-11 23:59:00,2024-08-12 09:00:00,0.88868078163985,0.2113192183601501,0.5229850954564411,estimated,113,2024.0,2024-02-15,2.7755575615628914e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2024-08,2024-09-09 23:59:00,2024-09-10 09:00:00,0.2861602471921471,-0.0861602471921471,0.524320821334479,estimated,114,2024.0,2024-02-15,5.551115123125783e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2024-09,2024-10-09 23:59:00,2024-10-10 09:00:00,-0.5677969567187757,-0.13220304328122423,0.5244230835765917,estimated,115,2024.0,2024-02-15,6.938893903907228e-18,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2024-10,2024-11-10 23:59:00,2024-11-11 09:00:00,0.44741325003816246,-0.047413250038162436,0.5251936923203937,estimated,116,2024.0,2024-02-15,6.938893903907228e-18,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2024-11,2024-12-09 23:59:00,2024-12-10 09:00:00,-0.007399531920091521,0.007399531920091521,0.5257121150111947,estimated,117,2024.0,2024-02-15,5.551115123125783e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2024-12,2025-01-12 23:59:00,2025-01-13 09:00:00,0.05134126380491573,-0.05134126380491573,0.5258008806220857,estimated,118,2024.0,2024-02-15,5.551115123125783e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-01,2025-02-05 23:59:00,2025-02-12 09:00:00,0.4008650460393095,0.0991349539606905,0.5258286953044492,estimated,119,2024.0,2024-02-15,2.7755575615628914e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-02,2025-03-04 23:59:00,2025-03-11 09:00:00,0.4566405818274153,0.04335941817258471,0.5263154722672414,estimated,120,2024.0,2024-02-15,6.938893903907228e-18,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-03,2025-04-03 23:59:00,2025-04-10 09:00:00,0.10827667720123395,-0.10827667720123395,0.5272111647885763,estimated,121,2024.0,2024-02-15,5.551115123125783e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-04,2025-05-05 23:59:00,2025-05-13 09:00:00,0.33287328695905816,-0.13287328695905815,0.5274144345873905,estimated,122,2024.0,2024-02-15,5.551115123125783e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-05,2025-06-03 23:59:00,2025-06-10 09:00:00,0.16272914877128075,0.03727085122871926,0.5273440977207576,estimated,123,2024.0,2024-02-15,2.7755575615628914e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-06,2025-07-03 23:59:00,2025-07-10 09:00:00,0.24445847600886275,0.05554152399113724,0.5270292174334845,estimated,124,2024.0,2024-02-15,1.3877787807814457e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-07,2025-08-04 23:59:00,2025-08-08 09:00:00,1.0172542314534794,-0.11725423145347935,0.5274086800341864,estimated,125,2024.0,2024-02-15,5.551115123125783e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-08,2025-09-03 23:59:00,2025-09-10 09:00:00,0.23210989244889058,0.06789010755110941,0.5281350316708229,estimated,126,2024.0,2024-02-15,2.7755575615628914e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-09,2025-10-05 23:59:00,2025-10-10 09:00:00,-0.544528296244405,-0.15547170375559494,0.5280419138197034,estimated,127,2024.0,2024-02-15,1.3877787807814457e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-10,2025-11-04 23:59:00,2025-11-11 09:00:00,0.46961856631376164,-0.06961856631376162,0.5282491550419388,estimated,128,2024.0,2024-02-15,1.3877787807814457e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-11,2025-12-03 23:59:00,2025-12-10 09:00:00,0.004828887099581487,-0.10482888709958149,0.5286553327121138,estimated,129,2024.0,2024-02-15,2.7755575615628914e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2025-12,2026-01-06 23:59:00,2026-01-13 09:00:00,-0.0018863188983778856,0.2018863188983779,0.5284161743040816,estimated,130,2024.0,2024-02-15,1.3877787807814457e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2026-01,2026-02-04 23:59:00,2026-02-13 09:00:00,0.5260375968990575,-0.12603759689905747,0.528535597740163,estimated,131,2024.0,2024-02-15,5.551115123125783e-17,0.033184542,0.103372152,0.056992583000000006,0.007779954,0.01874232
2026-02,2026-03-03 23:59:00,2026-03-10 09:00:00,0.4471469577085309,0.05285304229146909,0.543947766740163,estimated,132,2026.0,2026-02-13,5.551115123125783e-17,0.034497805,0.119295072,0.060074047,0.008090192,0.018543302
2026-03,2026-04-06 23:59:00,2026-04-14 09:00:00,0.06529477373968945,0.13470522626031056,0.543947766740163,estimated,133,2026.0,2026-02-13,5.551115123125783e-17,0.034497805,0.119295072,0.060074047,0.008090192,0.018543302
2026-04,2026-05-05 23:59:00,2026-05-13 09:00:00,0.4293205427663506,-0.12932054276635063,0.543947766740163,estimated,134,2026.0,2026-02-13,5.551115123125783e-17,0.034497805,0.119295072,0.060074047,0.008090192,0.018543302
2026-05,2026-06-03 23:59:00,2026-06-10 09:00:00,0.24662375994373342,-0.04662375994373341,0.5463270166620967,estimated,135,2026.0,2026-02-13,1.3877787807814457e-17,0.034497805,0.119295072,0.060074047,0.008090192,0.018543302
2026-06,2026-07-06 23:59:00,2026-07-10 09:00:00,0.3060329118709018,-0.006032911870901825,0.54521504711769,estimated,136,2026.0,2026-02-13,1.3877787807814457e-17,0.034497805,0.119295072,0.060074047,0.008090192,0.018543302
2026-07,2026-08-04 23:59:00,2026-08-11 09:00:00,0.9457634843210004,0.054236515678999564,0.5389381453973132,estimated,137,2026.0,2026-02-13,1.3877787807814457e-17,0.034497805,0.119295072,0.060074047,0.008090192,0.018543302
