period,model,actual,survey_median,consensus,forecast,valid,common_valid,error,surprise,deviation,gain,big,alert,capture_ratio,closer,material_win,material_loss,direction,false_alarm
2026-05,CATEGORY_HALF_CORRECTION,0.1,0.3,0.3,0.3778886930531407,True,True,0.2778886930531407,-0.19999999999999998,0.07788869305314072,-0.0778886930531407,False,False,,False,False,False,False,False
2026-06,CATEGORY_HALF_CORRECTION,-0.3,0.0,0.0,-0.08624755260987403,True,True,0.21375244739012594,-0.3,-0.08624755260987403,0.08624755260987405,False,False,,True,False,False,True,False
2026-07,CATEGORY_HALF_CORRECTION,0.6,0.6,0.6,0.5396150191192413,True,True,-0.06038498088075872,0.0,-0.06038498088075872,-0.06038498088075872,False,False,,False,False,False,False,False
2019-02,CATEGORY_FULL_CORRECTION,0.2,0.1,0.1,0.3214390864645076,True,True,0.12143908646450757,0.1,0.22143908646450758,-0.021439086464507567,False,True,,False,False,False,True,True
2019-03,CATEGORY_FULL_CORRECTION,0.2,0.1,0.1,0.018810227797368066,True,True,-0.18118977220263194,0.1,-0.08118977220263193,-0.08118977220263193,False,False,,False,False,False,False,False
2019-04,CATEGORY_FULL_CORRECTION,0.1,0.3,0.3,0.3843414177863059,True,True,0.28434141778630584,-0.19999999999999998,0.08434141778630588,-0.08434141778630586,False,False,,False,False,False,False,False
2019-05,CATEGORY_FULL_CORRECTION,0.7,0.4,0.4,0.2703047338042085,True,True,-0.42969526619579146,0.29999999999999993,-0.12969526619579153,-0.12969526619579153,False,False,,False,False,False,False,False
2019-06,CATEGORY_FULL_CORRECTION,0.2,0.1,0.1,0.12315035846394702,True,True,-0.07684964153605299,0.1,0.023150358463947016,0.023150358463947016,False,False,,True,False,False,True,False
2019-07,CATEGORY_FULL_CORRECTION,0.4,0.2,0.2,0.5016039569149744,True,True,0.10160395691497437,0.2,0.3016039569149744,0.09839604308502564,False,True,,True,False,False,True,True
2019-08,CATEGORY_FULL_CORRECTION,0.1,0.0,0.0,0.003901984150030527,True,True,-0.09609801584996948,0.1,0.003901984150030527,0.003901984150030527,False,False,,True,False,False,True,False
2019-09,CATEGORY_FULL_CORRECTION,-0.6,-0.4,-0.4,-0.4067800328746164,True,True,0.19321996712538358,-0.19999999999999996,-0.006780032874616371,0.006780032874616371,False,False,,True,False,False,True,False
2019-10,CATEGORY_FULL_CORRECTION,0.5,0.4,0.4,0.3371197444307257,True,True,-0.16288025556927432,0.09999999999999998,-0.06288025556927435,-0.06288025556927435,False,False,,False,False,False,False,False
2019-11,CATEGORY_FULL_CORRECTION,0.3,0.2,0.2,0.15476450183810875,True,True,-0.14523549816189124,0.09999999999999998,-0.04523549816189126,-0.04523549816189126,False,False,,False,False,False,False,False
2019-12,CATEGORY_FULL_CORRECTION,0.2,0.1,0.1,0.10940964852952717,True,True,-0.09059035147047284,0.1,0.009409648529527165,0.009409648529527165,False,False,,True,False,False,True,False
2020-01,CATEGORY_FULL_CORRECTION,1.5,1.0,1.0,0.9334732469382441,True,True,-0.5665267530617559,0.5,-0.06652675306175593,-0.06652675306175593,True,False,-0.13305350612351186,False,False,False,False,False
2020-02,CATEGORY_FULL_CORRECTION,0.3,0.3,0.3,0.2538713185262529,True,True,-0.0461286814737471,0.0,-0.0461286814737471,-0.0461286814737471,False,False,,False,False,False,False,False
2020-03,CATEGORY_FULL_CORRECTION,-0.1,0.1,0.1,-0.37323872443305345,True,True,-0.2732387244330534,-0.2,-0.4732387244330535,-0.0732387244330534,False,True,,False,False,False,True,True
