period,as_of,raw_core,error
2022-05,2022-06-09 23:59:00,1.8623506581629499,-0.46235065816294996
2022-06,2022-07-12 23:59:00,1.4254962016176198,0.07450379838238019
2022-07,2022-08-09 23:59:00,2.1547865104837305,-0.5547865104837304
2022-08,2022-09-11 23:59:00,1.466364209637681,-0.566364209637681
2022-09,2022-10-10 23:59:00,0.5513603101521014,-0.2513603101521014
2022-10,2022-11-09 23:59:00,1.5326536136067948,-0.3326536136067948
2022-11,2022-12-11 23:59:00,0.9828999035112025,-0.5828999035112025
2022-12,2023-01-10 23:59:00,0.5856597448961778,-0.18565974489617776
2023-01,2023-02-09 23:59:00,1.0064333707675235,-0.20643337076752344
2023-02,2023-03-09 23:59:00,0.6972341886254496,0.002765811374550342
2023-03,2023-04-12 23:59:00,0.3464962149257593,-0.14649621492575932
2023-04,2023-05-10 23:59:00,0.8660660191853509,-0.6660660191853509
2023-05,2023-06-11 23:59:00,0.41945614082529137,-0.3194561408252914
2023-06,2023-07-12 23:59:00,0.2789313620981666,0.2210686379018334
2023-07,2023-08-09 23:59:00,0.9256906903347517,0.07430930966524829
2023-08,2023-09-10 23:59:00,0.6249065927567863,-0.42490659275678627
2023-09,2023-10-09 23:59:00,-0.18012147073397738,-0.4198785292660226
2023-10,2023-11-09 23:59:00,0.6679091180722225,-0.36790911807222254
2023-11,2023-12-10 23:59:00,0.2878983472942761,-0.1878983472942761
2023-12,2024-01-10 23:59:00,0.3003725255406773,-0.3003725255406773
2024-01,2024-02-14 23:59:00,0.2970590294270835,-0.0970590294270835
2024-02,2024-03-10 23:59:00,0.19676820952827628,0.3032317904717237
2024-03,2024-04-09 23:59:00,0.12939684794878806,-0.029396847948788052
2024-04,2024-05-12 23:59:00,0.4578491267235803,-0.35784912672358027
2024-05,2024-06-10 23:59:00,0.07887539378850972,0.021124606211490288
2024-06,2024-07-09 23:59:00,0.29151266520235175,-0.19151266520235175
2024-07,2024-08-11 23:59:00,0.5348485794155036,0.5651514205844965
2024-08,2024-09-09 23:59:00,0.3696092914062836,-0.1696092914062836
2024-09,2024-10-09 23:59:00,-0.34760500391583893,-0.352394996084161
2024-10,2024-11-10 23:59:00,0.21156147981773957,0.18843852018226045
2024-11,2024-12-09 23:59:00,-0.012476026788282607,0.012476026788282607
2024-12,2025-01-12 23:59:00,0.11906820133351732,-0.11906820133351732
2025-01,2025-02-05 23:59:00,0.27612718680823817,0.22387281319176183
2025-02,2025-03-04 23:59:00,0.4011892919012888,0.09881070809871118
2025-03,2025-04-03 23:59:00,0.16547926241344665,-0.16547926241344665
2025-04,2025-05-05 23:59:00,0.26937392714839425,-0.06937392714839424
2025-05,2025-06-03 23:59:00,0.0287112437983236,0.1712887562016764
2025-06,2025-07-03 23:59:00,0.17741268092630777,0.12258731907369222
2025-07,2025-08-04 23:59:00,0.7927312439422132,0.10726875605778685
2025-08,2025-09-03 23:59:00,0.2912269873599283,0.008773012640071687
2025-09,2025-10-05 23:59:00,-0.4982266202218777,-0.20177337977812226
2025-10,2025-11-04 23:59:00,0.28890739319946496,0.11109260680053507
2025-11,2025-12-03 23:59:00,-0.030362008194172035,-0.06963799180582797
2025-12,2026-01-06 23:59:00,0.014928563609145157,0.18507143639085485
2026-01,2026-02-04 23:59:00,0.4161345959063123,-0.016134595906312277
2026-02,2026-03-03 23:59:00,0.4035603949607811,0.09643960503921889
2026-03,2026-04-06 23:59:00,0.08740010243085311,0.1125998975691469
2026-04,2026-05-05 23:59:00,0.3873752839554836,-0.0873752839554836
2026-05,2026-06-03 23:59:00,0.26443960388604415,-0.06443960388604414
2026-06,2026-07-06 23:59:00,0.3772500631964483,-0.07725006319644834
2026-07,2026-08-04 23:59:00,0.7742460605370826,0.22575393946291744
