candidate,reference,omitted_period,delta_rmse,delta_mae
BASE_MATCHED_FULL,R9_BASE,2020-06,-0.005775666719668671,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2020-07,-0.005764842602335507,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2020-08,-0.005763641066109493,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2020-09,-0.005772510243626072,0.0024539785081234555
BASE_MATCHED_FULL,R9_BASE,2020-10,-0.005763487311553461,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2020-11,-0.005766736864920907,0.0024539785081234555
BASE_MATCHED_FULL,R9_BASE,2020-12,-0.005789665878673633,0.0024539785081234555
BASE_MATCHED_FULL,R9_BASE,2021-01,-0.005805188439883202,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2021-02,-0.005773188443047306,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2021-03,-0.005763866868486844,0.0024539785081235665
BASE_MATCHED_FULL,R9_BASE,2021-04,-0.005774531119838278,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2021-05,-0.005788773062713637,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2021-06,-0.00576883656452859,0.0024539785081235665
BASE_MATCHED_FULL,R9_BASE,2021-07,-0.0057870619355299135,0.0024539785081235665
BASE_MATCHED_FULL,R9_BASE,2021-08,-0.005805921526660096,0.0024539785081235665
BASE_MATCHED_FULL,R9_BASE,2021-09,-0.005783046061709651,0.0024539785081235665
BASE_MATCHED_FULL,R9_BASE,2021-10,-0.005777676909620166,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2021-11,-0.005807168805069263,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2021-12,-0.005789180140619465,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2022-01,-0.005763525857742091,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2022-02,-0.005798694623726008,0.0024539785081234555
BASE_MATCHED_FULL,R9_BASE,2022-03,-0.005863942070219286,0.002453978508123511
BASE_MATCHED_FULL,R9_BASE,2022-04,-0.005983516241288067,0.0024539785081234555
BASE_MATCHED_FULL,R9_BASE,2022-05,-0.005763575975727464,0.0024539785081234555
BASE_MATCHED_FULL,R9_BASE,2022-06,-0.005203321714402631,0.004448368453745077
BASE_MATCHED_FULL,R9_BASE,2022-07,-0.006095878784647513,0.0015039949630936134
BASE_MATCHED_FULL,R9_BASE,2022-08,-0.005763350641679932,0.0024719956317953984
BASE_MATCHED_FULL,R9_BASE,2022-09,-0.0076092609013886925,0.001399986246145457
BASE_MATCHED_FULL,R9_BASE,2022-10,0.003869256712738023,0.003909434878792306
BASE_MATCHED_FULL,R9_BASE,2022-11,-0.005075024875398071,0.0031847700758101394
BASE_MATCHED_FULL,R9_BASE,2022-12,-0.006049049358147984,0.0012727372630581546
BASE_MATCHED_FULL,R9_BASE,2023-01,-0.007273283890484594,0.0020189043011334395
BASE_MATCHED_FULL,R9_BASE,2023-02,-0.005832795097955867,0.0021151545402198213
BASE_MATCHED_FULL,R9_BASE,2023-03,-0.005395065812803468,0.003526816208725192
BASE_MATCHED_FULL,R9_BASE,2023-04,-0.003086590342157969,0.004100623847704599
BASE_MATCHED_FULL,R9_BASE,2023-05,-0.006064714408257732,0.0013990922847191833
BASE_MATCHED_FULL,R9_BASE,2023-06,-0.0073008535657804186,0.0006348155415711321
BASE_MATCHED_FULL,R9_BASE,2023-07,-0.0059877859058137806,0.0018089390842713216
BASE_MATCHED_FULL,R9_BASE,2023-08,-0.005746356241606465,0.0025012430420690013
BASE_MATCHED_FULL,R9_BASE,2023-09,-0.005902020088503823,0.002363169356271566
BASE_MATCHED_FULL,R9_BASE,2023-10,-0.005472515939994926,0.0032481173372036487
BASE_MATCHED_FULL,R9_BASE,2023-11,-0.005784413025294088,0.0022801162575660228
BASE_MATCHED_FULL,R9_BASE,2023-12,-0.005465029147232958,0.002983894468076065
BASE_MATCHED_FULL,R9_BASE,2024-01,-0.007193886017288598,0.0015332932190053605
BASE_MATCHED_FULL,R9_BASE,2024-02,-0.005803916600147674,0.002088009588595008
BASE_MATCHED_FULL,R9_BASE,2024-03,-0.0057126086121932484,0.0027953976436924655
BASE_MATCHED_FULL,R9_BASE,2024-04,-0.005731434379580791,0.002549719810828188
BASE_MATCHED_FULL,R9_BASE,2024-05,-0.0058363837034926536,0.0023282207557638324
BASE_MATCHED_FULL,R9_BASE,2024-06,-0.006604554642316129,0.0015846793009985372
BASE_MATCHED_FULL,R9_BASE,2024-07,-0.00542920864115326,0.002782322030964235
BASE_MATCHED_FULL,R9_BASE,2024-08,-0.006024729475604507,0.0020307593123869427
BASE_MATCHED_FULL,R9_BASE,2024-09,-0.006126527802769011,0.0012090901716900748
BASE_MATCHED_FULL,R9_BASE,2024-10,-0.00573953724708981,0.002598651399305818
BASE_MATCHED_FULL,R9_BASE,2024-11,-0.0057505721566668555,0.002791537590230153
BASE_MATCHED_FULL,R9_BASE,2024-12,-0.005626736672810828,0.002670007766200355
BASE_MATCHED_FULL,R9_BASE,2025-01,-0.0058408716120972315,0.0022918843867024696
BASE_MATCHED_FULL,R9_BASE,2025-02,-0.006149969946961653,0.001514897926535197
BASE_MATCHED_FULL,R9_BASE,2025-03,-0.005795486292095031,0.002295398238716939
BASE_MATCHED_FULL,R9_BASE,2025-04,-0.005300291526696255,0.003233255532800128
BASE_MATCHED_FULL,R9_BASE,2025-05,-0.005739309048466423,0.002514932709330009
BASE_MATCHED_FULL,R9_BASE,2025-06,-0.00569429822762596,0.0028943485835481453
BASE_MATCHED_FULL,R9_BASE,2025-07,-0.005835014814538242,0.0018093348370861184
BASE_MATCHED_FULL,R9_BASE,2025-08,-0.005757614094972552,0.0026137376780077104
