period,model,error,weighted_core_error,noncore_reconciliation_error,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
2021-04,R9_BASE,-0.243973531263526,-0.023802686284014322,-0.22017084497951167,0.0,-0.0,0.0
2021-05,R9_BASE,0.3680138323904842,0.09634194885043097,0.2716718835400532,0.0,0.0,0.0
2021-06,R9_BASE,-0.1703320820708013,-0.26857342390071703,0.09824134182991573,0.0,0.0,0.0
2021-07,R9_BASE,-0.35544803211368636,-0.2305762277985378,-0.12487180431514855,0.0,-0.0,0.0
2021-08,R9_BASE,-0.47549664764134564,-0.3153149977200788,-0.16018164992126682,0.0,-0.0,0.0
2021-09,R9_BASE,-0.32400009742970604,-0.19929325124487468,-0.12470684618483137,0.0,-0.0,0.0
2021-10,R9_BASE,-0.2762947725582032,-0.29000067894493164,0.013705906386728417,0.0,0.0,0.0
2021-11,R9_BASE,0.48234845142842037,-0.23676403506625124,0.7191124864946716,0.0,0.0,0.0
2021-12,R9_BASE,0.37093896741703014,0.26908164489531367,0.10185732252171642,0.0,0.0,0.0
2022-01,R9_BASE,-0.02186277302846662,-0.3078522177097272,0.28598944468126053,0.0,0.0,0.0
2022-02,R9_BASE,-0.4335745929715873,0.09822764917612722,-0.5318022421477145,0.0,-0.0,0.0
2022-03,R9_BASE,-0.7259282226104351,-0.341480289030277,-0.38444793358015805,0.0,-0.0,0.0
2022-04,R9_BASE,-1.0581414440866586,-0.27944796212773837,-0.7786934819589202,0.0,-0.0,0.0
2022-05,R9_BASE,0.02734299355901837,0.25850125092438825,-0.23115825736536988,0.0,-0.0,0.0
2022-06,R9_BASE,-0.20673930680155062,-0.04165503943505066,-0.16508426736649984,0.0,-0.0,0.0
2022-07,R9_BASE,0.1018402902822626,0.31017532327911357,-0.20833503299685097,0.0,-0.0,0.0
2022-08,R9_BASE,0.23085265646772035,0.3167160746015553,-0.08586341813383491,0.0,-0.0,0.0
2022-09,R9_BASE,-0.6379075553571567,0.140560985427028,-0.7784685407841847,0.0,-0.0,0.0
2022-10,R9_BASE,2.572947611327223,0.18597143885632098,2.386976172470902,0.0,0.0,0.0
2022-11,R9_BASE,-0.44148412591107855,0.3187172629053316,-0.7602013888164101,0.0,-0.0,0.0
2022-12,R9_BASE,0.047475065722731635,0.10164828859658465,-0.05417322287385301,0.0,-0.0,0.0
2023-01,R9_BASE,-1.1268515687564449,0.1130174567385634,-1.2398690254950084,0.0,-0.0,0.0
2023-02,R9_BASE,-0.06868479385056958,-0.0015264453238713947,-0.06715834852669811,0.0,-0.0,0.0
2023-03,R9_BASE,0.1926338566146489,0.0808510009758603,0.11178285563878859,0.0,0.0,0.0
2023-04,R9_BASE,0.7640927888903151,0.36759897697738264,0.39649381191293254,0.0,0.0,0.0
2023-05,R9_BASE,-0.07101731958322613,0.17630633780718188,-0.247323657390408,0.0,-0.0,0.0
2023-06,R9_BASE,-0.26495592095925535,-0.12200543833681418,-0.14295048262244117,0.0,-0.0,0.0
2023-07,R9_BASE,-0.11382485658987895,-0.04100996809883816,-0.07281488849104079,0.0,-0.0,0.0
2023-08,R9_BASE,0.2746143904367312,0.23449411641142723,0.04012027402530394,0.0,0.0,0.0
2023-09,R9_BASE,0.451101600400956,0.23172241394729315,0.21937918645366283,0.0,0.0,0.0
2023-10,R9_BASE,0.19059742738357846,0.20303526713329947,-0.012437839749721014,0.0,-0.0,0.0
2023-11,R9_BASE,-0.04150750706755288,0.103688688944659,-0.1451961960122119,0.0,-0.0,0.0
2023-12,R9_BASE,0.2669297588991677,0.16574697621464196,0.10118278268452574,0.0,0.0,0.0
2024-01,R9_BASE,-0.5680834623481433,0.05355623404173621,-0.6216396963898796,0.0,-0.0,0.0
2024-02,R9_BASE,-0.0293799987462689,-0.16710756672331936,0.1377275679770505,0.0,0.0,0.0
2024-03,R9_BASE,0.07828022163150525,0.016200266213563307,0.06207995541794195,0.0,0.0,0.0
2024-04,R9_BASE,-0.16448612540255092,0.1972065551828034,-0.3616926805853543,0.0,-0.0,0.0
2024-05,R9_BASE,0.2079810434726739,-0.011048016108783374,0.21902905958145727,0.0,0.0,0.0
2024-06,R9_BASE,0.3495664121047637,0.10018044660700101,0.24938596549776265,0.0,0.0,0.0
2024-07,R9_BASE,-0.4900155509887814,-0.2955657696417262,-0.19444978134705515,0.0,-0.0,0.0
2024-08,R9_BASE,-0.22718452564705716,0.08892968297610161,-0.31611420862315875,0.0,-0.0,0.0
2024-09,R9_BASE,-0.06517399207243546,0.1848040704834167,-0.2499780625558522,0.0,-0.0,0.0
2024-10,R9_BASE,-0.07815951889212058,-0.0989667221899124,0.020807203297791788,0.0,0.0,0.0
2024-11,R9_BASE,0.031039342622919713,-0.006558798429804363,0.03759814105272408,0.0,0.0,0.0
2024-12,R9_BASE,0.30423825253460207,0.06260616511525122,0.24163208741935085,0.0,0.0,0.0
2025-01,R9_BASE,-0.17588682099386976,-0.11771874927476084,-0.05816807171910887,0.0,-0.0,0.0
2025-02,R9_BASE,0.1273352565503001,-0.05200560449803371,0.1793408610483338,0.0,0.0,0.0
2025-03,R9_BASE,-0.07403879066352238,0.08724251468534769,-0.16128130534887009,0.0,-0.0,0.0
2025-04,R9_BASE,0.28877312963371127,0.03658881056207717,0.25218431907163413,0.0,0.0,0.0
2025-05,R9_BASE,-0.23839951572335072,-0.09032811458888389,-0.14807140113446682,0.0,-0.0,0.0
2025-06,R9_BASE,-0.08596103056428817,-0.06460709883867688,-0.021353931725611286,0.0,-0.0,0.0
2025-07,R9_BASE,-0.017300322024870973,-0.056574473041346496,0.03927415101647558,0.0,0.0,0.0
2025-08,R9_BASE,0.02246127477104276,-0.00463333530851279,0.027094610079555548,0.0,0.0,0.0
2025-09,R9_BASE,0.1203076123218434,0.10654480161590953,0.013762810705933881,0.0,0.0,0.0
2025-10,R9_BASE,-0.25981748493482815,-0.05868457567378899,-0.2011329092610391,0.0,-0.0,0.0
2025-11,R9_BASE,0.31391252090171107,0.03681449572751344,0.2770980251741976,0.0,0.0,0.0
2025-12,R9_BASE,-0.017635984426568885,-0.0977947403906167,0.08015875596404781,0.0,0.0,0.0
2026-01,R9_BASE,-0.04854754115251858,0.008527708291638805,-0.05707524944415743,0.0,-0.0,0.0
2026-02,R9_BASE,0.17585143971505987,-0.05245810778638648,0.22830954750144636,0.0,0.0,0.0
2026-03,R9_BASE,-0.01685225745354091,-0.06124846281790859,0.044396205364367725,0.0,0.0,0.0
2026-04,R9_BASE,-0.0019680856696446813,0.04752759057587287,-0.04949567624551754,0.0,-0.0,0.0
2026-05,R9_BASE,0.26764935566655856,0.03520509654594975,0.23244425912060881,0.0,0.0,0.0
