period,R9_BASE,R9_HALF,R9_FULL,CATEGORY_RAW,CATEGORY_HALF_CORRECTION,CATEGORY_FULL_CORRECTION,BASE_MATCHED_HALF,BASE_MATCHED_FULL
2020-06,0.3438817354017713,0.38055781125886934,0.4172338871159674,0.12531691839368683,0.12531691839368683,0.12531691839368683,0.3438817354017713,0.3438817354017713
2020-07,0.4869502977384474,0.5039786142894122,0.5210069308403769,0.4820921602187407,0.4820921602187407,0.4820921602187407,0.4869502977384474,0.4869502977384474
2020-08,0.03313375648649175,0.04252609564169979,0.05191843479690783,0.013069996995635241,0.013069996995635241,0.013069996995635241,0.03313375648649175,0.03313375648649175
2020-09,-0.3793055312609125,-0.40274300905269717,-0.4261804868444819,-0.4204958049118244,-0.4204958049118244,-0.4204958049118244,-0.3793055312609125,-0.3793055312609125
2020-10,0.1835507038734855,0.27093426617196403,0.3583178284704426,0.27215818536493985,0.27215818536493985,0.27215818536493985,0.1835507038734855,0.1835507038734855
2020-11,0.1331935220806632,0.15115491697647487,0.16911631187228654,0.03414084111130807,0.03414084111130807,0.03414084111130807,0.1331935220806632,0.1331935220806632
2020-12,0.17439862975000198,0.19002614785821642,0.2056536659664309,0.14583699821241103,0.14583699821241103,0.14583699821241103,0.17439862975000198,0.17439862975000198
2021-01,0.8285790522695597,0.8912732558451942,0.9539674594208288,0.8564782764159043,0.8564782764159043,0.8564782764159043,0.8285790522695597,0.8285790522695597
2021-02,0.4287738547440542,0.5098263614647857,0.5908788681855172,0.36233460600092904,0.36233460600092904,0.36233460600092904,0.4287738547440542,0.4287738547440542
2021-03,0.15191007441957335,0.1480979520457448,0.14428582967191625,0.13178900558100076,0.13178900558100076,0.13178900558100076,0.15191007441957335,0.15191007441957335
2021-04,0.256026468736474,0.28598810394052204,0.31594973914457003,0.29993688652407546,0.29993688652407546,0.29993688652407546,0.256026468736474,0.256026468736474
2021-05,0.5680138323904842,0.5879420434422872,0.6078702544940903,0.44912363071466627,0.44912363071466627,0.44912363071466627,0.5680138323904842,0.5680138323904842
2021-06,0.3296679179291987,0.3465223378797241,0.3633767578302495,0.2975476969943047,0.2975476969943047,0.2975476969943047,0.3296679179291987,0.3296679179291987
2021-07,0.6445519678863136,0.6697218783064215,0.6948917887265292,0.6759881768007359,0.6759881768007359,0.6759881768007359,0.6445519678863136,0.6445519678863136
2021-08,0.22450335235865432,0.16642410398316554,0.10834485560767679,0.18417642120718786,0.18417642120718786,0.18417642120718786,0.22450335235865432,0.22450335235865432
2021-09,-0.12400009742970602,-0.1178999114519989,-0.11179972547429179,-0.2038309670489613,-0.2038309670489613,-0.2038309670489613,-0.12400009742970602,-0.12400009742970602
2021-10,0.7237052274417968,0.7927388934226424,0.861772559403488,0.8774949982505005,0.8774949982505005,0.8774949982505005,0.7237052274417968,0.7237052274417968
2021-11,0.6823484514284204,0.6982576755906593,0.7141668997528983,0.6717178348241459,0.6717178348241459,0.6717178348241459,0.6823484514284204,0.6823484514284204
2021-12,0.7709389674170302,0.873441606645287,0.9759442458735439,0.5278450690785419,0.5278450690785419,0.5278450690785419,0.7709389674170302,0.7709389674170302
2022-01,4.378137226971534,4.42010852550301,4.462079824034487,4.269005663906188,4.269005663906188,4.269005663906188,4.378137226971534,4.378137226971534
2022-02,0.8664254070284128,0.9472553663580414,1.02808532568767,0.8093639532797627,0.8093639532797627,0.8093639532797627,0.8664254070284128,0.8664254070284128
2022-03,0.9740717773895649,0.9599351536255071,0.9457985298614493,1.1366007143931571,1.1366007143931571,1.1366007143931571,0.9740717773895649,0.9740717773895649
2022-04,0.7418585559133414,0.810248090240683,0.8786376245680246,0.6504573721822949,0.6504573721822949,0.6504573721822949,0.7418585559133414,0.7418585559133414
2022-05,1.8273429935590184,1.928849481807915,2.0303559700568115,1.4388336791718304,1.4388336791718304,1.4388336791718304,1.8273429935590184,1.8273429935590184
