period,as_of,block,weight,prediction,n_train,train_start,train_end,training_last_release,dropped_columns,fit_status
2020-06,2020-07-09 23:59:00,package_holidays,0.019151497,6.020240354708904,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,remaining_core_tax_reconciliation,1.0,-0.06099720823461291,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,actual_rent,0.036321093,0.2834430219349738,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,imputed_rent,0.106143269,0.1603112058928851,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,catering,0.054804978,0.301518397821979,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,accommodation,0.008724414,0.9484193086149278,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,package_holidays,0.019151497,22.26905809607884,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,remaining_core_tax_reconciliation,1.0,-0.08856973842523486,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,actual_rent,0.036321093,0.2650084414274864,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,imputed_rent,0.106143269,0.3875257675353703,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,catering,0.054804978,0.24886430573186025,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,accommodation,0.008724414,0.20005212400631806,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,package_holidays,0.019151497,2.689294606804977,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,remaining_core_tax_reconciliation,1.0,-0.018013920644417755,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,actual_rent,0.036321093,0.14040996915618834,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,imputed_rent,0.106143269,-0.06697476252683521,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,catering,0.054804978,0.43056118358873186,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,accommodation,0.008724414,-0.6121441263158536,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,package_holidays,0.019151497,-22.794402494316586,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,remaining_core_tax_reconciliation,1.0,-0.0030445012271913437,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,actual_rent,0.036321093,-0.0519919917093013,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,imputed_rent,0.106143269,0.33286819620338975,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,catering,0.054804978,0.3874478445871399,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,accommodation,0.008724414,-0.6065205817534933,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,package_holidays,0.019151497,-0.8056110287649172,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,remaining_core_tax_reconciliation,1.0,0.1901272564032218,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
2020-11,2020-12-09 23:59:00,actual_rent,0.036321093,0.17075072945237071,69,2015-02,2020-10,2020-11-10 09:00:00,[],estimated
2020-11,2020-12-09 23:59:00,imputed_rent,0.106143269,0.17405931193409047,69,2015-02,2020-10,2020-11-10 09:00:00,[],estimated
2020-11,2020-12-09 23:59:00,catering,0.054804978,0.40272074533010327,69,2015-02,2020-10,2020-11-10 09:00:00,[],estimated
2020-11,2020-12-09 23:59:00,accommodation,0.008724414,-0.97234940439146,69,2015-02,2020-10,2020-11-10 09:00:00,[],estimated
2020-11,2020-12-09 23:59:00,package_holidays,0.019151497,-0.08943055053966886,69,2015-02,2020-10,2020-11-10 09:00:00,[],estimated
2020-11,2020-12-09 23:59:00,remaining_core_tax_reconciliation,1.0,-0.01943532576680313,69,2015-02,2020-10,2020-11-10 09:00:00,[],estimated
2020-12,2021-01-12 23:59:00,actual_rent,0.036321093,0.11523705062911543,70,2015-02,2020-11,2020-12-10 09:00:00,[],estimated
2020-12,2021-01-12 23:59:00,imputed_rent,0.106143269,0.510412450319951,70,2015-02,2020-11,2020-12-10 09:00:00,[],estimated
2020-12,2021-01-12 23:59:00,catering,0.054804978,0.6651135110776566,70,2015-02,2020-11,2020-12-10 09:00:00,[],estimated
2020-12,2021-01-12 23:59:00,accommodation,0.008724414,0.282706695893003,70,2015-02,2020-11,2020-12-10 09:00:00,[],estimated
2020-12,2021-01-12 23:59:00,package_holidays,0.019151497,0.23646504597242946,70,2015-02,2020-11,2020-12-10 09:00:00,[],estimated
2020-12,2021-01-12 23:59:00,remaining_core_tax_reconciliation,1.0,0.011659740533707153,70,2015-02,2020-11,2020-12-10 09:00:00,[],estimated
2021-01,2021-02-11 23:59:00,actual_rent,0.036321093,0.6086030716042106,71,2015-02,2020-12,2021-01-13 09:00:00,[],estimated
2021-01,2021-02-11 23:59:00,imputed_rent,0.106143269,0.2573425682982009,71,2015-02,2020-12,2021-01-13 09:00:00,[],estimated
2021-01,2021-02-11 23:59:00,catering,0.054804978,0.23603926797632735,71,2015-02,2020-12,2021-01-13 09:00:00,[],estimated
