period,candidate,reference,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
2020-10,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.014702036489916024,-0.019638260862019277,-0.004936224372103253
2020-11,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.013202392317931041,0.0033725249745334934,0.016574917292464533
2020-12,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.007297472818495196,0.013273631807612683,0.020571104626107867
2021-01,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.008380020393877634,0.0171461702741819,0.02552619066805953
2021-02,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.019800800343194383,0.0061841519657823705,0.025984952308976753
2021-03,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.000719181213671909,-0.003059280030969682,-0.0023400988172977725
2021-04,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.00016224700811485337,0.019335587575399188,0.01949783458351404
2021-05,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.008773347402821484,0.0645982500474525,0.07337159745027398
2021-06,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.018284984018770323,0.006311067209034668,-0.011973916809735665
2021-07,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.01350864970463729,0.00785099225594372,0.021359641960581016
2021-08,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.02705763378425992,-0.012919268736206442,-0.039976902520466345
2021-09,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.038192474856420695,-0.019910911956819592,-0.05810338681324029
2021-10,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.06554698229322539,-0.004215656403881023,0.06133132588934437
2021-11,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.005146905374327687,0.015289218278542679,0.010142312904214995
2021-12,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.07172956864846591,0.049521787212249486,0.12125135586071539
2022-01,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.07910248548067703,0.06242095023651253,-0.01668153524416449
2022-02,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.007954015416695086,-0.06069081808748038,-0.05273680267078529
2022-03,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.08458520140402309,0.12496782795602147,0.2095530293600445
2022-04,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.05943792544684452,-0.14234701202939146,-0.20178493747623594
2022-05,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.049920800164126145,-0.17961427216791404,-0.12969347200378786
2022-06,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.004039121675395383,-0.011242959254839086,-0.0072038375794437025
2022-07,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.05252240903384921,-0.03528537077437352,0.017237038259475687
2022-08,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.09685932386113638,-0.063566301942275,0.03329302191886138
2022-09,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.007897425577845485,-0.34683576802198957,-0.3547331935998351
2022-10,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.014110162643997304,0.46363276166465067,0.4777429243086484
2022-11,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.06998324853594655,-0.18273200258749542,-0.11274875405154888
2022-12,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.007228866370277507,-0.0027688233938008393,0.004460042976476673
2023-01,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.006882946959371481,-0.3400091170077601,-0.3331261700483885
