origin,as_of,model,variable,h,target,forecast,actual,n_distinct_ulc_quarters
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,8,2019-10,2.0470029392729083,-4.355977063965476,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,9,2019-11,-8.975491504385685,5.03180718218894,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,10,2019-12,5.384816444646368,3.8544362818941074,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,11,2020-01,-5.85160434615081,-2.3301366198366273,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,brent,12,2020-02,-1.151749174817917,-13.777879446533086,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,1,2019-03,1.1145612224297863,1.9066079681460826,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,2,2019-04,-0.1628295679326801,-0.26573996753167595,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,3,2019-05,-2.0304966682626304,-5.961200559716441,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,4,2019-06,-0.2948170189010356,-2.235889535775702,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,5,2019-07,-1.272205165454979,2.5577676262221942,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,6,2019-08,0.5651334452308221,-0.6921945015699619,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,7,2019-09,-1.5674118326652806,3.4441202861714726,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,8,2019-10,0.46696687668208847,-0.5766430422879713,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,9,2019-11,0.6133555676904723,-1.3721641607529345,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,10,2019-12,-1.7580057322808549,-0.9240124819592435,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,11,2020-01,-0.07297815352962161,-0.2514958589171419,14
