period,eurczk
2008-10,24.787
2008-11,25.183
2008-12,26.106
2009-01,27.169
2009-02,28.459
2009-03,27.229
2009-04,26.76
2009-05,26.738
2009-06,26.545
2009-07,25.787
2009-08,25.649
2009-09,25.349
2009-10,25.836
2009-11,25.827
2009-12,26.076
2010-01,26.136
2010-02,25.976
2010-03,25.54
2010-04,25.313
2010-05,25.666
2010-06,25.78
2010-07,25.305
2010-08,24.807
2010-09,24.651
2010-10,24.526
2010-11,24.637
2010-12,25.165
2011-01,24.449
2011-02,24.276
2011-03,24.392
2011-04,24.291
2011-05,24.383
2011-06,24.285
2011-07,24.341
2011-08,24.273
2011-09,24.557
2011-10,24.848
2011-11,25.453
2011-12,25.515
2012-01,25.532
2012-02,25.041
2012-03,24.676
2012-04,24.799
2012-05,25.322
2012-06,25.641
2012-07,25.434
2012-08,25.02
2012-09,24.731
2012-10,24.938
2012-11,25.365
2012-12,25.216
2013-01,25.563
2013-02,25.476
2013-03,25.662
2013-04,25.84
2013-05,25.889
2013-06,25.761
2013-07,25.949
2013-08,25.818
2013-09,25.787
2013-10,25.658
2013-11,26.925
2013-12,27.517
2014-01,27.484
2014-02,27.443
2014-03,27.394
2014-04,27.45
2014-05,27.44
2014-06,27.451
2014-07,27.457
2014-08,27.816
2014-09,27.598
2014-10,27.58
2014-11,27.666
2014-12,27.634
2015-01,27.895
2015-02,27.608
2015-03,27.379
2015-04,27.443
2015-05,27.396
2015-06,27.306
2015-07,27.091
2015-08,27.041
2015-09,27.082
2015-10,27.103
2015-11,27.04
2015-12,27.026
2016-01,27.026
2016-02,27.039
2016-03,27.051
2016-04,27.031
2016-05,27.026
2016-06,27.061
2016-07,27.038
2016-08,27.025
2016-09,27.021
2016-10,27.021
2016-11,27.032
2016-12,27.03
2017-01,27.02
2017-02,27.02
2017-03,27.02
2017-04,26.824
2017-05,26.564
2017-06,26.263
2017-07,26.074
2017-08,26.101
2017-09,26.075
2017-10,25.765
2017-11,25.536
2017-12,25.647
2018-01,25.452
2018-02,25.319
2018-03,25.429
2018-04,25.364
2018-05,25.644
2018-06,25.777
2018-07,25.842
2018-08,25.683
2018-09,25.608
2018-10,25.818
2018-11,25.934
2018-12,25.83
2019-01,25.649
2019-02,25.725
2019-03,25.676
2019-04,25.677
2019-05,25.77
2019-06,25.604
2019-07,25.551
2019-08,25.802
2019-09,25.867
2019-10,25.699
2019-11,25.53
2019-12,25.498
2020-01,25.215
2020-02,25.05
2020-03,26.575
2020-04,27.263
2020-05,27.268
2020-06,26.68
2020-07,26.505
2020-08,26.166
2020-09,26.721
2020-10,27.202
2020-11,26.463
2020-12,26.312
2021-01,26.141
2021-02,25.875
2021-03,26.179
2021-04,25.924
2021-05,25.558
2021-06,25.454
2021-07,25.641
2021-08,25.468
2021-09,25.387
2021-10,25.485
2021-11,25.4
2021-12,25.257
2022-01,24.469
2022-02,24.439
2022-03,25.008
2022-04,24.437
2022-05,24.748
2022-06,24.719
2022-07,24.577
2022-08,24.568
2022-09,24.573
2022-10,24.532
2022-11,24.367
2022-12,24.269
2023-01,23.958
2023-02,23.712
2023-03,23.683
2023-04,23.438
2023-05,23.604
2023-06,23.696
2023-07,23.902
2023-08,24.112
2023-09,24.387
2023-10,24.586
2023-11,24.489
2023-12,24.483
2024-01,24.716
2024-02,25.232
2024-03,25.29
2024-04,25.28
2024-05,24.806
2024-06,24.779
2024-07,25.305
2024-08,25.179
2024-09,25.099
2024-10,25.294
2024-11,25.302
2024-12,25.137
2025-01,25.162
2025-02,25.076
2025-03,25.003
2025-04,25.04
2025-05,24.923
2025-06,24.806
2025-07,24.625
2025-08,24.517
2025-09,24.347
2025-10,24.315
2025-11,24.239
2025-12,24.26
2026-01,24.279
2026-02,24.26
2026-03,24.437
2026-04,24.382
2026-05,24.313
2026-06,24.21
2026-07,24.21
2026-08,24.179
