model,target,h,mm_pct,yoy_pct
BRIDGE_HARD,2026-09,2,-0.41378783726150037,1.749163029606779
BRIDGE_HARD,2026-10,3,0.3585818949250545,1.5906909457693488
BRIDGE_HARD,2026-11,4,0.11793420857623989,2.037334352953458
BRIDGE_HARD,2026-12,5,-0.09453282623189767,2.203609792382504
BRIDGE_HARD,2027-01,6,1.1114480145766956,2.4811381885937753
BRIDGE_HARD,2027-02,7,0.25467183807905824,2.8078206851043452
BRIDGE_HARD,2027-03,8,0.1477832718959413,2.37066394785654
BRIDGE_HARD,2027-04,9,0.3775516312280276,2.301912792138471
BRIDGE_HARD,2027-05,10,0.3928752394801994,2.50919396694958
BRIDGE_HARD,2027-06,11,0.2718017057243354,3.1135058685057873
BRIDGE_HARD,2027-07,12,0.5191643189386719,3.1868950180167532
