model,sample,n,rmse,mae,bias,material_wins,material_losses,direction_hits,big,alerts,alerted_big,material_big_alerts,gain
HARD_FULL,all_alerts,23,0.4184009317085991,0.3213253191257471,-0.04874977395907,9,10,16,7,23,7,6,-0.0561079278213992
HARD_FULL,common_fitted_alerts,18,0.4667564638887631,0.3728373372440045,-0.0622978585332523,7,10,11,6,18,6,5,-0.0950595594662266
HARD_HALF,full90,90,0.4136964383057546,0.2643731995419721,-0.0155023839550603,10,11,48,23,22,7,5,-0.0110398662086388
HARD_HALF,common_fitted,66,0.460239301029829,0.2891624918538358,-0.0036784159428397,8,10,40,20,18,7,5,-0.0088594615508055
HARD_HALF,2024+,31,0.2195880711904427,0.1678555272996073,-0.0040928416214969,3,1,19,5,5,2,1,0.0192412468939409
HARD_HALF,ex_january,83,0.3985028209280238,0.25081239794535,0.0185629797873733,9,10,44,19,19,5,4,-0.006234084692338
HARD_HALF,big,23,0.6833130723904106,0.479371431160143,-0.0102264923681743,7,1,16,23,7,7,5,0.0988894384050744
HARD_HALF,big_ex_january,19,0.7201400489073938,0.4946631222837135,0.0711324851483527,6,1,14,19,5,5,4,0.1000737198215496
HARD_HALF,all_alerts,22,0.6693338518992189,0.4036886338459867,0.0388392562093424,8,9,15,7,22,7,5,-0.0491431793005322
HARD_HALF,common_fitted_alerts,18,0.7377549745688233,0.4684351140157174,0.0402268812124352,7,9,11,7,18,7,5,-0.0739906695712728
HEADLINE_ENET_R21,full90,90,0.4953858536149466,0.3180428782363833,-0.0138136529193345,8,23,45,23,31,10,4,-0.0647095449030499
HEADLINE_ENET_R21,common_fitted,66,0.558305279633101,0.3623375853524892,0.0046855924288058,7,21,36,20,27,10,4,-0.0820345550494588
HEADLINE_ENET_R21,2024+,31,0.2458406672268209,0.188320443598402,0.0121380704461109,4,8,19,5,8,3,2,-0.0012236694048536
HEADLINE_ENET_R21,ex_january,83,0.4843986274735325,0.3041010305649091,0.0257860812246618,7,22,42,19,29,9,4,-0.059522717311897
HEADLINE_ENET_R21,big,23,0.8204238534734855,0.6080314536928906,-0.0337987019520612,4,4,12,23,10,10,4,-0.0297705841276731
HEADLINE_ENET_R21,big_ex_january,19,0.8640927440888909,0.6189262017905337,0.0761976555799437,4,4,11,19,9,9,4,-0.0241893596852707
HEADLINE_ENET_R21,all_alerts,31,0.7400061650034191,0.4959961766678423,0.0455868210850569,7,14,18,10,31,10,4,-0.1637381121517133
HEADLINE_ENET_R21,common_fitted_alerts,27,0.7917854318622154,0.5545885129133921,0.0494560988702715,6,14,14,10,27,10,4,-0.1990329573578366
HEADLINE_MEAN_R21,full90,90,0.4237907618169463,0.2644053026155799,-0.0109070909616522,10,15,52,23,22,8,5,-0.0110719692822465
HEADLINE_MEAN_R21,common_fitted,66,0.4711325450947307,0.2891954367786664,0.0086490860074634,9,13,43,20,18,8,5,-0.008892406475636
HEADLINE_MEAN_R21,2024+,31,0.2236483573125148,0.1721376968806645,-0.0055547903467402,4,2,20,5,4,2,1,0.0149590773128838
HEADLINE_MEAN_R21,ex_january,83,0.4097340519788235,0.2503264686135979,0.0244598920994662,9,14,48,19,19,6,4,-0.0057481553605859
HEADLINE_MEAN_R21,big,23,0.7103181990422975,0.4896225055030236,0.0058244235313995,7,2,18,23,8,8,5,0.0886383640621938
HEADLINE_MEAN_R21,big_ex_january,19,0.7491260095242855,0.5045465173668923,0.0948065488500855,6,2,16,19,6,6,4,0.0901903247383709
HEADLINE_MEAN_R21,all_alerts,22,0.7100950327410418,0.4321226152667311,0.0763287218144285,7,10,14,8,22,8,5,-0.0684862516303674
HEADLINE_MEAN_R21,common_fitted_alerts,18,0.7833063386459022,0.5058169948792534,0.0889641719876664,6,10,10,8,18,8,5,-0.1002614393236976
